Serial Number
	1048789
Project ID
	03040011
Location
	St-Paul-de-l'Ile-aux-Noix
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		41        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-25,19:00:00,0,918.3510,9.161
2,2016-11-25,19:15:00,0,915.3810,9.163
3,2016-11-25,19:30:00,0,914.5430,9.164
4,2016-11-25,19:45:00,0,917.5400,9.161
5,2016-11-25,20:00:00,0,910.1671,9.167
6,2016-11-25,20:15:00,0,911.7230,9.167
7,2016-11-25,20:30:00,0,899.8480,9.175
8,2016-11-25,20:45:00,0,906.5051,9.172
9,2016-11-25,21:00:00,0,901.7360,9.169
10,2016-11-25,21:15:00,0,906.8580,9.167
11,2016-11-25,21:30:00,0,912.7731,9.160
12,2016-11-25,21:45:00,0,917.9590,9.154
13,2016-11-25,22:00:00,0,920.1830,9.151
14,2016-11-25,22:15:00,0,920.5060,9.150
15,2016-11-25,22:30:00,0,921.4531,9.150
16,2016-11-25,22:45:00,0,920.5200,9.151
17,2016-11-25,23:00:00,0,921.4620,9.151
18,2016-11-25,23:15:00,0,921.3381,9.152
19,2016-11-25,23:30:00,0,921.7211,9.152
20,2016-11-25,23:45:00,0,921.3890,9.152
21,2016-11-26,00:00:00,0,923.1920,9.150
22,2016-11-26,00:15:00,0,921.9310,9.152
23,2016-11-26,00:30:00,0,921.8740,9.153
24,2016-11-26,00:45:00,0,922.7841,9.152
25,2016-11-26,01:00:00,0,921.3640,9.152
26,2016-11-26,01:15:00,0,922.9200,9.152
27,2016-11-26,01:30:00,0,923.3270,9.153
28,2016-11-26,01:45:00,0,923.6411,9.152
29,2016-11-26,02:00:00,0,924.7050,9.151
30,2016-11-26,02:15:00,0,924.5250,9.151
31,2016-11-26,02:30:00,0,925.0090,9.151
32,2016-11-26,02:45:00,0,925.4330,9.151
33,2016-11-26,03:00:00,0,925.6461,9.151
34,2016-11-26,03:15:00,0,924.6931,9.152
35,2016-11-26,03:30:00,0,924.3251,9.152
36,2016-11-26,03:45:00,0,924.9641,9.151
37,2016-11-26,04:00:00,0,925.5690,9.151
38,2016-11-26,04:15:00,0,926.0590,9.150
39,2016-11-26,04:30:00,0,926.3210,9.150
40,2016-11-26,04:45:00,0,926.5831,9.150
41,2016-11-26,05:00:00,0,926.8370,9.150
42,2016-11-26,05:15:00,0,926.8671,9.151
43,2016-11-26,05:30:00,0,925.5980,9.150
44,2016-11-26,05:45:00,0,926.8511,9.151
45,2016-11-26,06:00:00,0,926.1570,9.152
46,2016-11-26,06:15:00,0,921.5740,9.155
