Serial Number
	1048789
Project ID
	03040011
Location
	St-Paul-de-l'Ile-aux-Noix
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		41        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-02,19:00:00,0,925.1351,9.196
2,2017-05-02,19:15:00,0,915.2380,9.195
3,2017-05-02,19:30:00,0,914.6190,9.193
4,2017-05-02,19:45:00,0,911.1901,9.191
5,2017-05-02,20:00:00,0,919.4960,9.192
6,2017-05-02,20:15:00,0,916.2100,9.190
7,2017-05-02,20:30:00,0,916.6710,9.188
8,2017-05-02,20:45:00,0,921.5790,9.188
9,2017-05-02,21:00:00,0,927.0720,9.186
10,2017-05-02,21:15:00,0,926.5970,9.187
11,2017-05-02,21:30:00,0,926.3981,9.187
12,2017-05-02,21:45:00,0,925.8450,9.184
13,2017-05-02,22:00:00,0,926.1100,9.184
14,2017-05-02,22:15:00,0,928.6230,9.184
15,2017-05-02,22:30:00,0,930.9880,9.184
16,2017-05-02,22:45:00,0,928.5941,9.182
17,2017-05-02,23:00:00,0,925.8320,9.184
18,2017-05-02,23:15:00,0,927.3071,9.186
19,2017-05-02,23:30:00,0,931.4230,9.186
20,2017-05-02,23:45:00,0,930.5571,9.186
21,2017-05-03,00:00:00,0,931.1160,9.185
22,2017-05-03,00:15:00,0,931.2900,9.187
23,2017-05-03,00:30:00,0,931.6530,9.187
24,2017-05-03,00:45:00,0,932.4371,9.186
25,2017-05-03,01:00:00,0,933.7451,9.185
26,2017-05-03,01:15:00,0,934.4061,9.187
27,2017-05-03,01:30:00,0,934.3740,9.186
28,2017-05-03,01:45:00,0,935.0760,9.186
29,2017-05-03,02:00:00,0,935.6310,9.186
30,2017-05-03,02:15:00,0,934.3080,9.187
31,2017-05-03,02:30:00,0,935.9990,9.184
32,2017-05-03,02:45:00,0,936.4330,9.185
33,2017-05-03,03:00:00,0,937.0220,9.186
34,2017-05-03,03:15:00,0,937.0610,9.186
35,2017-05-03,03:30:00,0,937.5751,9.187
