Serial Number
	1055151
Project ID
	03040007
Location
	Rougemont_RS-05_moins_prof
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		52        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2016-11-23,19:00:00,0,535.7150,9.413
2,2016-11-23,19:15:00,0,535.6010,9.412
3,2016-11-23,19:30:00,0,535.4880,9.411
4,2016-11-23,19:45:00,0,535.4641,9.409
5,2016-11-23,20:00:00,0,535.5110,9.409
6,2016-11-23,20:15:00,0,535.5920,9.409
7,2016-11-23,20:30:00,0,535.5740,9.409
8,2016-11-23,20:45:00,0,535.4660,9.409
9,2016-11-23,21:00:00,0,535.3350,9.408
10,2016-11-23,21:15:00,0,535.5280,9.409
11,2016-11-23,21:30:00,0,535.7010,9.408
12,2016-11-23,21:45:00,0,535.8450,9.407
13,2016-11-23,22:00:00,0,535.9450,9.408
14,2016-11-23,22:15:00,0,536.0090,9.408
15,2016-11-23,22:30:00,0,536.1570,9.407
16,2016-11-23,22:45:00,0,536.2960,9.409
17,2016-11-23,23:00:00,0,536.3051,9.407
18,2016-11-23,23:15:00,0,536.3571,9.408
19,2016-11-23,23:30:00,0,536.4840,9.407
20,2016-11-23,23:45:00,0,536.3510,9.407
21,2016-11-24,00:00:00,0,536.4390,9.406
22,2016-11-24,00:15:00,0,536.2260,9.407
23,2016-11-24,00:30:00,0,536.2321,9.408
24,2016-11-24,00:45:00,0,536.0340,9.407
25,2016-11-24,01:00:00,0,536.0490,9.408
26,2016-11-24,01:15:00,0,536.1200,9.407
27,2016-11-24,01:30:00,0,535.9740,9.406
28,2016-11-24,01:45:00,0,536.1071,9.407
29,2016-11-24,02:00:00,0,536.0210,9.407
30,2016-11-24,02:15:00,0,535.8380,9.407
31,2016-11-24,02:30:00,0,535.8680,9.407
32,2016-11-24,02:45:00,0,535.7890,9.407
33,2016-11-24,03:00:00,0,535.7420,9.406
34,2016-11-24,03:15:00,0,535.6750,9.406
35,2016-11-24,03:30:00,0,535.5020,9.407
36,2016-11-24,03:45:00,0,535.5360,9.407
37,2016-11-24,04:00:00,0,535.4130,9.406
38,2016-11-24,04:15:00,0,535.5020,9.407
39,2016-11-24,04:30:00,0,535.3560,9.406
40,2016-11-24,04:45:00,0,535.5630,9.408
41,2016-11-24,05:00:00,0,535.5031,9.406
42,2016-11-24,05:15:00,0,535.5790,9.408
43,2016-11-24,05:30:00,0,535.5640,9.407
44,2016-11-24,05:45:00,0,535.6330,9.408
