Serial Number
	1055151
Project ID
	03040007
Location
	Rougemont_RS-05_moins_prof
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		52        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2017-05-01,19:00:00,0,515.1210,7.277
2,2017-05-01,19:15:00,0,514.8330,7.260
3,2017-05-01,19:30:00,0,514.4650,7.260
4,2017-05-01,19:45:00,0,514.5070,7.237
5,2017-05-01,20:00:00,0,513.6090,7.238
6,2017-05-01,20:15:00,0,513.2780,7.229
7,2017-05-01,20:30:00,0,513.2030,7.230
8,2017-05-01,20:45:00,0,513.5650,7.211
9,2017-05-01,21:00:00,0,513.8560,7.211
10,2017-05-01,21:15:00,0,514.2870,7.200
11,2017-05-01,21:30:00,0,516.8920,7.196
12,2017-05-01,21:45:00,0,516.0670,7.198
13,2017-05-01,22:00:00,0,515.4070,7.193
14,2017-05-01,22:15:00,0,515.1550,7.192
15,2017-05-01,22:30:00,0,515.2710,7.183
16,2017-05-01,22:45:00,0,515.4200,7.181
17,2017-05-01,23:00:00,0,515.7710,7.173
18,2017-05-01,23:15:00,0,516.4650,7.172
19,2017-05-01,23:30:00,0,515.5681,7.177
20,2017-05-01,23:45:00,0,514.1530,7.175
21,2017-05-02,00:00:00,0,511.5520,7.181
22,2017-05-02,00:15:00,0,511.1810,7.166
23,2017-05-02,00:30:00,0,512.0840,7.164
24,2017-05-02,00:45:00,0,512.8440,7.151
25,2017-05-02,01:00:00,0,513.2480,7.147
26,2017-05-02,01:15:00,0,513.1220,7.123
27,2017-05-02,01:30:00,0,512.7910,7.120
28,2017-05-02,01:45:00,0,512.8181,7.102
29,2017-05-02,02:00:00,0,512.4790,7.104
30,2017-05-02,02:15:00,0,512.3740,7.293
31,2017-05-02,02:30:00,0,512.5320,7.357
32,2017-05-02,02:45:00,0,512.3900,7.372
33,2017-05-02,03:00:00,0,512.2110,7.382
34,2017-05-02,03:15:00,0,512.3660,7.387
35,2017-05-02,03:30:00,0,512.4960,7.386
36,2017-05-02,03:45:00,0,512.4310,7.362
37,2017-05-02,04:00:00,0,512.5510,7.363
38,2017-05-02,04:15:00,0,512.4790,7.364
39,2017-05-02,04:30:00,0,512.3781,7.365
40,2017-05-02,04:45:00,0,512.5460,7.359
41,2017-05-02,05:00:00,0,512.6730,7.358
42,2017-05-02,05:15:00,0,512.8060,7.331
43,2017-05-02,05:30:00,0,512.8640,7.293
44,2017-05-02,05:45:00,0,512.9490,7.287
45,2017-05-02,06:00:00,0,512.9400,7.286
46,2017-05-02,06:15:00,0,513.0291,7.271
47,2017-05-02,06:30:00,0,513.2210,7.273
48,2017-05-02,06:45:00,0,513.3530,7.266
49,2017-05-02,07:00:00,0,513.6570,7.257
50,2017-05-02,07:15:00,0,513.7330,7.259
51,2017-05-02,07:30:00,0,513.5860,7.261
52,2017-05-02,07:45:00,0,513.4660,7.263
53,2017-05-02,08:00:00,0,513.5360,7.263
54,2017-05-02,08:15:00,0,513.4450,7.254
55,2017-05-02,08:30:00,0,513.3850,7.256
56,2017-05-02,08:45:00,0,513.1880,7.249
57,2017-05-02,09:00:00,0,513.2440,7.242
58,2017-05-02,09:15:00,0,513.3990,7.246
59,2017-05-02,09:30:00,0,513.4610,7.242
60,2017-05-02,09:45:00,0,513.1480,7.250
61,2017-05-02,10:00:00,0,513.1960,7.250
62,2017-05-02,10:15:00,0,513.1510,7.250
63,2017-05-02,10:30:00,0,513.2990,7.250
64,2017-05-02,10:45:00,0,513.0421,7.245
65,2017-05-02,11:00:00,0,513.1440,7.252
66,2017-05-02,11:15:00,0,513.2600,7.254
67,2017-05-02,11:30:00,0,513.1541,7.245
68,2017-05-02,11:45:00,0,513.2680,7.237
69,2017-05-02,12:00:00,0,513.1450,7.240
70,2017-05-02,12:15:00,0,513.0430,7.228
71,2017-05-02,12:30:00,0,513.0490,7.232
72,2017-05-02,12:45:00,0,512.7280,7.240
73,2017-05-02,13:00:00,0,512.6310,7.245
74,2017-05-02,13:15:00,0,512.6470,7.260
75,2017-05-02,13:30:00,0,512.5970,7.275
76,2017-05-02,13:45:00,0,512.3000,7.281
77,2017-05-02,14:00:00,0,512.3300,7.286
78,2017-05-02,14:15:00,0,512.3560,7.287
79,2017-05-02,14:30:00,0,512.1420,7.292
80,2017-05-02,14:45:00,0,512.0260,7.291
81,2017-05-02,15:00:00,0,511.8400,7.301
82,2017-05-02,15:15:00,0,511.8860,7.305
83,2017-05-02,15:30:00,0,511.7610,7.308
84,2017-05-02,15:45:00,0,511.9370,7.311
85,2017-05-02,16:00:00,0,511.9100,7.314
86,2017-05-02,16:15:00,0,511.8400,7.314
87,2017-05-02,16:30:00,0,511.9850,7.311
88,2017-05-02,16:45:00,0,512.1120,7.310
89,2017-05-02,17:00:00,0,512.3781,7.305
90,2017-05-02,17:15:00,0,512.5570,7.303
91,2017-05-02,17:30:00,0,512.7590,7.302
92,2017-05-02,17:45:00,0,513.0620,7.300
93,2017-05-02,18:00:00,0,513.3160,7.295
94,2017-05-02,18:15:00,0,513.6340,7.295
95,2017-05-02,18:30:00,0,513.8430,7.299
96,2017-05-02,18:45:00,0,514.1010,7.296
97,2017-05-02,19:00:00,0,514.3040,7.303
98,2017-05-02,19:15:00,0,514.4460,7.302
99,2017-05-02,19:30:00,0,514.4980,7.305
100,2017-05-02,19:45:00,0,514.5730,7.310
101,2017-05-02,20:00:00,0,514.6220,7.315
102,2017-05-02,20:15:00,0,514.7670,7.319
103,2017-05-02,20:30:00,0,515.0470,7.325
104,2017-05-02,20:45:00,0,515.0510,7.325
105,2017-05-02,21:00:00,0,515.4431,7.329
106,2017-05-02,21:15:00,0,515.7921,7.330
107,2017-05-02,21:30:00,0,516.0540,7.332
108,2017-05-02,21:45:00,0,516.4220,7.332
109,2017-05-02,22:00:00,0,516.4540,7.334
110,2017-05-02,22:15:00,0,516.5530,7.333
111,2017-05-02,22:30:00,0,516.5600,7.335
112,2017-05-02,22:45:00,0,516.6240,7.336
113,2017-05-02,23:00:00,0,516.5270,7.336
114,2017-05-02,23:15:00,0,516.5190,7.338
115,2017-05-02,23:30:00,0,516.6240,7.338
116,2017-05-02,23:45:00,0,516.7960,7.340
117,2017-05-03,00:00:00,0,516.7030,7.340
118,2017-05-03,00:15:00,0,516.7770,7.341
119,2017-05-03,00:30:00,0,516.9120,7.342
120,2017-05-03,00:45:00,0,516.9810,7.342
121,2017-05-03,01:00:00,0,517.0100,7.339
122,2017-05-03,01:15:00,0,517.1390,7.334
123,2017-05-03,01:30:00,0,517.1840,7.331
124,2017-05-03,01:45:00,0,517.1480,7.328
125,2017-05-03,02:00:00,0,517.2110,7.327
126,2017-05-03,02:15:00,0,517.1210,7.328
127,2017-05-03,02:30:00,0,517.0551,7.328
128,2017-05-03,02:45:00,0,517.2520,7.329
129,2017-05-03,03:00:00,0,517.3120,7.329
130,2017-05-03,03:15:00,0,517.3940,7.324
131,2017-05-03,03:30:00,0,517.6110,7.317
132,2017-05-03,03:45:00,0,517.8460,7.313
133,2017-05-03,04:00:00,0,518.0840,7.310
134,2017-05-03,04:15:00,0,518.3530,7.309
135,2017-05-03,04:30:00,0,518.4350,7.304
136,2017-05-03,04:45:00,0,518.6080,7.303
137,2017-05-03,05:00:00,0,518.8820,7.300
138,2017-05-03,05:15:00,0,518.8860,7.302
139,2017-05-03,05:30:00,0,519.1440,7.301
140,2017-05-03,05:45:00,0,519.2370,7.301
141,2017-05-03,06:00:00,0,519.3680,7.304
142,2017-05-03,06:15:00,0,519.6620,7.303
143,2017-05-03,06:30:00,0,519.8340,7.308
144,2017-05-03,06:45:00,0,520.1411,7.306
145,2017-05-03,07:00:00,0,520.3980,7.307
146,2017-05-03,07:15:00,0,520.5210,7.309
147,2017-05-03,07:30:00,0,520.7340,7.309
148,2017-05-03,07:45:00,0,520.7791,7.308
149,2017-05-03,08:00:00,0,521.0710,7.310
150,2017-05-03,08:15:00,0,521.3420,7.310
151,2017-05-03,08:30:00,0,521.5370,7.310
152,2017-05-03,08:45:00,0,521.8410,7.312
153,2017-05-03,09:00:00,0,521.9780,7.310
154,2017-05-03,09:15:00,0,522.1660,7.312
155,2017-05-03,09:30:00,0,522.5360,7.312
156,2017-05-03,09:45:00,0,522.8710,7.313
157,2017-05-03,10:00:00,0,523.2370,7.311
158,2017-05-03,10:15:00,0,523.4460,7.313
159,2017-05-03,10:30:00,0,523.8500,7.311
160,2017-05-03,10:45:00,0,524.1560,7.312
161,2017-05-03,11:00:00,0,524.4680,7.312
162,2017-05-03,11:15:00,0,524.6880,7.311
163,2017-05-03,11:30:00,0,525.1000,7.311
164,2017-05-03,11:45:00,0,525.4840,7.312
165,2017-05-03,12:00:00,0,525.6910,7.309
166,2017-05-03,12:15:00,0,525.9470,7.308
167,2017-05-03,12:30:00,0,526.1650,7.311
168,2017-05-03,12:45:00,0,526.4790,7.310
169,2017-05-03,13:00:00,0,526.6620,7.307
170,2017-05-03,13:15:00,0,527.0900,7.308
171,2017-05-03,13:30:00,0,527.2710,7.308
172,2017-05-03,13:45:00,0,527.6370,7.307
173,2017-05-03,14:00:00,0,527.9150,7.308
174,2017-05-03,14:15:00,0,528.1840,7.308
175,2017-05-03,14:30:00,0,528.4860,7.307
176,2017-05-03,14:45:00,0,528.7061,7.303
177,2017-05-03,15:00:00,0,528.8830,7.309
178,2017-05-03,15:15:00,0,529.1440,7.306
179,2017-05-03,15:30:00,0,529.3200,7.305
180,2017-05-03,15:45:00,0,529.5670,7.308
181,2017-05-03,16:00:00,0,529.8240,7.307
182,2017-05-03,16:15:00,0,529.8391,7.305
183,2017-05-03,16:30:00,0,529.9530,7.307
184,2017-05-03,16:45:00,0,530.1520,7.306
185,2017-05-03,17:00:00,0,530.2850,7.307
186,2017-05-03,17:15:00,0,530.5140,7.305
187,2017-05-03,17:30:00,0,530.8181,7.311
188,2017-05-03,17:45:00,0,530.9660,7.307
189,2017-05-03,18:00:00,0,531.3360,7.307
190,2017-05-03,18:15:00,0,531.3500,7.309
191,2017-05-03,18:30:00,0,531.5320,7.307
192,2017-05-03,18:45:00,0,531.6210,7.308
193,2017-05-03,19:00:00,0,531.8500,7.308
194,2017-05-03,19:15:00,0,531.9641,7.312
195,2017-05-03,19:30:00,0,532.2250,7.307
196,2017-05-03,19:45:00,0,532.4730,7.309
197,2017-05-03,20:00:00,0,532.5870,7.306
198,2017-05-03,20:15:00,0,532.7890,7.306
199,2017-05-03,20:30:00,0,533.1910,7.306
200,2017-05-03,20:45:00,0,533.2880,7.310
201,2017-05-03,21:00:00,0,533.5090,7.306
202,2017-05-03,21:15:00,0,533.9041,7.312
203,2017-05-03,21:30:00,0,534.1010,7.308
204,2017-05-03,21:45:00,0,534.4920,7.310
205,2017-05-03,22:00:00,0,534.7061,7.307
206,2017-05-03,22:15:00,0,534.9830,7.312
207,2017-05-03,22:30:00,0,535.3911,7.310
208,2017-05-03,22:45:00,0,535.7460,7.310
209,2017-05-03,23:00:00,0,536.1710,7.312
210,2017-05-03,23:15:00,0,536.6730,7.309
211,2017-05-03,23:30:00,0,536.9620,7.312
212,2017-05-03,23:45:00,0,537.2680,7.308
213,2017-05-04,00:00:00,0,537.2930,7.309
214,2017-05-04,00:15:00,0,537.3210,7.308
215,2017-05-04,00:30:00,0,537.6080,7.309
216,2017-05-04,00:45:00,0,537.7760,7.308
217,2017-05-04,01:00:00,0,537.9020,7.312
218,2017-05-04,01:15:00,0,537.8890,7.310
219,2017-05-04,01:30:00,0,538.1050,7.313
220,2017-05-04,01:45:00,0,538.2040,7.309
221,2017-05-04,02:00:00,0,538.6320,7.314
222,2017-05-04,02:15:00,0,538.8000,7.309
223,2017-05-04,02:30:00,0,539.0150,7.312
224,2017-05-04,02:45:00,0,538.9650,7.312
225,2017-05-04,03:00:00,0,539.1021,7.314
226,2017-05-04,03:15:00,0,538.9490,7.314
227,2017-05-04,03:30:00,0,538.8350,7.314
228,2017-05-04,03:45:00,0,538.8990,7.313
229,2017-05-04,04:00:00,0,538.8230,7.314
230,2017-05-04,04:15:00,0,538.8490,7.313
231,2017-05-04,04:30:00,0,538.8490,7.311
232,2017-05-04,04:45:00,0,538.9720,7.312
233,2017-05-04,05:00:00,0,539.2760,7.312
234,2017-05-04,05:15:00,0,539.3170,7.310
235,2017-05-04,05:30:00,0,539.5000,7.313
236,2017-05-04,05:45:00,0,539.4680,7.309
237,2017-05-04,06:00:00,0,539.6071,7.311
238,2017-05-04,06:15:00,0,539.8521,7.310
239,2017-05-04,06:30:00,0,539.8510,7.313
240,2017-05-04,06:45:00,0,539.8750,7.308
241,2017-05-04,07:00:00,0,539.8750,7.311
242,2017-05-04,07:15:00,0,540.0670,7.312
243,2017-05-04,07:30:00,0,540.0370,7.311
244,2017-05-04,07:45:00,0,540.3630,7.314
245,2017-05-04,08:00:00,0,540.5860,7.314
246,2017-05-04,08:15:00,0,540.8360,7.315
247,2017-05-04,08:30:00,0,540.9600,7.317
248,2017-05-04,08:45:00,0,540.8420,7.317
249,2017-05-04,09:00:00,0,540.8280,7.315
250,2017-05-04,09:15:00,0,540.8521,7.316
251,2017-05-04,09:30:00,0,540.5970,7.317
252,2017-05-04,09:45:00,0,540.3800,7.315
253,2017-05-04,10:00:00,0,540.2950,7.319
254,2017-05-04,10:15:00,0,540.2420,7.319
255,2017-05-04,10:30:00,0,540.2800,7.320
256,2017-05-04,10:45:00,0,540.1730,7.320
257,2017-05-04,11:00:00,0,539.9230,7.319
258,2017-05-04,11:15:00,0,539.7750,7.318
259,2017-05-04,11:30:00,0,539.7710,7.319
260,2017-05-04,11:45:00,0,539.5260,7.318
261,2017-05-04,12:00:00,0,539.3800,7.319
262,2017-05-04,12:15:00,0,539.0570,7.322
263,2017-05-04,12:30:00,0,538.8940,7.323
264,2017-05-04,12:45:00,0,538.8210,7.321
265,2017-05-04,13:00:00,0,538.5580,7.323
266,2017-05-04,13:15:00,0,538.4510,7.324
267,2017-05-04,13:30:00,0,538.3680,7.323
268,2017-05-04,13:45:00,0,538.0330,7.326
269,2017-05-04,14:00:00,0,537.8210,7.328
270,2017-05-04,14:15:00,0,537.6730,7.324
271,2017-05-04,14:30:00,0,537.3590,7.323
272,2017-05-04,14:45:00,0,537.1250,7.325
273,2017-05-04,15:00:00,0,536.8980,7.324
274,2017-05-04,15:15:00,0,536.7300,7.324
275,2017-05-04,15:30:00,0,536.6200,7.327
276,2017-05-04,15:45:00,0,536.3630,7.328
277,2017-05-04,16:00:00,0,536.2830,7.327
278,2017-05-04,16:15:00,0,536.2210,7.325
279,2017-05-04,16:30:00,0,536.1151,7.326
280,2017-05-04,16:45:00,0,535.8420,7.324
281,2017-05-04,17:00:00,0,535.5800,7.325
282,2017-05-04,17:15:00,0,535.6130,7.324
283,2017-05-04,17:30:00,0,535.5891,7.325
284,2017-05-04,17:45:00,0,535.5070,7.326
285,2017-05-04,18:00:00,0,535.4990,7.326
286,2017-05-04,18:15:00,0,535.4930,7.326
287,2017-05-04,18:30:00,0,535.3571,7.327
288,2017-05-04,18:45:00,0,535.1820,7.331
289,2017-05-04,19:00:00,0,535.2700,7.328
290,2017-05-04,19:15:00,0,535.1580,7.328
291,2017-05-04,19:30:00,0,535.2970,7.331
292,2017-05-04,19:45:00,0,535.3190,7.328
293,2017-05-04,20:00:00,0,535.4950,7.327
294,2017-05-04,20:15:00,0,535.6650,7.329
295,2017-05-04,20:30:00,0,536.0010,7.330
296,2017-05-04,20:45:00,0,536.1890,7.329
297,2017-05-04,21:00:00,0,536.1420,7.329
298,2017-05-04,21:15:00,0,536.0090,7.332
299,2017-05-04,21:30:00,0,535.4540,7.331
300,2017-05-04,21:45:00,0,535.3450,7.330
301,2017-05-04,22:00:00,0,535.4860,7.331
302,2017-05-04,22:15:00,0,535.5941,7.331
303,2017-05-04,22:30:00,0,535.5200,7.331
304,2017-05-04,22:45:00,0,535.7250,7.331
305,2017-05-04,23:00:00,0,535.9410,7.332
306,2017-05-04,23:15:00,0,535.9850,7.330
307,2017-05-04,23:30:00,0,535.9270,7.329
308,2017-05-04,23:45:00,0,535.9710,7.328
309,2017-05-05,00:00:00,0,536.0880,7.329
310,2017-05-05,00:15:00,0,536.3380,7.330
311,2017-05-05,00:30:00,0,536.1931,7.329
312,2017-05-05,00:45:00,0,535.7271,7.327
313,2017-05-05,01:00:00,0,535.6380,7.327
314,2017-05-05,01:15:00,0,535.4410,7.328
315,2017-05-05,01:30:00,0,535.2770,7.324
316,2017-05-05,01:45:00,0,535.1200,7.325
317,2017-05-05,02:00:00,0,534.8430,7.326
318,2017-05-05,02:15:00,0,534.7661,7.327
319,2017-05-05,02:30:00,0,534.5020,7.323
320,2017-05-05,02:45:00,0,534.2670,7.323
321,2017-05-05,03:00:00,0,534.1460,7.326
322,2017-05-05,03:15:00,0,534.0520,7.326
323,2017-05-05,03:30:00,0,534.0020,7.323
