Serial Number
	1055778
Project ID
	03030001
Location
	Sainte-Victoire
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		18        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2016-11-24,19:00:00,0,261.4390,6.100
2,2016-11-24,19:15:00,0,261.3850,6.108
3,2016-11-24,19:30:00,0,261.3850,6.095
4,2016-11-24,19:45:00,0,261.3280,6.172
5,2016-11-24,20:00:00,0,261.3560,6.217
6,2016-11-24,20:15:00,0,261.2650,6.131
7,2016-11-24,20:30:00,0,261.1650,6.203
8,2016-11-24,20:45:00,0,261.2310,6.157
9,2016-11-24,21:00:00,0,261.1130,5.909
10,2016-11-24,21:15:00,0,261.1870,6.106
11,2016-11-24,21:30:00,0,261.1160,6.182
12,2016-11-24,21:45:00,0,260.9700,6.126
13,2016-11-24,22:00:00,0,260.9840,6.274
14,2016-11-24,22:15:00,0,260.9950,6.269
15,2016-11-24,22:30:00,0,260.9510,6.027
16,2016-11-24,22:45:00,0,261.0950,6.300
17,2016-11-24,23:00:00,0,261.3240,6.077
18,2016-11-24,23:15:00,0,261.2380,6.085
19,2016-11-24,23:30:00,0,261.2770,6.104
20,2016-11-24,23:45:00,0,261.2170,6.090
21,2016-11-25,00:00:00,0,261.1110,6.212
22,2016-11-25,00:15:00,0,261.0900,5.919
23,2016-11-25,00:30:00,0,261.0360,6.126
24,2016-11-25,00:45:00,0,260.9740,6.163
25,2016-11-25,01:00:00,0,260.7750,6.115
26,2016-11-25,01:15:00,0,260.7300,6.087
27,2016-11-25,01:30:00,0,260.7100,6.074
28,2016-11-25,01:45:00,0,260.8780,6.116
29,2016-11-25,02:00:00,0,261.0170,6.055
30,2016-11-25,02:15:00,0,260.9850,6.038
31,2016-11-25,02:30:00,0,261.1490,6.119
32,2016-11-25,02:45:00,0,261.0950,6.099
33,2016-11-25,03:00:00,0,261.0920,6.030
34,2016-11-25,03:15:00,0,261.1360,5.784
35,2016-11-25,03:30:00,0,261.2660,6.082
36,2016-11-25,03:45:00,0,261.3440,6.138
37,2016-11-25,04:00:00,0,261.2580,6.083
38,2016-11-25,04:15:00,0,260.9090,5.839
39,2016-11-25,04:30:00,0,260.9650,6.019
40,2016-11-25,04:45:00,0,260.8960,6.227
41,2016-11-25,05:00:00,0,260.9370,6.157
42,2016-11-25,05:15:00,0,260.8730,6.069
43,2016-11-25,05:30:00,0,260.6170,5.790
44,2016-11-25,05:45:00,0,260.7650,6.156
45,2016-11-25,06:00:00,0,260.9170,5.911
46,2016-11-25,06:15:00,0,260.9560,5.944
47,2016-11-25,06:30:00,0,260.9640,6.103
48,2016-11-25,06:45:00,0,261.0420,6.148
49,2016-11-25,07:00:00,0,260.8250,6.140
50,2016-11-25,07:15:00,0,260.7820,6.202
51,2016-11-25,07:30:00,0,260.9250,6.063
52,2016-11-25,07:45:00,0,260.9370,6.162
53,2016-11-25,08:00:00,0,260.9370,5.805
54,2016-11-25,08:15:00,0,260.6070,6.229
55,2016-11-25,08:30:00,0,260.5980,6.159
56,2016-11-25,08:45:00,0,260.5920,5.829
57,2016-11-25,09:00:00,0,260.3490,5.755
58,2016-11-25,09:15:00,0,260.2580,6.086
59,2016-11-25,09:30:00,0,260.2080,6.114
60,2016-11-25,09:45:00,0,260.2290,6.059
61,2016-11-25,10:00:00,0,260.0980,6.060
62,2016-11-25,10:15:00,0,259.9100,6.122
63,2016-11-25,10:30:00,0,259.7170,6.338
64,2016-11-25,10:45:00,0,259.3700,6.254
65,2016-11-25,11:00:00,0,259.2540,6.244
66,2016-11-25,11:15:00,0,259.1200,6.160
67,2016-11-25,11:30:00,0,259.0230,6.242
68,2016-11-25,11:45:00,0,258.8080,6.116
69,2016-11-25,12:00:00,0,258.6560,6.111
70,2016-11-25,12:15:00,0,258.5790,6.285
71,2016-11-25,12:30:00,0,258.3700,6.234
72,2016-11-25,12:45:00,0,258.2520,6.396
73,2016-11-25,13:00:00,0,258.0450,6.273
74,2016-11-25,13:15:00,0,258.1270,6.299
75,2016-11-25,13:30:00,0,258.0680,6.177
