Serial Number
	1055778
Project ID
	03030001
Location
	Sainte-Victoire
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		18        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2017-05-02,13:00:00,0,243.5980,3.945
2,2017-05-02,13:15:00,0,243.4680,3.929
3,2017-05-02,13:30:00,0,243.3360,3.916
4,2017-05-02,13:45:00,0,243.1570,3.900
5,2017-05-02,14:00:00,0,242.8800,3.889
6,2017-05-02,14:15:00,0,242.7070,3.876
7,2017-05-02,14:30:00,0,242.3130,3.863
8,2017-05-02,14:45:00,0,241.9220,3.853
9,2017-05-02,15:00:00,0,241.6860,3.845
10,2017-05-02,15:15:00,0,241.6300,3.844
11,2017-05-02,15:30:00,0,241.5400,3.847
12,2017-05-02,15:45:00,0,241.4750,3.846
13,2017-05-02,16:00:00,0,241.6610,3.840
14,2017-05-02,16:15:00,0,241.8800,3.832
15,2017-05-02,16:30:00,0,241.7840,3.826
16,2017-05-02,16:45:00,0,241.5930,3.820
17,2017-05-02,17:00:00,0,241.6010,3.819
18,2017-05-02,17:15:00,0,241.7300,3.844
19,2017-05-02,17:30:00,0,241.7020,3.867
20,2017-05-02,17:45:00,0,241.7260,3.888
21,2017-05-02,18:00:00,0,241.7980,3.893
22,2017-05-02,18:15:00,0,242.1060,3.891
23,2017-05-02,18:30:00,0,242.6210,3.886
24,2017-05-02,18:45:00,0,242.9280,3.881
25,2017-05-02,19:00:00,0,243.1110,3.879
26,2017-05-02,19:15:00,0,243.0120,3.871
27,2017-05-02,19:30:00,0,242.9540,3.865
28,2017-05-02,19:45:00,0,242.6550,3.859
29,2017-05-02,20:00:00,0,242.6250,3.855
30,2017-05-02,20:15:00,0,242.5710,3.856
31,2017-05-02,20:30:00,0,242.6700,3.856
32,2017-05-02,20:45:00,0,242.7000,3.852
33,2017-05-02,21:00:00,0,242.8600,3.848
34,2017-05-02,21:15:00,0,242.9430,3.855
35,2017-05-02,21:30:00,0,243.0880,3.865
36,2017-05-02,21:45:00,0,243.2160,3.871
37,2017-05-02,22:00:00,0,243.2970,3.881
