Serial Number
	1056500
Project ID
	03030011
Location
	BARO_Brome
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		200       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-03,13:00:00,0,76.8085,7.583
2,2017-05-03,13:15:00,0,77.3069,7.602
3,2017-05-03,13:30:00,0,77.6421,7.469
4,2017-05-03,13:45:00,0,77.8094,7.321
5,2017-05-03,14:00:00,0,78.1436,7.260
6,2017-05-03,14:15:00,0,78.4890,7.265
7,2017-05-03,14:30:00,0,78.8720,7.286
8,2017-05-03,14:45:00,0,79.1418,7.268
9,2017-05-03,15:00:00,0,79.3285,7.267
10,2017-05-03,15:15:00,0,79.5817,7.274
11,2017-05-03,15:30:00,0,79.8171,7.276
12,2017-05-03,15:45:00,0,79.9888,7.284
13,2017-05-03,16:00:00,0,80.0274,7.305
14,2017-05-03,16:15:00,0,80.1438,7.343
15,2017-05-03,16:30:00,0,80.2270,7.370
16,2017-05-03,16:45:00,0,80.4169,7.400
17,2017-05-03,17:00:00,0,80.7339,7.438
18,2017-05-03,17:15:00,0,80.8197,7.468
19,2017-05-03,17:30:00,0,80.9468,7.513
20,2017-05-03,17:45:00,0,81.0069,7.623
21,2017-05-03,18:00:00,0,81.2113,7.732
22,2017-05-03,18:15:00,0,81.4774,7.853
23,2017-05-03,18:30:00,0,81.8046,7.894
24,2017-05-03,18:45:00,0,82.0454,7.885
25,2017-05-03,19:00:00,0,82.3699,7.852
26,2017-05-03,19:15:00,0,82.6612,7.782
27,2017-05-03,19:30:00,0,82.8693,7.707
28,2017-05-03,19:45:00,0,83.0887,7.604
29,2017-05-03,20:00:00,0,83.3119,7.461
30,2017-05-03,20:15:00,0,83.5118,7.274
31,2017-05-03,20:30:00,0,83.7548,7.069
32,2017-05-03,20:45:00,0,83.8847,6.866
33,2017-05-03,21:00:00,0,84.1974,6.674
34,2017-05-03,21:15:00,0,84.3138,6.510
35,2017-05-03,21:30:00,0,84.6463,6.350
36,2017-05-03,21:45:00,0,84.8599,6.189
37,2017-05-03,22:00:00,0,85.1581,6.031
38,2017-05-03,22:15:00,0,85.4762,5.892
39,2017-05-03,22:30:00,0,85.7551,5.771
40,2017-05-03,22:45:00,0,86.0501,5.648
41,2017-05-03,23:00:00,0,86.3114,5.534
42,2017-05-03,23:15:00,0,86.6976,5.438
43,2017-05-03,23:30:00,0,87.3085,5.304
44,2017-05-03,23:45:00,0,87.5805,5.234
45,2017-05-04,00:00:00,0,87.6169,5.150
46,2017-05-04,00:15:00,0,87.6046,5.052
47,2017-05-04,00:30:00,0,87.8766,4.978
48,2017-05-04,00:45:00,0,88.1839,4.910
49,2017-05-04,01:00:00,0,88.1260,4.841
50,2017-05-04,01:15:00,0,88.1781,4.799
51,2017-05-04,01:30:00,0,88.3014,4.753
52,2017-05-04,01:45:00,0,88.3196,4.700
53,2017-05-04,02:00:00,0,88.3968,4.636
54,2017-05-04,02:15:00,0,88.7735,4.602
55,2017-05-04,02:30:00,0,89.1178,4.564
56,2017-05-04,02:45:00,0,89.3361,4.522
57,2017-05-04,03:00:00,0,89.3351,4.480
58,2017-05-04,03:15:00,0,89.2417,4.435
59,2017-05-04,03:30:00,0,89.0996,4.387
60,2017-05-04,03:45:00,0,89.1092,4.336
61,2017-05-04,04:00:00,0,89.1140,4.290
62,2017-05-04,04:15:00,0,89.0813,4.240
63,2017-05-04,04:30:00,0,89.2476,4.197
64,2017-05-04,04:45:00,0,89.1028,4.173
