Serial Number
	1056534
Project ID
	03040010
Location
	St-Jean/St-Blaise_Baro
LEVEL
	Unit
		m
	Offset
		0.00      m
	Altitude
		32        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-25,19:00:00,0,0.8783,4.948
2,2016-11-25,19:15:00,0,0.8787,4.950
3,2016-11-25,19:30:00,0,0.8777,4.938
4,2016-11-25,19:45:00,0,0.8765,4.958
5,2016-11-25,20:00:00,0,0.8761,4.952
6,2016-11-25,20:15:00,0,0.8749,4.945
7,2016-11-25,20:30:00,0,0.8742,4.952
8,2016-11-25,20:45:00,0,0.8746,4.944
9,2016-11-25,21:00:00,0,0.8743,4.938
10,2016-11-25,21:15:00,0,0.8739,4.944
11,2016-11-25,21:30:00,0,0.8736,4.945
12,2016-11-25,21:45:00,0,0.8736,4.948
13,2016-11-25,22:00:00,0,0.8720,4.953
14,2016-11-25,22:15:00,0,0.8708,4.955
15,2016-11-25,22:30:00,0,0.8708,4.943
16,2016-11-25,22:45:00,0,0.8710,4.933
17,2016-11-25,23:00:00,0,0.8698,4.924
18,2016-11-25,23:15:00,0,0.8689,4.943
19,2016-11-25,23:30:00,0,0.8669,4.944
20,2016-11-25,23:45:00,0,0.8664,4.941
21,2016-11-26,00:00:00,0,0.8660,4.961
22,2016-11-26,00:15:00,0,0.8646,4.939
23,2016-11-26,00:30:00,0,0.8642,4.954
24,2016-11-26,00:45:00,0,0.8636,4.952
25,2016-11-26,01:00:00,0,0.8638,4.945
26,2016-11-26,01:15:00,0,0.8641,4.931
27,2016-11-26,01:30:00,0,0.8652,4.938
28,2016-11-26,01:45:00,0,0.8661,4.954
29,2016-11-26,02:00:00,0,0.8655,4.951
30,2016-11-26,02:15:00,0,0.8662,4.928
31,2016-11-26,02:30:00,0,0.8650,4.934
32,2016-11-26,02:45:00,0,0.8639,4.951
33,2016-11-26,03:00:00,0,0.8621,4.959
34,2016-11-26,03:15:00,0,0.8601,4.954
35,2016-11-26,03:30:00,0,0.8587,4.940
36,2016-11-26,03:45:00,0,0.8586,4.939
37,2016-11-26,04:00:00,0,0.8589,4.942
38,2016-11-26,04:15:00,0,0.8576,4.947
39,2016-11-26,04:30:00,0,0.8591,4.963
40,2016-11-26,04:45:00,0,0.8586,4.959
41,2016-11-26,05:00:00,0,0.8602,4.951
42,2016-11-26,05:15:00,0,0.8603,4.932
43,2016-11-26,05:30:00,0,0.8602,4.954
44,2016-11-26,05:45:00,0,0.8595,4.966
45,2016-11-26,06:00:00,0,0.8588,4.970
46,2016-11-26,06:15:00,0,0.8572,4.959
47,2016-11-26,06:30:00,0,0.8573,4.970
48,2016-11-26,06:45:00,0,0.8577,4.949
49,2016-11-26,07:00:00,0,0.8574,4.951
50,2016-11-26,07:15:00,0,0.8580,4.952
51,2016-11-26,07:30:00,0,0.8571,4.970
52,2016-11-26,07:45:00,0,0.8570,4.960
53,2016-11-26,08:00:00,0,0.8549,4.953
54,2016-11-26,08:15:00,0,0.8560,4.982
55,2016-11-26,08:30:00,0,0.8559,4.981
56,2016-11-26,08:45:00,0,0.8564,4.984
57,2016-11-26,09:00:00,0,0.8563,4.989
58,2016-11-26,09:15:00,0,0.8567,4.990
59,2016-11-26,09:30:00,0,0.8568,5.001
60,2016-11-26,09:45:00,0,0.8571,5.007
61,2016-11-26,10:00:00,0,0.8563,5.020
62,2016-11-26,10:15:00,0,0.8549,5.017
63,2016-11-26,10:30:00,0,0.8542,5.027
64,2016-11-26,10:45:00,0,0.8527,5.029
65,2016-11-26,11:00:00,0,0.8507,5.050
66,2016-11-26,11:15:00,0,0.8499,5.047
67,2016-11-26,11:30:00,0,0.8486,5.057
68,2016-11-26,11:45:00,0,0.8484,5.069
69,2016-11-26,12:00:00,0,0.8482,5.070
70,2016-11-26,12:15:00,0,0.8485,5.090
71,2016-11-26,12:30:00,0,0.8472,5.096
72,2016-11-26,12:45:00,0,0.8457,5.087
73,2016-11-26,13:00:00,0,0.8445,5.089
74,2016-11-26,13:15:00,0,0.8449,5.103
75,2016-11-26,13:30:00,0,0.8447,5.114
76,2016-11-26,13:45:00,0,0.8441,5.127
77,2016-11-26,14:00:00,0,0.8450,5.116
78,2016-11-26,14:15:00,0,0.8456,5.129
79,2016-11-26,14:30:00,0,0.8470,5.140
80,2016-11-26,14:45:00,0,0.8489,5.134
81,2016-11-26,15:00:00,0,0.8500,5.126
82,2016-11-26,15:15:00,0,0.8515,5.117
83,2016-11-26,15:30:00,0,0.8519,5.118
84,2016-11-26,15:45:00,0,0.8528,5.112
85,2016-11-26,16:00:00,0,0.8534,5.114
86,2016-11-26,16:15:00,0,0.8548,5.110
87,2016-11-26,16:30:00,0,0.8560,5.077
88,2016-11-26,16:45:00,0,0.8562,5.092
89,2016-11-26,17:00:00,0,0.8569,5.069
90,2016-11-26,17:15:00,0,0.8578,5.072
91,2016-11-26,17:30:00,0,0.8578,5.079
92,2016-11-26,17:45:00,0,0.8581,5.068
93,2016-11-26,18:00:00,0,0.8575,5.077
94,2016-11-26,18:15:00,0,0.8568,5.058
95,2016-11-26,18:30:00,0,0.8560,5.060
96,2016-11-26,18:45:00,0,0.8558,5.044
97,2016-11-26,19:00:00,0,0.8549,5.057
98,2016-11-26,19:15:00,0,0.8554,5.033
99,2016-11-26,19:30:00,0,0.8545,5.037
100,2016-11-26,19:45:00,0,0.8540,5.031
101,2016-11-26,20:00:00,0,0.8551,5.037
102,2016-11-26,20:15:00,0,0.8545,5.036
103,2016-11-26,20:30:00,0,0.8551,5.018
104,2016-11-26,20:45:00,0,0.8551,4.997
105,2016-11-26,21:00:00,0,0.8544,5.001
106,2016-11-26,21:15:00,0,0.8539,5.011
107,2016-11-26,21:30:00,0,0.8534,4.976
108,2016-11-26,21:45:00,0,0.8520,4.995
109,2016-11-26,22:00:00,0,0.8492,4.973
110,2016-11-26,22:15:00,0,0.8491,4.960
111,2016-11-26,22:30:00,0,0.8489,4.949
112,2016-11-26,22:45:00,0,0.8494,4.943
113,2016-11-26,23:00:00,0,0.8491,4.959
114,2016-11-26,23:15:00,0,0.8491,4.946
115,2016-11-26,23:30:00,0,0.8480,4.940
116,2016-11-26,23:45:00,0,0.8482,4.940
117,2016-11-27,00:00:00,0,0.8479,4.937
118,2016-11-27,00:15:00,0,0.8472,4.950
119,2016-11-27,00:30:00,0,0.8468,4.947
120,2016-11-27,00:45:00,0,0.8466,4.908
121,2016-11-27,01:00:00,0,0.8467,4.921
122,2016-11-27,01:15:00,0,0.8473,4.890
123,2016-11-27,01:30:00,0,0.8472,4.855
124,2016-11-27,01:45:00,0,0.8478,4.867
125,2016-11-27,02:00:00,0,0.8478,4.844
126,2016-11-27,02:15:00,0,0.8479,4.824
127,2016-11-27,02:30:00,0,0.8483,4.820
128,2016-11-27,02:45:00,0,0.8472,4.795
129,2016-11-27,03:00:00,0,0.8472,4.792
130,2016-11-27,03:15:00,0,0.8459,4.784
131,2016-11-27,03:30:00,0,0.8456,4.785
132,2016-11-27,03:45:00,0,0.8459,4.785
133,2016-11-27,04:00:00,0,0.8467,4.796
134,2016-11-27,04:15:00,0,0.8478,4.802
135,2016-11-27,04:30:00,0,0.8473,4.799
136,2016-11-27,04:45:00,0,0.8478,4.767
137,2016-11-27,05:00:00,0,0.8484,4.794
138,2016-11-27,05:15:00,0,0.8481,4.787
139,2016-11-27,05:30:00,0,0.8472,4.774
140,2016-11-27,05:45:00,0,0.8475,4.772
141,2016-11-27,06:00:00,0,0.8471,4.758
142,2016-11-27,06:15:00,0,0.8468,4.762
143,2016-11-27,06:30:00,0,0.8476,4.759
144,2016-11-27,06:45:00,0,0.8484,4.728
145,2016-11-27,07:00:00,0,0.8488,4.731
146,2016-11-27,07:15:00,0,0.8503,4.724
147,2016-11-27,07:30:00,0,0.8513,4.706
148,2016-11-27,07:45:00,0,0.8508,4.719
149,2016-11-27,08:00:00,0,0.8511,4.725
150,2016-11-27,08:15:00,0,0.8503,4.747
151,2016-11-27,08:30:00,0,0.8501,4.750
152,2016-11-27,08:45:00,0,0.8498,4.749
153,2016-11-27,09:00:00,0,0.8499,4.770
154,2016-11-27,09:15:00,0,0.8497,4.785
155,2016-11-27,09:30:00,0,0.8499,4.790
156,2016-11-27,09:45:00,0,0.8499,4.797
157,2016-11-27,10:00:00,0,0.8505,4.809
158,2016-11-27,10:15:00,0,0.8505,4.822
159,2016-11-27,10:30:00,0,0.8497,4.826
160,2016-11-27,10:45:00,0,0.8490,4.834
161,2016-11-27,11:00:00,0,0.8483,4.864
162,2016-11-27,11:15:00,0,0.8460,4.847
163,2016-11-27,11:30:00,0,0.8435,4.855
164,2016-11-27,11:45:00,0,0.8423,4.859
165,2016-11-27,12:00:00,0,0.8412,4.867
166,2016-11-27,12:15:00,0,0.8400,4.872
167,2016-11-27,12:30:00,0,0.8395,4.888
168,2016-11-27,12:45:00,0,0.8385,4.897
169,2016-11-27,13:00:00,0,0.8386,4.892
170,2016-11-27,13:15:00,0,0.8381,4.889
171,2016-11-27,13:30:00,0,0.8399,4.897
172,2016-11-27,13:45:00,0,0.8399,4.900
173,2016-11-27,14:00:00,0,0.8407,4.891
174,2016-11-27,14:15:00,0,0.8404,4.883
175,2016-11-27,14:30:00,0,0.8414,4.904
176,2016-11-27,14:45:00,0,0.8423,4.890
177,2016-11-27,15:00:00,0,0.8432,4.890
178,2016-11-27,15:15:00,0,0.8439,4.897
179,2016-11-27,15:30:00,0,0.8427,4.874
180,2016-11-27,15:45:00,0,0.8441,4.856
181,2016-11-27,16:00:00,0,0.8454,4.877
182,2016-11-27,16:15:00,0,0.8455,4.850
183,2016-11-27,16:30:00,0,0.8464,4.850
184,2016-11-27,16:45:00,0,0.8472,4.840
185,2016-11-27,17:00:00,0,0.8474,4.841
186,2016-11-27,17:15:00,0,0.8483,4.824
187,2016-11-27,17:30:00,0,0.8489,4.811
188,2016-11-27,17:45:00,0,0.8494,4.795
189,2016-11-27,18:00:00,0,0.8503,4.796
190,2016-11-27,18:15:00,0,0.8507,4.781
191,2016-11-27,18:30:00,0,0.8503,4.760
192,2016-11-27,18:45:00,0,0.8509,4.769
193,2016-11-27,19:00:00,0,0.8519,4.794
194,2016-11-27,19:15:00,0,0.8514,4.744
195,2016-11-27,19:30:00,0,0.8513,4.775
196,2016-11-27,19:45:00,0,0.8519,4.756
197,2016-11-27,20:00:00,0,0.8518,4.743
198,2016-11-27,20:15:00,0,0.8520,4.737
199,2016-11-27,20:30:00,0,0.8528,4.744
200,2016-11-27,20:45:00,0,0.8530,4.733
201,2016-11-27,21:00:00,0,0.8530,4.719
202,2016-11-27,21:15:00,0,0.8545,4.732
203,2016-11-27,21:30:00,0,0.8541,4.727
204,2016-11-27,21:45:00,0,0.8538,4.718
205,2016-11-27,22:00:00,0,0.8561,4.712
206,2016-11-27,22:15:00,0,0.8561,4.711
207,2016-11-27,22:30:00,0,0.8562,4.681
208,2016-11-27,22:45:00,0,0.8573,4.698
209,2016-11-27,23:00:00,0,0.8594,4.687
210,2016-11-27,23:15:00,0,0.8606,4.664
211,2016-11-27,23:30:00,0,0.8599,4.679
212,2016-11-27,23:45:00,0,0.8597,4.682
213,2016-11-28,00:00:00,0,0.8606,4.666
214,2016-11-28,00:15:00,0,0.8615,4.648
215,2016-11-28,00:30:00,0,0.8623,4.645
216,2016-11-28,00:45:00,0,0.8632,4.678
217,2016-11-28,01:00:00,0,0.8618,4.632
218,2016-11-28,01:15:00,0,0.8628,4.652
