Serial Number
	1056534
Project ID
	03040010
Location
	St-Jean/St-Blaise_Baro
LEVEL
	Unit
		m
	Offset
		0.00      m
	Altitude
		32        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-02,19:00:00,0,0.6637,10.176
2,2017-05-02,19:15:00,0,0.6635,10.157
3,2017-05-02,19:30:00,0,0.6624,10.143
4,2017-05-02,19:45:00,0,0.6600,10.133
5,2017-05-02,20:00:00,0,0.6626,10.125
6,2017-05-02,20:15:00,0,0.6642,10.118
7,2017-05-02,20:30:00,0,0.6647,10.111
8,2017-05-02,20:45:00,0,0.6677,10.100
9,2017-05-02,21:00:00,0,0.6704,10.088
10,2017-05-02,21:15:00,0,0.6717,10.077
11,2017-05-02,21:30:00,0,0.6742,10.065
12,2017-05-02,21:45:00,0,0.6758,10.050
13,2017-05-02,22:00:00,0,0.6763,10.035
14,2017-05-02,22:15:00,0,0.6762,10.017
15,2017-05-02,22:30:00,0,0.6765,10.000
16,2017-05-02,22:45:00,0,0.6760,9.985
17,2017-05-02,23:00:00,0,0.6755,9.972
18,2017-05-02,23:15:00,0,0.6751,9.958
19,2017-05-02,23:30:00,0,0.6743,9.940
20,2017-05-02,23:45:00,0,0.6745,9.929
21,2017-05-03,00:00:00,0,0.6747,9.914
22,2017-05-03,00:15:00,0,0.6750,9.900
23,2017-05-03,00:30:00,0,0.6756,9.881
24,2017-05-03,00:45:00,0,0.6760,9.862
25,2017-05-03,01:00:00,0,0.6752,9.846
26,2017-05-03,01:15:00,0,0.6757,9.827
27,2017-05-03,01:30:00,0,0.6768,9.812
28,2017-05-03,01:45:00,0,0.6758,9.797
29,2017-05-03,02:00:00,0,0.6771,9.785
30,2017-05-03,02:15:00,0,0.6781,9.771
31,2017-05-03,02:30:00,0,0.6779,9.764
32,2017-05-03,02:45:00,0,0.6773,9.760
33,2017-05-03,03:00:00,0,0.6793,9.750
34,2017-05-03,03:15:00,0,0.6813,9.730
35,2017-05-03,03:30:00,0,0.6831,9.711
36,2017-05-03,03:45:00,0,0.6860,9.677
37,2017-05-03,04:00:00,0,0.6885,9.648
38,2017-05-03,04:15:00,0,0.6896,9.625
39,2017-05-03,04:30:00,0,0.6907,9.610
40,2017-05-03,04:45:00,0,0.6943,9.598
41,2017-05-03,05:00:00,0,0.6948,9.586
42,2017-05-03,05:15:00,0,0.6968,9.575
43,2017-05-03,05:30:00,0,0.6982,9.567
44,2017-05-03,05:45:00,0,0.6998,9.556
45,2017-05-03,06:00:00,0,0.7023,9.534
46,2017-05-03,06:15:00,0,0.7068,9.519
47,2017-05-03,06:30:00,0,0.7101,9.510
48,2017-05-03,06:45:00,0,0.7113,9.510
49,2017-05-03,07:00:00,0,0.7132,9.510
50,2017-05-03,07:15:00,0,0.7157,9.515
51,2017-05-03,07:30:00,0,0.7186,9.519
52,2017-05-03,07:45:00,0,0.7217,9.524
53,2017-05-03,08:00:00,0,0.7244,9.529
54,2017-05-03,08:15:00,0,0.7253,9.540
55,2017-05-03,08:30:00,0,0.7295,9.540
56,2017-05-03,08:45:00,0,0.7311,9.534
57,2017-05-03,09:00:00,0,0.7332,9.520
58,2017-05-03,09:15:00,0,0.7355,9.533
59,2017-05-03,09:30:00,0,0.7386,9.547
60,2017-05-03,09:45:00,0,0.7419,9.554
61,2017-05-03,10:00:00,0,0.7454,9.536
62,2017-05-03,10:15:00,0,0.7473,9.539
63,2017-05-03,10:30:00,0,0.7502,9.551
64,2017-05-03,10:45:00,0,0.7548,9.561
65,2017-05-03,11:00:00,0,0.7581,9.548
66,2017-05-03,11:15:00,0,0.7608,9.548
67,2017-05-03,11:30:00,0,0.7630,9.534
68,2017-05-03,11:45:00,0,0.7652,9.521
69,2017-05-03,12:00:00,0,0.7678,9.518
70,2017-05-03,12:15:00,0,0.7713,9.511
71,2017-05-03,12:30:00,0,0.7727,9.491
72,2017-05-03,12:45:00,0,0.7758,9.473
73,2017-05-03,13:00:00,0,0.7788,9.462
74,2017-05-03,13:15:00,0,0.7826,9.449
75,2017-05-03,13:30:00,0,0.7840,9.437
76,2017-05-03,13:45:00,0,0.7870,9.432
77,2017-05-03,14:00:00,0,0.7898,9.435
78,2017-05-03,14:15:00,0,0.7929,9.437
79,2017-05-03,14:30:00,0,0.7954,9.432
80,2017-05-03,14:45:00,0,0.7980,9.443
81,2017-05-03,15:00:00,0,0.8013,9.453
