Serial Number
	1056671
Project ID
	03030005
Location
	Saint-Theodore d'Acton
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		110       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-23,19:00:00,0,93.7130,9.458
2,2016-11-23,19:15:00,0,93.7892,9.458
3,2016-11-23,19:30:00,0,93.9137,9.456
4,2016-11-23,19:45:00,0,93.9652,9.456
5,2016-11-23,20:00:00,0,94.1068,9.456
6,2016-11-23,20:15:00,0,94.1744,9.456
7,2016-11-23,20:30:00,0,94.0360,9.454
8,2016-11-23,20:45:00,0,94.1282,9.454
9,2016-11-23,21:00:00,0,94.0285,9.454
10,2016-11-23,21:15:00,0,94.1948,9.453
11,2016-11-23,21:30:00,0,94.2582,9.453
12,2016-11-23,21:45:00,0,94.3826,9.452
13,2016-11-23,22:00:00,0,94.5661,9.452
14,2016-11-23,22:15:00,0,94.6541,9.452
15,2016-11-23,22:30:00,0,94.8204,9.452
16,2016-11-23,22:45:00,0,94.9267,9.452
17,2016-11-23,23:00:00,0,94.9996,9.450
18,2016-11-23,23:15:00,0,99.4785,9.421
19,2016-11-23,23:30:00,0,104.1540,9.404
20,2016-11-23,23:45:00,0,108.5250,9.391
21,2016-11-24,00:00:00,0,112.7690,9.387
22,2016-11-24,00:15:00,0,116.6750,9.385
23,2016-11-24,00:30:00,0,120.7270,9.377
24,2016-11-24,00:45:00,0,125.0600,9.375
25,2016-11-24,01:00:00,0,129.6050,9.367
26,2016-11-24,01:15:00,0,134.4340,9.365
27,2016-11-24,01:30:00,0,139.6270,9.357
28,2016-11-24,01:45:00,0,145.0490,9.352
29,2016-11-24,02:00:00,0,150.4930,9.345
30,2016-11-24,02:15:00,0,156.0960,9.341
31,2016-11-24,02:30:00,0,161.1230,9.335
32,2016-11-24,02:45:00,0,165.8360,9.334
33,2016-11-24,03:00:00,0,169.9170,9.334
34,2016-11-24,03:15:00,0,173.6470,9.332
35,2016-11-24,03:30:00,0,177.3190,9.335
36,2016-11-24,03:45:00,0,181.3800,9.333
37,2016-11-24,04:00:00,0,185.6270,9.334
38,2016-11-24,04:15:00,0,190.0620,9.334
39,2016-11-24,04:30:00,0,194.3730,9.330
40,2016-11-24,04:45:00,0,198.6470,9.330
41,2016-11-24,05:00:00,0,202.8030,9.328
42,2016-11-24,05:15:00,0,206.7050,9.325
43,2016-11-24,05:30:00,0,209.7520,9.329
44,2016-11-24,05:45:00,0,212.0170,9.335
45,2016-11-24,06:00:00,0,214.0560,9.339
46,2016-11-24,06:15:00,0,215.2780,9.342
47,2016-11-24,06:30:00,0,215.7270,9.347
48,2016-11-24,06:45:00,0,215.0990,9.354
49,2016-11-24,07:00:00,0,213.8280,9.365
50,2016-11-24,07:15:00,0,211.9780,9.374
51,2016-11-24,07:30:00,0,209.7320,9.385
52,2016-11-24,07:45:00,0,206.8920,9.396
53,2016-11-24,08:00:00,0,203.4390,9.407
54,2016-11-24,08:15:00,0,199.1780,9.419
55,2016-11-24,08:30:00,0,193.7400,9.432
56,2016-11-24,08:45:00,0,187.2480,9.447
57,2016-11-24,09:00:00,0,180.2420,9.465
58,2016-11-24,09:15:00,0,172.6650,9.481
59,2016-11-24,09:30:00,0,164.8300,9.497
60,2016-11-24,09:45:00,0,156.7200,9.509
61,2016-11-24,10:00:00,0,148.5400,9.524
62,2016-11-24,10:15:00,0,140.4810,9.539
63,2016-11-24,10:30:00,0,132.6700,9.550
64,2016-11-24,10:45:00,0,125.5970,9.556
65,2016-11-24,11:00:00,0,118.7740,9.565
66,2016-11-24,11:15:00,0,112.2910,9.571
67,2016-11-24,11:30:00,0,105.5690,9.580
68,2016-11-24,11:45:00,0,98.9615,9.587
69,2016-11-24,12:00:00,0,92.7752,9.556
70,2016-11-24,12:15:00,0,92.5542,9.515
71,2016-11-24,12:30:00,0,92.4340,9.500
72,2016-11-24,12:45:00,0,92.2774,9.491
73,2016-11-24,13:00:00,0,92.1625,9.482
74,2016-11-24,13:15:00,0,92.1089,9.478
75,2016-11-24,13:30:00,0,92.0016,9.473
76,2016-11-24,13:45:00,0,91.9157,9.471
77,2016-11-24,14:00:00,0,91.8481,9.469
78,2016-11-24,14:15:00,0,91.7794,9.468
79,2016-11-24,14:30:00,0,91.8395,9.465
80,2016-11-24,14:45:00,0,91.8320,9.463
81,2016-11-24,15:00:00,0,91.7590,9.463
82,2016-11-24,15:15:00,0,91.6635,9.462
83,2016-11-24,15:30:00,0,91.7998,9.463
84,2016-11-24,15:45:00,0,91.7086,9.459
85,2016-11-24,16:00:00,0,91.5895,9.459
86,2016-11-24,16:15:00,0,91.4993,9.457
87,2016-11-24,16:30:00,0,91.5830,9.460
88,2016-11-24,16:45:00,0,91.6410,9.458
89,2016-11-24,17:00:00,0,91.7741,9.456
90,2016-11-24,17:15:00,0,91.7215,9.458
91,2016-11-24,17:30:00,0,91.7344,9.456
92,2016-11-24,17:45:00,0,91.7193,9.455
93,2016-11-24,18:00:00,0,91.6978,9.456
94,2016-11-24,18:15:00,0,91.6978,9.457
95,2016-11-24,18:30:00,0,91.7258,9.455
96,2016-11-24,18:45:00,0,91.7203,9.454
97,2016-11-24,19:00:00,0,91.6786,9.454
98,2016-11-24,19:15:00,0,91.7021,9.454
99,2016-11-24,19:30:00,0,91.7193,9.454
100,2016-11-24,19:45:00,0,91.7011,9.453
101,2016-11-24,20:00:00,0,91.6581,9.454
102,2016-11-24,20:15:00,0,91.6700,9.455
103,2016-11-24,20:30:00,0,91.6688,9.454
104,2016-11-24,20:45:00,0,91.6796,9.455
105,2016-11-24,21:00:00,0,91.6571,9.454
106,2016-11-24,21:15:00,0,91.6517,9.453
107,2016-11-24,21:30:00,0,91.5508,9.453
108,2016-11-24,21:45:00,0,91.5402,9.453
109,2016-11-24,22:00:00,0,91.4854,9.455
