Serial Number
	1056671
Project ID
	03030005
Location
	Saint-Theodore d'Acton
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		110       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-01,19:00:00,0,71.5816,8.001
2,2017-05-01,19:15:00,0,71.2126,7.998
3,2017-05-01,19:30:00,0,71.0237,7.998
4,2017-05-01,19:45:00,0,70.5506,7.994
5,2017-05-01,20:00:00,0,70.4283,7.993
6,2017-05-01,20:15:00,0,69.7168,7.990
7,2017-05-01,20:30:00,0,69.2169,7.990
8,2017-05-01,20:45:00,0,68.9820,7.989
9,2017-05-01,21:00:00,0,69.1482,7.984
10,2017-05-01,21:15:00,0,69.2373,7.984
11,2017-05-01,21:30:00,0,69.2823,7.985
12,2017-05-01,21:45:00,0,69.7211,7.986
13,2017-05-01,22:00:00,0,71.9894,7.984
14,2017-05-01,22:15:00,0,71.5441,8.028
15,2017-05-01,22:30:00,0,75.4238,8.193
16,2017-05-01,22:45:00,0,79.1747,8.239
17,2017-05-01,23:00:00,0,83.2605,8.240
18,2017-05-01,23:15:00,0,87.8635,8.239
19,2017-05-01,23:30:00,0,93.1885,8.238
20,2017-05-01,23:45:00,0,97.9889,8.233
21,2017-05-02,00:00:00,0,102.5420,8.222
22,2017-05-02,00:15:00,0,107.2860,8.214
23,2017-05-02,00:30:00,0,111.4160,8.209
24,2017-05-02,00:45:00,0,117.9130,8.198
25,2017-05-02,01:00:00,0,124.0110,8.185
26,2017-05-02,01:15:00,0,129.7430,8.182
27,2017-05-02,01:30:00,0,135.0840,8.161
28,2017-05-02,01:45:00,0,139.9180,8.151
29,2017-05-02,02:00:00,0,144.9480,8.135
30,2017-05-02,02:15:00,0,148.5100,8.118
31,2017-05-02,02:30:00,0,153.9540,8.113
32,2017-05-02,02:45:00,0,159.8140,8.104
33,2017-05-02,03:00:00,0,164.7060,8.095
34,2017-05-02,03:15:00,0,170.6090,8.109
35,2017-05-02,03:30:00,0,176.4690,8.083
36,2017-05-02,03:45:00,0,181.9750,8.067
37,2017-05-02,04:00:00,0,187.1540,8.097
38,2017-05-02,04:15:00,0,192.0750,8.032
39,2017-05-02,04:30:00,0,196.4460,8.082
40,2017-05-02,04:45:00,0,200.2400,8.038
41,2017-05-02,05:00:00,0,204.2330,8.067
42,2017-05-02,05:15:00,0,208.0560,8.096
43,2017-05-02,05:30:00,0,212.2710,8.043
44,2017-05-02,05:45:00,0,216.5080,8.057
45,2017-05-02,06:00:00,0,220.6410,8.093
46,2017-05-02,06:15:00,0,224.6160,8.034
47,2017-05-02,06:30:00,0,228.3670,8.040
48,2017-05-02,06:45:00,0,231.7570,8.027
49,2017-05-02,07:00:00,0,234.6650,8.021
50,2017-05-02,07:15:00,0,236.4920,8.011
51,2017-05-02,07:30:00,0,237.3280,7.996
52,2017-05-02,07:45:00,0,237.1310,8.004
53,2017-05-02,08:00:00,0,235.8870,8.030
54,2017-05-02,08:15:00,0,234.1790,7.967
55,2017-05-02,08:30:00,0,231.9660,8.004
56,2017-05-02,08:45:00,0,229.2650,7.971
57,2017-05-02,09:00:00,0,226.7250,7.963
58,2017-05-02,09:15:00,0,224.3780,7.985
59,2017-05-02,09:30:00,0,222.1160,7.976
60,2017-05-02,09:45:00,0,219.3470,7.989
61,2017-05-02,10:00:00,0,215.3640,7.980
62,2017-05-02,10:15:00,0,211.8210,7.984
63,2017-05-02,10:30:00,0,208.0510,7.989
64,2017-05-02,10:45:00,0,203.8370,7.990
65,2017-05-02,11:00:00,0,199.5410,8.032
66,2017-05-02,11:15:00,0,195.5560,8.033
