Serial Number
	1056721
Project ID
	03040013
Location
	Frelighsburg
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		99        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2016-11-25,19:00:00,0,594.2390,6.327
2,2016-11-25,19:15:00,0,594.2220,6.329
3,2016-11-25,19:30:00,0,594.0031,6.329
4,2016-11-25,19:45:00,0,594.0681,6.328
5,2016-11-25,20:00:00,0,593.9150,6.329
6,2016-11-25,20:15:00,0,593.8860,6.329
7,2016-11-25,20:30:00,0,593.8610,6.329
8,2016-11-25,20:45:00,0,593.8571,6.330
9,2016-11-25,21:00:00,0,593.9780,6.330
10,2016-11-25,21:15:00,0,593.7980,6.328
11,2016-11-25,21:30:00,0,593.7640,6.329
12,2016-11-25,21:45:00,0,593.9050,6.329
13,2016-11-25,22:00:00,0,593.6630,6.328
14,2016-11-25,22:15:00,0,593.6680,6.329
15,2016-11-25,22:30:00,0,593.7850,6.329
16,2016-11-25,22:45:00,0,593.8720,6.331
17,2016-11-25,23:00:00,0,594.0811,6.329
18,2016-11-25,23:15:00,0,593.8280,6.331
19,2016-11-25,23:30:00,0,593.8000,6.327
20,2016-11-25,23:45:00,0,593.7370,6.328
21,2016-11-26,00:00:00,0,593.8120,6.327
22,2016-11-26,00:15:00,0,593.6010,6.328
23,2016-11-26,00:30:00,0,593.7250,6.328
24,2016-11-26,00:45:00,0,593.7420,6.329
25,2016-11-26,01:00:00,0,593.8720,6.328
26,2016-11-26,01:15:00,0,593.9870,6.330
27,2016-11-26,01:30:00,0,593.9580,6.325
28,2016-11-26,01:45:00,0,594.0830,6.330
29,2016-11-26,02:00:00,0,594.3740,6.330
30,2016-11-26,02:15:00,0,594.4041,6.327
31,2016-11-26,02:30:00,0,594.4790,6.329
32,2016-11-26,02:45:00,0,594.3540,6.330
33,2016-11-26,03:00:00,0,594.3110,6.330
34,2016-11-26,03:15:00,0,594.4060,6.330
35,2016-11-26,03:30:00,0,594.4500,6.328
36,2016-11-26,03:45:00,0,594.5840,6.331
37,2016-11-26,04:00:00,0,594.6620,6.329
38,2016-11-26,04:15:00,0,594.5490,6.331
39,2016-11-26,04:30:00,0,594.7160,6.328
40,2016-11-26,04:45:00,0,594.6940,6.328
41,2016-11-26,05:00:00,0,595.0190,6.330
42,2016-11-26,05:15:00,0,595.5400,6.327
43,2016-11-26,05:30:00,0,595.5811,6.327
44,2016-11-26,05:45:00,0,595.5980,6.329
45,2016-11-26,06:00:00,0,595.5360,6.327
46,2016-11-26,06:15:00,0,595.5670,6.328
47,2016-11-26,06:30:00,0,595.7390,6.329
48,2016-11-26,06:45:00,0,595.7510,6.328
49,2016-11-26,07:00:00,0,595.9041,6.329
50,2016-11-26,07:15:00,0,596.1080,6.330
51,2016-11-26,07:30:00,0,596.1010,6.331
52,2016-11-26,07:45:00,0,596.0681,6.328
53,2016-11-26,08:00:00,0,596.2240,6.329
54,2016-11-26,08:15:00,0,596.0780,6.329
55,2016-11-26,08:30:00,0,596.1440,6.326
56,2016-11-26,08:45:00,0,596.5050,6.330
57,2016-11-26,09:00:00,0,596.3880,6.327
58,2016-11-26,09:15:00,0,596.4901,6.328
59,2016-11-26,09:30:00,0,596.6940,6.327
60,2016-11-26,09:45:00,0,596.8740,6.329
61,2016-11-26,10:00:00,0,596.7570,6.328
62,2016-11-26,10:15:00,0,596.6400,6.328
63,2016-11-26,10:30:00,0,596.6671,6.330
64,2016-11-26,10:45:00,0,596.4200,6.329
65,2016-11-26,11:00:00,0,596.2120,6.329
66,2016-11-26,11:15:00,0,596.1740,6.326
67,2016-11-26,11:30:00,0,596.2800,6.328
68,2016-11-26,11:45:00,0,596.0930,6.330
69,2016-11-26,12:00:00,0,596.1560,6.328
70,2016-11-26,12:15:00,0,596.0280,6.328
71,2016-11-26,12:30:00,0,595.9221,6.331
72,2016-11-26,12:45:00,0,595.7570,6.329
73,2016-11-26,13:00:00,0,595.7170,6.329
74,2016-11-26,13:15:00,0,595.6580,6.328
75,2016-11-26,13:30:00,0,595.5640,6.328
76,2016-11-26,13:45:00,0,595.3660,6.329
77,2016-11-26,14:00:00,0,595.2570,6.330
78,2016-11-26,14:15:00,0,595.1220,6.327
79,2016-11-26,14:30:00,0,594.9120,6.326
80,2016-11-26,14:45:00,0,594.7110,6.328
81,2016-11-26,15:00:00,0,594.5770,6.327
82,2016-11-26,15:15:00,0,594.5280,6.328
83,2016-11-26,15:30:00,0,594.3510,6.329
84,2016-11-26,15:45:00,0,594.3030,6.328
85,2016-11-26,16:00:00,0,594.0790,6.328
86,2016-11-26,16:15:00,0,594.0390,6.329
87,2016-11-26,16:30:00,0,594.0370,6.328
88,2016-11-26,16:45:00,0,593.8781,6.329
89,2016-11-26,17:00:00,0,593.7420,6.329
90,2016-11-26,17:15:00,0,593.5551,6.329
91,2016-11-26,17:30:00,0,593.3240,6.328
92,2016-11-26,17:45:00,0,593.0660,6.329
93,2016-11-26,18:00:00,0,592.9700,6.328
94,2016-11-26,18:15:00,0,592.6201,6.327
95,2016-11-26,18:30:00,0,592.5260,6.326
96,2016-11-26,18:45:00,0,592.3080,6.328
97,2016-11-26,19:00:00,0,591.9320,6.329
98,2016-11-26,19:15:00,0,591.7670,6.329
99,2016-11-26,19:30:00,0,591.3980,6.330
100,2016-11-26,19:45:00,0,591.2260,6.328
