Serial Number
	1056721
Project ID
	03040013
Location
	Frelighsburg
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		99        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2017-05-03,19:00:00,0,655.5601,6.460
2,2017-05-03,19:15:00,0,655.8080,6.461
3,2017-05-03,19:30:00,0,655.8870,6.461
4,2017-05-03,19:45:00,0,656.0790,6.461
5,2017-05-03,20:00:00,0,656.1121,6.459
6,2017-05-03,20:15:00,0,656.3450,6.461
7,2017-05-03,20:30:00,0,656.6510,6.461
8,2017-05-03,20:45:00,0,657.0100,6.461
9,2017-05-03,21:00:00,0,657.3120,6.462
10,2017-05-03,21:15:00,0,657.5540,6.461
11,2017-05-03,21:30:00,0,657.8710,6.461
12,2017-05-03,21:45:00,0,658.3280,6.460
13,2017-05-03,22:00:00,0,658.6300,6.461
14,2017-05-03,22:15:00,0,658.7321,6.461
15,2017-05-03,22:30:00,0,659.2111,6.461
16,2017-05-03,22:45:00,0,659.4351,6.462
17,2017-05-03,23:00:00,0,660.0620,6.462
18,2017-05-03,23:15:00,0,660.4951,6.462
19,2017-05-03,23:30:00,0,660.8190,6.461
20,2017-05-03,23:45:00,0,660.9520,6.461
21,2017-05-04,00:00:00,0,661.0081,6.461
22,2017-05-04,00:15:00,0,661.3470,6.462
23,2017-05-04,00:30:00,0,661.6381,6.461
24,2017-05-04,00:45:00,0,661.8120,6.461
25,2017-05-04,01:00:00,0,661.7300,6.462
26,2017-05-04,01:15:00,0,662.1660,6.461
27,2017-05-04,01:30:00,0,662.2531,6.461
28,2017-05-04,01:45:00,0,662.1490,6.462
29,2017-05-04,02:00:00,0,662.6981,6.461
30,2017-05-04,02:15:00,0,662.9960,6.461
31,2017-05-04,02:30:00,0,663.1010,6.461
32,2017-05-04,02:45:00,0,663.2470,6.461
33,2017-05-04,03:00:00,0,663.2070,6.463
34,2017-05-04,03:15:00,0,663.3810,6.461
35,2017-05-04,03:30:00,0,663.4380,6.461
36,2017-05-04,03:45:00,0,663.3970,6.462
37,2017-05-04,04:00:00,0,663.4830,6.460
38,2017-05-04,04:15:00,0,663.6750,6.459
39,2017-05-04,04:30:00,0,663.6680,6.461
40,2017-05-04,04:45:00,0,664.0300,6.460
41,2017-05-04,05:00:00,0,664.2030,6.460
42,2017-05-04,05:15:00,0,664.2420,6.461
43,2017-05-04,05:30:00,0,664.6021,6.460
44,2017-05-04,05:45:00,0,664.7330,6.460
45,2017-05-04,06:00:00,0,664.7010,6.461
46,2017-05-04,06:15:00,0,664.9600,6.460
47,2017-05-04,06:30:00,0,665.1000,6.461
48,2017-05-04,06:45:00,0,665.6360,6.463
