Serial Number
	1056737
Project ID
	03030010
Location
	Valcourt
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		210       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-23,13:00:00,0,681.2420,8.750
2,2016-11-23,13:15:00,0,681.4330,8.751
3,2016-11-23,13:30:00,0,681.8850,8.754
4,2016-11-23,13:45:00,0,681.8420,8.755
5,2016-11-23,14:00:00,0,682.0850,8.756
6,2016-11-23,14:15:00,0,682.1331,8.757
7,2016-11-23,14:30:00,0,682.2401,8.759
8,2016-11-23,14:45:00,0,682.3090,8.762
9,2016-11-23,15:00:00,0,682.3781,8.766
10,2016-11-23,15:15:00,0,682.3911,8.769
11,2016-11-23,15:30:00,0,682.5220,8.771
12,2016-11-23,15:45:00,0,682.7020,8.773
13,2016-11-23,16:00:00,0,682.7150,8.775
14,2016-11-23,16:15:00,0,682.6931,8.776
15,2016-11-23,16:30:00,0,682.6990,8.778
16,2016-11-23,16:45:00,0,682.8101,8.779
17,2016-11-23,17:00:00,0,682.7111,8.779
18,2016-11-23,17:15:00,0,682.7290,8.780
19,2016-11-23,17:30:00,0,682.7260,8.781
20,2016-11-23,17:45:00,0,682.6610,8.781
21,2016-11-23,18:00:00,0,682.4210,8.782
22,2016-11-23,18:15:00,0,682.3320,8.783
23,2016-11-23,18:30:00,0,682.2300,8.783
24,2016-11-23,18:45:00,0,682.3500,8.783
25,2016-11-23,19:00:00,0,682.2690,8.784
26,2016-11-23,19:15:00,0,682.4670,8.784
27,2016-11-23,19:30:00,0,682.4190,8.784
28,2016-11-23,19:45:00,0,682.7581,8.784
29,2016-11-23,20:00:00,0,682.6440,8.785
30,2016-11-23,20:15:00,0,682.8420,8.784
31,2016-11-23,20:30:00,0,682.9370,8.785
32,2016-11-23,20:45:00,0,682.9650,8.785
33,2016-11-23,21:00:00,0,682.9830,8.785
34,2016-11-23,21:15:00,0,683.0980,8.784
35,2016-11-23,21:30:00,0,683.1560,8.785
36,2016-11-23,21:45:00,0,683.2700,8.785
37,2016-11-23,22:00:00,0,683.5770,8.786
38,2016-11-23,22:15:00,0,683.7740,8.785
39,2016-11-23,22:30:00,0,683.9240,8.785
40,2016-11-23,22:45:00,0,684.1390,8.785
41,2016-11-23,23:00:00,0,684.2950,8.784
