Serial Number
	1056738
Project ID
	03030004
Location
	Saint-Simon
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		67        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-24,13:00:00,0,585.7610,7.698
2,2016-11-24,13:15:00,0,585.8530,7.698
3,2016-11-24,13:30:00,0,585.8521,7.698
4,2016-11-24,13:45:00,0,585.8560,7.697
5,2016-11-24,14:00:00,0,585.8230,7.697
6,2016-11-24,14:15:00,0,585.8651,7.697
7,2016-11-24,14:30:00,0,585.9570,7.697
8,2016-11-24,14:45:00,0,586.0291,7.697
9,2016-11-24,15:00:00,0,586.0310,7.697
10,2016-11-24,15:15:00,0,586.1400,7.696
11,2016-11-24,15:30:00,0,586.1541,7.696
12,2016-11-24,15:45:00,0,586.1610,7.697
13,2016-11-24,16:00:00,0,586.1860,7.696
14,2016-11-24,16:15:00,0,586.2620,7.695
15,2016-11-24,16:30:00,0,586.3790,7.696
16,2016-11-24,16:45:00,0,586.4530,7.696
17,2016-11-24,17:00:00,0,586.3330,7.696
18,2016-11-24,17:15:00,0,586.3510,7.697
19,2016-11-24,17:30:00,0,586.3630,7.696
20,2016-11-24,17:45:00,0,586.3620,7.697
21,2016-11-24,18:00:00,0,586.2350,7.697
22,2016-11-24,18:15:00,0,586.2780,7.697
23,2016-11-24,18:30:00,0,586.1760,7.697
24,2016-11-24,18:45:00,0,586.1580,7.698
25,2016-11-24,19:00:00,0,586.0600,7.698
26,2016-11-24,19:15:00,0,586.0480,7.698
27,2016-11-24,19:30:00,0,585.9740,7.698
28,2016-11-24,19:45:00,0,585.7570,7.698
29,2016-11-24,20:00:00,0,585.6900,7.698
30,2016-11-24,20:15:00,0,585.5230,7.698
31,2016-11-24,20:30:00,0,585.4691,7.699
32,2016-11-24,20:45:00,0,585.4050,7.699
33,2016-11-24,21:00:00,0,585.2770,7.699
34,2016-11-24,21:15:00,0,585.1750,7.699
35,2016-11-24,21:30:00,0,585.1400,7.699
36,2016-11-24,21:45:00,0,585.0320,7.699
37,2016-11-24,22:00:00,0,584.9360,7.699
38,2016-11-24,22:15:00,0,584.8311,7.699
39,2016-11-24,22:30:00,0,584.9080,7.699
40,2016-11-24,22:45:00,0,585.0590,7.699
41,2016-11-24,23:00:00,0,585.1740,7.699
42,2016-11-24,23:15:00,0,585.3160,7.699
