Serial Number
	1056738
Project ID
	03030004
Location
	Saint-Simon
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		67        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-02,13:00:00,0,576.2070,6.538
2,2017-05-02,13:15:00,0,576.0370,6.590
3,2017-05-02,13:30:00,0,575.9810,6.590
4,2017-05-02,13:45:00,0,575.8170,6.509
5,2017-05-02,14:00:00,0,575.5740,6.552
6,2017-05-02,14:15:00,0,575.6270,6.570
7,2017-05-02,14:30:00,0,575.4850,6.586
8,2017-05-02,14:45:00,0,575.5551,6.574
9,2017-05-02,15:00:00,0,575.3900,6.605
10,2017-05-02,15:15:00,0,575.2970,6.550
11,2017-05-02,15:30:00,0,575.0750,6.564
12,2017-05-02,15:45:00,0,575.0421,6.561
13,2017-05-02,16:00:00,0,575.0140,6.588
14,2017-05-02,16:15:00,0,574.8450,6.553
15,2017-05-02,16:30:00,0,574.8010,6.542
16,2017-05-02,16:45:00,0,574.7930,6.580
17,2017-05-02,17:00:00,0,574.7670,6.533
18,2017-05-02,17:15:00,0,574.7620,6.592
19,2017-05-02,17:30:00,0,574.8100,6.520
20,2017-05-02,17:45:00,0,574.9410,6.591
21,2017-05-02,18:00:00,0,574.9850,6.558
22,2017-05-02,18:15:00,0,575.2451,6.610
23,2017-05-02,18:30:00,0,575.3090,6.594
24,2017-05-02,18:45:00,0,575.5900,6.565
25,2017-05-02,19:00:00,0,575.7620,6.601
26,2017-05-02,19:15:00,0,575.9020,6.575
27,2017-05-02,19:30:00,0,575.8651,6.576
28,2017-05-02,19:45:00,0,575.7531,6.600
29,2017-05-02,20:00:00,0,575.8370,6.593
30,2017-05-02,20:15:00,0,575.9210,6.558
31,2017-05-02,20:30:00,0,576.0310,6.555
32,2017-05-02,20:45:00,0,576.2770,6.552
33,2017-05-02,21:00:00,0,576.4210,6.610
34,2017-05-02,21:15:00,0,576.6030,6.588
35,2017-05-02,21:30:00,0,576.7490,6.590
36,2017-05-02,21:45:00,0,576.8620,6.554
37,2017-05-02,22:00:00,0,576.9450,6.521
38,2017-05-02,22:15:00,0,576.9130,6.558
39,2017-05-02,22:30:00,0,576.8900,6.570
40,2017-05-02,22:45:00,0,576.9360,6.554
41,2017-05-02,23:00:00,0,577.0000,6.572
42,2017-05-02,23:15:00,0,577.0421,6.567
43,2017-05-02,23:30:00,0,576.9960,6.581
44,2017-05-02,23:45:00,0,577.0760,6.504
45,2017-05-03,00:00:00,0,577.1671,6.564
46,2017-05-03,00:15:00,0,577.2620,6.579
47,2017-05-03,00:30:00,0,577.3450,6.583
48,2017-05-03,00:45:00,0,577.3100,6.547
49,2017-05-03,01:00:00,0,577.3000,6.562
50,2017-05-03,01:15:00,0,577.4000,6.598
51,2017-05-03,01:30:00,0,577.3970,6.587
52,2017-05-03,01:45:00,0,577.3760,6.535
53,2017-05-03,02:00:00,0,577.4800,6.561
54,2017-05-03,02:15:00,0,577.2510,6.571
55,2017-05-03,02:30:00,0,577.4810,6.586
56,2017-05-03,02:45:00,0,577.4990,6.586
57,2017-05-03,03:00:00,0,577.7010,6.543
58,2017-05-03,03:15:00,0,577.8450,6.578
59,2017-05-03,03:30:00,0,577.9400,6.593
60,2017-05-03,03:45:00,0,578.1430,6.583
61,2017-05-03,04:00:00,0,578.3930,6.557
62,2017-05-03,04:15:00,0,578.5020,6.575
63,2017-05-03,04:30:00,0,578.7540,6.540
64,2017-05-03,04:45:00,0,578.8550,6.579
65,2017-05-03,05:00:00,0,578.9630,6.566
66,2017-05-03,05:15:00,0,579.2900,6.568
67,2017-05-03,05:30:00,0,579.5730,6.559
68,2017-05-03,05:45:00,0,579.7820,6.511
69,2017-05-03,06:00:00,0,580.0341,6.556
70,2017-05-03,06:15:00,0,580.2070,6.549
71,2017-05-03,06:30:00,0,580.5840,6.554
72,2017-05-03,06:45:00,0,580.8140,6.583
73,2017-05-03,07:00:00,0,580.9091,6.543
74,2017-05-03,07:15:00,0,581.1030,6.544
75,2017-05-03,07:30:00,0,581.3160,6.579
76,2017-05-03,07:45:00,0,581.4390,6.561
77,2017-05-03,08:00:00,0,581.5330,6.523
78,2017-05-03,08:15:00,0,581.5660,6.584
79,2017-05-03,08:30:00,0,581.7370,6.591
80,2017-05-03,08:45:00,0,581.9970,6.527
81,2017-05-03,09:00:00,0,582.1100,6.547
82,2017-05-03,09:15:00,0,582.2191,6.573
83,2017-05-03,09:30:00,0,582.4540,6.589
84,2017-05-03,09:45:00,0,582.7160,6.570
85,2017-05-03,10:00:00,0,582.8420,6.558
86,2017-05-03,10:15:00,0,582.9890,6.591
87,2017-05-03,10:30:00,0,583.1461,6.552
88,2017-05-03,10:45:00,0,583.4110,6.552
89,2017-05-03,11:00:00,0,583.7520,6.559
90,2017-05-03,11:15:00,0,584.1810,6.530
91,2017-05-03,11:30:00,0,584.2661,6.565
92,2017-05-03,11:45:00,0,584.3360,6.590
93,2017-05-03,12:00:00,0,584.5970,6.608
94,2017-05-03,12:15:00,0,584.7780,6.582
95,2017-05-03,12:30:00,0,584.9091,6.571
96,2017-05-03,12:45:00,0,585.0880,6.551
97,2017-05-03,13:00:00,0,585.1470,6.530
98,2017-05-03,13:15:00,0,585.2531,6.533
99,2017-05-03,13:30:00,0,585.6570,6.543
100,2017-05-03,13:45:00,0,585.7570,6.570
101,2017-05-03,14:00:00,0,586.1320,6.531
102,2017-05-03,14:15:00,0,586.3870,6.547
103,2017-05-03,14:30:00,0,586.4870,6.577
104,2017-05-03,14:45:00,0,586.4901,6.565
105,2017-05-03,15:00:00,0,586.6630,6.529
106,2017-05-03,15:15:00,0,586.7860,6.524
107,2017-05-03,15:30:00,0,586.8020,6.532
108,2017-05-03,15:45:00,0,587.0161,6.562
109,2017-05-03,16:00:00,0,587.0280,6.582
110,2017-05-03,16:15:00,0,587.1470,6.585
111,2017-05-03,16:30:00,0,587.1380,6.548
112,2017-05-03,16:45:00,0,587.3680,6.565
113,2017-05-03,17:00:00,0,587.3980,6.555
114,2017-05-03,17:15:00,0,587.6040,6.503
115,2017-05-03,17:30:00,0,587.5380,6.573
116,2017-05-03,17:45:00,0,587.7711,6.558
117,2017-05-03,18:00:00,0,587.8950,6.553
118,2017-05-03,18:15:00,0,587.9821,6.561
119,2017-05-03,18:30:00,0,588.1050,6.582
120,2017-05-03,18:45:00,0,588.1300,6.557
121,2017-05-03,19:00:00,0,588.2030,6.541
122,2017-05-03,19:15:00,0,588.3260,6.573
123,2017-05-03,19:30:00,0,588.4720,6.562
124,2017-05-03,19:45:00,0,588.5730,6.561
125,2017-05-03,20:00:00,0,588.8441,6.564
126,2017-05-03,20:15:00,0,588.9691,6.579
127,2017-05-03,20:30:00,0,589.2061,6.530
128,2017-05-03,20:45:00,0,589.4290,6.558
129,2017-05-03,21:00:00,0,589.5010,6.558
130,2017-05-03,21:15:00,0,589.5400,6.608
131,2017-05-03,21:30:00,0,589.7900,6.566
132,2017-05-03,21:45:00,0,590.0681,6.596
133,2017-05-03,22:00:00,0,590.1880,6.513
134,2017-05-03,22:15:00,0,590.2460,6.519
135,2017-05-03,22:30:00,0,590.5490,6.562
136,2017-05-03,22:45:00,0,590.8651,6.569
137,2017-05-03,23:00:00,0,591.4120,6.563
138,2017-05-03,23:15:00,0,591.8391,6.528
139,2017-05-03,23:30:00,0,592.0530,6.587
140,2017-05-03,23:45:00,0,592.3120,6.530
141,2017-05-04,00:00:00,0,592.6260,6.583
142,2017-05-04,00:15:00,0,592.8460,6.589
143,2017-05-04,00:30:00,0,592.8970,6.579
144,2017-05-04,00:45:00,0,593.0110,6.532
145,2017-05-04,01:00:00,0,592.8930,6.571
146,2017-05-04,01:15:00,0,592.9150,6.562
147,2017-05-04,01:30:00,0,593.0421,6.570
148,2017-05-04,01:45:00,0,592.9951,6.560
149,2017-05-04,02:00:00,0,593.4160,6.585
150,2017-05-04,02:15:00,0,593.6650,6.582
151,2017-05-04,02:30:00,0,593.9860,6.540
