Serial Number
	1060398
Project ID
	03040017
Location
	Sutton_P22A
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		160       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-03,13:00:00,0,749.4771,7.268
2,2017-05-03,13:15:00,0,749.7980,7.265
3,2017-05-03,13:30:00,0,750.1420,7.263
4,2017-05-03,13:45:00,0,750.3590,7.260
5,2017-05-03,14:00:00,0,750.7531,7.259
6,2017-05-03,14:15:00,0,751.0300,7.258
7,2017-05-03,14:30:00,0,751.3400,7.257
8,2017-05-03,14:45:00,0,751.6180,7.256
9,2017-05-03,15:00:00,0,751.7730,7.255
10,2017-05-03,15:15:00,0,751.9730,7.254
11,2017-05-03,15:30:00,0,752.1940,7.254
12,2017-05-03,15:45:00,0,752.2680,7.253
13,2017-05-03,16:00:00,0,752.3220,7.253
14,2017-05-03,16:15:00,0,752.3320,7.252
15,2017-05-03,16:30:00,0,752.4760,7.252
16,2017-05-03,16:45:00,0,752.6281,7.253
17,2017-05-03,17:00:00,0,752.8350,7.253
18,2017-05-03,17:15:00,0,753.0391,7.252
19,2017-05-03,17:30:00,0,753.0710,7.252
20,2017-05-03,17:45:00,0,753.0291,7.252
21,2017-05-03,18:00:00,0,753.2470,7.251
22,2017-05-03,18:15:00,0,753.3640,7.251
23,2017-05-03,18:30:00,0,753.6560,7.251
24,2017-05-03,18:45:00,0,753.9340,7.252
25,2017-05-03,19:00:00,0,754.1910,7.250
26,2017-05-03,19:15:00,0,754.5670,7.250
27,2017-05-03,19:30:00,0,754.6920,7.250
28,2017-05-03,19:45:00,0,754.9310,7.250
29,2017-05-03,20:00:00,0,755.0900,7.249
30,2017-05-03,20:15:00,0,755.3350,7.250
31,2017-05-03,20:30:00,0,755.6010,7.249
32,2017-05-03,20:45:00,0,755.8970,7.250
33,2017-05-03,21:00:00,0,756.1801,7.249
34,2017-05-03,21:15:00,0,756.3781,7.249
35,2017-05-03,21:30:00,0,756.6880,7.248
36,2017-05-03,21:45:00,0,756.9750,7.248
37,2017-05-03,22:00:00,0,757.4190,7.249
38,2017-05-03,22:15:00,0,757.6420,7.248
39,2017-05-03,22:30:00,0,757.8370,7.248
40,2017-05-03,22:45:00,0,758.3190,7.248
41,2017-05-03,23:00:00,0,758.5310,7.248
42,2017-05-03,23:15:00,0,759.0341,7.248
43,2017-05-03,23:30:00,0,759.5020,7.247
44,2017-05-03,23:45:00,0,759.6990,7.248
45,2017-05-04,00:00:00,0,759.6660,7.247
46,2017-05-04,00:15:00,0,759.8361,7.248
47,2017-05-04,00:30:00,0,760.1541,7.247
48,2017-05-04,00:45:00,0,760.3190,7.246
49,2017-05-04,01:00:00,0,760.3350,7.247
50,2017-05-04,01:15:00,0,760.4370,7.248
51,2017-05-04,01:30:00,0,760.6541,7.248
52,2017-05-04,01:45:00,0,760.7440,7.247
53,2017-05-04,02:00:00,0,760.9340,7.246
54,2017-05-04,02:15:00,0,761.2080,7.246
55,2017-05-04,02:30:00,0,761.5001,7.246
56,2017-05-04,02:45:00,0,761.6171,7.247
57,2017-05-04,03:00:00,0,761.6071,7.247
58,2017-05-04,03:15:00,0,761.4370,7.246
59,2017-05-04,03:30:00,0,761.5010,7.246
60,2017-05-04,03:45:00,0,761.5190,7.245
61,2017-05-04,04:00:00,0,761.5460,7.246
62,2017-05-04,04:15:00,0,761.5140,7.246
63,2017-05-04,04:30:00,0,761.6201,7.245
64,2017-05-04,04:45:00,0,761.5471,7.246
65,2017-05-04,05:00:00,0,761.8250,7.245
66,2017-05-04,05:15:00,0,761.7291,7.247
67,2017-05-04,05:30:00,0,761.8770,7.245
68,2017-05-04,05:45:00,0,762.2200,7.244
69,2017-05-04,06:00:00,0,762.3101,7.244
70,2017-05-04,06:15:00,0,762.1650,7.245
71,2017-05-04,06:30:00,0,762.2470,7.244
72,2017-05-04,06:45:00,0,762.5651,7.244
73,2017-05-04,07:00:00,0,762.7700,7.245
74,2017-05-04,07:15:00,0,762.6480,7.244
75,2017-05-04,07:30:00,0,762.8411,7.244
76,2017-05-04,07:45:00,0,762.9650,7.244
77,2017-05-04,08:00:00,0,763.0001,7.243
78,2017-05-04,08:15:00,0,762.9600,7.244
79,2017-05-04,08:30:00,0,763.1851,7.244
80,2017-05-04,08:45:00,0,763.1790,7.244
81,2017-05-04,09:00:00,0,763.2610,7.243
82,2017-05-04,09:15:00,0,763.2061,7.243
83,2017-05-04,09:30:00,0,763.2390,7.243
84,2017-05-04,09:45:00,0,763.1021,7.243
85,2017-05-04,10:00:00,0,763.1050,7.243
86,2017-05-04,10:15:00,0,762.9590,7.243
87,2017-05-04,10:30:00,0,763.0170,7.243
88,2017-05-04,10:45:00,0,762.9611,7.242
89,2017-05-04,11:00:00,0,762.8690,7.242
90,2017-05-04,11:15:00,0,762.6360,7.241
91,2017-05-04,11:30:00,0,762.3630,7.241
92,2017-05-04,11:45:00,0,762.2220,7.242
93,2017-05-04,12:00:00,0,761.9030,7.242
94,2017-05-04,12:15:00,0,761.4750,7.241
95,2017-05-04,12:30:00,0,761.4141,7.242
96,2017-05-04,12:45:00,0,761.3500,7.241
97,2017-05-04,13:00:00,0,761.2761,7.241
98,2017-05-04,13:15:00,0,761.1580,7.241
99,2017-05-04,13:30:00,0,761.0980,7.240
