Serial Number
	1060414
Project ID
	03030014
Location
	Cowansville_P18A
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		108       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-25,13:00:00,0,744.3021,8.357
2,2016-11-25,13:15:00,0,744.2770,8.358
3,2016-11-25,13:30:00,0,744.1260,8.357
4,2016-11-25,13:45:00,0,744.1160,8.356
5,2016-11-25,14:00:00,0,744.1750,8.356
6,2016-11-25,14:15:00,0,744.3860,8.357
7,2016-11-25,14:30:00,0,744.4590,8.357
8,2016-11-25,14:45:00,0,744.5500,8.356
9,2016-11-25,15:00:00,0,744.6251,8.356
10,2016-11-25,15:15:00,0,744.7470,8.355
11,2016-11-25,15:30:00,0,744.8101,8.356
12,2016-11-25,15:45:00,0,744.8610,8.356
13,2016-11-25,16:00:00,0,744.8840,8.357
14,2016-11-25,16:15:00,0,744.9410,8.357
15,2016-11-25,16:30:00,0,744.9780,8.357
16,2016-11-25,16:45:00,0,745.0270,8.357
17,2016-11-25,17:00:00,0,745.0190,8.358
18,2016-11-25,17:15:00,0,744.9960,8.356
19,2016-11-25,17:30:00,0,745.0610,8.357
20,2016-11-25,17:45:00,0,745.1331,8.357
21,2016-11-25,18:00:00,0,745.1541,8.357
22,2016-11-25,18:15:00,0,745.2130,8.356
23,2016-11-25,18:30:00,0,745.2020,8.355
24,2016-11-25,18:45:00,0,745.1910,8.356
25,2016-11-25,19:00:00,0,745.1440,8.357
26,2016-11-25,19:15:00,0,745.0870,8.355
27,2016-11-25,19:30:00,0,744.9570,8.357
28,2016-11-25,19:45:00,0,744.7900,8.356
29,2016-11-25,20:00:00,0,744.7191,8.356
30,2016-11-25,20:15:00,0,744.6251,8.358
31,2016-11-25,20:30:00,0,744.5460,8.357
32,2016-11-25,20:45:00,0,744.4780,8.356
33,2016-11-25,21:00:00,0,744.2230,8.357
34,2016-11-25,21:15:00,0,744.2080,8.356
35,2016-11-25,21:30:00,0,744.1870,8.355
36,2016-11-25,21:45:00,0,744.1030,8.357
37,2016-11-25,22:00:00,0,743.9271,8.357
38,2016-11-25,22:15:00,0,743.9320,8.356
39,2016-11-25,22:30:00,0,743.8930,8.356
40,2016-11-25,22:45:00,0,743.8420,8.356
41,2016-11-25,23:00:00,0,743.8470,8.355
42,2016-11-25,23:15:00,0,743.7680,8.357
43,2016-11-25,23:30:00,0,743.6920,8.357
44,2016-11-25,23:45:00,0,743.6171,8.357
45,2016-11-26,00:00:00,0,743.5521,8.357
46,2016-11-26,00:15:00,0,743.3831,8.356
47,2016-11-26,00:30:00,0,743.3181,8.356
48,2016-11-26,00:45:00,0,743.4221,8.357
49,2016-11-26,01:00:00,0,743.4180,8.356
50,2016-11-26,01:15:00,0,743.4210,8.356
51,2016-11-26,01:30:00,0,743.3990,8.356
52,2016-11-26,01:45:00,0,743.5970,8.356
53,2016-11-26,02:00:00,0,743.7040,8.356
54,2016-11-26,02:15:00,0,743.7330,8.357
55,2016-11-26,02:30:00,0,743.7250,8.356
56,2016-11-26,02:45:00,0,743.6430,8.357
57,2016-11-26,03:00:00,0,743.5740,8.356
58,2016-11-26,03:15:00,0,743.5610,8.356
59,2016-11-26,03:30:00,0,743.5131,8.357
60,2016-11-26,03:45:00,0,743.5350,8.357
61,2016-11-26,04:00:00,0,743.5421,8.356
62,2016-11-26,04:15:00,0,743.3751,8.356
63,2016-11-26,04:30:00,0,743.4020,8.357
64,2016-11-26,04:45:00,0,743.4041,8.357
65,2016-11-26,05:00:00,0,743.5031,8.357
66,2016-11-26,05:15:00,0,743.7480,8.357
67,2016-11-26,05:30:00,0,743.7940,8.355
68,2016-11-26,05:45:00,0,743.7990,8.357
69,2016-11-26,06:00:00,0,743.6901,8.357
70,2016-11-26,06:15:00,0,743.5530,8.357
71,2016-11-26,06:30:00,0,743.5430,8.357
72,2016-11-26,06:45:00,0,743.4710,8.356
73,2016-11-26,07:00:00,0,743.3340,8.357
74,2016-11-26,07:15:00,0,743.3101,8.356
75,2016-11-26,07:30:00,0,743.4940,8.357
76,2016-11-26,07:45:00,0,743.4230,8.355
77,2016-11-26,08:00:00,0,743.3240,8.355
78,2016-11-26,08:15:00,0,743.2490,8.356
79,2016-11-26,08:30:00,0,743.0900,8.356
80,2016-11-26,08:45:00,0,743.0960,8.356
81,2016-11-26,09:00:00,0,743.0911,8.356
82,2016-11-26,09:15:00,0,743.0970,8.356
83,2016-11-26,09:30:00,0,743.1220,8.357
84,2016-11-26,09:45:00,0,743.0480,8.356
85,2016-11-26,10:00:00,0,743.0220,8.357
86,2016-11-26,10:15:00,0,742.9380,8.358
87,2016-11-26,10:30:00,0,742.7690,8.357
88,2016-11-26,10:45:00,0,742.6180,8.356
89,2016-11-26,11:00:00,0,742.3730,8.356
90,2016-11-26,11:15:00,0,742.2040,8.356
91,2016-11-26,11:30:00,0,742.1220,8.356
92,2016-11-26,11:45:00,0,742.0590,8.355
93,2016-11-26,12:00:00,0,741.9910,8.356
94,2016-11-26,12:15:00,0,741.8710,8.356
95,2016-11-26,12:30:00,0,741.8040,8.357
96,2016-11-26,12:45:00,0,741.7661,8.355
97,2016-11-26,13:00:00,0,741.8000,8.357
98,2016-11-26,13:15:00,0,741.8831,8.356
99,2016-11-26,13:30:00,0,741.9320,8.356
100,2016-11-26,13:45:00,0,741.9460,8.356
101,2016-11-26,14:00:00,0,742.0211,8.356
102,2016-11-26,14:15:00,0,742.1461,8.356
103,2016-11-26,14:30:00,0,742.3110,8.356
104,2016-11-26,14:45:00,0,742.5660,8.356
105,2016-11-26,15:00:00,0,742.6600,8.357
106,2016-11-26,15:15:00,0,742.7380,8.356
107,2016-11-26,15:30:00,0,742.9130,8.356
108,2016-11-26,15:45:00,0,743.0551,8.356
109,2016-11-26,16:00:00,0,743.1870,8.355
110,2016-11-26,16:15:00,0,743.3491,8.355
111,2016-11-26,16:30:00,0,743.4470,8.356
112,2016-11-26,16:45:00,0,743.4960,8.356
113,2016-11-26,17:00:00,0,743.5521,8.356
114,2016-11-26,17:15:00,0,743.4860,8.357
115,2016-11-26,17:30:00,0,743.5150,8.356
116,2016-11-26,17:45:00,0,743.4481,8.356
117,2016-11-26,18:00:00,0,743.2700,8.357
118,2016-11-26,18:15:00,0,743.1591,8.356
119,2016-11-26,18:30:00,0,743.2020,8.355
120,2016-11-26,18:45:00,0,743.1440,8.356
121,2016-11-26,19:00:00,0,743.0190,8.357
122,2016-11-26,19:15:00,0,743.0010,8.357
123,2016-11-26,19:30:00,0,742.9771,8.355
124,2016-11-26,19:45:00,0,742.8380,8.356
125,2016-11-26,20:00:00,0,742.7330,8.357
126,2016-11-26,20:15:00,0,742.7421,8.356
127,2016-11-26,20:30:00,0,742.8110,8.357
128,2016-11-26,20:45:00,0,742.7180,8.356
129,2016-11-26,21:00:00,0,742.6010,8.357
130,2016-11-26,21:15:00,0,742.4930,8.355
131,2016-11-26,21:30:00,0,742.4200,8.356
132,2016-11-26,21:45:00,0,742.2650,8.355
133,2016-11-26,22:00:00,0,742.1981,8.355
134,2016-11-26,22:15:00,0,742.0610,8.356
135,2016-11-26,22:30:00,0,741.9970,8.356
136,2016-11-26,22:45:00,0,741.9590,8.357
137,2016-11-26,23:00:00,0,742.0050,8.357
138,2016-11-26,23:15:00,0,742.0430,8.356
139,2016-11-26,23:30:00,0,741.9960,8.356
140,2016-11-26,23:45:00,0,741.9351,8.355
141,2016-11-27,00:00:00,0,741.9520,8.355
142,2016-11-27,00:15:00,0,741.9280,8.356
143,2016-11-27,00:30:00,0,741.9320,8.356
144,2016-11-27,00:45:00,0,741.9091,8.356
145,2016-11-27,01:00:00,0,741.9680,8.356
146,2016-11-27,01:15:00,0,741.9800,8.356
147,2016-11-27,01:30:00,0,742.0850,8.357
148,2016-11-27,01:45:00,0,742.2540,8.356
149,2016-11-27,02:00:00,0,742.3890,8.356
150,2016-11-27,02:15:00,0,742.3470,8.356
151,2016-11-27,02:30:00,0,742.3621,8.357
152,2016-11-27,02:45:00,0,742.3690,8.357
153,2016-11-27,03:00:00,0,742.4030,8.355
154,2016-11-27,03:15:00,0,742.4160,8.356
155,2016-11-27,03:30:00,0,742.4611,8.356
156,2016-11-27,03:45:00,0,742.5240,8.355
157,2016-11-27,04:00:00,0,742.5211,8.357
158,2016-11-27,04:15:00,0,742.6771,8.356
159,2016-11-27,04:30:00,0,742.6830,8.356
160,2016-11-27,04:45:00,0,742.6851,8.357
161,2016-11-27,05:00:00,0,742.7090,8.355
162,2016-11-27,05:15:00,0,742.7780,8.356
163,2016-11-27,05:30:00,0,742.7640,8.355
164,2016-11-27,05:45:00,0,742.7700,8.356
165,2016-11-27,06:00:00,0,742.8720,8.357
166,2016-11-27,06:15:00,0,742.8080,8.356
167,2016-11-27,06:30:00,0,742.7880,8.356
168,2016-11-27,06:45:00,0,742.8370,8.356
169,2016-11-27,07:00:00,0,742.8610,8.356
170,2016-11-27,07:15:00,0,742.9431,8.356
171,2016-11-27,07:30:00,0,742.9221,8.356
172,2016-11-27,07:45:00,0,742.9921,8.356
173,2016-11-27,08:00:00,0,742.9720,8.355
