Serial Number
	1060487
Project ID
	03040002
Location
	Calixa-Lavallee
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		22        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-24,19:00:00,0,757.5410,8.492
2,2016-11-24,19:15:00,0,757.5230,8.492
3,2016-11-24,19:30:00,0,757.5891,8.492
4,2016-11-24,19:45:00,0,757.5941,8.491
5,2016-11-24,20:00:00,0,757.5001,8.492
6,2016-11-24,20:15:00,0,757.5090,8.493
7,2016-11-24,20:30:00,0,757.5120,8.493
8,2016-11-24,20:45:00,0,757.4980,8.492
9,2016-11-24,21:00:00,0,757.4970,8.492
10,2016-11-24,21:15:00,0,757.4380,8.492
11,2016-11-24,21:30:00,0,757.3361,8.492
12,2016-11-24,21:45:00,0,757.2770,8.492
13,2016-11-24,22:00:00,0,757.1840,8.492
14,2016-11-24,22:15:00,0,757.1680,8.492
15,2016-11-24,22:30:00,0,757.3070,8.492
16,2016-11-24,22:45:00,0,757.3790,8.492
17,2016-11-24,23:00:00,0,757.4310,8.492
18,2016-11-24,23:15:00,0,757.6771,8.492
19,2016-11-24,23:30:00,0,757.5740,8.492
20,2016-11-24,23:45:00,0,757.4590,8.493
21,2016-11-25,00:00:00,0,757.2711,8.492
22,2016-11-25,00:15:00,0,757.2711,8.492
23,2016-11-25,00:30:00,0,757.1960,8.493
24,2016-11-25,00:45:00,0,757.0480,8.492
25,2016-11-25,01:00:00,0,756.8760,8.493
26,2016-11-25,01:15:00,0,756.9340,8.492
27,2016-11-25,01:30:00,0,756.9310,8.493
28,2016-11-25,01:45:00,0,757.1750,8.492
29,2016-11-25,02:00:00,0,757.1480,8.492
30,2016-11-25,02:15:00,0,757.2440,8.492
31,2016-11-25,02:30:00,0,757.0811,8.493
32,2016-11-25,02:45:00,0,757.3760,8.493
33,2016-11-25,03:00:00,0,757.4240,8.493
34,2016-11-25,03:15:00,0,757.5941,8.493
35,2016-11-25,03:30:00,0,757.5051,8.493
36,2016-11-25,03:45:00,0,757.4800,8.493
37,2016-11-25,04:00:00,0,757.3160,8.493
38,2016-11-25,04:15:00,0,757.1610,8.494
39,2016-11-25,04:30:00,0,757.1041,8.493
40,2016-11-25,04:45:00,0,757.1390,8.493
41,2016-11-25,05:00:00,0,757.1220,8.493
42,2016-11-25,05:15:00,0,757.0051,8.493
43,2016-11-25,05:30:00,0,757.0500,8.493
44,2016-11-25,05:45:00,0,757.1550,8.492
45,2016-11-25,06:00:00,0,757.2661,8.493
46,2016-11-25,06:15:00,0,757.4240,8.494
47,2016-11-25,06:30:00,0,757.3021,8.493
48,2016-11-25,06:45:00,0,757.3051,8.494
49,2016-11-25,07:00:00,0,757.4210,8.494
50,2016-11-25,07:15:00,0,757.4760,8.493
51,2016-11-25,07:30:00,0,757.5380,8.493
52,2016-11-25,07:45:00,0,757.4921,8.493
53,2016-11-25,08:00:00,0,757.3630,8.493
54,2016-11-25,08:15:00,0,757.3541,8.493
55,2016-11-25,08:30:00,0,757.2401,8.494
