Serial Number
	1062235
Project ID
	03020001
Location
	Orford
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		287       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-23,13:00:00,0,649.9790,7.531
2,2016-11-23,13:15:00,0,650.0090,7.534
3,2016-11-23,13:30:00,0,650.3441,7.534
4,2016-11-23,13:45:00,0,650.5040,7.535
5,2016-11-23,14:00:00,0,650.7330,7.537
6,2016-11-23,14:15:00,0,650.8800,7.541
7,2016-11-23,14:30:00,0,650.9850,7.537
8,2016-11-23,14:45:00,0,651.1840,7.539
9,2016-11-23,15:00:00,0,651.3470,7.540
10,2016-11-23,15:15:00,0,651.3651,7.541
11,2016-11-23,15:30:00,0,651.6440,7.542
12,2016-11-23,15:45:00,0,651.8781,7.540
13,2016-11-23,16:00:00,0,652.0300,7.543
14,2016-11-23,16:15:00,0,652.1121,7.545
15,2016-11-23,16:30:00,0,652.1721,7.544
16,2016-11-23,16:45:00,0,652.2620,7.545
17,2016-11-23,17:00:00,0,652.3470,7.546
18,2016-11-23,17:15:00,0,652.3730,7.549
19,2016-11-23,17:30:00,0,652.5031,7.547
20,2016-11-23,17:45:00,0,652.4060,7.547
21,2016-11-23,18:00:00,0,652.3470,7.549
22,2016-11-23,18:15:00,0,652.3101,7.550
23,2016-11-23,18:30:00,0,652.2470,7.548
24,2016-11-23,18:45:00,0,652.4500,7.548
25,2016-11-23,19:00:00,0,652.5930,7.555
26,2016-11-23,19:15:00,0,652.7730,7.554
27,2016-11-23,19:30:00,0,652.8651,7.555
28,2016-11-23,19:45:00,0,653.1600,7.557
29,2016-11-23,20:00:00,0,653.2250,7.557
30,2016-11-23,20:15:00,0,653.4330,7.557
31,2016-11-23,20:30:00,0,653.4310,7.556
32,2016-11-23,20:45:00,0,653.6880,7.551
33,2016-11-23,21:00:00,0,653.6690,7.550
34,2016-11-23,21:15:00,0,653.6760,7.554
35,2016-11-23,21:30:00,0,653.7640,7.558
36,2016-11-23,21:45:00,0,653.8781,7.556
37,2016-11-23,22:00:00,0,654.1010,7.560
38,2016-11-23,22:15:00,0,654.2300,7.558
39,2016-11-23,22:30:00,0,654.3850,7.557
40,2016-11-23,22:45:00,0,654.5020,7.559
41,2016-11-23,23:00:00,0,654.6260,7.561
