Serial_number:
1062235
Project ID:
03020001
Location:
Orford
LEVEL
UNIT: cm
Offset: 0.000000 cm
Altitude: 287.000000 m
Density: 1.000000 kg/L
TEMPERATURE
UNIT: Deg C
Date,Time,ms,LEVEL,TEMPERATURE
2017/05/01,13:00:00,0,724.91,6.679
2017/05/01,13:15:00,0,725.11,6.640
2017/05/01,13:30:00,0,725.11,6.691
2017/05/01,13:45:00,0,725.19,6.686
2017/05/01,14:00:00,0,725.08,6.657
2017/05/01,14:15:00,0,724.98,6.690
2017/05/01,14:30:00,0,724.58,6.652
2017/05/01,14:45:00,0,724.26,6.685
2017/05/01,15:00:00,0,723.83,6.680
2017/05/01,15:15:00,0,723.08,6.675
2017/05/01,15:30:00,0,723.03,6.674
2017/05/01,15:45:00,0,722.48,6.676
2017/05/01,16:00:00,0,721.84,6.664
2017/05/01,16:15:00,0,721.44,6.671
2017/05/01,16:30:00,0,720.64,6.625
2017/05/01,16:45:00,0,720.18,6.671
2017/05/01,17:00:00,0,719.66,6.660
2017/05/01,17:15:00,0,718.89,6.658
2017/05/01,17:30:00,0,718.54,6.672
2017/05/01,17:45:00,0,717.66,6.637
2017/05/01,18:00:00,0,716.96,6.675
2017/05/01,18:15:00,0,716.33,6.680
2017/05/01,18:30:00,0,715.65,6.661
2017/05/01,18:45:00,0,715.08,6.672
2017/05/01,19:00:00,0,714.42,6.689
2017/05/01,19:15:00,0,713.75,6.660
2017/05/01,19:30:00,0,712.92,6.664
2017/05/01,19:45:00,0,712.36,6.691
2017/05/01,20:00:00,0,711.62,6.676
2017/05/01,20:15:00,0,710.45,6.686
2017/05/01,20:30:00,0,709.64,6.646
2017/05/01,20:45:00,0,708.64,6.673
2017/05/01,21:00:00,0,708.57,6.675
2017/05/01,21:15:00,0,708.22,6.652
2017/05/01,21:30:00,0,707.80,6.641
2017/05/01,21:45:00,0,706.75,6.684
2017/05/01,22:00:00,0,705.77,6.654
2017/05/01,22:15:00,0,705.64,6.646
2017/05/01,22:30:00,0,705.98,6.655
2017/05/01,22:45:00,0,704.76,6.678
2017/05/01,23:00:00,0,703.16,6.628
2017/05/01,23:15:00,0,703.11,6.661
2017/05/01,23:30:00,0,702.82,6.654
2017/05/01,23:45:00,0,702.12,6.655
2017/05/02,00:00:00,0,701.37,6.632
2017/05/02,00:15:00,0,699.79,6.662
2017/05/02,00:30:00,0,699.29,6.605
2017/05/02,00:45:00,0,698.61,6.664
2017/05/02,01:00:00,0,694.88,6.673
2017/05/02,01:15:00,0,697.59,6.656
2017/05/02,01:30:00,0,697.06,6.624
2017/05/02,01:45:00,0,696.79,6.647
2017/05/02,02:00:00,0,696.62,6.665
2017/05/02,02:15:00,0,695.89,6.621
2017/05/02,02:30:00,0,694.22,6.639
2017/05/02,02:45:00,0,694.94,6.641
2017/05/02,03:00:00,0,694.02,6.647
2017/05/02,03:15:00,0,694.21,6.666
2017/05/02,03:30:00,0,693.97,6.665
2017/05/02,03:45:00,0,693.67,6.623
2017/05/02,04:00:00,0,693.55,6.656
2017/05/02,04:15:00,0,693.52,6.643
2017/05/02,04:30:00,0,693.22,6.615
2017/05/02,04:45:00,0,692.94,6.646
2017/05/02,05:00:00,0,692.61,6.651
2017/05/02,05:15:00,0,692.05,6.654
2017/05/02,05:30:00,0,692.05,6.660
2017/05/02,05:45:00,0,691.66,6.639
2017/05/02,06:00:00,0,691.28,6.651
2017/05/02,06:15:00,0,691.05,6.644
2017/05/02,06:30:00,0,690.84,6.646
2017/05/02,06:45:00,0,690.36,6.616
2017/05/02,07:00:00,0,690.30,6.623
2017/05/02,07:15:00,0,689.73,6.688
2017/05/02,07:30:00,0,689.28,6.610
2017/05/02,07:45:00,0,689.03,6.614
2017/05/02,08:00:00,0,689.31,6.634
2017/05/02,08:15:00,0,688.67,6.653
2017/05/02,08:30:00,0,688.24,6.661
2017/05/02,08:45:00,0,687.68,6.645
2017/05/02,09:00:00,0,687.29,6.679
2017/05/02,09:15:00,0,686.68,6.624
2017/05/02,09:30:00,0,686.26,6.654
2017/05/02,09:45:00,0,685.84,6.633
2017/05/02,10:00:00,0,685.59,6.609
2017/05/02,10:15:00,0,685.38,6.601
2017/05/02,10:30:00,0,684.97,6.624
2017/05/02,10:45:00,0,684.94,6.613
2017/05/02,11:00:00,0,684.44,6.647
2017/05/02,11:15:00,0,683.96,6.633
2017/05/02,11:30:00,0,683.85,6.615
2017/05/02,11:45:00,0,683.72,6.634
2017/05/02,12:00:00,0,683.64,6.634
2017/05/02,12:15:00,0,682.94,6.615
2017/05/02,12:30:00,0,682.51,6.617
2017/05/02,12:45:00,0,682.02,6.672
2017/05/02,13:00:00,0,681.90,6.642
2017/05/02,13:15:00,0,681.53,6.680
2017/05/02,13:30:00,0,681.36,6.655
2017/05/02,13:45:00,0,681.14,6.672
2017/05/02,14:00:00,0,680.95,6.637
2017/05/02,14:15:00,0,680.66,6.627
2017/05/02,14:30:00,0,680.10,6.620
2017/05/02,14:45:00,0,679.60,6.646
2017/05/02,15:00:00,0,679.06,6.675
2017/05/02,15:15:00,0,678.74,6.633
2017/05/02,15:30:00,0,678.43,6.645
2017/05/02,15:45:00,0,678.14,6.681
2017/05/02,16:00:00,0,677.91,6.641
2017/05/02,16:15:00,0,677.69,6.616
2017/05/02,16:30:00,0,677.41,6.611
2017/05/02,16:45:00,0,677.13,6.616
2017/05/02,17:00:00,0,676.91,6.628
2017/05/02,17:15:00,0,676.70,6.651
2017/05/02,17:30:00,0,676.73,6.657
2017/05/02,17:45:00,0,676.51,6.634
2017/05/02,18:00:00,0,676.29,6.684
2017/05/02,18:15:00,0,676.09,6.623
2017/05/02,18:30:00,0,676.13,6.634
2017/05/02,18:45:00,0,676.09,6.641
2017/05/02,19:00:00,0,676.02,6.649
2017/05/02,19:15:00,0,675.82,6.636
2017/05/02,19:30:00,0,675.72,6.629
2017/05/02,19:45:00,0,675.63,6.645
2017/05/02,20:00:00,0,675.52,6.700
2017/05/02,20:15:00,0,675.44,6.614
2017/05/02,20:30:00,0,675.46,6.642
2017/05/02,20:45:00,0,675.27,6.655
2017/05/02,21:00:00,0,674.93,6.657
2017/05/02,21:15:00,0,674.96,6.669
2017/05/02,21:30:00,0,675.02,6.658
2017/05/02,21:45:00,0,674.87,6.645
2017/05/02,22:00:00,0,674.49,6.665
2017/05/02,22:15:00,0,674.30,6.644
2017/05/02,22:30:00,0,673.96,6.610
2017/05/02,22:45:00,0,673.79,6.633
2017/05/02,23:00:00,0,673.54,6.655
2017/05/02,23:15:00,0,673.43,6.653
2017/05/02,23:30:00,0,673.21,6.635
2017/05/02,23:45:00,0,672.85,6.660
2017/05/03,00:00:00,0,672.72,6.666
2017/05/03,00:15:00,0,672.54,6.692
2017/05/03,00:30:00,0,672.43,6.673
2017/05/03,00:45:00,0,672.20,6.590
2017/05/03,01:00:00,0,671.96,6.598
2017/05/03,01:15:00,0,671.69,6.610
2017/05/03,01:30:00,0,671.46,6.630
2017/05/03,01:45:00,0,671.19,6.627
2017/05/03,02:00:00,0,670.93,6.608
2017/05/03,02:15:00,0,670.67,6.628
2017/05/03,02:30:00,0,670.40,6.635
2017/05/03,02:45:00,0,670.23,6.662
2017/05/03,03:00:00,0,669.97,6.679
2017/05/03,03:15:00,0,669.83,6.649
2017/05/03,03:30:00,0,669.79,6.671
2017/05/03,03:45:00,0,669.79,6.653
2017/05/03,04:00:00,0,669.77,6.671
2017/05/03,04:15:00,0,669.44,6.648
2017/05/03,04:30:00,0,669.42,6.668
2017/05/03,04:45:00,0,669.33,6.634
2017/05/03,05:00:00,0,669.26,6.637
2017/05/03,05:15:00,0,669.12,6.621
2017/05/03,05:30:00,0,669.14,6.613
2017/05/03,05:45:00,0,669.12,6.586
2017/05/03,06:00:00,0,669.07,6.655
2017/05/03,06:15:00,0,669.10,6.632
2017/05/03,06:30:00,0,669.06,6.642
2017/05/03,06:45:00,0,669.09,6.626
2017/05/03,07:00:00,0,669.04,6.624
2017/05/03,07:15:00,0,669.06,6.655
2017/05/03,07:30:00,0,668.74,6.639
2017/05/03,07:45:00,0,668.56,6.637
2017/05/03,08:00:00,0,668.62,6.646
