Serial Number
	1062253
Project ID
	03030016
Location
	Bromont_P02A
LEVEL
	Unit
		m
	Offset
		0.00      m
	Altitude
		0         m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-03,13:00:00,0,4.1577,7.636
2,2017-05-03,13:15:00,0,4.1604,7.637
3,2017-05-03,13:30:00,0,4.1630,7.637
4,2017-05-03,13:45:00,0,4.1655,7.637
5,2017-05-03,14:00:00,0,4.1675,7.637
6,2017-05-03,14:15:00,0,4.1703,7.636
7,2017-05-03,14:30:00,0,4.1722,7.636
8,2017-05-03,14:45:00,0,4.1747,7.637
9,2017-05-03,15:00:00,0,4.1769,7.636
10,2017-05-03,15:15:00,0,4.1797,7.636
11,2017-05-03,15:30:00,0,4.1811,7.638
12,2017-05-03,15:45:00,0,4.1831,7.636
13,2017-05-03,16:00:00,0,4.1853,7.636
14,2017-05-03,16:15:00,0,4.1869,7.637
15,2017-05-03,16:30:00,0,4.1885,7.636
16,2017-05-03,16:45:00,0,4.1901,7.636
17,2017-05-03,17:00:00,0,4.1919,7.636
18,2017-05-03,17:15:00,0,4.1934,7.635
19,2017-05-03,17:30:00,0,4.1950,7.635
20,2017-05-03,17:45:00,0,4.1968,7.635
21,2017-05-03,18:00:00,0,4.1985,7.635
22,2017-05-03,18:15:00,0,4.2008,7.634
23,2017-05-03,18:30:00,0,4.2027,7.635
24,2017-05-03,18:45:00,0,4.2049,7.635
25,2017-05-03,19:00:00,0,4.2068,7.635
26,2017-05-03,19:15:00,0,4.2086,7.635
27,2017-05-03,19:30:00,0,4.2105,7.634
28,2017-05-03,19:45:00,0,4.2122,7.634
29,2017-05-03,20:00:00,0,4.2144,7.635
30,2017-05-03,20:15:00,0,4.2161,7.635
31,2017-05-03,20:30:00,0,4.2182,7.633
32,2017-05-03,20:45:00,0,4.2199,7.634
33,2017-05-03,21:00:00,0,4.2223,7.634
34,2017-05-03,21:15:00,0,4.2240,7.634
35,2017-05-03,21:30:00,0,4.2262,7.634
36,2017-05-03,21:45:00,0,4.2284,7.633
37,2017-05-03,22:00:00,0,4.2305,7.633
38,2017-05-03,22:15:00,0,4.2326,7.633
39,2017-05-03,22:30:00,0,4.2345,7.633
40,2017-05-03,22:45:00,0,4.2371,7.633
41,2017-05-03,23:00:00,0,4.2394,7.633
42,2017-05-03,23:15:00,0,4.2420,7.633
43,2017-05-03,23:30:00,0,4.2453,7.632
44,2017-05-03,23:45:00,0,4.2482,7.632
45,2017-05-04,00:00:00,0,4.2508,7.632
46,2017-05-04,00:15:00,0,4.2527,7.633
47,2017-05-04,00:30:00,0,4.2546,7.632
48,2017-05-04,00:45:00,0,4.2565,7.632
49,2017-05-04,01:00:00,0,4.2577,7.632
50,2017-05-04,01:15:00,0,4.2591,7.632
51,2017-05-04,01:30:00,0,4.2608,7.631
52,2017-05-04,01:45:00,0,4.2617,7.631
53,2017-05-04,02:00:00,0,4.2629,7.631
54,2017-05-04,02:15:00,0,4.2648,7.631
55,2017-05-04,02:30:00,0,4.2666,7.630
56,2017-05-04,02:45:00,0,4.2686,7.631
57,2017-05-04,03:00:00,0,4.2700,7.630
58,2017-05-04,03:15:00,0,4.2710,7.630
59,2017-05-04,03:30:00,0,4.2710,7.630
60,2017-05-04,03:45:00,0,4.2721,7.630
61,2017-05-04,04:00:00,0,4.2726,7.630
62,2017-05-04,04:15:00,0,4.2731,7.630
63,2017-05-04,04:30:00,0,4.2733,7.629
64,2017-05-04,04:45:00,0,4.2737,7.630
65,2017-05-04,05:00:00,0,4.2744,7.629
66,2017-05-04,05:15:00,0,4.2753,7.629
67,2017-05-04,05:30:00,0,4.2761,7.629
68,2017-05-04,05:45:00,0,4.2772,7.629
69,2017-05-04,06:00:00,0,4.2780,7.629
70,2017-05-04,06:15:00,0,4.2787,7.629
71,2017-05-04,06:30:00,0,4.2799,7.628
72,2017-05-04,06:45:00,0,4.2810,7.628
73,2017-05-04,07:00:00,0,4.2826,7.628
74,2017-05-04,07:15:00,0,4.2835,7.628
75,2017-05-04,07:30:00,0,4.2843,7.627
76,2017-05-04,07:45:00,0,4.2853,7.628
77,2017-05-04,08:00:00,0,4.2869,7.628
78,2017-05-04,08:15:00,0,4.2878,7.627
79,2017-05-04,08:30:00,0,4.2888,7.627
80,2017-05-04,08:45:00,0,4.2897,7.627
81,2017-05-04,09:00:00,0,4.2903,7.627
82,2017-05-04,09:15:00,0,4.2912,7.627
83,2017-05-04,09:30:00,0,4.2916,7.627
84,2017-05-04,09:45:00,0,4.2913,7.627
85,2017-05-04,10:00:00,0,4.2913,7.626
86,2017-05-04,10:15:00,0,4.2907,7.625
87,2017-05-04,10:30:00,0,4.2909,7.626
88,2017-05-04,10:45:00,0,4.2906,7.625
89,2017-05-04,11:00:00,0,4.2901,7.626
90,2017-05-04,11:15:00,0,4.2893,7.625
91,2017-05-04,11:30:00,0,4.2879,7.625
92,2017-05-04,11:45:00,0,4.2872,7.625
93,2017-05-04,12:00:00,0,4.2860,7.625
94,2017-05-04,12:15:00,0,4.2846,7.625
95,2017-05-04,12:30:00,0,4.2830,7.624
96,2017-05-04,12:45:00,0,4.2818,7.624
97,2017-05-04,13:00:00,0,4.2807,7.624
98,2017-05-04,13:15:00,0,4.2792,7.624
99,2017-05-04,13:30:00,0,4.2783,7.624
100,2017-05-04,13:45:00,0,4.2770,7.624
101,2017-05-04,14:00:00,0,4.2760,7.624
102,2017-05-04,14:15:00,0,4.2747,7.624
103,2017-05-04,14:30:00,0,4.2731,7.624
104,2017-05-04,14:45:00,0,4.2717,7.623
105,2017-05-04,15:00:00,0,4.2704,7.623
106,2017-05-04,15:15:00,0,4.2689,7.623
107,2017-05-04,15:30:00,0,4.2676,7.623
108,2017-05-04,15:45:00,0,4.2663,7.622
109,2017-05-04,16:00:00,0,4.2653,7.623
110,2017-05-04,16:15:00,0,4.2644,7.622
111,2017-05-04,16:30:00,0,4.2642,7.622
112,2017-05-04,16:45:00,0,4.2634,7.622
113,2017-05-04,17:00:00,0,4.2622,7.622
114,2017-05-04,17:15:00,0,4.2614,7.622
115,2017-05-04,17:30:00,0,4.2606,7.622
116,2017-05-04,17:45:00,0,4.2600,7.622
117,2017-05-04,18:00:00,0,4.2594,7.622
118,2017-05-04,18:15:00,0,4.2590,7.621
119,2017-05-04,18:30:00,0,4.2586,7.621
120,2017-05-04,18:45:00,0,4.2581,7.621
121,2017-05-04,19:00:00,0,4.2572,7.621
122,2017-05-04,19:15:00,0,4.2570,7.621
123,2017-05-04,19:30:00,0,4.2573,7.620
124,2017-05-04,19:45:00,0,4.2573,7.620
125,2017-05-04,20:00:00,0,4.2578,7.620
126,2017-05-04,20:15:00,0,4.2579,7.620
127,2017-05-04,20:30:00,0,4.2587,7.619
128,2017-05-04,20:45:00,0,4.2599,7.619
129,2017-05-04,21:00:00,0,4.2604,7.620
130,2017-05-04,21:15:00,0,4.2606,7.619
131,2017-05-04,21:30:00,0,4.2602,7.619
132,2017-05-04,21:45:00,0,4.2605,7.619
133,2017-05-04,22:00:00,0,4.2601,7.619
134,2017-05-04,22:15:00,0,4.2599,7.619
135,2017-05-04,22:30:00,0,4.2595,7.618
136,2017-05-04,22:45:00,0,4.2604,7.618
137,2017-05-04,23:00:00,0,4.2607,7.618
138,2017-05-04,23:15:00,0,4.2611,7.618
139,2017-05-04,23:30:00,0,4.2610,7.618
140,2017-05-04,23:45:00,0,4.2614,7.618
141,2017-05-05,00:00:00,0,4.2615,7.618
142,2017-05-05,00:15:00,0,4.2623,7.618
143,2017-05-05,00:30:00,0,4.2625,7.617
144,2017-05-05,00:45:00,0,4.2621,7.617
