Serial Number
	1062280
Project ID
	03030012
Location
	Saint-Guillaume_P14A
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		42        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-24,13:00:00,0,939.5590,9.223
2,2016-11-24,13:15:00,0,939.5811,9.221
3,2016-11-24,13:30:00,0,939.5740,9.221
4,2016-11-24,13:45:00,0,939.6130,9.222
5,2016-11-24,14:00:00,0,939.5980,9.222
6,2016-11-24,14:15:00,0,939.6251,9.222
7,2016-11-24,14:30:00,0,939.6990,9.222
8,2016-11-24,14:45:00,0,939.6860,9.221
9,2016-11-24,15:00:00,0,939.6931,9.222
10,2016-11-24,15:15:00,0,939.7401,9.221
11,2016-11-24,15:30:00,0,939.8190,9.222
12,2016-11-24,15:45:00,0,939.7770,9.221
13,2016-11-24,16:00:00,0,939.7950,9.222
14,2016-11-24,16:15:00,0,939.7510,9.222
15,2016-11-24,16:30:00,0,939.8300,9.222
16,2016-11-24,16:45:00,0,939.9510,9.221
17,2016-11-24,17:00:00,0,940.0491,9.222
18,2016-11-24,17:15:00,0,940.0101,9.223
19,2016-11-24,17:30:00,0,939.9810,9.223
20,2016-11-24,17:45:00,0,939.9871,9.223
21,2016-11-24,18:00:00,0,939.9561,9.222
22,2016-11-24,18:15:00,0,940.0330,9.222
23,2016-11-24,18:30:00,0,939.9590,9.224
24,2016-11-24,18:45:00,0,939.9971,9.224
25,2016-11-24,19:00:00,0,940.0760,9.223
26,2016-11-24,19:15:00,0,939.9750,9.222
27,2016-11-24,19:30:00,0,940.0521,9.222
28,2016-11-24,19:45:00,0,940.0710,9.223
29,2016-11-24,20:00:00,0,940.0170,9.224
30,2016-11-24,20:15:00,0,940.0040,9.224
31,2016-11-24,20:30:00,0,939.9290,9.224
32,2016-11-24,20:45:00,0,939.9510,9.224
33,2016-11-24,21:00:00,0,939.9481,9.224
34,2016-11-24,21:15:00,0,939.8571,9.225
35,2016-11-24,21:30:00,0,939.8411,9.224
36,2016-11-24,21:45:00,0,939.8981,9.224
37,2016-11-24,22:00:00,0,939.7661,9.224
38,2016-11-24,22:15:00,0,939.7740,9.226
39,2016-11-24,22:30:00,0,939.8511,9.223
40,2016-11-24,22:45:00,0,939.8311,9.225
41,2016-11-24,23:00:00,0,940.0410,9.225
42,2016-11-24,23:15:00,0,940.0630,9.225
43,2016-11-24,23:30:00,0,940.0571,9.225
44,2016-11-24,23:45:00,0,940.0740,9.225
45,2016-11-25,00:00:00,0,940.0460,9.226
46,2016-11-25,00:15:00,0,939.9570,9.227
47,2016-11-25,00:30:00,0,939.7731,9.224
48,2016-11-25,00:45:00,0,939.7010,9.225
49,2016-11-25,01:00:00,0,939.6301,9.225
50,2016-11-25,01:15:00,0,939.4631,9.225
51,2016-11-25,01:30:00,0,939.5190,9.227
52,2016-11-25,01:45:00,0,939.6080,9.226
53,2016-11-25,02:00:00,0,939.5500,9.226
54,2016-11-25,02:15:00,0,939.7131,9.226
55,2016-11-25,02:30:00,0,939.7100,9.225
56,2016-11-25,02:45:00,0,939.8940,9.225
57,2016-11-25,03:00:00,0,939.8201,9.227
58,2016-11-25,03:15:00,0,939.7870,9.226
59,2016-11-25,03:30:00,0,939.9420,9.228
60,2016-11-25,03:45:00,0,940.0020,9.227
61,2016-11-25,04:00:00,0,939.9680,9.228
62,2016-11-25,04:15:00,0,939.7581,9.228
63,2016-11-25,04:30:00,0,939.6490,9.226
64,2016-11-25,04:45:00,0,939.6281,9.228
65,2016-11-25,05:00:00,0,939.6141,9.226
66,2016-11-25,05:15:00,0,939.6520,9.227
67,2016-11-25,05:30:00,0,939.5881,9.227
68,2016-11-25,05:45:00,0,939.5430,9.227
69,2016-11-25,06:00:00,0,939.5380,9.227
70,2016-11-25,06:15:00,0,939.7100,9.229
71,2016-11-25,06:30:00,0,939.7661,9.227
72,2016-11-25,06:45:00,0,939.7750,9.228
73,2016-11-25,07:00:00,0,939.7040,9.228
74,2016-11-25,07:15:00,0,939.6910,9.229
75,2016-11-25,07:30:00,0,939.6910,9.229
76,2016-11-25,07:45:00,0,939.7211,9.229
77,2016-11-25,08:00:00,0,939.6520,9.228
78,2016-11-25,08:15:00,0,939.5131,9.229
79,2016-11-25,08:30:00,0,939.3931,9.228
80,2016-11-25,08:45:00,0,939.4431,9.228
81,2016-11-25,09:00:00,0,939.4301,9.228
82,2016-11-25,09:15:00,0,939.2010,9.229
83,2016-11-25,09:30:00,0,939.0010,9.229
84,2016-11-25,09:45:00,0,939.0781,9.228
85,2016-11-25,10:00:00,0,938.9631,9.230
86,2016-11-25,10:15:00,0,938.7980,9.229
87,2016-11-25,10:30:00,0,938.5891,9.228
88,2016-11-25,10:45:00,0,938.3890,9.229
89,2016-11-25,11:00:00,0,938.1511,9.230
90,2016-11-25,11:15:00,0,938.0120,9.230
91,2016-11-25,11:30:00,0,937.8530,9.229
92,2016-11-25,11:45:00,0,937.8090,9.231
93,2016-11-25,12:00:00,0,937.6641,9.230
94,2016-11-25,12:15:00,0,937.5980,9.231
95,2016-11-25,12:30:00,0,937.4321,9.229
96,2016-11-25,12:45:00,0,937.3511,9.230
97,2016-11-25,13:00:00,0,937.2031,9.229
98,2016-11-25,13:15:00,0,937.1171,9.230
99,2016-11-25,13:30:00,0,937.1151,9.230
100,2016-11-25,13:45:00,0,937.1871,9.230
101,2016-11-25,14:00:00,0,937.2770,9.230
102,2016-11-25,14:15:00,0,937.3530,9.230
103,2016-11-25,14:30:00,0,937.5400,9.231
104,2016-11-25,14:45:00,0,937.5031,9.232
105,2016-11-25,15:00:00,0,937.4730,9.230
106,2016-11-25,15:15:00,0,937.5150,9.231
107,2016-11-25,15:30:00,0,937.5190,9.231
108,2016-11-25,15:45:00,0,937.4260,9.231
109,2016-11-25,16:00:00,0,937.5430,9.232
110,2016-11-25,16:15:00,0,937.5731,9.232
111,2016-11-25,16:30:00,0,937.7100,9.232
112,2016-11-25,16:45:00,0,937.6750,9.232
113,2016-11-25,17:00:00,0,937.7520,9.231
114,2016-11-25,17:15:00,0,937.7261,9.233
115,2016-11-25,17:30:00,0,937.8560,9.232
116,2016-11-25,17:45:00,0,937.9561,9.233
117,2016-11-25,18:00:00,0,938.1151,9.233
118,2016-11-25,18:15:00,0,938.1680,9.232
119,2016-11-25,18:30:00,0,938.1960,9.232
120,2016-11-25,18:45:00,0,938.1680,9.232
121,2016-11-25,19:00:00,0,938.2750,9.233
122,2016-11-25,19:15:00,0,938.2520,9.232
123,2016-11-25,19:30:00,0,938.1951,9.233
124,2016-11-25,19:45:00,0,938.2640,9.233
125,2016-11-25,20:00:00,0,938.1940,9.232
126,2016-11-25,20:15:00,0,938.2141,9.233
127,2016-11-25,20:30:00,0,938.2291,9.232
128,2016-11-25,20:45:00,0,938.2300,9.234
129,2016-11-25,21:00:00,0,938.2681,9.233
130,2016-11-25,21:15:00,0,938.3541,9.232
131,2016-11-25,21:30:00,0,938.3281,9.234
132,2016-11-25,21:45:00,0,938.3071,9.234
133,2016-11-25,22:00:00,0,938.2391,9.233
134,2016-11-25,22:15:00,0,938.1351,9.234
135,2016-11-25,22:30:00,0,938.1851,9.235
136,2016-11-25,22:45:00,0,938.3260,9.233
137,2016-11-25,23:00:00,0,938.2620,9.235
138,2016-11-25,23:15:00,0,938.2590,9.234
139,2016-11-25,23:30:00,0,938.3400,9.237
140,2016-11-25,23:45:00,0,938.3080,9.235
141,2016-11-26,00:00:00,0,938.3350,9.235
142,2016-11-26,00:15:00,0,938.1700,9.235
143,2016-11-26,00:30:00,0,938.1011,9.235
144,2016-11-26,00:45:00,0,938.1730,9.234
145,2016-11-26,01:00:00,0,938.1671,9.235
146,2016-11-26,01:15:00,0,938.3260,9.235
147,2016-11-26,01:30:00,0,938.3610,9.235
148,2016-11-26,01:45:00,0,938.5181,9.238
149,2016-11-26,02:00:00,0,938.5930,9.237
150,2016-11-26,02:15:00,0,938.6221,9.236
151,2016-11-26,02:30:00,0,938.5430,9.235
152,2016-11-26,02:45:00,0,938.4460,9.235
153,2016-11-26,03:00:00,0,938.3600,9.235
154,2016-11-26,03:15:00,0,938.2750,9.237
155,2016-11-26,03:30:00,0,938.2910,9.236
156,2016-11-26,03:45:00,0,938.1940,9.237
157,2016-11-26,04:00:00,0,938.2610,9.237
158,2016-11-26,04:15:00,0,938.2581,9.236
159,2016-11-26,04:30:00,0,938.2770,9.236
160,2016-11-26,04:45:00,0,938.1780,9.237
161,2016-11-26,05:00:00,0,938.1360,9.237
162,2016-11-26,05:15:00,0,938.1600,9.237
163,2016-11-26,05:30:00,0,938.3010,9.238
164,2016-11-26,05:45:00,0,938.4611,9.237
165,2016-11-26,06:00:00,0,938.5790,9.237
166,2016-11-26,06:15:00,0,938.6201,9.237
167,2016-11-26,06:30:00,0,938.4990,9.238
168,2016-11-26,06:45:00,0,938.4940,9.238
169,2016-11-26,07:00:00,0,938.4720,9.238
170,2016-11-26,07:15:00,0,938.5090,9.238
171,2016-11-26,07:30:00,0,938.2261,9.238
172,2016-11-26,07:45:00,0,938.3071,9.238
173,2016-11-26,08:00:00,0,938.3090,9.239
174,2016-11-26,08:15:00,0,938.2661,9.238
175,2016-11-26,08:30:00,0,938.2430,9.238
176,2016-11-26,08:45:00,0,938.1481,9.239
177,2016-11-26,09:00:00,0,938.0640,9.238
178,2016-11-26,09:15:00,0,938.1490,9.237
179,2016-11-26,09:30:00,0,938.1821,9.238
180,2016-11-26,09:45:00,0,938.2841,9.240
181,2016-11-26,10:00:00,0,938.3090,9.240
182,2016-11-26,10:15:00,0,938.1821,9.239
183,2016-11-26,10:30:00,0,938.0621,9.239
184,2016-11-26,10:45:00,0,937.8541,9.239
185,2016-11-26,11:00:00,0,937.6960,9.238
186,2016-11-26,11:15:00,0,937.6171,9.240
187,2016-11-26,11:30:00,0,937.5320,9.240
188,2016-11-26,11:45:00,0,937.4800,9.240
189,2016-11-26,12:00:00,0,937.4000,9.240
190,2016-11-26,12:15:00,0,937.2711,9.240
191,2016-11-26,12:30:00,0,937.1520,9.238
192,2016-11-26,12:45:00,0,937.1541,9.240
193,2016-11-26,13:00:00,0,937.0950,9.240
194,2016-11-26,13:15:00,0,937.1121,9.240
195,2016-11-26,13:30:00,0,937.1700,9.240
196,2016-11-26,13:45:00,0,937.1580,9.241
197,2016-11-26,14:00:00,0,937.2471,9.240
198,2016-11-26,14:15:00,0,937.2941,9.241
199,2016-11-26,14:30:00,0,937.4330,9.240
200,2016-11-26,14:45:00,0,937.5010,9.241
201,2016-11-26,15:00:00,0,937.6021,9.242
202,2016-11-26,15:15:00,0,937.6500,9.241
203,2016-11-26,15:30:00,0,937.7200,9.241
204,2016-11-26,15:45:00,0,937.8480,9.241
205,2016-11-26,16:00:00,0,937.8721,9.240
206,2016-11-26,16:15:00,0,937.9910,9.242
207,2016-11-26,16:30:00,0,938.1370,9.242
208,2016-11-26,16:45:00,0,938.1790,9.241
209,2016-11-26,17:00:00,0,938.1771,9.242
210,2016-11-26,17:15:00,0,938.2141,9.242
211,2016-11-26,17:30:00,0,938.3080,9.243
212,2016-11-26,17:45:00,0,938.3411,9.241
213,2016-11-26,18:00:00,0,938.3030,9.242
214,2016-11-26,18:15:00,0,938.2750,9.243
215,2016-11-26,18:30:00,0,938.2700,9.242
216,2016-11-26,18:45:00,0,938.1660,9.243
217,2016-11-26,19:00:00,0,938.0670,9.243
218,2016-11-26,19:15:00,0,938.0220,9.243
219,2016-11-26,19:30:00,0,938.0911,9.242
220,2016-11-26,19:45:00,0,938.0870,9.243
221,2016-11-26,20:00:00,0,938.1080,9.243
222,2016-11-26,20:15:00,0,938.1580,9.243
223,2016-11-26,20:30:00,0,938.1390,9.243
224,2016-11-26,20:45:00,0,938.1141,9.243
225,2016-11-26,21:00:00,0,937.9990,9.245
226,2016-11-26,21:15:00,0,937.9860,9.244
227,2016-11-26,21:30:00,0,937.9600,9.242
228,2016-11-26,21:45:00,0,937.9141,9.244
229,2016-11-26,22:00:00,0,937.7620,9.243
230,2016-11-26,22:15:00,0,937.7921,9.244
231,2016-11-26,22:30:00,0,937.7451,9.244
232,2016-11-26,22:45:00,0,937.7631,9.244
233,2016-11-26,23:00:00,0,937.7241,9.243
234,2016-11-26,23:15:00,0,937.7031,9.245
235,2016-11-26,23:30:00,0,937.6721,9.244
236,2016-11-26,23:45:00,0,937.6750,9.245
237,2016-11-27,00:00:00,0,937.7211,9.245
238,2016-11-27,00:15:00,0,937.7241,9.244
239,2016-11-27,00:30:00,0,937.7180,9.244
240,2016-11-27,00:45:00,0,937.7520,9.245
241,2016-11-27,01:00:00,0,937.6951,9.244
242,2016-11-27,01:15:00,0,937.7120,9.245
243,2016-11-27,01:30:00,0,937.8181,9.245
244,2016-11-27,01:45:00,0,937.9070,9.244
245,2016-11-27,02:00:00,0,937.8890,9.245
246,2016-11-27,02:15:00,0,937.9520,9.245
247,2016-11-27,02:30:00,0,937.9280,9.245
248,2016-11-27,02:45:00,0,937.8710,9.245
249,2016-11-27,03:00:00,0,937.8760,9.246
250,2016-11-27,03:15:00,0,937.8331,9.247
251,2016-11-27,03:30:00,0,937.8441,9.246
252,2016-11-27,03:45:00,0,937.7891,9.247
253,2016-11-27,04:00:00,0,937.8690,9.246
254,2016-11-27,04:15:00,0,937.8970,9.245
255,2016-11-27,04:30:00,0,937.9250,9.246
256,2016-11-27,04:45:00,0,937.7791,9.247
257,2016-11-27,05:00:00,0,937.7870,9.246
258,2016-11-27,05:15:00,0,937.8270,9.246
259,2016-11-27,05:30:00,0,937.8610,9.246
260,2016-11-27,05:45:00,0,937.8690,9.248
261,2016-11-27,06:00:00,0,937.8071,9.247
262,2016-11-27,06:15:00,0,937.7820,9.247
263,2016-11-27,06:30:00,0,937.7891,9.247
264,2016-11-27,06:45:00,0,937.8040,9.246
265,2016-11-27,07:00:00,0,937.8361,9.249
266,2016-11-27,07:15:00,0,937.8580,9.247
267,2016-11-27,07:30:00,0,937.8810,9.247
268,2016-11-27,07:45:00,0,937.8931,9.246
269,2016-11-27,08:00:00,0,937.9100,9.247
270,2016-11-27,08:15:00,0,937.9100,9.248
271,2016-11-27,08:30:00,0,937.8651,9.249
272,2016-11-27,08:45:00,0,937.7230,9.248
273,2016-11-27,09:00:00,0,937.7070,9.248
274,2016-11-27,09:15:00,0,937.7001,9.248
275,2016-11-27,09:30:00,0,937.6931,9.247
276,2016-11-27,09:45:00,0,937.5640,9.250
277,2016-11-27,10:00:00,0,937.5040,9.250
278,2016-11-27,10:15:00,0,937.3730,9.249
279,2016-11-27,10:30:00,0,937.2731,9.249
280,2016-11-27,10:45:00,0,937.0881,9.249
281,2016-11-27,11:00:00,0,936.9680,9.249
282,2016-11-27,11:15:00,0,936.8690,9.249
283,2016-11-27,11:30:00,0,936.8000,9.250
284,2016-11-27,11:45:00,0,936.6741,9.250
285,2016-11-27,12:00:00,0,936.6151,9.249
286,2016-11-27,12:15:00,0,936.4271,9.250
287,2016-11-27,12:30:00,0,936.3411,9.249
288,2016-11-27,12:45:00,0,936.3290,9.250
289,2016-11-27,13:00:00,0,936.1981,9.250
290,2016-11-27,13:15:00,0,936.3051,9.250
291,2016-11-27,13:30:00,0,936.2480,9.250
292,2016-11-27,13:45:00,0,936.3220,9.250
293,2016-11-27,14:00:00,0,936.3660,9.251
294,2016-11-27,14:15:00,0,936.4241,9.251
295,2016-11-27,14:30:00,0,936.4490,9.250
296,2016-11-27,14:45:00,0,936.4351,9.252
297,2016-11-27,15:00:00,0,936.4481,9.250
298,2016-11-27,15:15:00,0,936.5430,9.252
299,2016-11-27,15:30:00,0,936.4301,9.250
300,2016-11-27,15:45:00,0,936.5010,9.251
301,2016-11-27,16:00:00,0,936.5070,9.251
302,2016-11-27,16:15:00,0,936.5590,9.251
303,2016-11-27,16:30:00,0,936.5920,9.252
304,2016-11-27,16:45:00,0,936.5660,9.252
305,2016-11-27,17:00:00,0,936.5660,9.252
306,2016-11-27,17:15:00,0,936.5510,9.253
307,2016-11-27,17:30:00,0,936.5811,9.253
308,2016-11-27,17:45:00,0,936.6680,9.253
309,2016-11-27,18:00:00,0,936.5720,9.253
310,2016-11-27,18:15:00,0,936.5710,9.252
311,2016-11-27,18:30:00,0,936.5020,9.252
312,2016-11-27,18:45:00,0,936.5010,9.252
313,2016-11-27,19:00:00,0,936.4570,9.251
314,2016-11-27,19:15:00,0,936.2971,9.254
315,2016-11-27,19:30:00,0,936.3430,9.252
316,2016-11-27,19:45:00,0,936.3140,9.252
317,2016-11-27,20:00:00,0,936.3181,9.253
318,2016-11-27,20:15:00,0,936.2841,9.253
319,2016-11-27,20:30:00,0,936.2200,9.253
320,2016-11-27,20:45:00,0,936.2460,9.253
321,2016-11-27,21:00:00,0,936.0941,9.255
322,2016-11-27,21:15:00,0,936.0670,9.254
323,2016-11-27,21:30:00,0,936.0720,9.253
324,2016-11-27,21:45:00,0,935.9620,9.254
325,2016-11-27,22:00:00,0,936.0131,9.253
326,2016-11-27,22:15:00,0,936.0831,9.253
327,2016-11-27,22:30:00,0,936.1470,9.254
328,2016-11-27,22:45:00,0,936.0870,9.254
329,2016-11-27,23:00:00,0,936.1871,9.255
330,2016-11-27,23:15:00,0,936.1771,9.253
331,2016-11-27,23:30:00,0,936.2401,9.254
332,2016-11-27,23:45:00,0,936.1240,9.254
333,2016-11-28,00:00:00,0,936.1270,9.255
334,2016-11-28,00:15:00,0,936.1741,9.254
335,2016-11-28,00:30:00,0,936.3000,9.255
336,2016-11-28,00:45:00,0,936.3760,9.254
337,2016-11-28,01:00:00,0,936.3521,9.254
338,2016-11-28,01:15:00,0,936.3660,9.254
339,2016-11-28,01:30:00,0,936.3990,9.255
340,2016-11-28,01:45:00,0,936.4200,9.254
341,2016-11-28,02:00:00,0,936.4070,9.256
