Serial_number:
2009772
Project ID:
03030017
Location:
Bromont_PO-02-B
LEVEL
UNIT: cm
Offset: 0,000000 cm
TEMPERATURE
UNIT: °C
Date;Time;ms;LEVEL;TEMPERATURE
2016/11/25;13:00:00;0;1792,61;10,129
2016/11/25;13:15:00;0;1792,64;10,127
2016/11/25;13:30:00;0;1792,66;10,126
2016/11/25;13:45:00;0;1792,78;10,125
2016/11/25;14:00:00;0;1792,99;10,125
2016/11/25;14:15:00;0;1793,21;10,124
2016/11/25;14:30:00;0;1793,34;10,124
2016/11/25;14:45:00;0;1793,46;10,123
2016/11/25;15:00:00;0;1793,52;10,124
2016/11/25;15:15:00;0;1793,62;10,123
2016/11/25;15:30:00;0;1793,61;10,123
2016/11/25;15:45:00;0;1793,62;10,123
2016/11/25;16:00:00;0;1793,51;10,123
2016/11/25;16:15:00;0;1793,41;10,123
2016/11/25;16:30:00;0;1793,36;10,123
2016/11/25;16:45:00;0;1793,23;10,124
2016/11/25;17:00:00;0;1793,07;10,123
2016/11/25;17:15:00;0;1792,70;10,125
2016/11/25;17:30:00;0;1792,48;10,125
2016/11/25;17:45:00;0;1792,32;10,126
2016/11/25;18:00:00;0;1792,11;10,125
2016/11/25;18:15:00;0;1791,84;10,126
2016/11/25;18:30:00;0;1791,68;10,127
2016/11/25;18:45:00;0;1791,43;10,127
2016/11/25;19:00:00;0;1791,16;10,127
2016/11/25;19:15:00;0;1790,92;10,127
2016/11/25;19:30:00;0;1790,60;10,128
2016/11/25;19:45:00;0;1790,37;10,127
2016/11/25;20:00:00;0;1790,16;10,127
2016/11/25;20:15:00;0;1789,95;10,128
2016/11/25;20:30:00;0;1789,84;10,128
2016/11/25;20:45:00;0;1789,69;10,127
2016/11/25;21:00:00;0;1789,42;10,126
2016/11/25;21:15:00;0;1789,42;10,127
2016/11/25;21:30:00;0;1789,41;10,127
2016/11/25;21:45:00;0;1789,37;10,126
2016/11/25;22:00:00;0;1789,40;10,125
2016/11/25;22:15:00;0;1789,43;10,125
2016/11/25;22:30:00;0;1789,55;10,125
2016/11/25;22:45:00;0;1789,74;10,124
2016/11/25;23:00:00;0;1789,90;10,124
2016/11/25;23:15:00;0;1790,09;10,123
2016/11/25;23:30:00;0;1790,30;10,124
2016/11/25;23:45:00;0;1790,59;10,123
2016/11/26;00:00:00;0;1790,77;10,121
2016/11/26;00:15:00;0;1790,88;10,121
2016/11/26;00:30:00;0;1791,10;10,120
2016/11/26;00:45:00;0;1791,46;10,120
2016/11/26;01:00:00;0;1791,84;10,119
2016/11/26;01:15:00;0;1792,07;10,119
2016/11/26;01:30:00;0;1792,47;10,119
2016/11/26;01:45:00;0;1792,86;10,119
2016/11/26;02:00:00;0;1793,14;10,119
2016/11/26;02:15:00;0;1793,49;10,118
2016/11/26;02:30:00;0;1793,69;10,118
2016/11/26;02:45:00;0;1793,85;10,119
2016/11/26;03:00:00;0;1794,03;10,119
2016/11/26;03:15:00;0;1794,11;10,119
2016/11/26;03:30:00;0;1794,08;10,120
2016/11/26;03:45:00;0;1794,22;10,120
2016/11/26;04:00:00;0;1794,40;10,120
2016/11/26;04:15:00;0;1794,34;10,120
2016/11/26;04:30:00;0;1794,34;10,120
2016/11/26;04:45:00;0;1794,39;10,121
