Serial_number:
2009772
Project ID:
03030017
Location:
Bromont_PO-02-B
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/05/03,13:00:00,0,1814.62,8.808
2017/05/03,13:15:00,0,1815.00,8.845
2017/05/03,13:30:00,0,1814.90,8.807
2017/05/03,13:45:00,0,1814.72,8.824
2017/05/03,14:00:00,0,1814.92,8.805
2017/05/03,14:15:00,0,1815.17,8.847
2017/05/03,14:30:00,0,1815.18,8.838
2017/05/03,14:45:00,0,1815.30,8.863
2017/05/03,15:00:00,0,1815.40,8.847
2017/05/03,15:15:00,0,1815.55,8.822
2017/05/03,15:30:00,0,1815.52,8.839
2017/05/03,15:45:00,0,1815.57,8.842
2017/05/03,16:00:00,0,1815.55,8.836
2017/05/03,16:15:00,0,1815.45,8.836
2017/05/03,16:30:00,0,1815.39,8.834
2017/05/03,16:45:00,0,1815.46,8.855
2017/05/03,17:00:00,0,1815.41,8.847
2017/05/03,17:15:00,0,1815.35,8.819
2017/05/03,17:30:00,0,1815.33,8.859
2017/05/03,17:45:00,0,1815.26,8.841
2017/05/03,18:00:00,0,1815.34,8.847
2017/05/03,18:15:00,0,1815.50,8.834
2017/05/03,18:30:00,0,1815.76,8.827
2017/05/03,18:45:00,0,1815.85,8.823
2017/05/03,19:00:00,0,1815.88,8.822
2017/05/03,19:15:00,0,1815.94,8.823
2017/05/03,19:30:00,0,1816.06,8.834
2017/05/03,19:45:00,0,1816.21,8.857
2017/05/03,20:00:00,0,1816.36,8.832
2017/05/03,20:15:00,0,1816.47,8.830
2017/05/03,20:30:00,0,1816.84,8.857
2017/05/03,20:45:00,0,1817.01,8.845
2017/05/03,21:00:00,0,1817.33,8.834
2017/05/03,21:15:00,0,1817.53,8.839
2017/05/03,21:30:00,0,1817.88,8.847
2017/05/03,21:45:00,0,1818.21,8.808
2017/05/03,22:00:00,0,1818.51,8.841
2017/05/03,22:15:00,0,1818.68,8.866
2017/05/03,22:30:00,0,1818.96,8.847
2017/05/03,22:45:00,0,1819.30,8.799
2017/05/03,23:00:00,0,1819.84,8.833
2017/05/03,23:15:00,0,1820.35,8.823
2017/05/03,23:30:00,0,1820.97,8.825
2017/05/03,23:45:00,0,1821.27,8.866
2017/05/04,00:00:00,0,1821.60,8.810
2017/05/04,00:15:00,0,1821.83,8.850
2017/05/04,00:30:00,0,1822.14,8.846
2017/05/04,00:45:00,0,1822.45,8.831
2017/05/04,01:00:00,0,1822.71,8.825
2017/05/04,01:15:00,0,1822.79,8.843
2017/05/04,01:30:00,0,1822.91,8.849
2017/05/04,01:45:00,0,1823.09,8.870
2017/05/04,02:00:00,0,1823.24,8.826
2017/05/04,02:15:00,0,1823.59,8.821
2017/05/04,02:30:00,0,1823.81,8.812
2017/05/04,02:45:00,0,1823.79,8.831
2017/05/04,03:00:00,0,1823.78,8.849
2017/05/04,03:15:00,0,1823.62,8.883
2017/05/04,03:30:00,0,1823.48,8.834
2017/05/04,03:45:00,0,1823.37,8.842
2017/05/04,04:00:00,0,1823.28,8.839
2017/05/04,04:15:00,0,1823.19,8.810
2017/05/04,04:30:00,0,1823.09,8.827
2017/05/04,04:45:00,0,1822.89,8.801
2017/05/04,05:00:00,0,1822.85,8.849
2017/05/04,05:15:00,0,1822.70,8.858
2017/05/04,05:30:00,0,1822.74,8.834
2017/05/04,05:45:00,0,1822.78,8.807
2017/05/04,06:00:00,0,1822.51,8.861
2017/05/04,06:15:00,0,1822.45,8.847
2017/05/04,06:30:00,0,1822.30,8.833
2017/05/04,06:45:00,0,1822.27,8.835
2017/05/04,07:00:00,0,1822.22,8.867
2017/05/04,07:15:00,0,1821.99,8.808
2017/05/04,07:30:00,0,1822.13,8.784
2017/05/04,07:45:00,0,1822.20,8.823
2017/05/04,08:00:00,0,1822.11,8.839
2017/05/04,08:15:00,0,1822.16,8.826
2017/05/04,08:30:00,0,1822.22,8.831
2017/05/04,08:45:00,0,1822.29,8.834
2017/05/04,09:00:00,0,1822.33,8.802
2017/05/04,09:15:00,0,1822.18,8.797
2017/05/04,09:30:00,0,1822.12,8.893
2017/05/04,09:45:00,0,1822.16,8.814
2017/05/04,10:00:00,0,1822.15,8.855
2017/05/04,10:15:00,0,1822.25,8.803
2017/05/04,10:30:00,0,1822.35,8.824
2017/05/04,10:45:00,0,1822.36,8.861
2017/05/04,11:00:00,0,1822.44,8.849
2017/05/04,11:15:00,0,1822.28,8.838
2017/05/04,11:30:00,0,1822.17,8.833
2017/05/04,11:45:00,0,1822.27,8.809
2017/05/04,12:00:00,0,1822.24,8.856
2017/05/04,12:15:00,0,1822.10,8.847
2017/05/04,12:30:00,0,1822.09,8.860
2017/05/04,12:45:00,0,1822.03,8.802
2017/05/04,13:00:00,0,1822.09,8.837
2017/05/04,13:15:00,0,1822.08,8.846
2017/05/04,13:30:00,0,1822.06,8.847
2017/05/04,13:45:00,0,1822.06,8.842
2017/05/04,14:00:00,0,1821.83,8.849
2017/05/04,14:15:00,0,1821.76,8.841
2017/05/04,14:30:00,0,1821.79,8.819
2017/05/04,14:45:00,0,1821.71,8.826
2017/05/04,15:00:00,0,1821.56,8.845
2017/05/04,15:15:00,0,1821.37,8.830
2017/05/04,15:30:00,0,1821.17,8.853
2017/05/04,15:45:00,0,1821.02,8.838
2017/05/04,16:00:00,0,1820.86,8.843
2017/05/04,16:15:00,0,1820.81,8.846
2017/05/04,16:30:00,0,1820.58,8.861
2017/05/04,16:45:00,0,1820.40,8.853
2017/05/04,17:00:00,0,1820.11,8.807
2017/05/04,17:15:00,0,1819.84,8.807
2017/05/04,17:30:00,0,1819.78,8.820
2017/05/04,17:45:00,0,1819.51,8.875
2017/05/04,18:00:00,0,1819.31,8.828
2017/05/04,18:15:00,0,1819.11,8.858
2017/05/04,18:30:00,0,1818.91,8.887
2017/05/04,18:45:00,0,1818.66,8.855
2017/05/04,19:00:00,0,1818.48,8.820
2017/05/04,19:15:00,0,1818.06,8.876
2017/05/04,19:30:00,0,1817.99,8.843
2017/05/04,19:45:00,0,1817.86,8.865
2017/05/04,20:00:00,0,1817.82,8.853
2017/05/04,20:15:00,0,1817.96,8.844
