Serial_number:
2010134
Project ID:
03030013
Location:
Saint-Guillaume
LEVEL
UNIT: cm
Offset: 0,000000 cm
TEMPERATURE
UNIT: °C
Date;Time;ms;LEVEL;TEMPERATURE
2016/11/24;13:00:00;0;2033,73;8,764
2016/11/24;13:15:00;0;2033,71;8,762
2016/11/24;13:30:00;0;2033,67;8,761
2016/11/24;13:45:00;0;2033,73;8,761
2016/11/24;14:00:00;0;2033,67;8,761
2016/11/24;14:15:00;0;2033,68;8,761
2016/11/24;14:30:00;0;2033,73;8,761
2016/11/24;14:45:00;0;2033,67;8,761
2016/11/24;15:00:00;0;2033,73;8,761
2016/11/24;15:15:00;0;2033,73;8,761
2016/11/24;15:30:00;0;2033,77;8,761
2016/11/24;15:45:00;0;2033,68;8,761
2016/11/24;16:00:00;0;2033,70;8,761
2016/11/24;16:15:00;0;2033,63;8,761
2016/11/24;16:30:00;0;2033,71;8,762
2016/11/24;16:45:00;0;2033,77;8,762
2016/11/24;17:00:00;0;2033,81;8,761
2016/11/24;17:15:00;0;2033,75;8,762
2016/11/24;17:30:00;0;2033,74;8,761
2016/11/24;17:45:00;0;2033,72;8,762
2016/11/24;18:00:00;0;2033,62;8,763
2016/11/24;18:15:00;0;2033,68;8,762
2016/11/24;18:30:00;0;2033,62;8,763
2016/11/24;18:45:00;0;2033,63;8,763
2016/11/24;19:00:00;0;2033,69;8,763
2016/11/24;19:15:00;0;2033,56;8,763
2016/11/24;19:30:00;0;2033,60;8,763
2016/11/24;19:45:00;0;2033,60;8,763
2016/11/24;20:00:00;0;2033,56;8,763
2016/11/24;20:15:00;0;2033,50;8,764
2016/11/24;20:30:00;0;2033,46;8,764
2016/11/24;20:45:00;0;2033,43;8,763
2016/11/24;21:00:00;0;2033,44;8,763
2016/11/24;21:15:00;0;2033,41;8,764
2016/11/24;21:30:00;0;2033,37;8,763
2016/11/24;21:45:00;0;2033,35;8,763
2016/11/24;22:00:00;0;2033,31;8,763
2016/11/24;22:15:00;0;2033,29;8,763
2016/11/24;22:30:00;0;2033,35;8,763
2016/11/24;22:45:00;0;2033,36;8,763
2016/11/24;23:00:00;0;2033,54;8,763
2016/11/24;23:15:00;0;2033,60;8,763
2016/11/24;23:30:00;0;2033,53;8,762
2016/11/24;23:45:00;0;2033,58;8,762
2016/11/25;00:00:00;0;2033,57;8,763
2016/11/25;00:15:00;0;2033,51;8,763
2016/11/25;00:30:00;0;2033,38;8,763
2016/11/25;00:45:00;0;2033,30;8,763
2016/11/25;01:00:00;0;2033,27;8,763
2016/11/25;01:15:00;0;2033,13;8,763
2016/11/25;01:30:00;0;2033,24;8,763
2016/11/25;01:45:00;0;2033,33;8,763
2016/11/25;02:00:00;0;2033,30;8,763
2016/11/25;02:15:00;0;2033,43;8,763
2016/11/25;02:30:00;0;2033,47;8,763
2016/11/25;02:45:00;0;2033,62;8,763
2016/11/25;03:00:00;0;2033,55;8,763
2016/11/25;03:15:00;0;2033,52;8,763
2016/11/25;03:30:00;0;2033,69;8,763
2016/11/25;03:45:00;0;2033,76;8,763
2016/11/25;04:00:00;0;2033,66;8,762
2016/11/25;04:15:00;0;2033,54;8,763
2016/11/25;04:30:00;0;2033,41;8,763
2016/11/25;04:45:00;0;2033,43;8,763
2016/11/25;05:00:00;0;2033,42;8,763
2016/11/25;05:15:00;0;2033,41;8,763
2016/11/25;05:30:00;0;2033,39;8,763
2016/11/25;05:45:00;0;2033,37;8,763
2016/11/25;06:00:00;0;2033,33;8,763
2016/11/25;06:15:00;0;2033,47;8,764
2016/11/25;06:30:00;0;2033,57;8,763
2016/11/25;06:45:00;0;2033,51;8,764
2016/11/25;07:00:00;0;2033,46;8,763
2016/11/25;07:15:00;0;2033,46;8,763
2016/11/25;07:30:00;0;2033,44;8,762
2016/11/25;07:45:00;0;2033,48;8,763
2016/11/25;08:00:00;0;2033,39;8,763
2016/11/25;08:15:00;0;2033,31;8,763
2016/11/25;08:30:00;0;2033,18;8,763
2016/11/25;08:45:00;0;2033,25;8,763
2016/11/25;09:00:00;0;2033,23;8,764
2016/11/25;09:15:00;0;2032,99;8,763
2016/11/25;09:30:00;0;2032,86;8,763
2016/11/25;09:45:00;0;2032,96;8,763
2016/11/25;10:00:00;0;2032,82;8,763
2016/11/25;10:15:00;0;2032,68;8,763
2016/11/25;10:30:00;0;2032,49;8,763
2016/11/25;10:45:00;0;2032,33;8,764
2016/11/25;11:00:00;0;2032,17;8,764
2016/11/25;11:15:00;0;2032,11;8,763
2016/11/25;11:30:00;0;2031,94;8,763
2016/11/25;11:45:00;0;2031,87;8,763
2016/11/25;12:00:00;0;2031,76;8,763
2016/11/25;12:15:00;0;2031,74;8,763
2016/11/25;12:30:00;0;2031,60;8,764
2016/11/25;12:45:00;0;2031,48;8,762
2016/11/25;13:00:00;0;2031,35;8,763
2016/11/25;13:15:00;0;2031,29;8,762
2016/11/25;13:30:00;0;2031,26;8,763
2016/11/25;13:45:00;0;2031,32;8,762
2016/11/25;14:00:00;0;2031,40;8,763
2016/11/25;14:15:00;0;2031,43;8,763
2016/11/25;14:30:00;0;2031,52;8,763
2016/11/25;14:45:00;0;2031,50;8,763
2016/11/25;15:00:00;0;2031,49;8,763
2016/11/25;15:15:00;0;2031,51;8,763
2016/11/25;15:30:00;0;2031,44;8,763
2016/11/25;15:45:00;0;2031,39;8,763
2016/11/25;16:00:00;0;2031,41;8,763
2016/11/25;16:15:00;0;2031,44;8,763
2016/11/25;16:30:00;0;2031,53;8,763
2016/11/25;16:45:00;0;2031,45;8,763
2016/11/25;17:00:00;0;2031,46;8,763
2016/11/25;17:15:00;0;2031,42;8,763
2016/11/25;17:30:00;0;2031,47;8,763
2016/11/25;17:45:00;0;2031,51;8,763
2016/11/25;18:00:00;0;2031,58;8,763
2016/11/25;18:15:00;0;2031,60;8,763
2016/11/25;18:30:00;0;2031,55;8,763
2016/11/25;18:45:00;0;2031,46;8,763
2016/11/25;19:00:00;0;2031,55;8,763
2016/11/25;19:15:00;0;2031,44;8,763
2016/11/25;19:30:00;0;2031,37;8,764
2016/11/25;19:45:00;0;2031,33;8,763
2016/11/25;20:00:00;0;2031,24;8,763
2016/11/25;20:15:00;0;2031,19;8,763
2016/11/25;20:30:00;0;2031,21;8,763
2016/11/25;20:45:00;0;2031,16;8,763
2016/11/25;21:00:00;0;2031,12;8,763
2016/11/25;21:15:00;0;2031,16;8,764
2016/11/25;21:30:00;0;2031,09;8,764
2016/11/25;21:45:00;0;2031,01;8,763
2016/11/25;22:00:00;0;2030,91;8,764
2016/11/25;22:15:00;0;2030,79;8,763
2016/11/25;22:30:00;0;2030,86;8,764
2016/11/25;22:45:00;0;2030,98;8,764
2016/11/25;23:00:00;0;2030,84;8,763
2016/11/25;23:15:00;0;2030,81;8,764
2016/11/25;23:30:00;0;2030,86;8,763
2016/11/25;23:45:00;0;2030,79;8,764
2016/11/26;00:00:00;0;2030,83;8,764
2016/11/26;00:15:00;0;2030,66;8,763
2016/11/26;00:30:00;0;2030,62;8,763
2016/11/26;00:45:00;0;2030,69;8,763
2016/11/26;01:00:00;0;2030,65;8,763
2016/11/26;01:15:00;0;2030,77;8,764
2016/11/26;01:30:00;0;2030,81;8,763
2016/11/26;01:45:00;0;2030,95;8,763
2016/11/26;02:00:00;0;2031,03;8,764
2016/11/26;02:15:00;0;2030,96;8,764
2016/11/26;02:30:00;0;2030,89;8,763
2016/11/26;02:45:00;0;2030,79;8,763
2016/11/26;03:00:00;0;2030,79;8,763
2016/11/26;03:15:00;0;2030,65;8,764
2016/11/26;03:30:00;0;2030,68;8,764
2016/11/26;03:45:00;0;2030,59;8,764
2016/11/26;04:00:00;0;2030,67;8,763
2016/11/26;04:15:00;0;2030,62;8,764
2016/11/26;04:30:00;0;2030,59;8,764
2016/11/26;04:45:00;0;2030,53;8,763
2016/11/26;05:00:00;0;2030,52;8,763
2016/11/26;05:15:00;0;2030,48;8,764
2016/11/26;05:30:00;0;2030,61;8,763
2016/11/26;05:45:00;0;2030,75;8,764
2016/11/26;06:00:00;0;2030,80;8,763
2016/11/26;06:15:00;0;2030,81;8,764
2016/11/26;06:30:00;0;2030,66;8,764
2016/11/26;06:45:00;0;2030,65;8,763
2016/11/26;07:00:00;0;2030,62;8,765
2016/11/26;07:15:00;0;2030,61;8,764
2016/11/26;07:30:00;0;2030,37;8,763
2016/11/26;07:45:00;0;2030,44;8,764
2016/11/26;08:00:00;0;2030,39;8,764
2016/11/26;08:15:00;0;2030,36;8,764
2016/11/26;08:30:00;0;2030,37;8,765
2016/11/26;08:45:00;0;2030,26;8,764
2016/11/26;09:00:00;0;2030,18;8,764
2016/11/26;09:15:00;0;2030,24;8,764
2016/11/26;09:30:00;0;2030,26;8,764
2016/11/26;09:45:00;0;2030,38;8,764
2016/11/26;10:00:00;0;2030,32;8,764
2016/11/26;10:15:00;0;2030,25;8,764
2016/11/26;10:30:00;0;2030,16;8,764
2016/11/26;10:45:00;0;2029,97;8,765
2016/11/26;11:00:00;0;2029,84;8,764
2016/11/26;11:15:00;0;2029,81;8,764
2016/11/26;11:30:00;0;2029,74;8,764
2016/11/26;11:45:00;0;2029,71;8,764
2016/11/26;12:00:00;0;2029,61;8,764
2016/11/26;12:15:00;0;2029,57;8,764
2016/11/26;12:30:00;0;2029,42;8,764
2016/11/26;12:45:00;0;2029,45;8,764
2016/11/26;13:00:00;0;2029,42;8,764
2016/11/26;13:15:00;0;2029,41;8,764
2016/11/26;13:30:00;0;2029,47;8,764
2016/11/26;13:45:00;0;2029,42;8,765
2016/11/26;14:00:00;0;2029,53;8,765
2016/11/26;14:15:00;0;2029,58;8,765
2016/11/26;14:30:00;0;2029,70;8,765
2016/11/26;14:45:00;0;2029,74;8,765
2016/11/26;15:00:00;0;2029,81;8,765
2016/11/26;15:15:00;0;2029,85;8,765
2016/11/26;15:30:00;0;2029,91;8,764
2016/11/26;15:45:00;0;2030,01;8,764
2016/11/26;16:00:00;0;2030,03;8,765
2016/11/26;16:15:00;0;2030,10;8,765
2016/11/26;16:30:00;0;2030,24;8,766
2016/11/26;16:45:00;0;2030,23;8,766
2016/11/26;17:00:00;0;2030,19;8,766
2016/11/26;17:15:00;0;2030,23;8,766
2016/11/26;17:30:00;0;2030,26;8,765
2016/11/26;17:45:00;0;2030,28;8,766
2016/11/26;18:00:00;0;2030,22;8,765
2016/11/26;18:15:00;0;2030,16;8,765
2016/11/26;18:30:00;0;2030,12;8,766
2016/11/26;18:45:00;0;2030,04;8,766
2016/11/26;19:00:00;0;2029,91;8,765
2016/11/26;19:15:00;0;2029,85;8,766
2016/11/26;19:30:00;0;2029,89;8,765
2016/11/26;19:45:00;0;2029,82;8,766
2016/11/26;20:00:00;0;2029,83;8,766
2016/11/26;20:15:00;0;2029,78;8,766
2016/11/26;20:30:00;0;2029,78;8,766
2016/11/26;20:45:00;0;2029,69;8,766
2016/11/26;21:00:00;0;2029,59;8,765
2016/11/26;21:15:00;0;2029,55;8,766
2016/11/26;21:30:00;0;2029,48;8,766
2016/11/26;21:45:00;0;2029,42;8,766
2016/11/26;22:00:00;0;2029,26;8,766
2016/11/26;22:15:00;0;2029,30;8,765
2016/11/26;22:30:00;0;2029,27;8,766
2016/11/26;22:45:00;0;2029,24;8,765
2016/11/26;23:00:00;0;2029,18;8,766
2016/11/26;23:15:00;0;2029,18;8,765
2016/11/26;23:30:00;0;2029,16;8,766
2016/11/26;23:45:00;0;2029,16;8,766
2016/11/27;00:00:00;0;2029,17;8,766
2016/11/27;00:15:00;0;2029,20;8,766
2016/11/27;00:30:00;0;2029,21;8,766
2016/11/27;00:45:00;0;2029,24;8,766
2016/11/27;01:00:00;0;2029,18;8,766
2016/11/27;01:15:00;0;2029,24;8,766
2016/11/27;01:30:00;0;2029,33;8,767
2016/11/27;01:45:00;0;2029,41;8,766
2016/11/27;02:00:00;0;2029,43;8,766
2016/11/27;02:15:00;0;2029,50;8,767
2016/11/27;02:30:00;0;2029,49;8,767
2016/11/27;02:45:00;0;2029,51;8,766
2016/11/27;03:00:00;0;2029,50;8,766
2016/11/27;03:15:00;0;2029,48;8,766
2016/11/27;03:30:00;0;2029,47;8,767
2016/11/27;03:45:00;0;2029,49;8,767
2016/11/27;04:00:00;0;2029,60;8,766
2016/11/27;04:15:00;0;2029,63;8,767
2016/11/27;04:30:00;0;2029,67;8,766
2016/11/27;04:45:00;0;2029,55;8,766
2016/11/27;05:00:00;0;2029,56;8,766
2016/11/27;05:15:00;0;2029,62;8,766
2016/11/27;05:30:00;0;2029,68;8,766
2016/11/27;05:45:00;0;2029,71;8,766
