Serial_number:
2010134
Project ID:
03030013
Location:
Saint-Guillaume
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/05/02,13:00:00,0,2027.18,8.979
2017/05/02,13:15:00,0,2027.20,8.979
2017/05/02,13:30:00,0,2026.84,8.979
2017/05/02,13:45:00,0,2026.66,8.979
2017/05/02,14:00:00,0,2026.68,8.976
2017/05/02,14:15:00,0,2026.63,8.975
2017/05/02,14:30:00,0,2026.51,8.974
2017/05/02,14:45:00,0,2026.52,8.973
2017/05/02,15:00:00,0,2026.28,8.972
2017/05/02,15:15:00,0,2026.12,8.971
2017/05/02,15:30:00,0,2025.97,8.971
2017/05/02,15:45:00,0,2025.78,8.971
2017/05/02,16:00:00,0,2025.71,8.969
2017/05/02,16:15:00,0,2025.94,8.969
2017/05/02,16:30:00,0,2025.92,8.969
2017/05/02,16:45:00,0,2025.96,8.968
2017/05/02,17:00:00,0,2026.00,8.967
2017/05/02,17:15:00,0,2026.13,8.968
2017/05/02,17:30:00,0,2026.36,8.967
2017/05/02,17:45:00,0,2026.35,8.967
2017/05/02,18:00:00,0,2026.35,8.967
2017/05/02,18:15:00,0,2026.62,8.967
2017/05/02,18:30:00,0,2026.81,8.966
2017/05/02,18:45:00,0,2027.11,8.967
2017/05/02,19:00:00,0,2027.29,8.966
2017/05/02,19:15:00,0,2027.46,8.966
2017/05/02,19:30:00,0,2027.33,8.965
2017/05/02,19:45:00,0,2027.31,8.965
2017/05/02,20:00:00,0,2027.15,8.965
2017/05/02,20:15:00,0,2027.13,8.966
2017/05/02,20:30:00,0,2027.18,8.966
2017/05/02,20:45:00,0,2027.38,8.965
2017/05/02,21:00:00,0,2027.51,8.965
2017/05/02,21:15:00,0,2027.60,8.965
2017/05/02,21:30:00,0,2027.84,8.964
2017/05/02,21:45:00,0,2027.88,8.964
2017/05/02,22:00:00,0,2027.97,8.964
2017/05/02,22:15:00,0,2027.92,8.965
2017/05/02,22:30:00,0,2027.97,8.964
2017/05/02,22:45:00,0,2028.05,8.964
2017/05/02,23:00:00,0,2028.03,8.964
2017/05/02,23:15:00,0,2028.03,8.963
2017/05/02,23:30:00,0,2028.06,8.963
2017/05/02,23:45:00,0,2028.07,8.963
2017/05/03,00:00:00,0,2028.11,8.964
2017/05/03,00:15:00,0,2028.04,8.963
2017/05/03,00:30:00,0,2028.04,8.963
2017/05/03,00:45:00,0,2028.01,8.963
2017/05/03,01:00:00,0,2027.94,8.963
2017/05/03,01:15:00,0,2028.06,8.964
2017/05/03,01:30:00,0,2028.01,8.963
2017/05/03,01:45:00,0,2027.99,8.963
2017/05/03,02:00:00,0,2027.97,8.963
2017/05/03,02:15:00,0,2027.94,8.962
