Serial_number:
2010143
Project ID:
03040018
Location:
Sutton_PO22B
LEVEL
UNIT: cm
Offset: 0,000000 cm
TEMPERATURE
UNIT: °C
Date;Time;ms;LEVEL;TEMPERATURE
2016/11/25;13:00:00;0;1910,01;8,307
2016/11/25;13:15:00;0;1909,92;8,307
2016/11/25;13:30:00;0;1909,88;8,305
2016/11/25;13:45:00;0;1909,71;8,305
2016/11/25;14:00:00;0;1909,75;8,304
2016/11/25;14:15:00;0;1909,82;8,303
2016/11/25;14:30:00;0;1909,96;8,303
2016/11/25;14:45:00;0;1910,01;8,303
2016/11/25;15:00:00;0;1910,09;8,302
2016/11/25;15:15:00;0;1910,23;8,302
2016/11/25;15:30:00;0;1910,33;8,302
2016/11/25;15:45:00;0;1910,38;8,302
2016/11/25;16:00:00;0;1910,37;8,301
2016/11/25;16:15:00;0;1910,44;8,301
2016/11/25;16:30:00;0;1910,45;8,300
2016/11/25;16:45:00;0;1910,45;8,300
2016/11/25;17:00:00;0;1910,42;8,300
2016/11/25;17:15:00;0;1910,52;8,299
2016/11/25;17:30:00;0;1910,60;8,298
2016/11/25;17:45:00;0;1910,73;8,297
2016/11/25;18:00:00;0;1910,75;8,297
2016/11/25;18:15:00;0;1910,85;8,297
2016/11/25;18:30:00;0;1910,83;8,297
2016/11/25;18:45:00;0;1910,94;8,297
2016/11/25;19:00:00;0;1910,93;8,296
2016/11/25;19:15:00;0;1910,96;8,295
2016/11/25;19:30:00;0;1910,83;8,296
2016/11/25;19:45:00;0;1910,76;8,295
2016/11/25;20:00:00;0;1910,71;8,295
2016/11/25;20:15:00;0;1910,71;8,294
2016/11/25;20:30:00;0;1910,68;8,294
2016/11/25;20:45:00;0;1910,60;8,294
2016/11/25;21:00:00;0;1910,50;8,292
2016/11/25;21:15:00;0;1910,51;8,292
2016/11/25;21:30:00;0;1910,48;8,292
2016/11/25;21:45:00;0;1910,30;8,292
2016/11/25;22:00:00;0;1910,10;8,292
2016/11/25;22:15:00;0;1910,11;8,292
2016/11/25;22:30:00;0;1910,21;8,292
2016/11/25;22:45:00;0;1910,30;8,292
2016/11/25;23:00:00;0;1910,22;8,291
2016/11/25;23:15:00;0;1910,13;8,290
2016/11/25;23:30:00;0;1910,03;8,290
2016/11/25;23:45:00;0;1909,92;8,291
2016/11/26;00:00:00;0;1909,88;8,290
2016/11/26;00:15:00;0;1909,81;8,290
2016/11/26;00:30:00;0;1909,68;8,290
2016/11/26;00:45:00;0;1909,69;8,289
2016/11/26;01:00:00;0;1909,70;8,289
2016/11/26;01:15:00;0;1909,73;8,289
2016/11/26;01:30:00;0;1909,73;8,289
2016/11/26;01:45:00;0;1909,82;8,288
2016/11/26;02:00:00;0;1909,91;8,289
2016/11/26;02:15:00;0;1909,96;8,288
2016/11/26;02:30:00;0;1909,92;8,288
2016/11/26;02:45:00;0;1909,78;8,288
2016/11/26;03:00:00;0;1909,71;8,288
2016/11/26;03:15:00;0;1909,60;8,288
2016/11/26;03:30:00;0;1909,46;8,288
2016/11/26;03:45:00;0;1909,51;8,287
2016/11/26;04:00:00;0;1909,58;8,287
2016/11/26;04:15:00;0;1909,42;8,287
2016/11/26;04:30:00;0;1909,38;8,287
2016/11/26;04:45:00;0;1909,37;8,287
2016/11/26;05:00:00;0;1909,34;8,287
2016/11/26;05:15:00;0;1909,39;8,288
2016/11/26;05:30:00;0;1909,78;8,287
2016/11/26;05:45:00;0;1909,84;8,288
2016/11/26;06:00:00;0;1909,94;8,287
2016/11/26;06:15:00;0;1909,80;8,287
2016/11/26;06:30:00;0;1909,68;8,287
2016/11/26;06:45:00;0;1909,73;8,287
2016/11/26;07:00:00;0;1909,56;8,286
2016/11/26;07:15:00;0;1909,61;8,286
2016/11/26;07:30:00;0;1909,80;8,286
2016/11/26;07:45:00;0;1909,72;8,287
2016/11/26;08:00:00;0;1909,66;8,286
2016/11/26;08:15:00;0;1909,71;8,286
2016/11/26;08:30:00;0;1909,57;8,287
2016/11/26;08:45:00;0;1909,62;8,286
2016/11/26;09:00:00;0;1909,69;8,286
2016/11/26;09:15:00;0;1909,75;8,286
2016/11/26;09:30:00;0;1909,77;8,286
2016/11/26;09:45:00;0;1909,77;8,286
2016/11/26;10:00:00;0;1909,76;8,286
2016/11/26;10:15:00;0;1909,68;8,287
2016/11/26;10:30:00;0;1909,57;8,286
2016/11/26;10:45:00;0;1909,31;8,286
2016/11/26;11:00:00;0;1909,09;8,286
2016/11/26;11:15:00;0;1908,95;8,286
2016/11/26;11:30:00;0;1908,74;8,285
2016/11/26;11:45:00;0;1908,72;8,286
2016/11/26;12:00:00;0;1908,67;8,286
2016/11/26;12:15:00;0;1908,67;8,286
2016/11/26;12:30:00;0;1908,50;8,286
2016/11/26;12:45:00;0;1908,39;8,286
2016/11/26;13:00:00;0;1908,34;8,286
2016/11/26;13:15:00;0;1908,30;8,286
2016/11/26;13:30:00;0;1908,38;8,287
2016/11/26;13:45:00;0;1908,39;8,286
2016/11/26;14:00:00;0;1908,44;8,286
