Serial_number:
2048469
Project ID:
03040008
Location:
Rougemont_Plus profond
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/05/01,19:00:00,0,1867.04,9.383
2017/05/01,19:15:00,0,1866.87,9.383
2017/05/01,19:30:00,0,1866.50,9.382
2017/05/01,19:45:00,0,1866.58,9.382
2017/05/01,20:00:00,0,1865.81,9.381
2017/05/01,20:15:00,0,1865.58,9.381
2017/05/01,20:30:00,0,1865.56,9.381
2017/05/01,20:45:00,0,1865.98,9.381
2017/05/01,21:00:00,0,1866.28,9.381
2017/05/01,21:15:00,0,1866.84,9.381
2017/05/01,21:30:00,0,1869.35,9.380
2017/05/01,21:45:00,0,1868.72,9.380
2017/05/01,22:00:00,0,1868.12,9.380
2017/05/01,22:15:00,0,1867.88,9.380
2017/05/01,22:30:00,0,1868.13,9.380
2017/05/01,22:45:00,0,1868.30,9.380
2017/05/01,23:00:00,0,1868.65,9.380
2017/05/01,23:15:00,0,1869.41,9.379
2017/05/01,23:30:00,0,1868.51,9.380
2017/05/01,23:45:00,0,1867.17,9.379
2017/05/02,00:00:00,0,1864.61,9.379
2017/05/02,00:15:00,0,1864.27,9.379
2017/05/02,00:30:00,0,1865.23,9.380
2017/05/02,00:45:00,0,1865.95,9.379
2017/05/02,01:00:00,0,1866.32,9.379
2017/05/02,01:15:00,0,1866.12,9.379
2017/05/02,01:30:00,0,1865.69,9.379
2017/05/02,01:45:00,0,1865.70,9.379
2017/05/02,02:00:00,0,1865.36,9.378
2017/05/02,02:15:00,0,1865.18,9.379
2017/05/02,02:30:00,0,1865.28,9.379
2017/05/02,02:45:00,0,1865.05,9.379
2017/05/02,03:00:00,0,1864.74,9.379
2017/05/02,03:15:00,0,1864.85,9.379
2017/05/02,03:30:00,0,1864.92,9.378
2017/05/02,03:45:00,0,1864.81,9.378
2017/05/02,04:00:00,0,1864.70,9.379
2017/05/02,04:15:00,0,1864.63,9.378
2017/05/02,04:30:00,0,1864.43,9.379
2017/05/02,04:45:00,0,1864.53,9.379
2017/05/02,05:00:00,0,1864.48,9.378
2017/05/02,05:15:00,0,1864.45,9.379
2017/05/02,05:30:00,0,1864.54,9.378
2017/05/02,05:45:00,0,1864.48,9.379
2017/05/02,06:00:00,0,1864.37,9.378
2017/05/02,06:15:00,0,1864.49,9.378
2017/05/02,06:30:00,0,1864.59,9.378
2017/05/02,06:45:00,0,1864.76,9.378
2017/05/02,07:00:00,0,1864.89,9.378
2017/05/02,07:15:00,0,1864.99,9.378
2017/05/02,07:30:00,0,1864.89,9.378
2017/05/02,07:45:00,0,1864.76,9.378
2017/05/02,08:00:00,0,1864.76,9.378
2017/05/02,08:15:00,0,1864.64,9.378
2017/05/02,08:30:00,0,1864.57,9.378
2017/05/02,08:45:00,0,1864.35,9.378
2017/05/02,09:00:00,0,1864.48,9.378
2017/05/02,09:15:00,0,1864.65,9.378
2017/05/02,09:30:00,0,1864.68,9.377
2017/05/02,09:45:00,0,1864.32,9.378
2017/05/02,10:00:00,0,1864.33,9.378
2017/05/02,10:15:00,0,1864.38,9.377
2017/05/02,10:30:00,0,1864.44,9.378
2017/05/02,10:45:00,0,1864.13,9.378
2017/05/02,11:00:00,0,1864.19,9.378
2017/05/02,11:15:00,0,1864.35,9.378
2017/05/02,11:30:00,0,1864.25,9.377
2017/05/02,11:45:00,0,1864.34,9.378
2017/05/02,12:00:00,0,1864.06,9.378
2017/05/02,12:15:00,0,1863.90,9.378
2017/05/02,12:30:00,0,1863.85,9.378
2017/05/02,12:45:00,0,1863.45,9.377
2017/05/02,13:00:00,0,1863.43,9.378
2017/05/02,13:15:00,0,1863.29,9.377
2017/05/02,13:30:00,0,1863.19,9.377
2017/05/02,13:45:00,0,1862.86,9.377
2017/05/02,14:00:00,0,1862.82,9.378
2017/05/02,14:15:00,0,1862.77,9.377
2017/05/02,14:30:00,0,1862.48,9.376
2017/05/02,14:45:00,0,1862.38,9.377
2017/05/02,15:00:00,0,1862.10,9.377
2017/05/02,15:15:00,0,1862.01,9.377
2017/05/02,15:30:00,0,1861.84,9.377
2017/05/02,15:45:00,0,1861.87,9.377
2017/05/02,16:00:00,0,1861.93,9.377
