Serial Number
	1016030
Project ID
04017042
Location
	04017042_Lachute
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude,,,,,
		71        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-10-28,13:00:00,0,762.1201,8.093
2,2016-10-28,13:15:00,0,761.998,8.092
3,2016-10-28,13:30:00,0,762.2451,8.091
4,2016-10-28,13:45:00,0,760.6021,8.093
5,2016-10-28,14:00:00,0,761.3931,8.092
6,2016-10-28,14:15:00,0,762.072,8.091
7,2016-10-28,14:30:00,0,762.465,8.092
8,2016-10-28,14:45:00,0,762.721,8.093
9,2016-10-28,15:00:00,0,762.869,8.093
10,2016-10-28,15:15:00,0,763.0051,8.093
11,2016-10-28,15:30:00,0,762.952,8.092
12,2016-10-28,15:45:00,0,763.105,8.093
13,2016-10-28,16:00:00,0,763.3,8.094
14,2016-10-28,16:15:00,0,763.32,8.093
15,2016-10-28,16:30:00,0,763.583,8.093
16,2016-10-28,16:45:00,0,763.498,8.094
17,2016-10-28,17:00:00,0,763.5731,8.097
18,2016-10-28,17:15:00,0,763.426,8.095
19,2016-10-28,17:30:00,0,763.532,8.094
20,2016-10-28,17:45:00,0,763.744,8.093
21,2016-10-28,18:00:00,0,763.749,8.093
22,2016-10-28,18:15:00,0,763.845,8.094
23,2016-10-28,18:30:00,0,763.9271,8.094
24,2016-10-28,18:45:00,0,763.9141,8.094
25,2016-10-28,19:00:00,0,764.074,8.095
26,2016-10-28,19:15:00,0,764.076,8.097
27,2016-10-28,19:30:00,0,763.835,8.098
28,2016-10-28,19:45:00,0,763.7321,8.098
29,2016-10-28,20:00:00,0,763.6431,8.097
30,2016-10-28,20:15:00,0,763.35,8.097
31,2016-10-28,20:30:00,0,763.049,8.098
32,2016-10-28,20:45:00,0,763.072,8.095
33,2016-10-28,21:00:00,0,762.9401,8.096
34,2016-10-28,21:15:00,0,762.9611,8.097
35,2016-10-28,21:30:00,0,763.1981,8.096
36,2016-10-28,21:45:00,0,763.5161,8.096
37,2016-10-28,22:00:00,0,763.197,8.095
38,2016-10-28,22:15:00,0,762.9611,8.097
39,2016-10-28,22:30:00,0,762.804,8.095
40,2016-10-28,22:45:00,0,762.485,8.095
41,2016-10-28,23:00:00,0,762.325,8.094
42,2016-10-28,23:15:00,0,762.26,8.094
43,2016-10-28,23:30:00,0,762.473,8.097
44,2016-10-28,23:45:00,0,762.563,8.096
45,2016-10-29,00:00:00,0,762.295,8.095
46,2016-10-29,00:15:00,0,762.5211,8.094
47,2016-10-29,00:30:00,0,762.932,8.094
48,2016-10-29,00:45:00,0,762.9,8.094
49,2016-10-29,01:00:00,0,762.7581,8.097
50,2016-10-29,01:15:00,0,762.6641,8.095
51,2016-10-29,01:30:00,0,762.593,8.095
52,2016-10-29,01:45:00,0,762.582,8.096
53,2016-10-29,02:00:00,0,762.649,8.097
54,2016-10-29,02:15:00,0,762.762,8.096
55,2016-10-29,02:30:00,0,762.712,8.096
56,2016-10-29,02:45:00,0,762.3021,8.095
57,2016-10-29,03:00:00,0,762.0941,8.096
58,2016-10-29,03:15:00,0,761.632,8.096
59,2016-10-29,03:30:00,0,761.407,8.096
60,2016-10-29,03:45:00,0,761.944,8.098
61,2016-10-29,04:00:00,0,761.2971,8.098
62,2016-10-29,04:15:00,0,760.739,8.097
63,2016-10-29,04:30:00,0,760.8151,8.097
64,2016-10-29,04:45:00,0,760.563,8.096
65,2016-10-29,05:00:00,0,760.47,8.096
66,2016-10-29,05:15:00,0,760.411,8.098
67,2016-10-29,05:30:00,0,760.2321,8.098
68,2016-10-29,05:45:00,0,760.1121,8.098
69,2016-10-29,06:00:00,0,759.366,8.097
70,2016-10-29,06:15:00,0,759.194,8.097
71,2016-10-29,06:30:00,0,758.467,8.096
72,2016-10-29,06:45:00,0,759.6251,8.095
73,2016-10-29,07:00:00,0,759.39,8.094
74,2016-10-29,07:15:00,0,758.905,8.096
75,2016-10-29,07:30:00,0,758.721,8.097
76,2016-10-29,07:45:00,0,758.441,8.098
77,2016-10-29,08:00:00,0,758.025,8.098
78,2016-10-29,08:15:00,0,757.756,8.098
79,2016-10-29,08:30:00,0,757.41,8.097
80,2016-10-29,08:45:00,0,757.199,8.096
81,2016-10-29,09:00:00,0,756.6041,8.094
82,2016-10-29,09:15:00,0,756.217,8.096
83,2016-10-29,09:30:00,0,755.76,8.097
84,2016-10-29,09:45:00,0,755.7191,8.097
85,2016-10-29,10:00:00,0,755.504,8.097
86,2016-10-29,10:15:00,0,755.1301,8.095
87,2016-10-29,10:30:00,0,754.796,8.095
88,2016-10-29,10:45:00,0,754.494,8.094
89,2016-10-29,11:00:00,0,754.332,8.095
90,2016-10-29,11:15:00,0,754.405,8.097
91,2016-10-29,11:30:00,0,753.955,8.098
92,2016-10-29,11:45:00,0,753.787,8.097
93,2016-10-29,12:00:00,0,753.743,8.095
94,2016-10-29,12:15:00,0,753.291,8.094
95,2016-10-29,12:30:00,0,753.025,8.096
96,2016-10-29,12:45:00,0,752.656,8.097
97,2016-10-29,13:00:00,0,752.531,8.097
98,2016-10-29,13:15:00,0,752.313,8.096
99,2016-10-29,13:30:00,0,752.1721,8.097
100,2016-10-29,13:45:00,0,751.686,8.097
101,2016-10-29,14:00:00,0,751.598,8.096
102,2016-10-29,14:15:00,0,751.6021,8.096
103,2016-10-29,14:30:00,0,751.3521,8.097
104,2016-10-29,14:45:00,0,750.793,8.098
105,2016-10-29,15:00:00,0,750.858,8.097
106,2016-10-29,15:15:00,0,750.847,8.095
107,2016-10-29,15:30:00,0,750.6721,8.094
108,2016-10-29,15:45:00,0,750.769,8.095
109,2016-10-29,16:00:00,0,750.6511,8.098
110,2016-10-29,16:15:00,0,750.665,8.098
111,2016-10-29,16:30:00,0,750.683,8.099
112,2016-10-29,16:45:00,0,750.845,8.099
113,2016-10-29,17:00:00,0,750.726,8.097
114,2016-10-29,17:15:00,0,750.7161,8.099
115,2016-10-29,17:30:00,0,750.774,8.099
116,2016-10-29,17:45:00,0,750.876,8.099
117,2016-10-29,18:00:00,0,751.196,8.099
118,2016-10-29,18:15:00,0,751.254,8.099
119,2016-10-29,18:30:00,0,751.2291,8.098
120,2016-10-29,18:45:00,0,751.424,8.097
121,2016-10-29,19:00:00,0,751.663,8.097
122,2016-10-29,19:15:00,0,751.683,8.096
123,2016-10-29,19:30:00,0,751.738,8.096
124,2016-10-29,19:45:00,0,751.817,8.095
125,2016-10-29,20:00:00,0,752.092,8.097
126,2016-10-29,20:15:00,0,752.282,8.097
127,2016-10-29,20:30:00,0,752.327,8.097
128,2016-10-29,20:45:00,0,752.449,8.098
129,2016-10-29,21:00:00,0,752.705,8.098
130,2016-10-29,21:15:00,0,752.8521,8.099
131,2016-10-29,21:30:00,0,753.217,8.098
132,2016-10-29,21:45:00,0,753.322,8.099
133,2016-10-29,22:00:00,0,753.436,8.098
134,2016-10-29,22:15:00,0,753.6301,8.098
135,2016-10-29,22:30:00,0,753.8051,8.099
136,2016-10-29,22:45:00,0,754.041,8.095
137,2016-10-29,23:00:00,0,754.3391,8.095
138,2016-10-29,23:15:00,0,754.4791,8.094
139,2016-10-29,23:30:00,0,754.618,8.097
140,2016-10-29,23:45:00,0,754.735,8.097
141,2016-10-30,00:00:00,0,754.933,8.098
142,2016-10-30,00:15:00,0,755.2141,8.098
143,2016-10-30,00:30:00,0,755.4741,8.099
144,2016-10-30,00:45:00,0,755.695,8.099
145,2016-10-30,01:00:00,0,756.036,8.099
146,2016-10-30,01:15:00,0,756.1931,8.098
147,2016-10-30,01:30:00,0,756.519,8.098
148,2016-10-30,01:45:00,0,756.571,8.098
149,2016-10-30,02:00:00,0,756.874,8.097
150,2016-10-30,02:15:00,0,757.0941,8.095
151,2016-10-30,02:30:00,0,757.412,8.096
152,2016-10-30,02:45:00,0,757.7581,8.098
153,2016-10-30,03:00:00,0,757.772,8.098
154,2016-10-30,03:15:00,0,758.116,8.098
155,2016-10-30,03:30:00,0,758.426,8.099
156,2016-10-30,03:45:00,0,758.6511,8.099
157,2016-10-30,04:00:00,0,758.6671,8.1
158,2016-10-30,04:15:00,0,758.9431,8.099
159,2016-10-30,04:30:00,0,759.358,8.097
160,2016-10-30,04:45:00,0,759.496,8.097
161,2016-10-30,05:00:00,0,759.7401,8.099
162,2016-10-30,05:15:00,0,760.157,8.099
163,2016-10-30,05:30:00,0,760.204,8.099
164,2016-10-30,05:45:00,0,760.4741,8.097
165,2016-10-30,06:00:00,0,760.72,8.095
166,2016-10-30,06:15:00,0,760.834,8.097
167,2016-10-30,06:30:00,0,761.098,8.097
168,2016-10-30,06:45:00,0,761.363,8.097
169,2016-10-30,07:00:00,0,761.377,8.097
170,2016-10-30,07:15:00,0,761.5911,8.098
171,2016-10-30,07:30:00,0,761.881,8.099
172,2016-10-30,07:45:00,0,761.934,8.098
173,2016-10-30,08:00:00,0,762.111,8.099
174,2016-10-30,08:15:00,0,762.051,8.097
175,2016-10-30,08:30:00,0,762.3051,8.098
176,2016-10-30,08:45:00,0,762.3311,8.098
177,2016-10-30,09:00:00,0,762.537,8.097
178,2016-10-30,09:15:00,0,762.4871,8.095
179,2016-10-30,09:30:00,0,762.41,8.094
180,2016-10-30,09:45:00,0,762.421,8.095
181,2016-10-30,10:00:00,0,762.407,8.097
182,2016-10-30,10:15:00,0,762.363,8.097
183,2016-10-30,10:30:00,0,762.5161,8.095
184,2016-10-30,10:45:00,0,762.674,8.095
185,2016-10-30,11:00:00,0,762.629,8.096
186,2016-10-30,11:15:00,0,762.832,8.097
187,2016-10-30,11:30:00,0,762.92,8.096
188,2016-10-30,11:45:00,0,763.095,8.097
189,2016-10-30,12:00:00,0,763.063,8.097
190,2016-10-30,12:15:00,0,762.9691,8.097
191,2016-10-30,12:30:00,0,762.9821,8.097
192,2016-10-30,12:45:00,0,762.951,8.099
193,2016-10-30,13:00:00,0,762.9771,8.099
194,2016-10-30,13:15:00,0,763.053,8.099
195,2016-10-30,13:30:00,0,763.149,8.099
196,2016-10-30,13:45:00,0,763.064,8.098
197,2016-10-30,14:00:00,0,763.028,8.098
198,2016-10-30,14:15:00,0,763.28,8.098
199,2016-10-30,14:30:00,0,763.3491,8.099
200,2016-10-30,14:45:00,0,763.442,8.098
201,2016-10-30,15:00:00,0,763.655,8.099
202,2016-10-30,15:15:00,0,763.911,8.099
203,2016-10-30,15:30:00,0,764.15,8.097
204,2016-10-30,15:45:00,0,764.189,8.098
205,2016-10-30,16:00:00,0,764.429,8.096
206,2016-10-30,16:15:00,0,764.5551,8.097
207,2016-10-30,16:30:00,0,764.657,8.097
208,2016-10-30,16:45:00,0,764.938,8.097
209,2016-10-30,17:00:00,0,765.09,8.098
210,2016-10-30,17:15:00,0,765.269,8.098
211,2016-10-30,17:30:00,0,765.419,8.098
212,2016-10-30,17:45:00,0,765.621,8.099
213,2016-10-30,18:00:00,0,765.7421,8.098
214,2016-10-30,18:15:00,0,766.067,8.097
215,2016-10-30,18:30:00,0,766.27,8.098
216,2016-10-30,18:45:00,0,766.5181,8.097
217,2016-10-30,19:00:00,0,766.801,8.096
218,2016-10-30,19:15:00,0,766.894,8.094
219,2016-10-30,19:30:00,0,766.915,8.095
220,2016-10-30,19:45:00,0,767.067,8.095
221,2016-10-30,20:00:00,0,767.1591,8.096
222,2016-10-30,20:15:00,0,767.3151,8.096
223,2016-10-30,20:30:00,0,767.356,8.096
224,2016-10-30,20:45:00,0,767.472,8.097
225,2016-10-30,21:00:00,0,767.515,8.098
226,2016-10-30,21:15:00,0,767.551,8.099
227,2016-10-30,21:30:00,0,767.7031,8.099
228,2016-10-30,21:45:00,0,767.807,8.098
229,2016-10-30,22:00:00,0,767.8491,8.099
230,2016-10-30,22:15:00,0,768.0161,8.098
231,2016-10-30,22:30:00,0,768.051,8.099
232,2016-10-30,22:45:00,0,768.163,8.098
233,2016-10-30,23:00:00,0,768.2,8.098
234,2016-10-30,23:15:00,0,768.275,8.098
235,2016-10-30,23:30:00,0,768.3751,8.098
236,2016-10-30,23:45:00,0,768.556,8.097
237,2016-10-31,00:00:00,0,768.694,8.098
238,2016-10-31,00:15:00,0,768.808,8.098
239,2016-10-31,00:30:00,0,768.916,8.097
240,2016-10-31,00:45:00,0,769.0991,8.098
241,2016-10-31,01:00:00,0,769.351,8.1
242,2016-10-31,01:15:00,0,769.576,8.099
243,2016-10-31,01:30:00,0,769.8,8.1
244,2016-10-31,01:45:00,0,769.903,8.099
245,2016-10-31,02:00:00,0,770.103,8.098
246,2016-10-31,02:15:00,0,770.361,8.097
247,2016-10-31,02:30:00,0,770.57,8.096
248,2016-10-31,02:45:00,0,770.8831,8.096
249,2016-10-31,03:00:00,0,771.074,8.095
250,2016-10-31,03:15:00,0,771.261,8.097
251,2016-10-31,03:30:00,0,771.4951,8.097
252,2016-10-31,03:45:00,0,771.739,8.098
253,2016-10-31,04:00:00,0,771.9921,8.098
254,2016-10-31,04:15:00,0,772.287,8.099
255,2016-10-31,04:30:00,0,772.512,8.097
256,2016-10-31,04:45:00,0,772.819,8.098
257,2016-10-31,05:00:00,0,773.126,8.098
258,2016-10-31,05:15:00,0,773.384,8.097
259,2016-10-31,05:30:00,0,773.5421,8.098
260,2016-10-31,05:45:00,0,773.778,8.097
261,2016-10-31,06:00:00,0,773.838,8.097
262,2016-10-31,06:15:00,0,773.855,8.097
263,2016-10-31,06:30:00,0,774.0421,8.095
264,2016-10-31,06:45:00,0,774.398,8.096
265,2016-10-31,07:00:00,0,774.772,8.097
266,2016-10-31,07:15:00,0,775.171,8.097
267,2016-10-31,07:30:00,0,775.384,8.097
268,2016-10-31,07:45:00,0,775.553,8.098
269,2016-10-31,08:00:00,0,775.6901,8.098
270,2016-10-31,08:15:00,0,775.957,8.098
271,2016-10-31,08:30:00,0,776.135,8.098
272,2016-10-31,08:45:00,0,776.32,8.099
273,2016-10-31,09:00:00,0,776.51,8.098
274,2016-10-31,09:15:00,0,776.741,8.099
275,2016-10-31,09:30:00,0,776.882,8.098
276,2016-10-31,09:45:00,0,776.97,8.098
277,2016-10-31,10:00:00,0,777.161,8.098
278,2016-10-31,10:15:00,0,777.347,8.097
279,2016-10-31,10:30:00,0,777.303,8.099
280,2016-10-31,10:45:00,0,777.47,8.099
281,2016-10-31,11:00:00,0,775.3931,8.098
282,2016-10-31,11:15:00,0,776.543,8.096
283,2016-10-31,11:30:00,0,776.932,8.094
284,2016-10-31,11:45:00,0,777.316,8.094
285,2016-10-31,12:00:00,0,777.51,8.095
286,2016-10-31,12:15:00,0,777.5681,8.098
