Serial Number
	1016030
Project ID
	04017042
Location
	04017042_Lachute
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		71        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-10,19:00:00,0,1110.0900,8.097
2,2017-05-10,19:15:00,0,1110.0000,8.096
3,2017-05-10,19:30:00,0,1110.0499,8.097
4,2017-05-10,19:45:00,0,1109.9399,8.096
5,2017-05-10,20:00:00,0,1109.8800,8.094
6,2017-05-10,20:15:00,0,1109.8300,8.093
7,2017-05-10,20:30:00,0,1109.7400,8.093
8,2017-05-10,20:45:00,0,1109.6400,8.094
9,2017-05-10,21:00:00,0,1109.6100,8.093
10,2017-05-10,21:15:00,0,1109.4199,8.094
11,2017-05-10,21:30:00,0,1109.3199,8.093
12,2017-05-10,21:45:00,0,1109.3300,8.094
13,2017-05-10,22:00:00,0,1109.1500,8.095
14,2017-05-10,22:15:00,0,1108.9600,8.094
15,2017-05-10,22:30:00,0,1108.6300,8.094
16,2017-05-10,22:45:00,0,1108.4500,8.093
17,2017-05-10,23:00:00,0,1108.2500,8.093
18,2017-05-10,23:15:00,0,1108.2400,8.093
19,2017-05-10,23:30:00,0,1108.2400,8.095
20,2017-05-10,23:45:00,0,1108.2100,8.095
21,2017-05-11,00:00:00,0,1108.0499,8.093
22,2017-05-11,00:15:00,0,1107.9399,8.094
23,2017-05-11,00:30:00,0,1107.6400,8.092
24,2017-05-11,00:45:00,0,1107.4000,8.095
25,2017-05-11,01:00:00,0,1107.2999,8.095
26,2017-05-11,01:15:00,0,1107.1600,8.093
27,2017-05-11,01:30:00,0,1106.9800,8.093
28,2017-05-11,01:45:00,0,1106.7300,8.093
29,2017-05-11,02:00:00,0,1106.7200,8.093
30,2017-05-11,02:15:00,0,1106.5900,8.094
31,2017-05-11,02:30:00,0,1106.5200,8.094
32,2017-05-11,02:45:00,0,1106.3700,8.092
33,2017-05-11,03:00:00,0,1106.2600,8.093
34,2017-05-11,03:15:00,0,1106.0100,8.094
35,2017-05-11,03:30:00,0,1105.9299,8.091
36,2017-05-11,03:45:00,0,1105.8800,8.093
37,2017-05-11,04:00:00,0,1105.7700,8.093
38,2017-05-11,04:15:00,0,1105.7100,8.093
39,2017-05-11,04:30:00,0,1105.6500,8.093
40,2017-05-11,04:45:00,0,1105.5800,8.092
41,2017-05-11,05:00:00,0,1105.5699,8.093
42,2017-05-11,05:15:00,0,1105.6899,8.093
43,2017-05-11,05:30:00,0,1105.5100,8.093
44,2017-05-11,05:45:00,0,1105.3199,8.094
45,2017-05-11,06:00:00,0,1105.3199,8.093
46,2017-05-11,06:15:00,0,1105.2500,8.093
47,2017-05-11,06:30:00,0,1105.0599,8.092
48,2017-05-11,06:45:00,0,1104.8300,8.093
49,2017-05-11,07:00:00,0,1104.6799,8.093
50,2017-05-11,07:15:00,0,1104.3300,8.094
51,2017-05-11,07:30:00,0,1104.2600,8.092
52,2017-05-11,07:45:00,0,1104.0100,8.093
53,2017-05-11,08:00:00,0,1103.9100,8.092
54,2017-05-11,08:15:00,0,1103.9600,8.092
55,2017-05-11,08:30:00,0,1104.0300,8.092
56,2017-05-11,08:45:00,0,1103.7700,8.093
57,2017-05-11,09:00:00,0,1103.6200,8.091
58,2017-05-11,09:15:00,0,1103.2500,8.093
59,2017-05-11,09:30:00,0,1102.8500,8.091
60,2017-05-11,09:45:00,0,1102.6100,8.092
61,2017-05-11,10:00:00,0,1102.5300,8.090
62,2017-05-11,10:15:00,0,1102.3099,8.090
63,2017-05-11,10:30:00,0,1102.1100,8.090
64,2017-05-11,10:45:00,0,1101.8199,8.091
65,2017-05-11,11:00:00,0,1101.6300,8.092
66,2017-05-11,11:15:00,0,1101.5100,8.092
67,2017-05-11,11:30:00,0,1101.0399,8.091
68,2017-05-11,11:45:00,0,1100.5900,8.093
69,2017-05-11,12:00:00,0,1100.3900,8.094
70,2017-05-11,12:15:00,0,1100.2400,8.094
71,2017-05-11,12:30:00,0,1099.9500,8.094
72,2017-05-11,12:45:00,0,1099.6899,8.094
73,2017-05-11,13:00:00,0,1099.3700,8.095
74,2017-05-11,13:15:00,0,1099.2300,8.094
75,2017-05-11,13:30:00,0,1099.0000,8.093
76,2017-05-11,13:45:00,0,1098.7899,8.094
77,2017-05-11,14:00:00,0,1098.7000,8.093
78,2017-05-11,14:15:00,0,1098.7000,8.094
79,2017-05-11,14:30:00,0,1098.6100,8.096
80,2017-05-11,14:45:00,0,1098.6400,8.092
81,2017-05-11,15:00:00,0,1098.5000,8.093
82,2017-05-11,15:15:00,0,1098.4100,8.094
83,2017-05-11,15:30:00,0,1098.1699,8.091
84,2017-05-11,15:45:00,0,1098.1100,8.093
85,2017-05-11,16:00:00,0,1096.5699,8.091
86,2017-05-11,16:15:00,0,1096.9199,8.092
87,2017-05-11,16:30:00,0,1097.2800,8.093
88,2017-05-11,16:45:00,0,1097.4299,8.091
89,2017-05-11,17:00:00,0,1097.3600,8.092
90,2017-05-11,17:15:00,0,1097.2700,8.092
91,2017-05-11,17:30:00,0,1097.3300,8.093
92,2017-05-11,17:45:00,0,1097.3600,8.092
93,2017-05-11,18:00:00,0,1097.2899,8.094
94,2017-05-11,18:15:00,0,1097.1799,8.092
95,2017-05-11,18:30:00,0,1097.0599,8.094
96,2017-05-11,18:45:00,0,1097.0000,8.094
97,2017-05-11,19:00:00,0,1097.0399,8.092
98,2017-05-11,19:15:00,0,1096.9199,8.094
99,2017-05-11,19:30:00,0,1096.8300,8.093
100,2017-05-11,19:45:00,0,1096.7400,8.091
101,2017-05-11,20:00:00,0,1096.7300,8.091
102,2017-05-11,20:15:00,0,1096.5100,8.091
103,2017-05-11,20:30:00,0,1096.5300,8.093
104,2017-05-11,20:45:00,0,1096.2700,8.093
105,2017-05-11,21:00:00,0,1096.0300,8.090
106,2017-05-11,21:15:00,0,1095.9000,8.093
107,2017-05-11,21:30:00,0,1095.6899,8.093
108,2017-05-11,21:45:00,0,1095.4500,8.091
109,2017-05-11,22:00:00,0,1095.3500,8.092
110,2017-05-11,22:15:00,0,1095.1100,8.091
111,2017-05-11,22:30:00,0,1094.9399,8.092
112,2017-05-11,22:45:00,0,1094.7300,8.092
113,2017-05-11,23:00:00,0,1094.4500,8.089
114,2017-05-11,23:15:00,0,1094.3700,8.091
115,2017-05-11,23:30:00,0,1094.2200,8.090
116,2017-05-11,23:45:00,0,1094.0699,8.092
117,2017-05-12,00:00:00,0,1093.9600,8.092
118,2017-05-12,00:15:00,0,1093.7899,8.090
119,2017-05-12,00:30:00,0,1093.6600,8.091
120,2017-05-12,00:45:00,0,1093.4900,8.093
121,2017-05-12,01:00:00,0,1093.2600,8.093
122,2017-05-12,01:15:00,0,1093.1100,8.091
123,2017-05-12,01:30:00,0,1092.9000,8.092
124,2017-05-12,01:45:00,0,1092.7100,8.093
125,2017-05-12,02:00:00,0,1092.4299,8.093
126,2017-05-12,02:15:00,0,1092.2400,8.092
127,2017-05-12,02:30:00,0,1092.1500,8.093
128,2017-05-12,02:45:00,0,1092.0800,8.090
129,2017-05-12,03:00:00,0,1091.9600,8.091
130,2017-05-12,03:15:00,0,1091.9399,8.089
131,2017-05-12,03:30:00,0,1091.8600,8.090
132,2017-05-12,03:45:00,0,1091.6899,8.090
133,2017-05-12,04:00:00,0,1091.5399,8.091
134,2017-05-12,04:15:00,0,1091.3400,8.090
135,2017-05-12,04:30:00,0,1091.2100,8.091
136,2017-05-12,04:45:00,0,1091.2500,8.089
137,2017-05-12,05:00:00,0,1091.0499,8.090
138,2017-05-12,05:15:00,0,1091.0699,8.090
139,2017-05-12,05:30:00,0,1090.9800,8.090
140,2017-05-12,05:45:00,0,1090.9000,8.088
141,2017-05-12,06:00:00,0,1090.7899,8.089
142,2017-05-12,06:15:00,0,1090.7000,8.090
143,2017-05-12,06:30:00,0,1090.6500,8.089
144,2017-05-12,06:45:00,0,1090.5699,8.091
145,2017-05-12,07:00:00,0,1090.5000,8.091
146,2017-05-12,07:15:00,0,1090.4500,8.090
147,2017-05-12,07:30:00,0,1090.3300,8.092
148,2017-05-12,07:45:00,0,1090.0499,8.091
149,2017-05-12,08:00:00,0,1089.9900,8.090
150,2017-05-12,08:15:00,0,1089.6799,8.090
151,2017-05-12,08:30:00,0,1089.6200,8.090
152,2017-05-12,08:45:00,0,1089.4100,8.090
153,2017-05-12,09:00:00,0,1089.0800,8.092
154,2017-05-12,09:15:00,0,1088.9100,8.090
155,2017-05-12,09:30:00,0,1088.6799,8.092
156,2017-05-12,09:45:00,0,1088.5100,8.090
157,2017-05-12,10:00:00,0,1088.3700,8.089
158,2017-05-12,10:15:00,0,1088.0200,8.090
159,2017-05-12,10:30:00,0,1087.7000,8.092
160,2017-05-12,10:45:00,0,1087.4700,8.091
161,2017-05-12,11:00:00,0,1087.2800,8.089
162,2017-05-12,11:15:00,0,1087.1200,8.088
163,2017-05-12,11:30:00,0,1086.8099,8.088
164,2017-05-12,11:45:00,0,1086.3300,8.089
165,2017-05-12,12:00:00,0,1086.3099,8.088
166,2017-05-12,12:15:00,0,1085.9600,8.088
167,2017-05-12,12:30:00,0,1085.6899,8.089
168,2017-05-12,12:45:00,0,1085.4399,8.090
169,2017-05-12,13:00:00,0,1085.2300,8.087
170,2017-05-12,13:15:00,0,1085.1600,8.088
171,2017-05-12,13:30:00,0,1084.7899,8.091
172,2017-05-12,13:45:00,0,1084.6799,8.091
173,2017-05-12,14:00:00,0,1084.5800,8.091
174,2017-05-12,14:15:00,0,1084.3700,8.092
175,2017-05-12,14:30:00,0,1084.1200,8.091
176,2017-05-12,14:45:00,0,1083.7999,8.089
177,2017-05-12,15:00:00,0,1083.5800,8.088
178,2017-05-12,15:15:00,0,1083.3400,8.089
179,2017-05-12,15:30:00,0,1083.2200,8.090
180,2017-05-12,15:45:00,0,1082.9399,8.089
181,2017-05-12,16:00:00,0,1082.8400,8.091
182,2017-05-12,16:15:00,0,1082.6899,8.090
183,2017-05-12,16:30:00,0,1082.6799,8.090
184,2017-05-12,16:45:00,0,1082.4600,8.090
185,2017-05-12,17:00:00,0,1082.3300,8.091
186,2017-05-12,17:15:00,0,1082.1500,8.089
187,2017-05-12,17:30:00,0,1081.9500,8.088
188,2017-05-12,17:45:00,0,1081.8300,8.091
189,2017-05-12,18:00:00,0,1081.4900,8.089
190,2017-05-12,18:15:00,0,1081.4199,8.090
191,2017-05-12,18:30:00,0,1081.4000,8.089
192,2017-05-12,18:45:00,0,1081.3900,8.090
193,2017-05-12,19:00:00,0,1080.0399,8.090
194,2017-05-12,19:15:00,0,1080.4000,8.090
195,2017-05-12,19:30:00,0,1080.6600,8.090
196,2017-05-12,19:45:00,0,1080.7100,8.090
197,2017-05-12,20:00:00,0,1080.7300,8.089
198,2017-05-12,20:15:00,0,1080.7500,8.089
199,2017-05-12,20:30:00,0,1080.6000,8.089
200,2017-05-12,20:45:00,0,1080.4500,8.089
201,2017-05-12,21:00:00,0,1080.2800,8.090
202,2017-05-12,21:15:00,0,1080.0900,8.091
203,2017-05-12,21:30:00,0,1079.8500,8.088
204,2017-05-12,21:45:00,0,1079.7000,8.090
205,2017-05-12,22:00:00,0,1079.4800,8.089
206,2017-05-12,22:15:00,0,1079.1799,8.093
207,2017-05-12,22:30:00,0,1078.9800,8.090
208,2017-05-12,22:45:00,0,1078.5800,8.089
209,2017-05-12,23:00:00,0,1078.3600,8.089
210,2017-05-12,23:15:00,0,1078.1500,8.088
211,2017-05-12,23:30:00,0,1077.8400,8.087
212,2017-05-12,23:45:00,0,1077.5800,8.088
213,2017-05-13,00:00:00,0,1077.3800,8.090
214,2017-05-13,00:15:00,0,1077.1300,8.090
215,2017-05-13,00:30:00,0,1076.9000,8.092
216,2017-05-13,00:45:00,0,1076.7200,8.091
217,2017-05-13,01:00:00,0,1076.5599,8.091
218,2017-05-13,01:15:00,0,1076.3099,8.089
219,2017-05-13,01:30:00,0,1075.9900,8.090
220,2017-05-13,01:45:00,0,1075.7200,8.090
221,2017-05-13,02:00:00,0,1075.5699,8.089
222,2017-05-13,02:15:00,0,1075.3500,8.089
223,2017-05-13,02:30:00,0,1075.1799,8.090
224,2017-05-13,02:45:00,0,1074.9700,8.089
225,2017-05-13,03:00:00,0,1074.9199,8.090
226,2017-05-13,03:15:00,0,1074.7000,8.088
227,2017-05-13,03:30:00,0,1074.5200,8.088
228,2017-05-13,03:45:00,0,1074.3500,8.087
229,2017-05-13,04:00:00,0,1074.2400,8.088
230,2017-05-13,04:15:00,0,1074.0499,8.089
231,2017-05-13,04:30:00,0,1074.0800,8.090
232,2017-05-13,04:45:00,0,1073.9100,8.089
233,2017-05-13,05:00:00,0,1073.8600,8.087
234,2017-05-13,05:15:00,0,1073.7000,8.089
235,2017-05-13,05:30:00,0,1073.6200,8.088
236,2017-05-13,05:45:00,0,1073.5399,8.089
237,2017-05-13,06:00:00,0,1073.4500,8.089
238,2017-05-13,06:15:00,0,1073.4399,8.089
239,2017-05-13,06:30:00,0,1073.2700,8.088
240,2017-05-13,06:45:00,0,1073.1300,8.087
241,2017-05-13,07:00:00,0,1073.0499,8.087
242,2017-05-13,07:15:00,0,1072.9500,8.086
243,2017-05-13,07:30:00,0,1072.7000,8.086
244,2017-05-13,07:45:00,0,1072.5300,8.088
245,2017-05-13,08:00:00,0,1071.2600,8.083
246,2017-05-13,08:15:00,0,1071.1699,8.085
247,2017-05-13,08:30:00,0,1071.5200,8.087
248,2017-05-13,08:45:00,0,1071.5100,8.088
249,2017-05-13,09:00:00,0,1071.4100,8.086
250,2017-05-13,09:15:00,0,1071.2200,8.086
251,2017-05-13,09:30:00,0,1068.2999,8.087
252,2017-05-13,09:45:00,0,1069.4399,8.088
253,2017-05-13,10:00:00,0,1068.4900,8.087
254,2017-05-13,10:15:00,0,1069.2700,8.088
255,2017-05-13,10:30:00,0,1069.4199,8.088
256,2017-05-13,10:45:00,0,1067.7899,8.089
257,2017-05-13,11:00:00,0,1068.3800,8.087
258,2017-05-13,11:15:00,0,1068.6000,8.086
259,2017-05-13,11:30:00,0,1068.7000,8.084
260,2017-05-13,11:45:00,0,1068.5499,8.087
261,2017-05-13,12:00:00,0,1068.4199,8.085
262,2017-05-13,12:15:00,0,1068.3300,8.085
263,2017-05-13,12:30:00,0,1068.0300,8.087
