Serial Number
	1016057
Project ID
	03090011
Location
	Godmanchester_Roc
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		75        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-04,19:00:00,0,655.8101,8.864
2,2017-05-04,19:15:00,0,655.5941,8.861
3,2017-05-04,19:30:00,0,655.9140,8.863
4,2017-05-04,19:45:00,0,656.3320,8.861
5,2017-05-04,20:00:00,0,656.6870,8.864
6,2017-05-04,20:15:00,0,656.7750,8.863
7,2017-05-04,20:30:00,0,656.8760,8.862
8,2017-05-04,20:45:00,0,656.9710,8.864
9,2017-05-04,21:00:00,0,657.0230,8.863
10,2017-05-04,21:15:00,0,657.1140,8.862
11,2017-05-04,21:30:00,0,656.9400,8.863
12,2017-05-04,21:45:00,0,656.9940,8.862
13,2017-05-04,22:00:00,0,657.4920,8.862
14,2017-05-04,22:15:00,0,657.8350,8.862
15,2017-05-04,22:30:00,0,657.5840,8.863
16,2017-05-04,22:45:00,0,657.5681,8.864
17,2017-05-04,23:00:00,0,657.3350,8.863
18,2017-05-04,23:15:00,0,657.0800,8.862
19,2017-05-04,23:30:00,0,656.8060,8.863
20,2017-05-04,23:45:00,0,656.5970,8.861
21,2017-05-05,00:00:00,0,656.3831,8.863
22,2017-05-05,00:15:00,0,656.0310,8.863
23,2017-05-05,00:30:00,0,655.7070,8.862
24,2017-05-05,00:45:00,0,655.5551,8.863
25,2017-05-05,01:00:00,0,655.6400,8.863
26,2017-05-05,01:15:00,0,655.4450,8.863
27,2017-05-05,01:30:00,0,654.9760,8.864
28,2017-05-05,01:45:00,0,654.6780,8.862
29,2017-05-05,02:00:00,0,654.5270,8.863
30,2017-05-05,02:15:00,0,654.3300,8.863
31,2017-05-05,02:30:00,0,654.0250,8.863
32,2017-05-05,02:45:00,0,653.6851,8.864
33,2017-05-05,03:00:00,0,653.5310,8.861
34,2017-05-05,03:15:00,0,653.4810,8.863
35,2017-05-05,03:30:00,0,653.2130,8.862
36,2017-05-05,03:45:00,0,652.9710,8.862
37,2017-05-05,04:00:00,0,652.8170,8.862
38,2017-05-05,04:15:00,0,652.7581,8.862
39,2017-05-05,04:30:00,0,652.5380,8.863
40,2017-05-05,04:45:00,0,652.3610,8.864
41,2017-05-05,05:00:00,0,652.0770,8.862
42,2017-05-05,05:15:00,0,651.9070,8.862
43,2017-05-05,05:30:00,0,651.8020,8.863
44,2017-05-05,05:45:00,0,651.4460,8.863
45,2017-05-05,06:00:00,0,651.1810,8.863
46,2017-05-05,06:15:00,0,651.0330,8.861
47,2017-05-05,06:30:00,0,651.0220,8.862
48,2017-05-05,06:45:00,0,651.0031,8.862
49,2017-05-05,07:00:00,0,650.9410,8.863
50,2017-05-05,07:15:00,0,650.8110,8.862
51,2017-05-05,07:30:00,0,650.6680,8.863
52,2017-05-05,07:45:00,0,650.5830,8.863
53,2017-05-05,08:00:00,0,650.4370,8.864
54,2017-05-05,08:15:00,0,650.5490,8.863
55,2017-05-05,08:30:00,0,650.5520,8.863
56,2017-05-05,08:45:00,0,650.3950,8.862
57,2017-05-05,09:00:00,0,650.3060,8.863
58,2017-05-05,09:15:00,0,650.2220,8.862
59,2017-05-05,09:30:00,0,650.1281,8.864
60,2017-05-05,09:45:00,0,650.0170,8.863
61,2017-05-05,10:00:00,0,650.0031,8.862
62,2017-05-05,10:15:00,0,649.9510,8.863
63,2017-05-05,10:30:00,0,649.6760,8.863
64,2017-05-05,10:45:00,0,649.5120,8.861
65,2017-05-05,11:00:00,0,649.1530,8.863
66,2017-05-05,11:15:00,0,648.9880,8.862
67,2017-05-05,11:30:00,0,648.7711,8.864
68,2017-05-05,11:45:00,0,648.4641,8.863
69,2017-05-05,12:00:00,0,648.1461,8.864
70,2017-05-05,12:15:00,0,647.8850,8.861
71,2017-05-05,12:30:00,0,647.3690,8.863
72,2017-05-05,12:45:00,0,647.0300,8.862
73,2017-05-05,13:00:00,0,646.7690,8.864
74,2017-05-05,13:15:00,0,646.3930,8.863
75,2017-05-05,13:30:00,0,646.0291,8.861
76,2017-05-05,13:45:00,0,645.7670,8.865
77,2017-05-05,14:00:00,0,645.5240,8.862
78,2017-05-05,14:15:00,0,645.1830,8.864
79,2017-05-05,14:30:00,0,644.7921,8.863
80,2017-05-05,14:45:00,0,644.2271,8.863
81,2017-05-05,15:00:00,0,643.6870,8.864
82,2017-05-05,15:15:00,0,643.4771,8.864
83,2017-05-05,15:30:00,0,642.9440,8.865
84,2017-05-05,15:45:00,0,642.5120,8.863
85,2017-05-05,16:00:00,0,642.2680,8.864
86,2017-05-05,16:15:00,0,642.4880,8.863
87,2017-05-05,16:30:00,0,642.4980,8.864
88,2017-05-05,16:45:00,0,642.0811,8.862
89,2017-05-05,17:00:00,0,642.2711,8.864
90,2017-05-05,17:15:00,0,642.3930,8.863
91,2017-05-05,17:30:00,0,641.8600,8.864
92,2017-05-05,17:45:00,0,641.4210,8.863
93,2017-05-05,18:00:00,0,641.1541,8.863
94,2017-05-05,18:15:00,0,640.9240,8.863
95,2017-05-05,18:30:00,0,640.6851,8.864
96,2017-05-05,18:45:00,0,640.7720,8.863
97,2017-05-05,19:00:00,0,640.4530,8.862
98,2017-05-05,19:15:00,0,640.3880,8.862
99,2017-05-05,19:30:00,0,640.2420,8.863
100,2017-05-05,19:45:00,0,640.1721,8.863
101,2017-05-05,20:00:00,0,640.0161,8.862
102,2017-05-05,20:15:00,0,639.7800,8.863
103,2017-05-05,20:30:00,0,639.6461,8.862
104,2017-05-05,20:45:00,0,639.4230,8.864
105,2017-05-05,21:00:00,0,639.3470,8.861
106,2017-05-05,21:15:00,0,639.4120,8.861
107,2017-05-05,21:30:00,0,639.5170,8.865
108,2017-05-05,21:45:00,0,639.3290,8.862
109,2017-05-05,22:00:00,0,639.0031,8.863
110,2017-05-05,22:15:00,0,639.0211,8.863
111,2017-05-05,22:30:00,0,638.8640,8.863
112,2017-05-05,22:45:00,0,638.6710,8.863
113,2017-05-05,23:00:00,0,638.4940,8.863
114,2017-05-05,23:15:00,0,638.4190,8.862
115,2017-05-05,23:30:00,0,638.5731,8.864
116,2017-05-05,23:45:00,0,638.0200,8.862
117,2017-05-06,00:00:00,0,638.1220,8.863
118,2017-05-06,00:15:00,0,637.9481,8.863
119,2017-05-06,00:30:00,0,637.8120,8.864
120,2017-05-06,00:45:00,0,637.6970,8.863
121,2017-05-06,01:00:00,0,637.3990,8.864
122,2017-05-06,01:15:00,0,637.3380,8.864
123,2017-05-06,01:30:00,0,637.3750,8.862
124,2017-05-06,01:45:00,0,637.0480,8.863
125,2017-05-06,02:00:00,0,636.8090,8.863
126,2017-05-06,02:15:00,0,636.8530,8.862
127,2017-05-06,02:30:00,0,636.5450,8.863
128,2017-05-06,02:45:00,0,636.5861,8.865
