Serial Number
	1016087
Project ID
	04640001
Location
	Mirabel (CSP-F-1)
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		70        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-10-28,13:00:00,0,624.1331,8.555
2,2016-10-28,13:15:00,0,622.8430,8.559
3,2016-10-28,13:30:00,0,624.2310,8.556
4,2016-10-28,13:45:00,0,624.8920,8.551
5,2016-10-28,14:00:00,0,625.9520,8.547
6,2016-10-28,14:15:00,0,625.9180,8.547
7,2016-10-28,14:30:00,0,624.4050,8.545
8,2016-10-28,14:45:00,0,627.1100,8.547
9,2016-10-28,15:00:00,0,624.5270,8.549
10,2016-10-28,15:15:00,0,627.4310,8.548
11,2016-10-28,15:30:00,0,625.5190,8.550
12,2016-10-28,15:45:00,0,627.5400,8.547
13,2016-10-28,16:00:00,0,626.8760,8.547
14,2016-10-28,16:15:00,0,628.9650,8.544
15,2016-10-28,16:30:00,0,629.2661,8.542
16,2016-10-28,16:45:00,0,626.2500,8.549
17,2016-10-28,17:00:00,0,627.7321,8.549
18,2016-10-28,17:15:00,0,628.4310,8.547
19,2016-10-28,17:30:00,0,627.8810,8.552
20,2016-10-28,17:45:00,0,628.6310,8.546
21,2016-10-28,18:00:00,0,628.4120,8.560
22,2016-10-28,18:15:00,0,628.6920,8.553
23,2016-10-28,18:30:00,0,630.7990,8.551
24,2016-10-28,18:45:00,0,631.7650,8.544
25,2016-10-28,19:00:00,0,630.0920,8.541
26,2016-10-28,19:15:00,0,632.3950,8.544
27,2016-10-28,19:30:00,0,632.4250,8.543
28,2016-10-28,19:45:00,0,632.4351,8.545
29,2016-10-28,20:00:00,0,632.3110,8.548
30,2016-10-28,20:15:00,0,630.9140,8.552
31,2016-10-28,20:30:00,0,630.7770,8.550
32,2016-10-28,20:45:00,0,630.9530,8.550
33,2016-10-28,21:00:00,0,631.0180,8.552
34,2016-10-28,21:15:00,0,631.1820,8.550
35,2016-10-28,21:30:00,0,631.5081,8.545
36,2016-10-28,21:45:00,0,631.9840,8.547
37,2016-10-28,22:00:00,0,631.6820,8.549
38,2016-10-28,22:15:00,0,631.9840,8.548
39,2016-10-28,22:30:00,0,631.8361,8.549
40,2016-10-28,22:45:00,0,632.0720,8.547
41,2016-10-28,23:00:00,0,632.5000,8.548
42,2016-10-28,23:15:00,0,631.8850,8.552
43,2016-10-28,23:30:00,0,632.5060,8.555
