Serial Number
	1016768
Project ID
	03070002
Location
	St-Patrice-de-Sherrington
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		60        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-03,19:00:00,0,579.7620,8.290
2,2017-05-03,19:15:00,0,579.9020,8.228
3,2017-05-03,19:30:00,0,579.9650,8.246
4,2017-05-03,19:45:00,0,579.6940,8.288
5,2017-05-03,20:00:00,0,579.9740,8.283
6,2017-05-03,20:15:00,0,580.1950,8.268
7,2017-05-03,20:30:00,0,580.3920,8.253
8,2017-05-03,20:45:00,0,580.4540,8.218
9,2017-05-03,21:00:00,0,580.7040,8.260
10,2017-05-03,21:15:00,0,580.9390,8.267
11,2017-05-03,21:30:00,0,581.4380,8.261
12,2017-05-03,21:45:00,0,581.6470,8.184
13,2017-05-03,22:00:00,0,581.7780,8.211
14,2017-05-03,22:15:00,0,582.1980,8.204
15,2017-05-03,22:30:00,0,582.4590,8.191
16,2017-05-03,22:45:00,0,582.7980,8.202
17,2017-05-03,23:00:00,0,583.2300,8.282
18,2017-05-03,23:15:00,0,583.5200,8.213
19,2017-05-03,23:30:00,0,583.7290,8.236
20,2017-05-03,23:45:00,0,583.9350,8.259
21,2017-05-04,00:00:00,0,584.2070,8.260
22,2017-05-04,00:15:00,0,584.6290,8.169
23,2017-05-04,00:30:00,0,584.7770,8.184
24,2017-05-04,00:45:00,0,584.9230,8.187
25,2017-05-04,01:00:00,0,585.1650,8.229
26,2017-05-04,01:15:00,0,585.3920,8.173
27,2017-05-04,01:30:00,0,585.4390,8.161
28,2017-05-04,01:45:00,0,585.6860,8.182
29,2017-05-04,02:00:00,0,585.7900,8.271
30,2017-05-04,02:15:00,0,585.8230,8.211
31,2017-05-04,02:30:00,0,585.8961,8.224
32,2017-05-04,02:45:00,0,585.9260,8.245
33,2017-05-04,03:00:00,0,585.7570,8.209
34,2017-05-04,03:15:00,0,585.5421,8.251
35,2017-05-04,03:30:00,0,585.5670,8.206
36,2017-05-04,03:45:00,0,585.5650,8.246
37,2017-05-04,04:00:00,0,585.5190,8.258
38,2017-05-04,04:15:00,0,585.4561,8.220
39,2017-05-04,04:30:00,0,585.4350,8.219
40,2017-05-04,04:45:00,0,585.4230,8.255
41,2017-05-04,05:00:00,0,585.2610,8.170
42,2017-05-04,05:15:00,0,585.4270,8.184
43,2017-05-04,05:30:00,0,585.3200,8.195
44,2017-05-04,05:45:00,0,585.3410,8.162
45,2017-05-04,06:00:00,0,585.3270,8.236
46,2017-05-04,06:15:00,0,585.0570,8.177
47,2017-05-04,06:30:00,0,585.0780,8.242
48,2017-05-04,06:45:00,0,584.7971,8.161
49,2017-05-04,07:00:00,0,584.9860,8.260
50,2017-05-04,07:15:00,0,585.3100,8.211
51,2017-05-04,07:30:00,0,585.4700,8.198
52,2017-05-04,07:45:00,0,585.4210,8.248
53,2017-05-04,08:00:00,0,585.3150,8.185
54,2017-05-04,08:15:00,0,585.2630,8.268
55,2017-05-04,08:30:00,0,584.8260,8.278
56,2017-05-04,08:45:00,0,584.8560,8.217
57,2017-05-04,09:00:00,0,584.4100,8.279
58,2017-05-04,09:15:00,0,584.4190,8.229
59,2017-05-04,09:30:00,0,584.2040,8.235
60,2017-05-04,09:45:00,0,583.9680,8.244
61,2017-05-04,10:00:00,0,583.9610,8.214
62,2017-05-04,10:15:00,0,583.9550,8.287
63,2017-05-04,10:30:00,0,583.9700,8.202
64,2017-05-04,10:45:00,0,583.6080,8.262
65,2017-05-04,11:00:00,0,583.5100,8.187
66,2017-05-04,11:15:00,0,583.2010,8.205
67,2017-05-04,11:30:00,0,582.9590,8.209
68,2017-05-04,11:45:00,0,582.8680,8.208
