Serial Number
	1021672
Project ID
	03090020
Location
	Vergers Leahy
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		172       m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2016-12-01,19:00:00,0,377.5130,8.253
2,2016-12-01,19:15:00,0,378.0780,8.253
3,2016-12-01,19:30:00,0,378.8180,8.253
4,2016-12-01,19:45:00,0,379.4250,8.253
5,2016-12-01,20:00:00,0,379.8230,8.253
6,2016-12-01,20:15:00,0,379.9760,8.252
7,2016-12-01,20:30:00,0,380.0120,8.253
8,2016-12-01,20:45:00,0,379.9650,8.254
9,2016-12-01,21:00:00,0,380.0000,8.253
10,2016-12-01,21:15:00,0,379.9660,8.252
11,2016-12-01,21:30:00,0,380.0010,8.254
12,2016-12-01,21:45:00,0,380.0460,8.253
13,2016-12-01,22:00:00,0,379.9590,8.253
14,2016-12-01,22:15:00,0,379.7550,8.253
15,2016-12-01,22:30:00,0,379.3160,8.253
16,2016-12-01,22:45:00,0,378.7380,8.253
17,2016-12-01,23:00:00,0,377.9890,8.253
18,2016-12-01,23:15:00,0,377.3690,8.253
19,2016-12-01,23:30:00,0,376.8290,8.254
20,2016-12-01,23:45:00,0,376.4130,8.253
21,2016-12-02,00:00:00,0,376.0520,8.252
22,2016-12-02,00:15:00,0,375.9090,8.253
23,2016-12-02,00:30:00,0,375.7740,8.253
24,2016-12-02,00:45:00,0,375.9000,8.253
25,2016-12-02,01:00:00,0,375.9330,8.253
26,2016-12-02,01:15:00,0,375.7950,8.253
27,2016-12-02,01:30:00,0,375.7300,8.253
28,2016-12-02,01:45:00,0,375.7900,8.253
29,2016-12-02,02:00:00,0,375.9010,8.254
30,2016-12-02,02:15:00,0,375.9320,8.254
31,2016-12-02,02:30:00,0,375.5930,8.253
32,2016-12-02,02:45:00,0,375.2890,8.252
33,2016-12-02,03:00:00,0,374.9070,8.253
34,2016-12-02,03:15:00,0,374.8560,8.253
35,2016-12-02,03:30:00,0,374.6350,8.253
36,2016-12-02,03:45:00,0,374.5910,8.253
37,2016-12-02,04:00:00,0,374.6410,8.253
38,2016-12-02,04:15:00,0,374.7900,8.252
39,2016-12-02,04:30:00,0,375.1810,8.252
40,2016-12-02,04:45:00,0,375.5440,8.252
41,2016-12-02,05:00:00,0,376.1760,8.252
42,2016-12-02,05:15:00,0,376.8430,8.253
43,2016-12-02,05:30:00,0,377.5550,8.252
44,2016-12-02,05:45:00,0,378.2250,8.253
45,2016-12-02,06:00:00,0,378.8310,8.253
46,2016-12-02,06:15:00,0,379.6440,8.252
47,2016-12-02,06:30:00,0,380.4040,8.253
48,2016-12-02,06:45:00,0,381.2060,8.252
49,2016-12-02,07:00:00,0,381.9400,8.252
50,2016-12-02,07:15:00,0,382.7190,8.252
51,2016-12-02,07:30:00,0,383.4680,8.252
52,2016-12-02,07:45:00,0,384.2660,8.252
53,2016-12-02,08:00:00,0,385.0730,8.253
54,2016-12-02,08:15:00,0,385.7140,8.252
55,2016-12-02,08:30:00,0,386.3770,8.252
56,2016-12-02,08:45:00,0,386.9970,8.252
57,2016-12-02,09:00:00,0,387.6900,8.252
58,2016-12-02,09:15:00,0,388.1870,8.253
59,2016-12-02,09:30:00,0,388.6570,8.253
60,2016-12-02,09:45:00,0,389.2590,8.253
61,2016-12-02,10:00:00,0,389.6710,8.253
62,2016-12-02,10:15:00,0,390.2420,8.252
63,2016-12-02,10:30:00,0,390.6710,8.252
64,2016-12-02,10:45:00,0,391.1640,8.252
65,2016-12-02,11:00:00,0,391.7010,8.253
66,2016-12-02,11:15:00,0,392.1820,8.253
67,2016-12-02,11:30:00,0,392.5200,8.254
68,2016-12-02,11:45:00,0,393.4180,8.253
69,2016-12-02,12:00:00,0,394.0120,8.254
70,2016-12-02,12:15:00,0,394.3270,8.253
71,2016-12-02,12:30:00,0,394.7740,8.252
72,2016-12-02,12:45:00,0,395.2080,8.252
73,2016-12-02,13:00:00,0,395.7290,8.253
74,2016-12-02,13:15:00,0,396.2840,8.252
75,2016-12-02,13:30:00,0,396.8510,8.253
76,2016-12-02,13:45:00,0,397.2750,8.252
77,2016-12-02,14:00:00,0,397.6920,8.253
78,2016-12-02,14:15:00,0,398.2610,8.253
79,2016-12-02,14:30:00,0,398.6720,8.253
80,2016-12-02,14:45:00,0,399.1640,8.253
81,2016-12-02,15:00:00,0,399.7740,8.252
82,2016-12-02,15:15:00,0,400.2110,8.253
83,2016-12-02,15:30:00,0,400.6960,8.253
84,2016-12-02,15:45:00,0,401.1790,8.253
85,2016-12-02,16:00:00,0,401.7130,8.253
86,2016-12-02,16:15:00,0,402.2000,8.253
87,2016-12-02,16:30:00,0,402.6960,8.253
88,2016-12-02,16:45:00,0,403.0870,8.253
89,2016-12-02,17:00:00,0,403.3110,8.253
90,2016-12-02,17:15:00,0,403.5040,8.252
91,2016-12-02,17:30:00,0,403.6120,8.252
92,2016-12-02,17:45:00,0,403.7210,8.252
93,2016-12-02,18:00:00,0,403.8610,8.253
94,2016-12-02,18:15:00,0,404.0130,8.252
95,2016-12-02,18:30:00,0,404.0630,8.253
96,2016-12-02,18:45:00,0,404.1610,8.253
97,2016-12-02,19:00:00,0,404.2150,8.252
98,2016-12-02,19:15:00,0,404.2700,8.252
99,2016-12-02,19:30:00,0,404.2450,8.252
100,2016-12-02,19:45:00,0,404.2980,8.252
101,2016-12-02,20:00:00,0,404.2460,8.253
102,2016-12-02,20:15:00,0,404.0830,8.252
103,2016-12-02,20:30:00,0,404.0420,8.253
104,2016-12-02,20:45:00,0,403.8960,8.252
105,2016-12-02,21:00:00,0,403.7650,8.252
106,2016-12-02,21:15:00,0,403.6780,8.253
107,2016-12-02,21:30:00,0,403.7100,8.253
108,2016-12-02,21:45:00,0,403.7810,8.253
109,2016-12-02,22:00:00,0,403.8850,8.253
110,2016-12-02,22:15:00,0,403.9930,8.253
111,2016-12-02,22:30:00,0,404.0590,8.252
112,2016-12-02,22:45:00,0,404.1000,8.253
113,2016-12-02,23:00:00,0,404.0750,8.252
114,2016-12-02,23:15:00,0,404.0190,8.253
115,2016-12-02,23:30:00,0,404.0100,8.252
116,2016-12-02,23:45:00,0,404.0150,8.254
117,2016-12-03,00:00:00,0,404.1300,8.253
118,2016-12-03,00:15:00,0,404.1690,8.252
119,2016-12-03,00:30:00,0,404.3220,8.252
