Serial Number
	1021786
Project ID
	04300014
Location
	Parc d'Oka
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		29        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2016-10-28,13:00:00,0,491.8290,7.216
2,2016-10-28,13:15:00,0,491.6660,7.215
3,2016-10-28,13:30:00,0,491.5900,7.216
4,2016-10-28,13:45:00,0,491.6530,7.215
5,2016-10-28,14:00:00,0,491.7630,7.216
6,2016-10-28,14:15:00,0,491.7970,7.214
7,2016-10-28,14:30:00,0,492.0070,7.214
8,2016-10-28,14:45:00,0,492.2230,7.215
9,2016-10-28,15:00:00,0,492.3090,7.216
10,2016-10-28,15:15:00,0,492.2710,7.219
11,2016-10-28,15:30:00,0,492.4090,7.216
12,2016-10-28,15:45:00,0,492.4430,7.213
13,2016-10-28,16:00:00,0,492.3620,7.215
14,2016-10-28,16:15:00,0,492.5270,7.214
15,2016-10-28,16:30:00,0,492.5860,7.213
16,2016-10-28,16:45:00,0,492.6250,7.216
17,2016-10-28,17:00:00,0,492.7630,7.215
18,2016-10-28,17:15:00,0,492.7040,7.217
19,2016-10-28,17:30:00,0,492.4540,7.216
20,2016-10-28,17:45:00,0,492.6620,7.213
21,2016-10-28,18:00:00,0,492.7860,7.215
22,2016-10-28,18:15:00,0,492.9820,7.214
23,2016-10-28,18:30:00,0,493.2470,7.217
24,2016-10-28,18:45:00,0,493.2590,7.217
25,2016-10-28,19:00:00,0,493.3690,7.217
26,2016-10-28,19:15:00,0,493.4890,7.213
27,2016-10-28,19:30:00,0,493.5620,7.214
28,2016-10-28,19:45:00,0,493.3450,7.215
29,2016-10-28,20:00:00,0,493.2080,7.214
30,2016-10-28,20:15:00,0,493.1800,7.215
31,2016-10-28,20:30:00,0,492.8760,7.212
32,2016-10-28,20:45:00,0,492.6270,7.213
33,2016-10-28,21:00:00,0,492.6660,7.216
34,2016-10-28,21:15:00,0,492.6140,7.216
35,2016-10-28,21:30:00,0,492.6180,7.217
36,2016-10-28,21:45:00,0,493.1100,7.212
37,2016-10-28,22:00:00,0,493.1500,7.215
38,2016-10-28,22:15:00,0,492.8200,7.215
39,2016-10-28,22:30:00,0,492.7900,7.215
40,2016-10-28,22:45:00,0,492.6640,7.214
41,2016-10-28,23:00:00,0,492.3110,7.211
42,2016-10-28,23:15:00,0,491.9610,7.212
43,2016-10-28,23:30:00,0,492.2240,7.213
44,2016-10-28,23:45:00,0,492.1040,7.212
45,2016-10-29,00:00:00,0,492.2220,7.215
46,2016-10-29,00:15:00,0,492.1220,7.218
47,2016-10-29,00:30:00,0,492.4720,7.219
48,2016-10-29,00:45:00,0,492.6330,7.213
49,2016-10-29,01:00:00,0,492.4800,7.214
50,2016-10-29,01:15:00,0,492.3890,7.214
51,2016-10-29,01:30:00,0,492.0920,7.214
52,2016-10-29,01:45:00,0,491.8180,7.214
53,2016-10-29,02:00:00,0,491.8170,7.216
54,2016-10-29,02:15:00,0,491.7880,7.218
55,2016-10-29,02:30:00,0,491.6920,7.215
56,2016-10-29,02:45:00,0,491.4400,7.213
57,2016-10-29,03:00:00,0,491.0980,7.214
58,2016-10-29,03:15:00,0,490.5410,7.214
59,2016-10-29,03:30:00,0,490.0380,7.214
60,2016-10-29,03:45:00,0,489.9500,7.214
61,2016-10-29,04:00:00,0,490.0740,7.215
62,2016-10-29,04:15:00,0,489.5990,7.215
63,2016-10-29,04:30:00,0,488.7820,7.213
64,2016-10-29,04:45:00,0,488.5770,7.215
65,2016-10-29,05:00:00,0,488.1990,7.213
66,2016-10-29,05:15:00,0,488.2800,7.214
67,2016-10-29,05:30:00,0,487.6450,7.216
68,2016-10-29,05:45:00,0,487.4130,7.216
69,2016-10-29,06:00:00,0,487.0240,7.213
70,2016-10-29,06:15:00,0,486.8080,7.213
71,2016-10-29,06:30:00,0,486.1040,7.214
72,2016-10-29,06:45:00,0,485.4100,7.213
73,2016-10-29,07:00:00,0,486.1880,7.213
74,2016-10-29,07:15:00,0,486.3590,7.213
75,2016-10-29,07:30:00,0,486.4480,7.214
76,2016-10-29,07:45:00,0,486.2000,7.213
77,2016-10-29,08:00:00,0,485.7840,7.214
78,2016-10-29,08:15:00,0,485.4220,7.214
79,2016-10-29,08:30:00,0,485.0110,7.217
80,2016-10-29,08:45:00,0,484.6140,7.216
81,2016-10-29,09:00:00,0,484.2710,7.214
82,2016-10-29,09:15:00,0,483.8140,7.213
83,2016-10-29,09:30:00,0,483.5370,7.214
84,2016-10-29,09:45:00,0,483.0100,7.212
85,2016-10-29,10:00:00,0,482.9210,7.212
86,2016-10-29,10:15:00,0,482.7070,7.211
87,2016-10-29,10:30:00,0,482.2910,7.214
88,2016-10-29,10:45:00,0,481.8750,7.214
89,2016-10-29,11:00:00,0,481.7460,7.216
90,2016-10-29,11:15:00,0,481.5800,7.216
