Serial Number
	1032362
Project ID
	03090014
Location
	St-Michel_MT
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		60        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2016-12-01,13:00:00,0,616.1220,8.864
2,2016-12-01,13:15:00,0,616.2010,8.864
3,2016-12-01,13:30:00,0,616.2380,8.862
4,2016-12-01,13:45:00,0,616.2360,8.863
5,2016-12-01,14:00:00,0,616.2000,8.862
6,2016-12-01,14:15:00,0,616.0150,8.863
7,2016-12-01,14:30:00,0,615.8330,8.863
8,2016-12-01,14:45:00,0,615.5580,8.861
9,2016-12-01,15:00:00,0,615.4130,8.862
10,2016-12-01,15:15:00,0,615.2260,8.860
11,2016-12-01,15:30:00,0,615.1541,8.861
12,2016-12-01,15:45:00,0,614.8850,8.862
13,2016-12-01,16:00:00,0,614.9901,8.860
14,2016-12-01,16:15:00,0,615.0010,8.861
15,2016-12-01,16:30:00,0,614.9600,8.863
16,2016-12-01,16:45:00,0,614.8890,8.860
17,2016-12-01,17:00:00,0,614.8530,8.864
18,2016-12-01,17:15:00,0,614.8701,8.860
19,2016-12-01,17:30:00,0,614.8070,8.860
20,2016-12-01,17:45:00,0,614.7191,8.864
21,2016-12-01,18:00:00,0,614.7440,8.861
22,2016-12-01,18:15:00,0,614.6130,8.861
23,2016-12-01,18:30:00,0,614.6940,8.862
24,2016-12-01,18:45:00,0,614.6710,8.862
25,2016-12-01,19:00:00,0,614.5950,8.861
26,2016-12-01,19:15:00,0,614.6700,8.862
27,2016-12-01,19:30:00,0,614.8200,8.862
28,2016-12-01,19:45:00,0,614.8600,8.862
29,2016-12-01,20:00:00,0,614.9120,8.861
30,2016-12-01,20:15:00,0,614.9650,8.862
31,2016-12-01,20:30:00,0,615.0601,8.860
32,2016-12-01,20:45:00,0,615.2170,8.863
33,2016-12-01,21:00:00,0,615.3380,8.862
34,2016-12-01,21:15:00,0,615.4870,8.861
35,2016-12-01,21:30:00,0,615.6151,8.860
36,2016-12-01,21:45:00,0,615.6411,8.860
37,2016-12-01,22:00:00,0,615.9290,8.863
38,2016-12-01,22:15:00,0,616.0790,8.862
39,2016-12-01,22:30:00,0,616.2560,8.859
40,2016-12-01,22:45:00,0,616.5020,8.861
41,2016-12-01,23:00:00,0,616.7090,8.863
42,2016-12-01,23:15:00,0,616.7690,8.861
43,2016-12-01,23:30:00,0,616.8920,8.863
44,2016-12-01,23:45:00,0,617.0310,8.860
45,2016-12-02,00:00:00,0,617.1210,8.863
46,2016-12-02,00:15:00,0,617.2090,8.859
47,2016-12-02,00:30:00,0,617.5530,8.863
48,2016-12-02,00:45:00,0,617.7971,8.863
49,2016-12-02,01:00:00,0,618.0760,8.863
50,2016-12-02,01:15:00,0,618.1920,8.859
51,2016-12-02,01:30:00,0,618.5650,8.863
52,2016-12-02,01:45:00,0,618.8160,8.859
53,2016-12-02,02:00:00,0,619.1860,8.863
54,2016-12-02,02:15:00,0,619.5130,8.860
55,2016-12-02,02:30:00,0,619.8010,8.863
56,2016-12-02,02:45:00,0,619.8850,8.860
57,2016-12-02,03:00:00,0,620.1940,8.862
58,2016-12-02,03:15:00,0,620.3140,8.862
59,2016-12-02,03:30:00,0,620.5590,8.862
60,2016-12-02,03:45:00,0,620.7390,8.860
61,2016-12-02,04:00:00,0,620.8730,8.861
62,2016-12-02,04:15:00,0,621.0840,8.859
63,2016-12-02,04:30:00,0,621.3220,8.862
64,2016-12-02,04:45:00,0,621.5580,8.863
65,2016-12-02,05:00:00,0,621.8470,8.863
66,2016-12-02,05:15:00,0,622.0081,8.862
67,2016-12-02,05:30:00,0,622.3450,8.861
68,2016-12-02,05:45:00,0,622.5700,8.864
69,2016-12-02,06:00:00,0,622.9301,8.864
70,2016-12-02,06:15:00,0,623.1960,8.863
71,2016-12-02,06:30:00,0,623.3970,8.864
72,2016-12-02,06:45:00,0,623.5720,8.862
73,2016-12-02,07:00:00,0,623.8231,8.864
74,2016-12-02,07:15:00,0,624.0090,8.862
75,2016-12-02,07:30:00,0,624.2310,8.861
76,2016-12-02,07:45:00,0,624.3140,8.865
77,2016-12-02,08:00:00,0,624.3430,8.862
78,2016-12-02,08:15:00,0,624.4380,8.864
79,2016-12-02,08:30:00,0,624.4171,8.863
80,2016-12-02,08:45:00,0,624.3080,8.862
81,2016-12-02,09:00:00,0,624.2900,8.865
82,2016-12-02,09:15:00,0,624.1331,8.863
83,2016-12-02,09:30:00,0,623.9130,8.866
84,2016-12-02,09:45:00,0,623.7340,8.865
85,2016-12-02,10:00:00,0,623.5580,8.865
86,2016-12-02,10:15:00,0,623.2700,8.867
87,2016-12-02,10:30:00,0,623.0770,8.865
