Serial Number
	1032365
Project ID
	04010001
Location
	Montée Lavigne
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		78        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2016-10-28,13:00:00,0,569.2250,7.647
2,2016-10-28,13:15:00,0,569.0150,7.646
3,2016-10-28,13:30:00,0,569.0081,7.652
4,2016-10-28,13:45:00,0,569.2590,7.647
5,2016-10-28,14:00:00,0,569.2690,7.650
6,2016-10-28,14:15:00,0,569.3240,7.647
7,2016-10-28,14:30:00,0,569.6021,7.646
8,2016-10-28,14:45:00,0,569.8010,7.653
9,2016-10-28,15:00:00,0,569.9320,7.646
10,2016-10-28,15:15:00,0,570.0100,7.650
11,2016-10-28,15:30:00,0,570.0440,7.648
12,2016-10-28,15:45:00,0,570.1650,7.648
13,2016-10-28,16:00:00,0,570.3710,7.650
14,2016-10-28,16:15:00,0,570.4130,7.651
15,2016-10-28,16:30:00,0,570.5500,7.645
16,2016-10-28,16:45:00,0,570.7070,7.648
17,2016-10-28,17:00:00,0,570.7370,7.649
18,2016-10-28,17:15:00,0,570.7200,7.650
19,2016-10-28,17:30:00,0,570.7460,7.651
20,2016-10-28,17:45:00,0,570.8270,7.651
21,2016-10-28,18:00:00,0,571.0770,7.648
22,2016-10-28,18:15:00,0,571.1600,7.652
23,2016-10-28,18:30:00,0,571.2770,7.646
24,2016-10-28,18:45:00,0,571.3800,7.647
25,2016-10-28,19:00:00,0,571.5211,7.654
26,2016-10-28,19:15:00,0,571.4990,7.650
27,2016-10-28,19:30:00,0,571.4310,7.649
28,2016-10-28,19:45:00,0,571.2370,7.654
29,2016-10-28,20:00:00,0,571.2070,7.656
30,2016-10-28,20:15:00,0,571.0360,7.651
31,2016-10-28,20:30:00,0,570.6560,7.651
32,2016-10-28,20:45:00,0,570.5930,7.651
33,2016-10-28,21:00:00,0,570.5120,7.651
34,2016-10-28,21:15:00,0,570.5120,7.649
35,2016-10-28,21:30:00,0,570.6411,7.652
36,2016-10-28,21:45:00,0,570.9940,7.653
37,2016-10-28,22:00:00,0,570.7700,7.656
38,2016-10-28,22:15:00,0,570.6411,7.655
39,2016-10-28,22:30:00,0,570.3940,7.650
40,2016-10-28,22:45:00,0,570.2470,7.652
41,2016-10-28,23:00:00,0,569.9470,7.656
42,2016-10-28,23:15:00,0,569.7460,7.657
43,2016-10-28,23:30:00,0,570.0040,7.650
44,2016-10-28,23:45:00,0,569.9630,7.649
45,2016-10-29,00:00:00,0,569.9691,7.652
46,2016-10-29,00:15:00,0,570.0200,7.653
47,2016-10-29,00:30:00,0,570.3370,7.652
48,2016-10-29,00:45:00,0,570.5400,7.656
49,2016-10-29,01:00:00,0,570.4470,7.651
50,2016-10-29,01:15:00,0,570.2380,7.656
51,2016-10-29,01:30:00,0,570.2630,7.651
52,2016-10-29,01:45:00,0,570.0530,7.653
53,2016-10-29,02:00:00,0,570.1820,7.658
54,2016-10-29,02:15:00,0,570.3350,7.654
55,2016-10-29,02:30:00,0,570.2860,7.656
56,2016-10-29,02:45:00,0,570.1520,7.656
57,2016-10-29,03:00:00,0,569.7740,7.654
58,2016-10-29,03:15:00,0,569.5060,7.654
59,2016-10-29,03:30:00,0,568.9450,7.656
60,2016-10-29,03:45:00,0,569.3450,7.656
61,2016-10-29,04:00:00,0,569.2560,7.657
62,2016-10-29,04:15:00,0,568.6801,7.651
63,2016-10-29,04:30:00,0,568.4010,7.656
64,2016-10-29,04:45:00,0,568.4730,7.654
65,2016-10-29,05:00:00,0,568.0250,7.656
66,2016-10-29,05:15:00,0,568.4150,7.658
67,2016-10-29,05:30:00,0,568.2510,7.653
68,2016-10-29,05:45:00,0,568.4130,7.655
69,2016-10-29,06:00:00,0,567.4790,7.657
70,2016-10-29,06:15:00,0,567.4670,7.656
71,2016-10-29,06:30:00,0,566.4140,7.654
72,2016-10-29,06:45:00,0,567.2590,7.659
73,2016-10-29,07:00:00,0,567.4720,7.656
74,2016-10-29,07:15:00,0,567.4480,7.655
75,2016-10-29,07:30:00,0,567.1190,7.662
76,2016-10-29,07:45:00,0,566.9431,7.655
77,2016-10-29,08:00:00,0,566.5920,7.659
78,2016-10-29,08:15:00,0,566.2791,7.657
79,2016-10-29,08:30:00,0,566.0600,7.653
