Serial Number
	1032365
Project ID
	04010001
Location
	Montée Lavigne
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		78        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2017-05-10,19:00:00,0,901.0430,7.041
2,2017-05-10,19:15:00,0,900.8961,7.036
3,2017-05-10,19:30:00,0,901.0031,7.041
4,2017-05-10,19:45:00,0,900.9720,7.040
5,2017-05-10,20:00:00,0,900.9841,7.033
6,2017-05-10,20:15:00,0,900.9670,7.040
7,2017-05-10,20:30:00,0,900.9871,7.040
8,2017-05-10,20:45:00,0,900.9330,7.037
9,2017-05-10,21:00:00,0,900.9830,7.036
10,2017-05-10,21:15:00,0,900.8911,7.037
11,2017-05-10,21:30:00,0,900.9550,7.038
12,2017-05-10,21:45:00,0,900.8751,7.039
13,2017-05-10,22:00:00,0,900.8201,7.037
14,2017-05-10,22:15:00,0,900.5630,7.036
15,2017-05-10,22:30:00,0,900.4301,7.037
16,2017-05-10,22:45:00,0,900.3831,7.034
17,2017-05-10,23:00:00,0,900.2070,7.038
18,2017-05-10,23:15:00,0,900.1931,7.035
19,2017-05-10,23:30:00,0,900.2141,7.036
20,2017-05-10,23:45:00,0,900.1700,7.036
21,2017-05-11,00:00:00,0,900.0880,7.038
22,2017-05-11,00:15:00,0,900.0020,7.035
23,2017-05-11,00:30:00,0,899.8030,7.040
24,2017-05-11,00:45:00,0,899.5930,7.037
25,2017-05-11,01:00:00,0,899.4750,7.037
26,2017-05-11,01:15:00,0,899.4310,7.036
27,2017-05-11,01:30:00,0,899.2980,7.033
28,2017-05-11,01:45:00,0,899.3010,7.034
29,2017-05-11,02:00:00,0,899.1871,7.034
30,2017-05-11,02:15:00,0,899.1570,7.035
31,2017-05-11,02:30:00,0,899.1230,7.037
32,2017-05-11,02:45:00,0,899.0211,7.036
33,2017-05-11,03:00:00,0,898.9390,7.040
34,2017-05-11,03:15:00,0,898.8580,7.033
35,2017-05-11,03:30:00,0,898.7200,7.034
36,2017-05-11,03:45:00,0,898.7720,7.033
37,2017-05-11,04:00:00,0,898.6801,7.036
38,2017-05-11,04:15:00,0,898.6810,7.034
39,2017-05-11,04:30:00,0,898.7720,7.034
40,2017-05-11,04:45:00,0,898.8450,7.029
41,2017-05-11,05:00:00,0,898.8940,7.033
42,2017-05-11,05:15:00,0,898.9650,7.031
43,2017-05-11,05:30:00,0,898.9570,7.032
44,2017-05-11,05:45:00,0,898.9481,7.027
45,2017-05-11,06:00:00,0,898.8491,7.033
46,2017-05-11,06:15:00,0,898.8231,7.032
47,2017-05-11,06:30:00,0,898.9061,7.031
48,2017-05-11,06:45:00,0,898.6810,7.031
49,2017-05-11,07:00:00,0,898.5161,7.031
50,2017-05-11,07:15:00,0,898.3281,7.030
51,2017-05-11,07:30:00,0,898.2711,7.030
52,2017-05-11,07:45:00,0,898.1780,7.035
