Serial Number
	1032429
Project ID
	04017031
Location
	Brownsburg-Chatham
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		44        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2016-10-28,19:00:00,0,409.3490,8.490
2,2016-10-28,19:15:00,0,405.7050,8.495
3,2016-10-28,19:30:00,0,405.7370,8.496
4,2016-10-28,19:45:00,0,406.4390,8.493
5,2016-10-28,20:00:00,0,406.6570,8.493
6,2016-10-28,20:15:00,0,407.0620,8.489
7,2016-10-28,20:30:00,0,407.3330,8.488
8,2016-10-28,20:45:00,0,407.9140,8.488
9,2016-10-28,21:00:00,0,408.1020,8.486
10,2016-10-28,21:15:00,0,408.3810,8.486
11,2016-10-28,21:30:00,0,408.9760,8.487
12,2016-10-28,21:45:00,0,409.3240,8.486
13,2016-10-28,22:00:00,0,409.1370,8.485
14,2016-10-28,22:15:00,0,407.6370,8.488
15,2016-10-28,22:30:00,0,407.9690,8.488
16,2016-10-28,22:45:00,0,408.0890,8.487
17,2016-10-28,23:00:00,0,408.1520,8.487
18,2016-10-28,23:15:00,0,408.5370,8.487
19,2016-10-28,23:30:00,0,408.7660,8.487
20,2016-10-28,23:45:00,0,408.8960,8.486
21,2016-10-29,00:00:00,0,408.8460,8.486
22,2016-10-29,00:15:00,0,409.2280,8.487
23,2016-10-29,00:30:00,0,409.6280,8.486
24,2016-10-29,00:45:00,0,409.6370,8.486
25,2016-10-29,01:00:00,0,409.4570,8.487
26,2016-10-29,01:15:00,0,409.4240,8.487
27,2016-10-29,01:30:00,0,409.4480,8.487
28,2016-10-29,01:45:00,0,409.3990,8.488
29,2016-10-29,02:00:00,0,409.6250,8.487
30,2016-10-29,02:15:00,0,409.6410,8.488
31,2016-10-29,02:30:00,0,409.6200,8.486
32,2016-10-29,02:45:00,0,409.2790,8.487
33,2016-10-29,03:00:00,0,409.1180,8.487
34,2016-10-29,03:15:00,0,408.5190,8.486
35,2016-10-29,03:30:00,0,408.8960,8.487
36,2016-10-29,03:45:00,0,409.2010,8.487
37,2016-10-29,04:00:00,0,408.7480,8.486
38,2016-10-29,04:15:00,0,408.3790,8.487
39,2016-10-29,04:30:00,0,408.5270,8.485
40,2016-10-29,04:45:00,0,408.4440,8.486
41,2016-10-29,05:00:00,0,408.6500,8.487
42,2016-10-29,05:15:00,0,408.4350,8.485
43,2016-10-29,05:30:00,0,408.3610,8.487
44,2016-10-29,05:45:00,0,408.0600,8.487
45,2016-10-29,06:00:00,0,407.9520,8.485
46,2016-10-29,06:15:00,0,407.4820,8.486
47,2016-10-29,06:30:00,0,407.5450,8.487
48,2016-10-29,06:45:00,0,408.3110,8.486
49,2016-10-29,07:00:00,0,408.2510,8.487
50,2016-10-29,07:15:00,0,408.2610,8.487
51,2016-10-29,07:30:00,0,408.0750,8.487
52,2016-10-29,07:45:00,0,407.6470,8.487
53,2016-10-29,08:00:00,0,407.5340,8.487
54,2016-10-29,08:15:00,0,406.5020,8.488
55,2016-10-29,08:30:00,0,406.6550,8.488
56,2016-10-29,08:45:00,0,406.4800,8.488
57,2016-10-29,09:00:00,0,406.2670,8.488
58,2016-10-29,09:15:00,0,406.0520,8.487
59,2016-10-29,09:30:00,0,405.6640,8.487
60,2016-10-29,09:45:00,0,405.7460,8.489
61,2016-10-29,10:00:00,0,404.4300,8.492
62,2016-10-29,10:15:00,0,404.5140,8.491
63,2016-10-29,10:30:00,0,404.5030,8.491
64,2016-10-29,10:45:00,0,403.5140,8.492
65,2016-10-29,11:00:00,0,403.8910,8.492
66,2016-10-29,11:15:00,0,404.2000,8.490
67,2016-10-29,11:30:00,0,403.2400,8.492
68,2016-10-29,11:45:00,0,403.4160,8.491
69,2016-10-29,12:00:00,0,402.7390,8.490
70,2016-10-29,12:15:00,0,402.6640,8.490
71,2016-10-29,12:30:00,0,402.9710,8.491
72,2016-10-29,12:45:00,0,401.9430,8.490
73,2016-10-29,13:00:00,0,402.1460,8.490
74,2016-10-29,13:15:00,0,402.2950,8.490
75,2016-10-29,13:30:00,0,402.2320,8.491
76,2016-10-29,13:45:00,0,402.4250,8.491
77,2016-10-29,14:00:00,0,401.4530,8.493
78,2016-10-29,14:15:00,0,401.8740,8.490
79,2016-10-29,14:30:00,0,402.0260,8.490
80,2016-10-29,14:45:00,0,401.6540,8.489
81,2016-10-29,15:00:00,0,401.8180,8.490
82,2016-10-29,15:15:00,0,402.0640,8.488
83,2016-10-29,15:30:00,0,402.0160,8.489
84,2016-10-29,15:45:00,0,402.2520,8.490
85,2016-10-29,16:00:00,0,402.3350,8.490
86,2016-10-29,16:15:00,0,402.3810,8.490
87,2016-10-29,16:30:00,0,402.5630,8.490
88,2016-10-29,16:45:00,0,402.8120,8.491
89,2016-10-29,17:00:00,0,402.0160,8.492
90,2016-10-29,17:15:00,0,402.1810,8.491
91,2016-10-29,17:30:00,0,402.5360,8.491
92,2016-10-29,17:45:00,0,402.8200,8.491
93,2016-10-29,18:00:00,0,402.3550,8.493
94,2016-10-29,18:15:00,0,402.7120,8.492
95,2016-10-29,18:30:00,0,403.0630,8.492
96,2016-10-29,18:45:00,0,403.3510,8.493
97,2016-10-29,19:00:00,0,403.5950,8.492
98,2016-10-29,19:15:00,0,403.0140,8.494
99,2016-10-29,19:30:00,0,403.5070,8.494
100,2016-10-29,19:45:00,0,403.7110,8.495
101,2016-10-29,20:00:00,0,404.1850,8.495
102,2016-10-29,20:15:00,0,401.9490,8.496
103,2016-10-29,20:30:00,0,402.6470,8.498
104,2016-10-29,20:45:00,0,403.2200,8.495
105,2016-10-29,21:00:00,0,403.7130,8.494
106,2016-10-29,21:15:00,0,404.2130,8.495
107,2016-10-29,21:30:00,0,404.5390,8.495
108,2016-10-29,21:45:00,0,404.7800,8.495
109,2016-10-29,22:00:00,0,404.8160,8.495
110,2016-10-29,22:15:00,0,404.8490,8.496
111,2016-10-29,22:30:00,0,405.0840,8.496
112,2016-10-29,22:45:00,0,404.4320,8.499
113,2016-10-29,23:00:00,0,404.9410,8.499
114,2016-10-29,23:15:00,0,405.0440,8.497
115,2016-10-29,23:30:00,0,405.0440,8.498
116,2016-10-29,23:45:00,0,405.3080,8.497
117,2016-10-30,00:00:00,0,405.4670,8.498
118,2016-10-30,00:15:00,0,405.7520,8.497
119,2016-10-30,00:30:00,0,405.8790,8.497
120,2016-10-30,00:45:00,0,406.0200,8.497
121,2016-10-30,01:00:00,0,406.1550,8.497
122,2016-10-30,01:15:00,0,406.2910,8.498
123,2016-10-30,01:30:00,0,406.5370,8.497
124,2016-10-30,01:45:00,0,406.5900,8.498
125,2016-10-30,02:00:00,0,406.6470,8.499
126,2016-10-30,02:15:00,0,406.8330,8.498
127,2016-10-30,02:30:00,0,406.9490,8.499
128,2016-10-30,02:45:00,0,407.0480,8.498
129,2016-10-30,03:00:00,0,407.1470,8.499
130,2016-10-30,03:15:00,0,407.4570,8.498
131,2016-10-30,03:30:00,0,407.5160,8.497
132,2016-10-30,03:45:00,0,407.5720,8.499
133,2016-10-30,04:00:00,0,407.5890,8.499
134,2016-10-30,04:15:00,0,407.8460,8.499
135,2016-10-30,04:30:00,0,408.1560,8.500
136,2016-10-30,04:45:00,0,408.1880,8.498
137,2016-10-30,05:00:00,0,408.5000,8.498
138,2016-10-30,05:15:00,0,408.6210,8.499
139,2016-10-30,05:30:00,0,408.6530,8.499
140,2016-10-30,05:45:00,0,408.9110,8.499
141,2016-10-30,06:00:00,0,408.9410,8.499
142,2016-10-30,06:15:00,0,409.0530,8.499
143,2016-10-30,06:30:00,0,409.4390,8.499
144,2016-10-30,06:45:00,0,409.5000,8.501
