Serial Number
	1041178
Project ID
	03097182
Location
	St-Urbain
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		41        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-12-02,13:00:00,0,340.0560,7.825
2,2016-12-02,13:15:00,0,340.1590,7.825
3,2016-12-02,13:30:00,0,340.3120,7.826
4,2016-12-02,13:45:00,0,340.3280,7.826
5,2016-12-02,14:00:00,0,340.3560,7.826
6,2016-12-02,14:15:00,0,340.5240,7.827
7,2016-12-02,14:30:00,0,340.7250,7.827
8,2016-12-02,14:45:00,0,340.8570,7.827
9,2016-12-02,15:00:00,0,340.9970,7.827
10,2016-12-02,15:15:00,0,341.1770,7.827
11,2016-12-02,15:30:00,0,341.3220,7.827
12,2016-12-02,15:45:00,0,341.4540,7.828
13,2016-12-02,16:00:00,0,341.5770,7.828
14,2016-12-02,16:15:00,0,341.7540,7.827
15,2016-12-02,16:30:00,0,341.9310,7.828
16,2016-12-02,16:45:00,0,342.0470,7.829
17,2016-12-02,17:00:00,0,342.2720,7.829
18,2016-12-02,17:15:00,0,342.3930,7.829
19,2016-12-02,17:30:00,0,342.5600,7.830
20,2016-12-02,17:45:00,0,342.6380,7.830
21,2016-12-02,18:00:00,0,342.7900,7.830
22,2016-12-02,18:15:00,0,342.8640,7.831
23,2016-12-02,18:30:00,0,342.9700,7.830
24,2016-12-02,18:45:00,0,343.0850,7.830
25,2016-12-02,19:00:00,0,343.2040,7.831
26,2016-12-02,19:15:00,0,343.3910,7.831
27,2016-12-02,19:30:00,0,343.4450,7.832
28,2016-12-02,19:45:00,0,343.5720,7.832
29,2016-12-02,20:00:00,0,343.6870,7.832
30,2016-12-02,20:15:00,0,343.7590,7.833
31,2016-12-02,20:30:00,0,343.8780,7.832
32,2016-12-02,20:45:00,0,343.8130,7.833
33,2016-12-02,21:00:00,0,343.9280,7.833
34,2016-12-02,21:15:00,0,343.9810,7.833
35,2016-12-02,21:30:00,0,344.0500,7.833
36,2016-12-02,21:45:00,0,344.1450,7.833
37,2016-12-02,22:00:00,0,344.1800,7.834
38,2016-12-02,22:15:00,0,344.2960,7.834
39,2016-12-02,22:30:00,0,344.3990,7.834
40,2016-12-02,22:45:00,0,344.4670,7.835
41,2016-12-02,23:00:00,0,344.6150,7.835
42,2016-12-02,23:15:00,0,344.7790,7.836
43,2016-12-02,23:30:00,0,344.7760,7.837
44,2016-12-02,23:45:00,0,344.9760,7.836
45,2016-12-03,00:00:00,0,345.0180,7.836
46,2016-12-03,00:15:00,0,345.1610,7.836
47,2016-12-03,00:30:00,0,345.2730,7.837
48,2016-12-03,00:45:00,0,345.3980,7.837
49,2016-12-03,01:00:00,0,345.5910,7.838
50,2016-12-03,01:15:00,0,345.7590,7.838
51,2016-12-03,01:30:00,0,345.9960,7.838
52,2016-12-03,01:45:00,0,346.2290,7.839
53,2016-12-03,02:00:00,0,346.4680,7.839
54,2016-12-03,02:15:00,0,346.6780,7.839
55,2016-12-03,02:30:00,0,346.9430,7.838
56,2016-12-03,02:45:00,0,347.1380,7.840
57,2016-12-03,03:00:00,0,347.3380,7.840
58,2016-12-03,03:15:00,0,347.4620,7.840
59,2016-12-03,03:30:00,0,347.5200,7.839
60,2016-12-03,03:45:00,0,347.6370,7.840
61,2016-12-03,04:00:00,0,347.8500,7.841
62,2016-12-03,04:15:00,0,347.9320,7.841
63,2016-12-03,04:30:00,0,348.2210,7.841
64,2016-12-03,04:45:00,0,348.4060,7.842
65,2016-12-03,05:00:00,0,348.6770,7.842
66,2016-12-03,05:15:00,0,348.9010,7.842
67,2016-12-03,05:30:00,0,349.1500,7.842
68,2016-12-03,05:45:00,0,349.2690,7.843
69,2016-12-03,06:00:00,0,349.5570,7.842
70,2016-12-03,06:15:00,0,349.7900,7.842
71,2016-12-03,06:30:00,0,349.9560,7.843
72,2016-12-03,06:45:00,0,350.2380,7.843
73,2016-12-03,07:00:00,0,350.4920,7.843
74,2016-12-03,07:15:00,0,350.7350,7.844
75,2016-12-03,07:30:00,0,350.9350,7.844
76,2016-12-03,07:45:00,0,351.1710,7.844
77,2016-12-03,08:00:00,0,351.4170,7.844
78,2016-12-03,08:15:00,0,351.5850,7.845
79,2016-12-03,08:30:00,0,351.7130,7.844
80,2016-12-03,08:45:00,0,351.8110,7.845
81,2016-12-03,09:00:00,0,352.0080,7.845
82,2016-12-03,09:15:00,0,352.1870,7.846
83,2016-12-03,09:30:00,0,352.3950,7.846
84,2016-12-03,09:45:00,0,352.6100,7.846
85,2016-12-03,10:00:00,0,352.8190,7.847
86,2016-12-03,10:15:00,0,352.8780,7.848
87,2016-12-03,10:30:00,0,352.9590,7.847
88,2016-12-03,10:45:00,0,353.0370,7.846
89,2016-12-03,11:00:00,0,353.1680,7.848
90,2016-12-03,11:15:00,0,353.1710,7.847
91,2016-12-03,11:30:00,0,353.1470,7.848
92,2016-12-03,11:45:00,0,353.2910,7.848
93,2016-12-03,12:00:00,0,353.3090,7.848
94,2016-12-03,12:15:00,0,353.3980,7.848
95,2016-12-03,12:30:00,0,353.4750,7.849
96,2016-12-03,12:45:00,0,353.4610,7.848
97,2016-12-03,13:00:00,0,353.5320,7.849
98,2016-12-03,13:15:00,0,353.5660,7.850
99,2016-12-03,13:30:00,0,353.7310,7.850
100,2016-12-03,13:45:00,0,353.7960,7.850
101,2016-12-03,14:00:00,0,353.9150,7.851
102,2016-12-03,14:15:00,0,354.0500,7.851
103,2016-12-03,14:30:00,0,354.3470,7.851
104,2016-12-03,14:45:00,0,354.4770,7.851
105,2016-12-03,15:00:00,0,354.7520,7.852
106,2016-12-03,15:15:00,0,354.8580,7.852
107,2016-12-03,15:30:00,0,355.2100,7.853
108,2016-12-03,15:45:00,0,355.3740,7.851
109,2016-12-03,16:00:00,0,355.5300,7.852
110,2016-12-03,16:15:00,0,355.7790,7.852
111,2016-12-03,16:30:00,0,356.1030,7.852
112,2016-12-03,16:45:00,0,356.2680,7.853
113,2016-12-03,17:00:00,0,356.4760,7.853
114,2016-12-03,17:15:00,0,356.7430,7.853
115,2016-12-03,17:30:00,0,356.9740,7.854
116,2016-12-03,17:45:00,0,357.2440,7.854
117,2016-12-03,18:00:00,0,357.4390,7.854
118,2016-12-03,18:15:00,0,357.6450,7.854
119,2016-12-03,18:30:00,0,357.8400,7.854
120,2016-12-03,18:45:00,0,358.0550,7.854
121,2016-12-03,19:00:00,0,358.2320,7.855
