Serial Number
	1041178
Project ID
	03097182
Location
	St-Urbain
Channel 1
	Identification
		LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		4100      m
Channel 2
	Identification
		TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-05,19:00:00,0,366.27603,7.074
2,2017-05-05,19:15:00,0,366.04800,7.068
3,2017-05-05,19:30:00,0,366.17902,7.067
4,2017-05-05,19:45:00,0,366.05902,7.082
5,2017-05-05,20:00:00,0,365.92603,7.086
6,2017-05-05,20:15:00,0,366.01202,7.071
7,2017-05-05,20:30:00,0,366.04303,7.072
8,2017-05-05,20:45:00,0,365.90402,7.075
9,2017-05-05,21:00:00,0,365.64001,7.064
10,2017-05-05,21:15:00,0,365.63303,7.073
11,2017-05-05,21:30:00,0,365.60400,7.069
12,2017-05-05,21:45:00,0,365.51703,7.073
13,2017-05-05,22:00:00,0,365.41403,7.071
14,2017-05-05,22:15:00,0,365.23502,7.074
15,2017-05-05,22:30:00,0,365.30103,7.068
16,2017-05-05,22:45:00,0,365.22803,7.065
17,2017-05-05,23:00:00,0,365.32303,7.064
18,2017-05-05,23:15:00,0,365.28601,7.088
19,2017-05-05,23:30:00,0,365.25003,7.076
20,2017-05-05,23:45:00,0,365.31802,7.067
21,2017-05-06,00:00:00,0,365.32901,7.113
22,2017-05-06,00:15:00,0,365.34601,7.090
23,2017-05-06,00:30:00,0,365.49701,7.066
24,2017-05-06,00:45:00,0,365.38303,7.065
25,2017-05-06,01:00:00,0,365.30402,7.060
26,2017-05-06,01:15:00,0,365.29303,7.061
27,2017-05-06,01:30:00,0,365.31403,7.060
28,2017-05-06,01:45:00,0,365.22202,7.051
29,2017-05-06,02:00:00,0,365.33401,7.047
30,2017-05-06,02:15:00,0,365.23703,7.069
31,2017-05-06,02:30:00,0,364.92203,7.073
32,2017-05-06,02:45:00,0,364.87402,7.060
33,2017-05-06,03:00:00,0,365.14603,7.069
34,2017-05-06,03:15:00,0,364.72900,7.061
35,2017-05-06,03:30:00,0,364.80902,7.055
36,2017-05-06,03:45:00,0,364.79102,7.059
37,2017-05-06,04:00:00,0,364.57303,7.067
38,2017-05-06,04:15:00,0,364.28802,7.069
39,2017-05-06,04:30:00,0,364.42502,7.074
40,2017-05-06,04:45:00,0,364.35901,7.065
41,2017-05-06,05:00:00,0,364.58502,7.061
42,2017-05-06,05:15:00,0,364.14902,7.058
43,2017-05-06,05:30:00,0,364.24002,7.051
44,2017-05-06,05:45:00,0,364.11401,7.058
45,2017-05-06,06:00:00,0,364.18402,7.058
46,2017-05-06,06:15:00,0,364.12402,7.060
47,2017-05-06,06:30:00,0,363.98602,7.087
48,2017-05-06,06:45:00,0,363.94101,7.075
49,2017-05-06,07:00:00,0,363.92502,7.066
50,2017-05-06,07:15:00,0,363.67203,7.050
51,2017-05-06,07:30:00,0,363.49600,7.052
52,2017-05-06,07:45:00,0,363.24600,7.056
53,2017-05-06,08:00:00,0,363.33603,7.050
54,2017-05-06,08:15:00,0,363.20801,7.049
55,2017-05-06,08:30:00,0,363.15903,7.052
56,2017-05-06,08:45:00,0,363.19901,7.057
57,2017-05-06,09:00:00,0,363.16403,7.058
58,2017-05-06,09:15:00,0,362.99701,7.071
59,2017-05-06,09:30:00,0,362.94702,7.090
60,2017-05-06,09:45:00,0,362.69702,7.069
61,2017-05-06,10:00:00,0,362.74200,7.052
62,2017-05-06,10:15:00,0,362.69803,7.056
63,2017-05-06,10:30:00,0,362.46402,7.053
64,2017-05-06,10:45:00,0,362.49002,7.058
65,2017-05-06,11:00:00,0,362.30200,7.057
66,2017-05-06,11:15:00,0,362.38602,7.046
67,2017-05-06,11:30:00,0,362.27802,7.044
68,2017-05-06,11:45:00,0,362.08002,7.049
69,2017-05-06,12:00:00,0,362.03101,7.046
70,2017-05-06,12:15:00,0,361.69901,7.048
71,2017-05-06,12:30:00,0,361.56500,7.069
72,2017-05-06,12:45:00,0,361.60703,7.059
73,2017-05-06,13:00:00,0,361.58301,7.050
74,2017-05-06,13:15:00,0,361.59601,7.054
75,2017-05-06,13:30:00,0,361.16901,7.055
76,2017-05-06,13:45:00,0,360.90903,7.074
77,2017-05-06,14:00:00,0,360.98801,7.094
78,2017-05-06,14:15:00,0,360.70703,7.072
79,2017-05-06,14:30:00,0,360.44901,7.057
80,2017-05-06,14:45:00,0,360.41803,7.052
81,2017-05-06,15:00:00,0,360.18802,7.052
82,2017-05-06,15:15:00,0,360.02301,7.067
