Serial_number:
1046542
Project ID:
BARO_04440001
Location:
BARO_St-Telesphore
Level
UNIT: cm
Offset: 0.000000 cm
Altitude: 78.000000 m
Temperature
UNIT: Deg C
Date,Time,ms,Level,Temperature
2017/05/09,19:00:00,0,86.25,20.728
2017/05/09,19:15:00,0,86.31,20.211
2017/05/09,19:30:00,0,86.37,17.592
2017/05/09,19:45:00,0,86.35,14.536
2017/05/09,20:00:00,0,86.27,11.954
2017/05/09,20:15:00,0,86.06,9.906
2017/05/09,20:30:00,0,86.00,8.197
2017/05/09,20:45:00,0,85.93,6.844
2017/05/09,21:00:00,0,85.83,5.802
2017/05/09,21:15:00,0,85.82,4.967
2017/05/09,21:30:00,0,85.73,4.266
2017/05/09,21:45:00,0,85.80,3.553
2017/05/09,22:00:00,0,85.88,2.885
2017/05/09,22:15:00,0,85.91,2.350
2017/05/09,22:30:00,0,85.81,1.924
2017/05/09,22:45:00,0,85.86,1.584
2017/05/09,23:00:00,0,85.69,1.379
2017/05/09,23:15:00,0,85.70,1.233
2017/05/09,23:30:00,0,85.67,1.180
2017/05/09,23:45:00,0,85.64,1.239
2017/05/10,00:00:00,0,85.68,1.377
2017/05/10,00:15:00,0,85.69,1.622
2017/05/10,00:30:00,0,85.69,1.851
2017/05/10,00:45:00,0,85.61,1.975
2017/05/10,01:00:00,0,85.49,2.064
2017/05/10,01:15:00,0,85.41,2.057
2017/05/10,01:30:00,0,85.32,1.836
2017/05/10,01:45:00,0,85.33,1.606
2017/05/10,02:00:00,0,85.23,1.571
2017/05/10,02:15:00,0,85.37,1.651
2017/05/10,02:30:00,0,85.45,1.745
2017/05/10,02:45:00,0,85.46,1.816
2017/05/10,03:00:00,0,85.37,1.856
2017/05/10,03:15:00,0,85.29,1.872
2017/05/10,03:30:00,0,85.14,1.919
2017/05/10,03:45:00,0,85.35,2.024
2017/05/10,04:00:00,0,85.43,2.053
2017/05/10,04:15:00,0,85.33,1.969
2017/05/10,04:30:00,0,85.35,1.855
2017/05/10,04:45:00,0,85.30,1.628
