Serial_number:
1047414
Project ID:
04647001-Baro
Location:
Sainte-Anne_BARO
LEVEL
UNIT: cm
Offset: 0.000000 cm
Altitude: 70.000000 m
TEMPERATURE
UNIT: Deg C
Date,Time,ms,LEVEL,TEMPERATURE
2016/10/28,13:00:00,0,90.93,7.491
2016/10/28,13:15:00,0,90.84,7.531
2016/10/28,13:30:00,0,90.68,7.514
2016/10/28,13:45:00,0,90.57,7.533
2016/10/28,14:00:00,0,90.67,7.590
2016/10/28,14:15:00,0,90.78,7.620
2016/10/28,14:30:00,0,90.73,7.624
2016/10/28,14:45:00,0,90.98,7.643
2016/10/28,15:00:00,0,91.15,7.644
2016/10/28,15:15:00,0,91.23,7.639
2016/10/28,15:30:00,0,91.25,7.657
2016/10/28,15:45:00,0,91.17,7.665
2016/10/28,16:00:00,0,91.27,7.651
2016/10/28,16:15:00,0,91.29,7.642
2016/10/28,16:30:00,0,91.23,7.614
2016/10/28,16:45:00,0,91.29,7.608
2016/10/28,17:00:00,0,91.42,7.607
2016/10/28,17:15:00,0,91.56,7.615
2016/10/28,17:30:00,0,91.47,7.605
2016/10/28,17:45:00,0,91.36,7.587
2016/10/28,18:00:00,0,91.35,7.566
2016/10/28,18:15:00,0,91.70,7.562
2016/10/28,18:30:00,0,91.92,7.561
2016/10/28,18:45:00,0,91.94,7.549
2016/10/28,19:00:00,0,92.06,7.542
2016/10/28,19:15:00,0,92.17,7.528
2016/10/28,19:30:00,0,92.19,7.505
2016/10/28,19:45:00,0,91.98,7.493
2016/10/28,20:00:00,0,91.92,7.511
2016/10/28,20:15:00,0,91.78,7.522
2016/10/28,20:30:00,0,91.55,7.530
2016/10/28,20:45:00,0,91.29,7.511
2016/10/28,21:00:00,0,91.45,7.498
2016/10/28,21:15:00,0,91.34,7.511
2016/10/28,21:30:00,0,91.27,7.502
2016/10/28,21:45:00,0,91.54,7.494
2016/10/28,22:00:00,0,91.74,7.475
2016/10/28,22:15:00,0,91.61,7.470
2016/10/28,22:30:00,0,91.41,7.473
2016/10/28,22:45:00,0,91.28,7.470
2016/10/28,23:00:00,0,90.97,7.474
2016/10/28,23:15:00,0,90.67,7.473
2016/10/28,23:30:00,0,90.52,7.476
2016/10/28,23:45:00,0,90.65,7.485
2016/10/29,00:00:00,0,90.72,7.460
2016/10/29,00:15:00,0,90.56,7.424
2016/10/29,00:30:00,0,90.72,7.438
2016/10/29,00:45:00,0,90.95,7.426
2016/10/29,01:00:00,0,91.00,7.422
2016/10/29,01:15:00,0,90.74,7.399
2016/10/29,01:30:00,0,90.59,7.406
2016/10/29,01:45:00,0,90.27,7.396
2016/10/29,02:00:00,0,90.23,7.386
2016/10/29,02:15:00,0,90.25,7.393
2016/10/29,02:30:00,0,90.28,7.382
2016/10/29,02:45:00,0,89.92,7.374
2016/10/29,03:00:00,0,89.56,7.372
2016/10/29,03:15:00,0,89.20,7.359
2016/10/29,03:30:00,0,88.76,7.357
2016/10/29,03:45:00,0,88.18,7.342
2016/10/29,04:00:00,0,88.34,7.355
2016/10/29,04:15:00,0,87.95,7.351
2016/10/29,04:30:00,0,87.54,7.319
2016/10/29,04:45:00,0,87.19,7.305
2016/10/29,05:00:00,0,87.24,7.281
2016/10/29,05:15:00,0,86.33,7.317
2016/10/29,05:30:00,0,87.02,7.295
2016/10/29,05:45:00,0,86.27,7.240
2016/10/29,06:00:00,0,86.37,7.240
2016/10/29,06:15:00,0,85.44,7.244
2016/10/29,06:30:00,0,85.30,7.243
2016/10/29,06:45:00,0,84.87,7.243
2016/10/29,07:00:00,0,85.24,7.241
2016/10/29,07:15:00,0,85.24,7.225
2016/10/29,07:30:00,0,85.34,7.207
2016/10/29,07:45:00,0,85.13,7.194
2016/10/29,08:00:00,0,84.66,7.213
2016/10/29,08:15:00,0,84.27,7.199
2016/10/29,08:30:00,0,83.94,7.183
2016/10/29,08:45:00,0,83.54,7.179
2016/10/29,09:00:00,0,83.28,7.168
2016/10/29,09:15:00,0,82.70,7.186
2016/10/29,09:30:00,0,82.65,7.206
2016/10/29,09:45:00,0,81.73,7.222
2016/10/29,10:00:00,0,81.65,7.229
2016/10/29,10:15:00,0,81.61,7.239
2016/10/29,10:30:00,0,81.16,7.250
2016/10/29,10:45:00,0,80.76,7.255
2016/10/29,11:00:00,0,80.58,7.298
2016/10/29,11:15:00,0,80.52,7.327
2016/10/29,11:30:00,0,80.38,7.357
2016/10/29,11:45:00,0,79.91,7.385
2016/10/29,12:00:00,0,79.55,7.401
2016/10/29,12:15:00,0,79.39,7.425
2016/10/29,12:30:00,0,78.83,7.454
2016/10/29,12:45:00,0,78.10,7.484
2016/10/29,13:00:00,0,78.03,7.493
2016/10/29,13:15:00,0,77.98,7.508
2016/10/29,13:30:00,0,77.37,7.525
2016/10/29,13:45:00,0,76.98,7.553
2016/10/29,14:00:00,0,76.35,7.570
2016/10/29,14:15:00,0,76.30,7.590
2016/10/29,14:30:00,0,76.05,7.600
2016/10/29,14:45:00,0,75.79,7.637
2016/10/29,15:00:00,0,75.26,7.630
2016/10/29,15:15:00,0,75.23,7.652
2016/10/29,15:30:00,0,75.08,7.644
2016/10/29,15:45:00,0,74.70,7.646
2016/10/29,16:00:00,0,74.62,7.648
2016/10/29,16:15:00,0,74.47,7.656
2016/10/29,16:30:00,0,74.53,7.675
2016/10/29,16:45:00,0,74.67,7.690
2016/10/29,17:00:00,0,74.42,7.686
2016/10/29,17:15:00,0,74.16,7.691
2016/10/29,17:30:00,0,74.37,7.681
2016/10/29,17:45:00,0,74.40,7.696
2016/10/29,18:00:00,0,74.59,7.707
2016/10/29,18:15:00,0,74.82,7.695
2016/10/29,18:30:00,0,75.08,7.696
2016/10/29,18:45:00,0,74.83,7.705
