Serial Number
	1048008
Project ID
	03090015
Location
	St-Michel_Roc
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		60        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-12-01,13:00:00,0,561.0480,8.438
2,2016-12-01,13:15:00,0,561.4350,8.435
3,2016-12-01,13:30:00,0,561.0081,8.436
4,2016-12-01,13:45:00,0,560.0920,8.438
5,2016-12-01,14:00:00,0,559.3781,8.439
6,2016-12-01,14:15:00,0,558.5060,8.440
7,2016-12-01,14:30:00,0,557.7240,8.440
8,2016-12-01,14:45:00,0,557.0010,8.441
9,2016-12-01,15:00:00,0,556.3441,8.441
10,2016-12-01,15:15:00,0,555.8150,8.442
11,2016-12-01,15:30:00,0,555.8200,8.442
12,2016-12-01,15:45:00,0,555.5970,8.440
13,2016-12-01,16:00:00,0,555.5040,8.442
14,2016-12-01,16:15:00,0,555.5900,8.442
15,2016-12-01,16:30:00,0,555.5330,8.441
16,2016-12-01,16:45:00,0,555.4140,8.441
17,2016-12-01,17:00:00,0,555.3250,8.441
18,2016-12-01,17:15:00,0,555.2720,8.441
19,2016-12-01,17:30:00,0,555.4800,8.440
20,2016-12-01,17:45:00,0,555.3150,8.441
21,2016-12-01,18:00:00,0,555.4960,8.439
22,2016-12-01,18:15:00,0,555.5700,8.441
23,2016-12-01,18:30:00,0,556.1360,8.438
24,2016-12-01,18:45:00,0,556.5941,8.441
25,2016-12-01,19:00:00,0,557.0161,8.438
26,2016-12-01,19:15:00,0,557.7570,8.436
27,2016-12-01,19:30:00,0,558.3160,8.434
28,2016-12-01,19:45:00,0,558.8740,8.434
29,2016-12-01,20:00:00,0,559.4140,8.434
30,2016-12-01,20:15:00,0,559.8950,8.433
31,2016-12-01,20:30:00,0,560.4050,8.434
32,2016-12-01,20:45:00,0,560.7170,8.433
33,2016-12-01,21:00:00,0,561.1940,8.434
34,2016-12-01,21:15:00,0,561.6340,8.432
35,2016-12-01,21:30:00,0,562.0040,8.433
36,2016-12-01,21:45:00,0,562.4160,8.434
37,2016-12-01,22:00:00,0,562.7890,8.434
38,2016-12-01,22:15:00,0,563.1940,8.431
39,2016-12-01,22:30:00,0,563.5980,8.431
40,2016-12-01,22:45:00,0,564.0270,8.432
41,2016-12-01,23:00:00,0,564.3080,8.433
42,2016-12-01,23:15:00,0,564.6910,8.434
43,2016-12-01,23:30:00,0,565.0180,8.433
44,2016-12-01,23:45:00,0,565.2830,8.433
45,2016-12-02,00:00:00,0,565.6541,8.432
46,2016-12-02,00:15:00,0,565.8961,8.433
47,2016-12-02,00:30:00,0,566.3760,8.432
48,2016-12-02,00:45:00,0,566.7560,8.431
49,2016-12-02,01:00:00,0,567.2930,8.431
50,2016-12-02,01:15:00,0,567.6190,8.431
51,2016-12-02,01:30:00,0,568.0650,8.432
52,2016-12-02,01:45:00,0,568.5490,8.430
53,2016-12-02,02:00:00,0,569.1000,8.432
54,2016-12-02,02:15:00,0,569.5551,8.431
55,2016-12-02,02:30:00,0,570.0340,8.429
56,2016-12-02,02:45:00,0,570.2310,8.432
57,2016-12-02,03:00:00,0,570.6960,8.430
58,2016-12-02,03:15:00,0,571.0700,8.430
59,2016-12-02,03:30:00,0,571.5020,8.430
60,2016-12-02,03:45:00,0,571.9260,8.430
61,2016-12-02,04:00:00,0,572.3280,8.430
62,2016-12-02,04:15:00,0,572.7440,8.428
63,2016-12-02,04:30:00,0,573.1510,8.429
64,2016-12-02,04:45:00,0,573.5830,8.430
65,2016-12-02,05:00:00,0,573.9980,8.430
66,2016-12-02,05:15:00,0,574.4830,8.429
67,2016-12-02,05:30:00,0,574.8701,8.427
68,2016-12-02,05:45:00,0,575.4520,8.429
69,2016-12-02,06:00:00,0,575.9691,8.429
70,2016-12-02,06:15:00,0,576.2300,8.428
71,2016-12-02,06:30:00,0,576.4080,8.430
72,2016-12-02,06:45:00,0,576.5750,8.430
73,2016-12-02,07:00:00,0,576.7670,8.430
74,2016-12-02,07:15:00,0,576.7711,8.430
75,2016-12-02,07:30:00,0,576.5520,8.431
76,2016-12-02,07:45:00,0,576.1720,8.432
77,2016-12-02,08:00:00,0,575.4220,8.434
78,2016-12-02,08:15:00,0,574.7010,8.436
79,2016-12-02,08:30:00,0,573.8940,8.437
80,2016-12-02,08:45:00,0,573.0410,8.437
81,2016-12-02,09:00:00,0,572.3781,8.439
82,2016-12-02,09:15:00,0,571.6730,8.440
