Serial Number
	1048008
Project ID
	03090015
Location
	St-Michel_Roc
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		60        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-03,19:00:00,0,560.5490,7.754
2,2017-05-03,19:15:00,0,560.7730,7.741
3,2017-05-03,19:30:00,0,561.0100,7.765
4,2017-05-03,19:45:00,0,561.1331,7.749
5,2017-05-03,20:00:00,0,561.5530,7.755
6,2017-05-03,20:15:00,0,561.9350,7.710
7,2017-05-03,20:30:00,0,562.3940,7.766
8,2017-05-03,20:45:00,0,562.7990,7.755
9,2017-05-03,21:00:00,0,563.2480,7.724
10,2017-05-03,21:15:00,0,563.8800,7.704
11,2017-05-03,21:30:00,0,564.6021,7.716
12,2017-05-03,21:45:00,0,565.4220,7.717
13,2017-05-03,22:00:00,0,566.0490,7.727
14,2017-05-03,22:15:00,0,566.9700,7.764
15,2017-05-03,22:30:00,0,567.9240,7.750
16,2017-05-03,22:45:00,0,568.7600,7.744
17,2017-05-03,23:00:00,0,569.6160,7.732
18,2017-05-03,23:15:00,0,570.3540,7.727
19,2017-05-03,23:30:00,0,570.8890,7.732
20,2017-05-03,23:45:00,0,571.6210,7.758
21,2017-05-04,00:00:00,0,572.2910,7.746
22,2017-05-04,00:15:00,0,573.0330,7.745
23,2017-05-04,00:30:00,0,573.5920,7.741
24,2017-05-04,00:45:00,0,574.0211,7.757
25,2017-05-04,01:00:00,0,574.6130,7.733
26,2017-05-04,01:15:00,0,575.0270,7.731
27,2017-05-04,01:30:00,0,575.3200,7.730
28,2017-05-04,01:45:00,0,575.7780,7.734
29,2017-05-04,02:00:00,0,576.1530,7.692
30,2017-05-04,02:15:00,0,576.5220,7.725
31,2017-05-04,02:30:00,0,576.7791,7.752
32,2017-05-04,02:45:00,0,576.9700,7.719
33,2017-05-04,03:00:00,0,577.0811,7.739
34,2017-05-04,03:15:00,0,577.1671,7.733
35,2017-05-04,03:30:00,0,577.3860,7.717
36,2017-05-04,03:45:00,0,577.6050,7.714
37,2017-05-04,04:00:00,0,577.6461,7.724
38,2017-05-04,04:15:00,0,577.8470,7.758
39,2017-05-04,04:30:00,0,578.2200,7.775
40,2017-05-04,04:45:00,0,578.3961,7.752
41,2017-05-04,05:00:00,0,578.3640,7.750
42,2017-05-04,05:15:00,0,578.4850,7.704
43,2017-05-04,05:30:00,0,578.5360,7.737
44,2017-05-04,05:45:00,0,578.6220,7.748
45,2017-05-04,06:00:00,0,578.6720,7.709
46,2017-05-04,06:15:00,0,578.5360,7.735
47,2017-05-04,06:30:00,0,578.6870,7.699
