Serial Number
	1048022
Project ID
	03070001
Location
	St-Patrice-de-Sherrington_MT
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		60        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-12-01,13:00:00,0,537.6990,9.193
2,2016-12-01,13:15:00,0,537.4730,9.195
3,2016-12-01,13:30:00,0,536.9250,9.198
4,2016-12-01,13:45:00,0,539.6480,9.187
5,2016-12-01,14:00:00,0,538.8920,9.194
6,2016-12-01,14:15:00,0,537.7580,9.201
7,2016-12-01,14:30:00,0,540.1880,9.190
8,2016-12-01,14:45:00,0,538.5400,9.198
9,2016-12-01,15:00:00,0,539.3550,9.192
10,2016-12-01,15:15:00,0,531.1870,9.211
11,2016-12-01,15:30:00,0,523.8070,9.219
12,2016-12-01,15:45:00,0,533.9880,9.206
13,2016-12-01,16:00:00,0,527.3590,9.194
14,2016-12-01,16:15:00,0,539.3630,9.188
15,2016-12-01,16:30:00,0,540.7930,9.185
16,2016-12-01,16:45:00,0,541.5470,9.187
17,2016-12-01,17:00:00,0,540.5870,9.196
18,2016-12-01,17:15:00,0,542.0150,9.191
19,2016-12-01,17:30:00,0,542.6541,9.192
20,2016-12-01,17:45:00,0,535.9950,9.206
21,2016-12-01,18:00:00,0,527.7401,9.224
22,2016-12-01,18:15:00,0,529.5730,9.206
23,2016-12-01,18:30:00,0,532.2310,9.198
24,2016-12-01,18:45:00,0,535.3420,9.197
25,2016-12-01,19:00:00,0,537.2850,9.194
26,2016-12-01,19:15:00,0,528.1070,9.222
27,2016-12-01,19:30:00,0,534.4710,9.207
28,2016-12-01,19:45:00,0,528.4171,9.191
29,2016-12-01,20:00:00,0,528.4200,9.201
30,2016-12-01,20:15:00,0,533.9641,9.206
31,2016-12-01,20:30:00,0,519.8350,9.199
32,2016-12-01,20:45:00,0,526.2810,9.191
33,2016-12-01,21:00:00,0,536.7760,9.193
34,2016-12-01,21:15:00,0,540.4250,9.184
35,2016-12-01,21:30:00,0,539.8950,9.192
36,2016-12-01,21:45:00,0,536.1940,9.198
37,2016-12-01,22:00:00,0,540.7570,9.193
38,2016-12-01,22:15:00,0,536.3651,9.200
39,2016-12-01,22:30:00,0,541.9850,9.194
40,2016-12-01,22:45:00,0,533.7380,9.202
41,2016-12-01,23:00:00,0,539.4730,9.206
42,2016-12-01,23:15:00,0,520.0560,9.198
43,2016-12-01,23:30:00,0,507.6180,9.223
44,2016-12-01,23:45:00,0,502.0770,9.265
45,2016-12-02,00:00:00,0,522.7650,9.191
46,2016-12-02,00:15:00,0,528.4180,9.182
47,2016-12-02,00:30:00,0,540.2240,9.178
48,2016-12-02,00:45:00,0,541.5240,9.180
49,2016-12-02,01:00:00,0,523.8870,9.206
50,2016-12-02,01:15:00,0,538.3850,9.197
51,2016-12-02,01:30:00,0,537.5830,9.198
52,2016-12-02,01:45:00,0,537.7200,9.198
53,2016-12-02,02:00:00,0,538.9780,9.200
54,2016-12-02,02:15:00,0,534.1801,9.192
55,2016-12-02,02:30:00,0,537.1570,9.205
56,2016-12-02,02:45:00,0,534.6490,9.212
57,2016-12-02,03:00:00,0,530.6780,9.206
58,2016-12-02,03:15:00,0,541.3070,9.192
59,2016-12-02,03:30:00,0,542.5360,9.190
60,2016-12-02,03:45:00,0,543.0530,9.191
61,2016-12-02,04:00:00,0,543.5080,9.194
62,2016-12-02,04:15:00,0,543.7130,9.195
63,2016-12-02,04:30:00,0,542.6860,9.202
64,2016-12-02,04:45:00,0,543.7340,9.197
65,2016-12-02,05:00:00,0,544.2230,9.197
66,2016-12-02,05:15:00,0,542.3420,9.199
67,2016-12-02,05:30:00,0,544.5450,9.199
68,2016-12-02,05:45:00,0,544.8651,9.199
69,2016-12-02,06:00:00,0,545.0730,9.200
70,2016-12-02,06:15:00,0,542.3580,9.211
71,2016-12-02,06:30:00,0,544.7380,9.202
72,2016-12-02,06:45:00,0,529.5811,9.213
73,2016-12-02,07:00:00,0,542.5470,9.209
74,2016-12-02,07:15:00,0,544.3580,9.202
75,2016-12-02,07:30:00,0,539.3480,9.208
76,2016-12-02,07:45:00,0,540.2600,9.216
77,2016-12-02,08:00:00,0,539.5291,9.203
78,2016-12-02,08:15:00,0,541.3340,9.208
79,2016-12-02,08:30:00,0,526.6660,9.214
80,2016-12-02,08:45:00,0,533.8010,9.214
81,2016-12-02,09:00:00,0,528.5480,9.211
82,2016-12-02,09:15:00,0,536.4301,9.211
83,2016-12-02,09:30:00,0,537.0000,9.213
84,2016-12-02,09:45:00,0,525.9370,9.211
85,2016-12-02,10:00:00,0,541.3410,9.192
86,2016-12-02,10:15:00,0,536.8051,9.200
87,2016-12-02,10:30:00,0,542.4990,9.193
88,2016-12-02,10:45:00,0,543.3330,9.193
89,2016-12-02,11:00:00,0,540.0760,9.205
90,2016-12-02,11:15:00,0,538.6790,9.208
91,2016-12-02,11:30:00,0,534.5450,9.207
92,2016-12-02,11:45:00,0,534.4260,9.210
93,2016-12-02,12:00:00,0,541.9970,9.200
94,2016-12-02,12:15:00,0,542.0700,9.200
95,2016-12-02,12:30:00,0,533.2700,9.218
96,2016-12-02,12:45:00,0,539.5060,9.208
97,2016-12-02,13:00:00,0,531.1590,9.204
98,2016-12-02,13:15:00,0,535.7510,9.209
99,2016-12-02,13:30:00,0,539.7300,9.205
100,2016-12-02,13:45:00,0,536.0440,9.204
101,2016-12-02,14:00:00,0,543.1680,9.196
102,2016-12-02,14:15:00,0,542.5070,9.201
103,2016-12-02,14:30:00,0,542.1220,9.204
104,2016-12-02,14:45:00,0,539.2150,9.209
105,2016-12-02,15:00:00,0,528.4940,9.210
106,2016-12-02,15:15:00,0,532.5551,9.206
107,2016-12-02,15:30:00,0,539.0370,9.211
108,2016-12-02,15:45:00,0,540.0020,9.212
109,2016-12-02,16:00:00,0,544.0960,9.198
110,2016-12-02,16:15:00,0,542.9120,9.205
111,2016-12-02,16:30:00,0,544.9301,9.199
112,2016-12-02,16:45:00,0,536.3490,9.208
113,2016-12-02,17:00:00,0,540.9340,9.214
114,2016-12-02,17:15:00,0,545.1730,9.202
115,2016-12-02,17:30:00,0,543.4190,9.210
116,2016-12-02,17:45:00,0,545.6750,9.201
117,2016-12-02,18:00:00,0,544.2360,9.207
118,2016-12-02,18:15:00,0,536.4370,9.208
119,2016-12-02,18:30:00,0,538.2840,9.223
120,2016-12-02,18:45:00,0,543.0980,9.201
121,2016-12-02,19:00:00,0,544.3810,9.203
122,2016-12-02,19:15:00,0,539.3040,9.210
123,2016-12-02,19:30:00,0,543.0470,9.210
124,2016-12-02,19:45:00,0,541.1151,9.213
125,2016-12-02,20:00:00,0,522.6940,9.216
126,2016-12-02,20:15:00,0,525.1200,9.230
127,2016-12-02,20:30:00,0,536.7540,9.217
128,2016-12-02,20:45:00,0,533.4930,9.209
129,2016-12-02,21:00:00,0,542.5300,9.194
130,2016-12-02,21:15:00,0,542.5850,9.196
131,2016-12-02,21:30:00,0,542.9901,9.199
132,2016-12-02,21:45:00,0,539.1420,9.205
133,2016-12-02,22:00:00,0,544.6250,9.199
134,2016-12-02,22:15:00,0,540.2191,9.235
135,2016-12-02,22:30:00,0,522.5610,9.208
136,2016-12-02,22:45:00,0,507.7980,9.263
