Serial Number
	1048022
Project ID
	03070001
Location
	St-Patrice-de-Sherrington_MT
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		60        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-03,19:00:00,0,547.2580,8.047
2,2017-05-03,19:15:00,0,550.9240,8.061
3,2017-05-03,19:30:00,0,551.6021,8.055
4,2017-05-03,19:45:00,0,535.5190,8.017
5,2017-05-03,20:00:00,0,549.1770,8.039
6,2017-05-03,20:15:00,0,551.5820,8.056
7,2017-05-03,20:30:00,0,546.3990,8.024
8,2017-05-03,20:45:00,0,532.0770,8.001
9,2017-05-03,21:00:00,0,546.6450,8.041
10,2017-05-03,21:15:00,0,548.0870,8.035
11,2017-05-03,21:30:00,0,552.0460,8.056
12,2017-05-03,21:45:00,0,504.5480,7.891
13,2017-05-03,22:00:00,0,543.0340,8.014
14,2017-05-03,22:15:00,0,545.9650,8.040
15,2017-05-03,22:30:00,0,515.5990,7.956
16,2017-05-03,22:45:00,0,549.9510,8.019
17,2017-05-03,23:00:00,0,550.6680,8.026
18,2017-05-03,23:15:00,0,555.5860,8.057
19,2017-05-03,23:30:00,0,556.5470,8.078
20,2017-05-03,23:45:00,0,554.0630,8.041
21,2017-05-04,00:00:00,0,557.0540,8.056
22,2017-05-04,00:15:00,0,557.8550,8.041
23,2017-05-04,00:30:00,0,557.1760,8.032
24,2017-05-04,00:45:00,0,558.1931,8.040
25,2017-05-04,01:00:00,0,558.6801,8.030
26,2017-05-04,01:15:00,0,559.0730,8.047
27,2017-05-04,01:30:00,0,557.2800,8.047
28,2017-05-04,01:45:00,0,559.0490,8.035
29,2017-05-04,02:00:00,0,554.4470,8.034
30,2017-05-04,02:15:00,0,550.6650,7.995
31,2017-05-04,02:30:00,0,553.1071,8.024
32,2017-05-04,02:45:00,0,555.0960,8.043
33,2017-05-04,03:00:00,0,544.0010,8.026
