Serial Number
	1056522
Project ID
	03090006
Location
	Franklin_Baro
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		60        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-04,13:00:00,0,89.7764,9.763
2,2017-05-04,13:15:00,0,89.6890,9.905
3,2017-05-04,13:30:00,0,89.4009,10.031
4,2017-05-04,13:45:00,0,89.0485,10.149
5,2017-05-04,14:00:00,0,88.8704,10.267
6,2017-05-04,14:15:00,0,88.7481,10.372
7,2017-05-04,14:30:00,0,88.4391,10.464
8,2017-05-04,14:45:00,0,88.2273,10.547
9,2017-05-04,15:00:00,0,88.1930,10.611
10,2017-05-04,15:15:00,0,88.0588,10.653
11,2017-05-04,15:30:00,0,87.9746,10.669
12,2017-05-04,15:45:00,0,87.7434,10.667
13,2017-05-04,16:00:00,0,87.6018,10.654
14,2017-05-04,16:15:00,0,87.3326,10.639
15,2017-05-04,16:30:00,0,87.1400,10.622
16,2017-05-04,16:45:00,0,86.7714,10.597
17,2017-05-04,17:00:00,0,86.6459,10.564
18,2017-05-04,17:15:00,0,86.6696,10.520
19,2017-05-04,17:30:00,0,86.6829,10.462
20,2017-05-04,17:45:00,0,86.6615,10.396
21,2017-05-04,18:00:00,0,86.6256,10.326
22,2017-05-04,18:15:00,0,86.5543,10.254
23,2017-05-04,18:30:00,0,86.4105,10.182
24,2017-05-04,18:45:00,0,86.4314,10.110
25,2017-05-04,19:00:00,0,86.5183,10.035
26,2017-05-04,19:15:00,0,86.4110,9.958
27,2017-05-04,19:30:00,0,86.3960,9.887
28,2017-05-04,19:45:00,0,86.4926,9.825
29,2017-05-04,20:00:00,0,86.8959,9.772
30,2017-05-04,20:15:00,0,86.9345,9.728
31,2017-05-04,20:30:00,0,86.9951,9.681
32,2017-05-04,20:45:00,0,87.1491,9.630
33,2017-05-04,21:00:00,0,87.1186,9.588
34,2017-05-04,21:15:00,0,87.1486,9.550
35,2017-05-04,21:30:00,0,87.2269,9.522
36,2017-05-04,21:45:00,0,87.2108,9.499
37,2017-05-04,22:00:00,0,87.2907,9.488
38,2017-05-04,22:15:00,0,87.6072,9.485
39,2017-05-04,22:30:00,0,87.5053,9.480
40,2017-05-04,22:45:00,0,87.5654,9.472
41,2017-05-04,23:00:00,0,87.6914,9.457
42,2017-05-04,23:15:00,0,87.5101,9.434
43,2017-05-04,23:30:00,0,87.4157,9.406
44,2017-05-04,23:45:00,0,87.3701,9.372
45,2017-05-05,00:00:00,0,87.1421,9.331
46,2017-05-05,00:15:00,0,86.8911,9.285
47,2017-05-05,00:30:00,0,86.4126,9.222
48,2017-05-05,00:45:00,0,86.1691,9.119
49,2017-05-05,01:00:00,0,86.0001,8.981
50,2017-05-05,01:15:00,0,86.1503,8.787
51,2017-05-05,01:30:00,0,85.8687,8.581
52,2017-05-05,01:45:00,0,85.4927,8.397
53,2017-05-05,02:00:00,0,85.0169,8.244
54,2017-05-05,02:15:00,0,84.8431,8.117
55,2017-05-05,02:30:00,0,84.5310,8.025
56,2017-05-05,02:45:00,0,84.3759,7.947
57,2017-05-05,03:00:00,0,84.1597,7.881
58,2017-05-05,03:15:00,0,84.0492,7.834
59,2017-05-05,03:30:00,0,83.9377,7.801
60,2017-05-05,03:45:00,0,83.6164,7.770
61,2017-05-05,04:00:00,0,83.4404,7.747
62,2017-05-05,04:15:00,0,83.3578,7.722
63,2017-05-05,04:30:00,0,83.0521,7.702
64,2017-05-05,04:45:00,0,82.9003,7.680
65,2017-05-05,05:00:00,0,82.7399,7.618
66,2017-05-05,05:15:00,0,82.4894,7.524
67,2017-05-05,05:30:00,0,82.3188,7.423
68,2017-05-05,05:45:00,0,82.0764,7.318
69,2017-05-05,06:00:00,0,81.9272,7.228
70,2017-05-05,06:15:00,0,81.6671,7.157
71,2017-05-05,06:30:00,0,81.5732,7.118
72,2017-05-05,06:45:00,0,81.5565,7.096
73,2017-05-05,07:00:00,0,81.5501,7.082
74,2017-05-05,07:15:00,0,81.3421,7.065
75,2017-05-05,07:30:00,0,81.0502,7.063
76,2017-05-05,07:45:00,0,81.0787,7.065
77,2017-05-05,08:00:00,0,80.8995,7.086
78,2017-05-05,08:15:00,0,80.8410,7.116
79,2017-05-05,08:30:00,0,80.7793,7.160
80,2017-05-05,08:45:00,0,80.7992,7.213
81,2017-05-05,09:00:00,0,80.7707,7.244
82,2017-05-05,09:15:00,0,80.6206,7.278
83,2017-05-05,09:30:00,0,80.5884,7.335
84,2017-05-05,09:45:00,0,80.3363,7.381
85,2017-05-05,10:00:00,0,80.2327,7.446
86,2017-05-05,10:15:00,0,80.0531,7.504
87,2017-05-05,10:30:00,0,79.8079,7.552
88,2017-05-05,10:45:00,0,79.7714,7.618
89,2017-05-05,11:00:00,0,79.5258,7.688
90,2017-05-05,11:15:00,0,79.3954,7.762
91,2017-05-05,11:30:00,0,79.3611,7.826
92,2017-05-05,11:45:00,0,79.1932,7.877
93,2017-05-05,12:00:00,0,79.0516,7.925
94,2017-05-05,12:15:00,0,78.6756,7.976
95,2017-05-05,12:30:00,0,78.4975,8.022
96,2017-05-05,12:45:00,0,78.2486,8.049
97,2017-05-05,13:00:00,0,77.8565,8.068
98,2017-05-05,13:15:00,0,77.6033,8.075
99,2017-05-05,13:30:00,0,77.5470,8.083
100,2017-05-05,13:45:00,0,77.0030,8.092
101,2017-05-05,14:00:00,0,76.6190,8.104
102,2017-05-05,14:15:00,0,76.4055,8.110
103,2017-05-05,14:30:00,0,76.0923,8.118
104,2017-05-05,14:45:00,0,75.4009,8.128
105,2017-05-05,15:00:00,0,74.9186,8.131
106,2017-05-05,15:15:00,0,74.5501,8.121
107,2017-05-05,15:30:00,0,74.4503,8.102
108,2017-05-05,15:45:00,0,74.1242,8.082
109,2017-05-05,16:00:00,0,73.7450,8.064
110,2017-05-05,16:15:00,0,73.2853,8.059
111,2017-05-05,16:30:00,0,73.3438,8.048
112,2017-05-05,16:45:00,0,73.1646,8.022
113,2017-05-05,17:00:00,0,72.4930,7.990
114,2017-05-05,17:15:00,0,72.1492,7.957
115,2017-05-05,17:30:00,0,72.7350,7.918
116,2017-05-05,17:45:00,0,72.4217,7.889
117,2017-05-05,18:00:00,0,72.4442,7.873
118,2017-05-05,18:15:00,0,71.8783,7.877
119,2017-05-05,18:30:00,0,71.8439,7.877
120,2017-05-05,18:45:00,0,71.7683,7.885
121,2017-05-05,19:00:00,0,71.3060,7.906
122,2017-05-05,19:15:00,0,70.6826,7.912
123,2017-05-05,19:30:00,0,70.6730,7.909
124,2017-05-05,19:45:00,0,70.4606,7.891
125,2017-05-05,20:00:00,0,70.4359,7.881
126,2017-05-05,20:15:00,0,70.2181,7.887
127,2017-05-05,20:30:00,0,70.3002,7.914
128,2017-05-05,20:45:00,0,69.9579,7.942
129,2017-05-05,21:00:00,0,69.7032,7.969
130,2017-05-05,21:15:00,0,69.2778,7.990
131,2017-05-05,21:30:00,0,68.9442,8.011
132,2017-05-05,21:45:00,0,68.7500,8.028
133,2017-05-05,22:00:00,0,68.4888,8.039
134,2017-05-05,22:15:00,0,68.3848,8.046
135,2017-05-05,22:30:00,0,68.3805,8.052
136,2017-05-05,22:45:00,0,68.3895,8.057
137,2017-05-05,23:00:00,0,68.0548,8.061
138,2017-05-05,23:15:00,0,67.9663,8.069
139,2017-05-05,23:30:00,0,67.6793,8.075
140,2017-05-05,23:45:00,0,67.3527,8.084
141,2017-05-06,00:00:00,0,67.5635,8.099
142,2017-05-06,00:15:00,0,67.5099,8.111
143,2017-05-06,00:30:00,0,67.4316,8.122
144,2017-05-06,00:45:00,0,67.0807,8.117
145,2017-05-06,01:00:00,0,66.8040,8.104
146,2017-05-06,01:15:00,0,66.5985,8.096
147,2017-05-06,01:30:00,0,66.8168,8.095
148,2017-05-06,01:45:00,0,66.4542,8.096
149,2017-05-06,02:00:00,0,66.0342,8.099
150,2017-05-06,02:15:00,0,66.0176,8.103
151,2017-05-06,02:30:00,0,65.6523,8.097
152,2017-05-06,02:45:00,0,66.0788,8.092
153,2017-05-06,03:00:00,0,65.5338,8.089
154,2017-05-06,03:15:00,0,65.4222,8.087
155,2017-05-06,03:30:00,0,65.5016,8.088
156,2017-05-06,03:45:00,0,65.6625,8.089
157,2017-05-06,04:00:00,0,65.0402,8.080
158,2017-05-06,04:15:00,0,64.7142,8.059
159,2017-05-06,04:30:00,0,64.5746,8.050
160,2017-05-06,04:45:00,0,64.4003,8.041
161,2017-05-06,05:00:00,0,64.2823,8.040
162,2017-05-06,05:15:00,0,64.0721,8.039
163,2017-05-06,05:30:00,0,64.0543,8.046
164,2017-05-06,05:45:00,0,63.8490,8.052
165,2017-05-06,06:00:00,0,64.0249,8.059
166,2017-05-06,06:15:00,0,63.9815,8.070
167,2017-05-06,06:30:00,0,63.9289,8.085
168,2017-05-06,06:45:00,0,63.5030,8.108
169,2017-05-06,07:00:00,0,63.5507,8.135
170,2017-05-06,07:15:00,0,63.3957,8.171
171,2017-05-06,07:30:00,0,62.9172,8.209
172,2017-05-06,07:45:00,0,62.6566,8.249
173,2017-05-06,08:00:00,0,62.4683,8.290
174,2017-05-06,08:15:00,0,62.5777,8.332
175,2017-05-06,08:30:00,0,62.7703,8.385
176,2017-05-06,08:45:00,0,62.8217,8.440
177,2017-05-06,09:00:00,0,62.7070,8.501
178,2017-05-06,09:15:00,0,62.9108,8.575
179,2017-05-06,09:30:00,0,62.7472,8.669
180,2017-05-06,09:45:00,0,62.6141,8.772
181,2017-05-06,10:00:00,0,62.6104,8.873
182,2017-05-06,10:15:00,0,62.4753,8.987
183,2017-05-06,10:30:00,0,61.8273,9.106
184,2017-05-06,10:45:00,0,62.0091,9.244
185,2017-05-06,11:00:00,0,61.9469,9.396
186,2017-05-06,11:15:00,0,61.6921,9.567
187,2017-05-06,11:30:00,0,61.7704,9.762
188,2017-05-06,11:45:00,0,61.3745,9.973
189,2017-05-06,12:00:00,0,61.3826,10.191
190,2017-05-06,12:15:00,0,61.0109,10.391
191,2017-05-06,12:30:00,0,60.8832,10.578
192,2017-05-06,12:45:00,0,60.7303,10.728
193,2017-05-06,13:00:00,0,60.6300,10.828
194,2017-05-06,13:15:00,0,60.3318,10.899
195,2017-05-06,13:30:00,0,60.0148,10.978
196,2017-05-06,13:45:00,0,60.0963,11.089
197,2017-05-06,14:00:00,0,59.7696,11.274
198,2017-05-06,14:15:00,0,59.2225,11.525
199,2017-05-06,14:30:00,0,59.0959,11.708
200,2017-05-06,14:45:00,0,58.9586,11.861
201,2017-05-06,15:00:00,0,58.7033,11.955
202,2017-05-06,15:15:00,0,58.7248,11.998
203,2017-05-06,15:30:00,0,58.8116,11.996
204,2017-05-06,15:45:00,0,58.5402,11.974
205,2017-05-06,16:00:00,0,58.5402,11.977
206,2017-05-06,16:15:00,0,58.2243,11.951
207,2017-05-06,16:30:00,0,58.1052,11.911
208,2017-05-06,16:45:00,0,57.8069,11.888
209,2017-05-06,17:00:00,0,58.1052,11.892
210,2017-05-06,17:15:00,0,57.9690,11.901
211,2017-05-06,17:30:00,0,58.0307,11.917
212,2017-05-06,17:45:00,0,58.0628,11.933
213,2017-05-06,18:00:00,0,58.0467,11.958
214,2017-05-06,18:15:00,0,58.2398,11.987
215,2017-05-06,18:30:00,0,58.5981,12.008
216,2017-05-06,18:45:00,0,58.9318,12.013
217,2017-05-06,19:00:00,0,59.4741,11.998
218,2017-05-06,19:15:00,0,59.6768,11.958
219,2017-05-06,19:30:00,0,59.9826,11.892
220,2017-05-06,19:45:00,0,60.0539,11.810
221,2017-05-06,20:00:00,0,60.0631,11.725
222,2017-05-06,20:15:00,0,60.2310,11.638
223,2017-05-06,20:30:00,0,60.4579,11.550
224,2017-05-06,20:45:00,0,60.7228,11.463
225,2017-05-06,21:00:00,0,61.0543,11.384
226,2017-05-06,21:15:00,0,60.9873,11.314
227,2017-05-06,21:30:00,0,60.9932,11.252
228,2017-05-06,21:45:00,0,60.9433,11.193
229,2017-05-06,22:00:00,0,61.0688,11.137
230,2017-05-06,22:15:00,0,61.0018,11.085
231,2017-05-06,22:30:00,0,61.1031,11.041
232,2017-05-06,22:45:00,0,61.3504,11.004
233,2017-05-06,23:00:00,0,61.4303,10.967
234,2017-05-06,23:15:00,0,61.4941,10.933
235,2017-05-06,23:30:00,0,61.3531,10.894
236,2017-05-06,23:45:00,0,61.2635,10.832
237,2017-05-07,00:00:00,0,61.2329,10.721
238,2017-05-07,00:15:00,0,61.4754,10.607
239,2017-05-07,00:30:00,0,61.5489,10.499
240,2017-05-07,00:45:00,0,61.4154,10.389
241,2017-05-07,01:00:00,0,61.3826,10.277
242,2017-05-07,01:15:00,0,61.2764,10.155
243,2017-05-07,01:30:00,0,61.1380,10.001
244,2017-05-07,01:45:00,0,61.1305,9.866
245,2017-05-07,02:00:00,0,61.1160,9.760
246,2017-05-07,02:15:00,0,61.1912,9.669
247,2017-05-07,02:30:00,0,61.1626,9.582
248,2017-05-07,02:45:00,0,61.1069,9.486
249,2017-05-07,03:00:00,0,61.0806,9.393
250,2017-05-07,03:15:00,0,60.9878,9.300
251,2017-05-07,03:30:00,0,61.0956,9.212
252,2017-05-07,03:45:00,0,61.2190,9.131
253,2017-05-07,04:00:00,0,61.3622,9.055
254,2017-05-07,04:15:00,0,61.2699,9.011
255,2017-05-07,04:30:00,0,61.3997,8.972
256,2017-05-07,04:45:00,0,61.4416,8.946
257,2017-05-07,05:00:00,0,61.4775,8.929
258,2017-05-07,05:15:00,0,61.4856,8.915
259,2017-05-07,05:30:00,0,61.6401,8.898
260,2017-05-07,05:45:00,0,61.8048,8.876
261,2017-05-07,06:00:00,0,62.0541,8.857
