Serial Number
	1061509
Project ID
	03097094
Location
	Esso
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		30        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-12-02,19:00:00,0,329.8290,9.656
2,2016-12-02,19:15:00,0,329.9690,9.656
3,2016-12-02,19:30:00,0,329.9770,9.657
4,2016-12-02,19:45:00,0,330.0210,9.656
5,2016-12-02,20:00:00,0,330.1210,9.657
6,2016-12-02,20:15:00,0,330.0620,9.658
7,2016-12-02,20:30:00,0,330.1050,9.655
8,2016-12-02,20:45:00,0,330.0500,9.656
9,2016-12-02,21:00:00,0,329.9570,9.656
10,2016-12-02,21:15:00,0,329.9910,9.656
11,2016-12-02,21:30:00,0,330.0000,9.656
12,2016-12-02,21:45:00,0,329.8780,9.656
13,2016-12-02,22:00:00,0,329.9180,9.656
14,2016-12-02,22:15:00,0,329.9070,9.655
15,2016-12-02,22:30:00,0,329.9780,9.657
16,2016-12-02,22:45:00,0,329.9260,9.656
17,2016-12-02,23:00:00,0,330.0480,9.657
18,2016-12-02,23:15:00,0,330.1430,9.656
19,2016-12-02,23:30:00,0,330.0350,9.657
20,2016-12-02,23:45:00,0,330.1130,9.656
21,2016-12-03,00:00:00,0,330.0310,9.655
22,2016-12-03,00:15:00,0,330.0510,9.658
23,2016-12-03,00:30:00,0,330.1690,9.656
24,2016-12-03,00:45:00,0,330.1070,9.656
25,2016-12-03,01:00:00,0,330.2610,9.655
26,2016-12-03,01:15:00,0,330.3500,9.656
27,2016-12-03,01:30:00,0,330.5290,9.655
28,2016-12-03,01:45:00,0,330.6770,9.655
29,2016-12-03,02:00:00,0,330.7800,9.658
30,2016-12-03,02:15:00,0,330.9460,9.657
31,2016-12-03,02:30:00,0,331.1190,9.656
32,2016-12-03,02:45:00,0,331.2460,9.657
33,2016-12-03,03:00:00,0,331.3710,9.656
34,2016-12-03,03:15:00,0,331.3650,9.656
35,2016-12-03,03:30:00,0,331.2340,9.657
36,2016-12-03,03:45:00,0,331.2780,9.656
37,2016-12-03,04:00:00,0,331.4410,9.656
38,2016-12-03,04:15:00,0,331.4720,9.658
39,2016-12-03,04:30:00,0,331.8610,9.657
40,2016-12-03,04:45:00,0,332.0150,9.655
41,2016-12-03,05:00:00,0,332.2830,9.657
42,2016-12-03,05:15:00,0,332.4210,9.659
43,2016-12-03,05:30:00,0,332.6890,9.657
44,2016-12-03,05:45:00,0,332.6760,9.658
45,2016-12-03,06:00:00,0,332.9060,9.658
46,2016-12-03,06:15:00,0,333.1640,9.657
47,2016-12-03,06:30:00,0,333.2510,9.656
48,2016-12-03,06:45:00,0,333.4800,9.658
49,2016-12-03,07:00:00,0,333.7230,9.657
50,2016-12-03,07:15:00,0,333.8490,9.658
51,2016-12-03,07:30:00,0,334.1030,9.658
52,2016-12-03,07:45:00,0,334.2610,9.657
53,2016-12-03,08:00:00,0,334.4310,9.657
54,2016-12-03,08:15:00,0,334.4570,9.657
55,2016-12-03,08:30:00,0,334.5210,9.656
56,2016-12-03,08:45:00,0,334.6020,9.658
57,2016-12-03,09:00:00,0,334.7410,9.657
58,2016-12-03,09:15:00,0,334.8320,9.657
59,2016-12-03,09:30:00,0,334.9060,9.658
60,2016-12-03,09:45:00,0,335.1370,9.658
61,2016-12-03,10:00:00,0,335.2140,9.658
62,2016-12-03,10:15:00,0,335.2160,9.657
63,2016-12-03,10:30:00,0,335.1020,9.659
64,2016-12-03,10:45:00,0,335.0430,9.658
65,2016-12-03,11:00:00,0,334.9910,9.658
