Serial Number
	1061509
Project ID
	03097094
Location
	Esso
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		30        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-05,19:00:00,0,329.5290,9.822
2,2017-05-05,19:15:00,0,329.1790,9.822
3,2017-05-05,19:30:00,0,329.1330,9.822
4,2017-05-05,19:45:00,0,328.9160,9.822
5,2017-05-05,20:00:00,0,328.7490,9.822
6,2017-05-05,20:15:00,0,328.9740,9.822
7,2017-05-05,20:30:00,0,328.9820,9.821
8,2017-05-05,20:45:00,0,328.9870,9.822
9,2017-05-05,21:00:00,0,328.8190,9.822
10,2017-05-05,21:15:00,0,328.6820,9.822
11,2017-05-05,21:30:00,0,328.7590,9.821
12,2017-05-05,21:45:00,0,328.9360,9.822
13,2017-05-05,22:00:00,0,328.9580,9.822
14,2017-05-05,22:15:00,0,328.9150,9.822
15,2017-05-05,22:30:00,0,329.2270,9.822
16,2017-05-05,22:45:00,0,329.3960,9.821
17,2017-05-05,23:00:00,0,329.7980,9.821
18,2017-05-05,23:15:00,0,329.7920,9.821
19,2017-05-05,23:30:00,0,329.9280,9.822
20,2017-05-05,23:45:00,0,330.0570,9.821
21,2017-05-06,00:00:00,0,330.0960,9.821
22,2017-05-06,00:15:00,0,330.2910,9.821
23,2017-05-06,00:30:00,0,330.5450,9.821
24,2017-05-06,00:45:00,0,330.5200,9.821
25,2017-05-06,01:00:00,0,330.6340,9.821
26,2017-05-06,01:15:00,0,330.7300,9.821
27,2017-05-06,01:30:00,0,330.7390,9.821
28,2017-05-06,01:45:00,0,330.8310,9.821
29,2017-05-06,02:00:00,0,331.0870,9.821
30,2017-05-06,02:15:00,0,331.2810,9.821
31,2017-05-06,02:30:00,0,331.1180,9.821
32,2017-05-06,02:45:00,0,331.1060,9.821
33,2017-05-06,03:00:00,0,331.6390,9.820
34,2017-05-06,03:15:00,0,331.5580,9.821
35,2017-05-06,03:30:00,0,331.8330,9.821
36,2017-05-06,03:45:00,0,332.3120,9.821
37,2017-05-06,04:00:00,0,332.3340,9.821
38,2017-05-06,04:15:00,0,332.0570,9.821
39,2017-05-06,04:30:00,0,332.5270,9.821
