Serial Number
	1062266
Project ID
	03090004
Location
	Ormstown
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		60        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-12-01,19:00:00,0,777.0690,10.383
2,2016-12-01,19:15:00,0,777.1680,10.383
3,2016-12-01,19:30:00,0,777.3600,10.383
4,2016-12-01,19:45:00,0,777.5560,10.383
5,2016-12-01,20:00:00,0,777.7141,10.384
6,2016-12-01,20:15:00,0,777.8420,10.383
7,2016-12-01,20:30:00,0,777.9091,10.383
8,2016-12-01,20:45:00,0,777.8441,10.383
9,2016-12-01,21:00:00,0,778.0891,10.384
10,2016-12-01,21:15:00,0,778.2020,10.383
11,2016-12-01,21:30:00,0,778.2501,10.383
12,2016-12-01,21:45:00,0,778.3860,10.384
13,2016-12-01,22:00:00,0,778.4980,10.383
14,2016-12-01,22:15:00,0,778.6860,10.382
15,2016-12-01,22:30:00,0,778.7711,10.383
16,2016-12-01,22:45:00,0,778.8751,10.383
17,2016-12-01,23:00:00,0,779.0060,10.384
18,2016-12-01,23:15:00,0,779.1360,10.384
19,2016-12-01,23:30:00,0,779.2910,10.383
20,2016-12-01,23:45:00,0,779.1940,10.383
21,2016-12-02,00:00:00,0,779.2421,10.384
22,2016-12-02,00:15:00,0,779.2750,10.383
23,2016-12-02,00:30:00,0,779.3090,10.383
24,2016-12-02,00:45:00,0,779.4301,10.382
25,2016-12-02,01:00:00,0,779.5790,10.382
26,2016-12-02,01:15:00,0,779.6340,10.382
27,2016-12-02,01:30:00,0,779.8051,10.383
28,2016-12-02,01:45:00,0,779.9890,10.382
29,2016-12-02,02:00:00,0,780.3680,10.381
30,2016-12-02,02:15:00,0,780.5471,10.381
31,2016-12-02,02:30:00,0,780.6050,10.381
32,2016-12-02,02:45:00,0,780.6160,10.381
33,2016-12-02,03:00:00,0,780.6121,10.379
34,2016-12-02,03:15:00,0,780.5580,10.380
35,2016-12-02,03:30:00,0,780.6860,10.380
36,2016-12-02,03:45:00,0,780.6431,10.379
37,2016-12-02,04:00:00,0,780.7900,10.378
38,2016-12-02,04:15:00,0,780.9370,10.378
39,2016-12-02,04:30:00,0,781.0311,10.378
40,2016-12-02,04:45:00,0,781.0861,10.379
41,2016-12-02,05:00:00,0,781.1840,10.379
42,2016-12-02,05:15:00,0,781.3281,10.378
43,2016-12-02,05:30:00,0,781.5360,10.379
44,2016-12-02,05:45:00,0,781.6060,10.378
45,2016-12-02,06:00:00,0,781.7180,10.379
46,2016-12-02,06:15:00,0,781.8181,10.380
47,2016-12-02,06:30:00,0,781.8051,10.380
48,2016-12-02,06:45:00,0,782.0190,10.381
49,2016-12-02,07:00:00,0,782.0380,10.378
50,2016-12-02,07:15:00,0,782.1440,10.380
51,2016-12-02,07:30:00,0,782.0960,10.378
52,2016-12-02,07:45:00,0,782.2141,10.380
53,2016-12-02,08:00:00,0,782.4280,10.380
54,2016-12-02,08:15:00,0,782.3970,10.379
55,2016-12-02,08:30:00,0,782.4970,10.378
56,2016-12-02,08:45:00,0,782.5081,10.379
57,2016-12-02,09:00:00,0,782.5410,10.379
58,2016-12-02,09:15:00,0,782.5580,10.380
59,2016-12-02,09:30:00,0,782.4741,10.377
60,2016-12-02,09:45:00,0,782.5190,10.377
61,2016-12-02,10:00:00,0,782.5341,10.377
62,2016-12-02,10:15:00,0,782.4460,10.378
63,2016-12-02,10:30:00,0,782.4160,10.378
64,2016-12-02,10:45:00,0,782.3911,10.377
65,2016-12-02,11:00:00,0,782.2770,10.377
66,2016-12-02,11:15:00,0,782.2310,10.376
67,2016-12-02,11:30:00,0,782.2501,10.379
68,2016-12-02,11:45:00,0,782.6010,10.377
69,2016-12-02,12:00:00,0,782.6490,10.377
70,2016-12-02,12:15:00,0,782.5311,10.378
71,2016-12-02,12:30:00,0,782.5760,10.378
72,2016-12-02,12:45:00,0,782.5540,10.378
73,2016-12-02,13:00:00,0,782.5551,10.378
74,2016-12-02,13:15:00,0,782.7210,10.379
75,2016-12-02,13:30:00,0,782.7490,10.377
76,2016-12-02,13:45:00,0,782.7780,10.377
77,2016-12-02,14:00:00,0,782.8040,10.375
78,2016-12-02,14:15:00,0,782.8470,10.375
79,2016-12-02,14:30:00,0,782.9110,10.376
80,2016-12-02,14:45:00,0,783.0941,10.376
81,2016-12-02,15:00:00,0,783.2070,10.377
82,2016-12-02,15:15:00,0,783.4120,10.375
83,2016-12-02,15:30:00,0,783.5450,10.377
84,2016-12-02,15:45:00,0,783.6320,10.377
85,2016-12-02,16:00:00,0,783.8460,10.377
86,2016-12-02,16:15:00,0,783.9630,10.377
87,2016-12-02,16:30:00,0,784.1281,10.377
88,2016-12-02,16:45:00,0,784.1910,10.376
89,2016-12-02,17:00:00,0,784.2490,10.377
90,2016-12-02,17:15:00,0,784.2791,10.378
91,2016-12-02,17:30:00,0,784.3730,10.375
92,2016-12-02,17:45:00,0,784.3491,10.377
93,2016-12-02,18:00:00,0,784.5230,10.377
94,2016-12-02,18:15:00,0,784.5750,10.375
95,2016-12-02,18:30:00,0,784.5620,10.377
96,2016-12-02,18:45:00,0,784.6940,10.376
97,2016-12-02,19:00:00,0,784.8580,10.377
98,2016-12-02,19:15:00,0,784.9290,10.376
99,2016-12-02,19:30:00,0,785.0490,10.375
100,2016-12-02,19:45:00,0,785.0991,10.377
101,2016-12-02,20:00:00,0,785.1140,10.375
102,2016-12-02,20:15:00,0,785.0720,10.375
103,2016-12-02,20:30:00,0,785.0950,10.373
104,2016-12-02,20:45:00,0,785.0980,10.374
105,2016-12-02,21:00:00,0,785.0240,10.375
106,2016-12-02,21:15:00,0,785.0140,10.376
107,2016-12-02,21:30:00,0,785.0991,10.377
108,2016-12-02,21:45:00,0,785.2271,10.375
109,2016-12-02,22:00:00,0,785.2520,10.373
110,2016-12-02,22:15:00,0,785.2921,10.375
111,2016-12-02,22:30:00,0,785.2971,10.376
112,2016-12-02,22:45:00,0,785.3740,10.377
113,2016-12-02,23:00:00,0,785.5031,10.376
114,2016-12-02,23:15:00,0,785.6201,10.377
115,2016-12-02,23:30:00,0,785.6080,10.376
116,2016-12-02,23:45:00,0,785.5580,10.377
117,2016-12-03,00:00:00,0,785.6820,10.375
118,2016-12-03,00:15:00,0,785.6650,10.378
119,2016-12-03,00:30:00,0,785.8840,10.377
120,2016-12-03,00:45:00,0,785.9500,10.375
121,2016-12-03,01:00:00,0,786.0850,10.374
122,2016-12-03,01:15:00,0,786.1981,10.375
123,2016-12-03,01:30:00,0,786.4901,10.376
124,2016-12-03,01:45:00,0,786.7440,10.375
125,2016-12-03,02:00:00,0,786.8850,10.375
126,2016-12-03,02:15:00,0,787.3210,10.376
127,2016-12-03,02:30:00,0,787.4680,10.376
128,2016-12-03,02:45:00,0,787.5551,10.377
129,2016-12-03,03:00:00,0,787.6490,10.377
130,2016-12-03,03:15:00,0,787.8101,10.378
131,2016-12-03,03:30:00,0,787.7280,10.377
132,2016-12-03,03:45:00,0,787.8881,10.374
133,2016-12-03,04:00:00,0,788.2111,10.374
134,2016-12-03,04:15:00,0,788.4250,10.375
135,2016-12-03,04:30:00,0,788.6851,10.374
136,2016-12-03,04:45:00,0,788.9470,10.373
137,2016-12-03,05:00:00,0,789.1890,10.372
138,2016-12-03,05:15:00,0,789.4011,10.374
139,2016-12-03,05:30:00,0,789.6370,10.375
140,2016-12-03,05:45:00,0,789.8610,10.374
141,2016-12-03,06:00:00,0,790.0140,10.373
142,2016-12-03,06:15:00,0,790.2490,10.374
143,2016-12-03,06:30:00,0,790.4821,10.374
144,2016-12-03,06:45:00,0,790.7560,10.374
145,2016-12-03,07:00:00,0,791.0010,10.374
146,2016-12-03,07:15:00,0,791.2800,10.374
147,2016-12-03,07:30:00,0,791.5400,10.372
148,2016-12-03,07:45:00,0,791.7260,10.373
149,2016-12-03,08:00:00,0,791.9061,10.372
150,2016-12-03,08:15:00,0,792.0410,10.373
151,2016-12-03,08:30:00,0,792.0770,10.370
152,2016-12-03,08:45:00,0,792.2350,10.369
153,2016-12-03,09:00:00,0,792.4271,10.370
154,2016-12-03,09:15:00,0,792.5800,10.369
155,2016-12-03,09:30:00,0,792.7650,10.370
156,2016-12-03,09:45:00,0,792.9310,10.372
157,2016-12-03,10:00:00,0,793.0760,10.371
158,2016-12-03,10:15:00,0,793.1121,10.372
159,2016-12-03,10:30:00,0,793.1671,10.372
160,2016-12-03,10:45:00,0,793.0960,10.373
161,2016-12-03,11:00:00,0,793.0460,10.372
162,2016-12-03,11:15:00,0,792.9670,10.371
163,2016-12-03,11:30:00,0,793.0051,10.372
164,2016-12-03,11:45:00,0,793.0710,10.370
165,2016-12-03,12:00:00,0,793.0920,10.372
166,2016-12-03,12:15:00,0,793.0950,10.371
167,2016-12-03,12:30:00,0,793.1390,10.371
168,2016-12-03,12:45:00,0,793.2090,10.371
169,2016-12-03,13:00:00,0,793.1901,10.372
170,2016-12-03,13:15:00,0,793.1500,10.371
171,2016-12-03,13:30:00,0,793.2020,10.372
172,2016-12-03,13:45:00,0,793.3260,10.372
173,2016-12-03,14:00:00,0,793.5220,10.372
174,2016-12-03,14:15:00,0,793.6541,10.372
175,2016-12-03,14:30:00,0,793.8730,10.373
176,2016-12-03,14:45:00,0,794.1110,10.372
177,2016-12-03,15:00:00,0,794.3030,10.373
178,2016-12-03,15:15:00,0,794.6000,10.374
179,2016-12-03,15:30:00,0,794.7451,10.373
180,2016-12-03,15:45:00,0,794.9550,10.374
181,2016-12-03,16:00:00,0,795.2230,10.374
182,2016-12-03,16:15:00,0,795.5020,10.375
183,2016-12-03,16:30:00,0,795.6721,10.372
184,2016-12-03,16:45:00,0,795.8640,10.373
185,2016-12-03,17:00:00,0,796.1610,10.372
186,2016-12-03,17:15:00,0,796.4210,10.372
187,2016-12-03,17:30:00,0,796.5430,10.370
188,2016-12-03,17:45:00,0,796.7900,10.373
189,2016-12-03,18:00:00,0,796.9561,10.372
190,2016-12-03,18:15:00,0,797.1310,10.372
191,2016-12-03,18:30:00,0,797.2960,10.370
192,2016-12-03,18:45:00,0,797.4080,10.372
193,2016-12-03,19:00:00,0,797.4460,10.372
194,2016-12-03,19:15:00,0,797.6240,10.372
195,2016-12-03,19:30:00,0,797.6541,10.373
196,2016-12-03,19:45:00,0,797.7661,10.372
197,2016-12-03,20:00:00,0,797.8260,10.372
198,2016-12-03,20:15:00,0,797.8491,10.372
199,2016-12-03,20:30:00,0,797.9230,10.373
200,2016-12-03,20:45:00,0,797.9930,10.373
201,2016-12-03,21:00:00,0,798.0410,10.372
202,2016-12-03,21:15:00,0,798.1331,10.372
203,2016-12-03,21:30:00,0,798.1360,10.374
204,2016-12-03,21:45:00,0,797.9980,10.373
205,2016-12-03,22:00:00,0,798.1331,10.374
206,2016-12-03,22:15:00,0,798.1970,10.370
207,2016-12-03,22:30:00,0,798.3380,10.372
208,2016-12-03,22:45:00,0,798.4800,10.373
209,2016-12-03,23:00:00,0,798.5150,10.373
210,2016-12-03,23:15:00,0,798.6251,10.371
211,2016-12-03,23:30:00,0,798.5460,10.372
212,2016-12-03,23:45:00,0,798.6710,10.373
213,2016-12-04,00:00:00,0,798.5980,10.371
214,2016-12-04,00:15:00,0,798.6220,10.372
215,2016-12-04,00:30:00,0,798.6610,10.373
216,2016-12-04,00:45:00,0,798.6960,10.374
217,2016-12-04,01:00:00,0,798.6671,10.375
218,2016-12-04,01:15:00,0,798.7740,10.374
219,2016-12-04,01:30:00,0,798.8411,10.374
220,2016-12-04,01:45:00,0,799.0690,10.374
221,2016-12-04,02:00:00,0,799.2300,10.375
222,2016-12-04,02:15:00,0,799.2451,10.374
223,2016-12-04,02:30:00,0,799.3730,10.375
224,2016-12-04,02:45:00,0,799.4091,10.375
225,2016-12-04,03:00:00,0,799.5010,10.375
226,2016-12-04,03:15:00,0,799.5620,10.375
227,2016-12-04,03:30:00,0,799.7330,10.375
228,2016-12-04,03:45:00,0,799.9500,10.375
229,2016-12-04,04:00:00,0,799.9091,10.376
230,2016-12-04,04:15:00,0,800.0001,10.375
231,2016-12-04,04:30:00,0,800.1951,10.375
232,2016-12-04,04:45:00,0,800.1931,10.372
233,2016-12-04,05:00:00,0,800.3181,10.373
234,2016-12-04,05:15:00,0,800.4550,10.373
235,2016-12-04,05:30:00,0,800.5341,10.374
236,2016-12-04,05:45:00,0,800.6021,10.374
237,2016-12-04,06:00:00,0,800.7271,10.373
238,2016-12-04,06:15:00,0,800.7930,10.373
239,2016-12-04,06:30:00,0,800.9970,10.372
240,2016-12-04,06:45:00,0,801.0970,10.372
241,2016-12-04,07:00:00,0,801.2291,10.369
242,2016-12-04,07:15:00,0,801.4440,10.368
243,2016-12-04,07:30:00,0,801.4901,10.369
244,2016-12-04,07:45:00,0,801.5840,10.371
245,2016-12-04,08:00:00,0,801.7271,10.370
246,2016-12-04,08:15:00,0,801.9791,10.371
247,2016-12-04,08:30:00,0,802.1381,10.372
248,2016-12-04,08:45:00,0,802.2490,10.372
249,2016-12-04,09:00:00,0,802.2730,10.372
250,2016-12-04,09:15:00,0,802.4160,10.370
251,2016-12-04,09:30:00,0,802.5770,10.372
252,2016-12-04,09:45:00,0,802.7271,10.371
253,2016-12-04,10:00:00,0,802.8231,10.371
254,2016-12-04,10:15:00,0,802.8010,10.372
