Serial Number
	1062271
Project ID
	03097201
Location
	03097201
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		41        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-12-02,13:00:00,0,363.7280,9.046
2,2016-12-02,13:15:00,0,363.9520,9.045
3,2016-12-02,13:30:00,0,364.0230,9.047
4,2016-12-02,13:45:00,0,363.9860,9.047
5,2016-12-02,14:00:00,0,363.9610,9.047
6,2016-12-02,14:15:00,0,364.1080,9.048
7,2016-12-02,14:30:00,0,364.2880,9.048
8,2016-12-02,14:45:00,0,364.4760,9.048
9,2016-12-02,15:00:00,0,364.5790,9.048
10,2016-12-02,15:15:00,0,364.7710,9.048
11,2016-12-02,15:30:00,0,364.9180,9.047
12,2016-12-02,15:45:00,0,364.9690,9.047
13,2016-12-02,16:00:00,0,365.0350,9.047
14,2016-12-02,16:15:00,0,365.2030,9.047
15,2016-12-02,16:30:00,0,365.3860,9.047
16,2016-12-02,16:45:00,0,365.5410,9.047
17,2016-12-02,17:00:00,0,365.6900,9.047
18,2016-12-02,17:15:00,0,365.8270,9.048
19,2016-12-02,17:30:00,0,365.9700,9.047
20,2016-12-02,17:45:00,0,365.9730,9.048
21,2016-12-02,18:00:00,0,366.0560,9.047
22,2016-12-02,18:15:00,0,366.1470,9.049
23,2016-12-02,18:30:00,0,366.1740,9.047
24,2016-12-02,18:45:00,0,366.3320,9.048
25,2016-12-02,19:00:00,0,366.4180,9.048
26,2016-12-02,19:15:00,0,366.4760,9.048
27,2016-12-02,19:30:00,0,366.5620,9.049
28,2016-12-02,19:45:00,0,366.6140,9.048
29,2016-12-02,20:00:00,0,366.7400,9.047
30,2016-12-02,20:15:00,0,366.7480,9.048
31,2016-12-02,20:30:00,0,366.8080,9.048
32,2016-12-02,20:45:00,0,366.7730,9.048
33,2016-12-02,21:00:00,0,366.7370,9.047
34,2016-12-02,21:15:00,0,366.8150,9.047
35,2016-12-02,21:30:00,0,366.9090,9.047
36,2016-12-02,21:45:00,0,366.9850,9.047
37,2016-12-02,22:00:00,0,367.0390,9.046
38,2016-12-02,22:15:00,0,367.0990,9.047
39,2016-12-02,22:30:00,0,367.1640,9.048
40,2016-12-02,22:45:00,0,367.2460,9.047
41,2016-12-02,23:00:00,0,367.3510,9.047
42,2016-12-02,23:15:00,0,367.6330,9.047
43,2016-12-02,23:30:00,0,367.6050,9.047
44,2016-12-02,23:45:00,0,367.6430,9.047
45,2016-12-03,00:00:00,0,367.7310,9.047
46,2016-12-03,00:15:00,0,367.7140,9.048
47,2016-12-03,00:30:00,0,367.8990,9.047
48,2016-12-03,00:45:00,0,368.0300,9.047
49,2016-12-03,01:00:00,0,368.1820,9.046
50,2016-12-03,01:15:00,0,368.3470,9.047
51,2016-12-03,01:30:00,0,368.5610,9.047
52,2016-12-03,01:45:00,0,368.7960,9.047
53,2016-12-03,02:00:00,0,369.0560,9.047
54,2016-12-03,02:15:00,0,369.2140,9.049
55,2016-12-03,02:30:00,0,369.4590,9.047
56,2016-12-03,02:45:00,0,369.6350,9.048
57,2016-12-03,03:00:00,0,369.7640,9.048
58,2016-12-03,03:15:00,0,369.8110,9.047
59,2016-12-03,03:30:00,0,369.7900,9.047
60,2016-12-03,03:45:00,0,369.8290,9.047
61,2016-12-03,04:00:00,0,370.1030,9.047
62,2016-12-03,04:15:00,0,370.1650,9.047
63,2016-12-03,04:30:00,0,370.4850,9.046
64,2016-12-03,04:45:00,0,370.6570,9.046
65,2016-12-03,05:00:00,0,370.9330,9.047
66,2016-12-03,05:15:00,0,371.1170,9.046
67,2016-12-03,05:30:00,0,371.3670,9.047
68,2016-12-03,05:45:00,0,371.4330,9.047
69,2016-12-03,06:00:00,0,371.6110,9.046
70,2016-12-03,06:15:00,0,371.8600,9.047
71,2016-12-03,06:30:00,0,372.0570,9.047
72,2016-12-03,06:45:00,0,372.2480,9.047
73,2016-12-03,07:00:00,0,372.5470,9.048
74,2016-12-03,07:15:00,0,372.7490,9.048
75,2016-12-03,07:30:00,0,372.9620,9.047
76,2016-12-03,07:45:00,0,373.2180,9.047
77,2016-12-03,08:00:00,0,373.4120,9.047
78,2016-12-03,08:15:00,0,373.4820,9.047
