Serial Number
	1062271
Project ID
	03097201
Location
	03097201
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		41        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-05,19:00:00,0,452.3100,6.306
2,2017-05-05,19:15:00,0,451.9760,6.192
3,2017-05-05,19:30:00,0,451.7340,6.103
4,2017-05-05,19:45:00,0,451.5870,6.010
5,2017-05-05,20:00:00,0,451.1940,5.832
6,2017-05-05,20:15:00,0,451.2260,6.089
7,2017-05-05,20:30:00,0,451.3210,5.915
8,2017-05-05,20:45:00,0,451.0740,5.948
9,2017-05-05,21:00:00,0,450.7450,6.161
10,2017-05-05,21:15:00,0,450.6080,6.147
11,2017-05-05,21:30:00,0,450.4300,5.953
12,2017-05-05,21:45:00,0,450.2580,6.020
13,2017-05-05,22:00:00,0,450.0620,6.016
14,2017-05-05,22:15:00,0,449.8480,6.042
15,2017-05-05,22:30:00,0,449.8350,5.858
16,2017-05-05,22:45:00,0,449.8860,5.939
17,2017-05-05,23:00:00,0,449.8230,6.086
18,2017-05-05,23:15:00,0,449.7950,6.166
19,2017-05-05,23:30:00,0,449.6400,5.909
20,2017-05-05,23:45:00,0,449.4270,5.989
21,2017-05-06,00:00:00,0,449.3330,6.054
22,2017-05-06,00:15:00,0,449.1980,6.153
23,2017-05-06,00:30:00,0,449.3130,6.123
24,2017-05-06,00:45:00,0,449.1410,6.013
25,2017-05-06,01:00:00,0,449.0060,5.769
26,2017-05-06,01:15:00,0,448.8060,6.153
27,2017-05-06,01:30:00,0,448.5750,6.059
28,2017-05-06,01:45:00,0,448.4580,5.930
29,2017-05-06,02:00:00,0,448.3140,6.183
30,2017-05-06,02:15:00,0,448.2800,6.014
31,2017-05-06,02:30:00,0,447.9960,5.850
32,2017-05-06,02:45:00,0,447.3790,6.011
33,2017-05-06,03:00:00,0,448.1390,5.950
34,2017-05-06,03:15:00,0,447.3600,5.998
35,2017-05-06,03:30:00,0,447.6020,6.111
36,2017-05-06,03:45:00,0,447.6330,6.055
37,2017-05-06,04:00:00,0,447.3470,5.958
38,2017-05-06,04:15:00,0,447.1020,6.166
39,2017-05-06,04:30:00,0,446.9350,6.134
40,2017-05-06,04:45:00,0,446.7470,6.198
41,2017-05-06,05:00:00,0,446.8150,6.224
42,2017-05-06,05:15:00,0,446.4630,5.804
43,2017-05-06,05:30:00,0,446.5220,6.141
44,2017-05-06,05:45:00,0,446.2990,5.940
45,2017-05-06,06:00:00,0,446.3250,6.070
46,2017-05-06,06:15:00,0,446.1130,6.148
47,2017-05-06,06:30:00,0,446.1170,6.088
48,2017-05-06,06:45:00,0,446.1130,5.899
49,2017-05-06,07:00:00,0,445.9280,5.895
50,2017-05-06,07:15:00,0,445.8060,6.182
51,2017-05-06,07:30:00,0,445.4400,5.958
52,2017-05-06,07:45:00,0,445.1230,6.156
53,2017-05-06,08:00:00,0,445.1140,6.045
54,2017-05-06,08:15:00,0,445.0680,6.083
55,2017-05-06,08:30:00,0,445.2420,6.031
56,2017-05-06,08:45:00,0,444.9760,6.200
57,2017-05-06,09:00:00,0,445.4920,5.876
58,2017-05-06,09:15:00,0,445.3450,5.993
59,2017-05-06,09:30:00,0,445.2020,5.947
60,2017-05-06,09:45:00,0,444.9330,6.018
61,2017-05-06,10:00:00,0,444.9190,6.334
62,2017-05-06,10:15:00,0,444.9640,6.045
63,2017-05-06,10:30:00,0,444.3370,5.988
64,2017-05-06,10:45:00,0,444.3390,5.829
65,2017-05-06,11:00:00,0,444.2670,6.147
66,2017-05-06,11:15:00,0,444.2850,6.148
67,2017-05-06,11:30:00,0,444.1240,6.009
68,2017-05-06,11:45:00,0,443.9670,6.241
69,2017-05-06,12:00:00,0,443.9720,6.030
70,2017-05-06,12:15:00,0,443.6780,6.056
71,2017-05-06,12:30:00,0,443.4140,6.033
72,2017-05-06,12:45:00,0,443.2680,5.965
73,2017-05-06,13:00:00,0,443.4640,6.020
74,2017-05-06,13:15:00,0,443.5640,5.857
75,2017-05-06,13:30:00,0,443.0270,6.098
76,2017-05-06,13:45:00,0,442.7420,6.078
77,2017-05-06,14:00:00,0,442.0950,6.171
78,2017-05-06,14:15:00,0,442.1550,6.072
79,2017-05-06,14:30:00,0,441.6510,6.205
80,2017-05-06,14:45:00,0,441.6960,5.886
81,2017-05-06,15:00:00,0,441.4000,6.120
82,2017-05-06,15:15:00,0,441.2190,6.232
