Serial Number
	1062278
Project ID
	03097131
Location
	03097131_St-Isidore
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		44        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-12-02,13:00:00,0,941.6580,8.032
2,2016-12-02,13:15:00,0,940.8270,8.032
3,2016-12-02,13:30:00,0,941.8190,8.032
4,2016-12-02,13:45:00,0,941.7341,8.032
5,2016-12-02,14:00:00,0,942.0131,8.034
6,2016-12-02,14:15:00,0,942.2391,8.032
7,2016-12-02,14:30:00,0,942.8630,8.033
8,2016-12-02,14:45:00,0,943.1310,8.032
9,2016-12-02,15:00:00,0,941.5820,8.034
10,2016-12-02,15:15:00,0,942.2341,8.035
11,2016-12-02,15:30:00,0,943.0811,8.033
12,2016-12-02,15:45:00,0,943.4481,8.032
13,2016-12-02,16:00:00,0,943.5941,8.033
14,2016-12-02,16:15:00,0,943.4091,8.033
15,2016-12-02,16:30:00,0,943.2980,8.033
16,2016-12-02,16:45:00,0,943.6541,8.034
17,2016-12-02,17:00:00,0,942.5640,8.034
18,2016-12-02,17:15:00,0,941.2960,8.033
19,2016-12-02,17:30:00,0,942.4910,8.033
20,2016-12-02,17:45:00,0,943.6080,8.033
21,2016-12-02,18:00:00,0,943.6721,8.032
22,2016-12-02,18:15:00,0,943.2640,8.033
23,2016-12-02,18:30:00,0,943.5190,8.034
24,2016-12-02,18:45:00,0,943.1860,8.033
25,2016-12-02,19:00:00,0,944.1281,8.032
26,2016-12-02,19:15:00,0,944.5521,8.032
27,2016-12-02,19:30:00,0,944.3890,8.032
28,2016-12-02,19:45:00,0,944.5510,8.033
29,2016-12-02,20:00:00,0,945.1840,8.032
30,2016-12-02,20:15:00,0,945.1110,8.032
31,2016-12-02,20:30:00,0,945.4431,8.032
32,2016-12-02,20:45:00,0,945.4821,8.032
33,2016-12-02,21:00:00,0,945.6000,8.032
34,2016-12-02,21:15:00,0,944.8760,8.034
35,2016-12-02,21:30:00,0,945.0831,8.033
36,2016-12-02,21:45:00,0,944.9620,8.033
37,2016-12-02,22:00:00,0,944.5530,8.034
38,2016-12-02,22:15:00,0,944.6310,8.032
39,2016-12-02,22:30:00,0,945.1340,8.033
40,2016-12-02,22:45:00,0,944.5270,8.034
41,2016-12-02,23:00:00,0,945.3931,8.033
42,2016-12-02,23:15:00,0,945.3151,8.032
43,2016-12-02,23:30:00,0,945.6281,8.032
44,2016-12-02,23:45:00,0,945.1541,8.033
45,2016-12-03,00:00:00,0,945.9420,8.032
46,2016-12-03,00:15:00,0,946.2280,8.032
47,2016-12-03,00:30:00,0,946.6420,8.032
48,2016-12-03,00:45:00,0,946.8900,8.032
49,2016-12-03,01:00:00,0,945.9830,8.032
50,2016-12-03,01:15:00,0,945.7440,8.034
51,2016-12-03,01:30:00,0,946.3810,8.032
52,2016-12-03,01:45:00,0,946.9860,8.033
53,2016-12-03,02:00:00,0,947.0491,8.031
54,2016-12-03,02:15:00,0,947.9061,8.032
55,2016-12-03,02:30:00,0,948.4271,8.031
56,2016-12-03,02:45:00,0,948.6821,8.033
57,2016-12-03,03:00:00,0,948.8600,8.033
58,2016-12-03,03:15:00,0,949.0800,8.032
59,2016-12-03,03:30:00,0,949.2531,8.032
60,2016-12-03,03:45:00,0,949.4221,8.032
61,2016-12-03,04:00:00,0,949.7891,8.032
62,2016-12-03,04:15:00,0,950.0040,8.032
63,2016-12-03,04:30:00,0,950.3381,8.032
64,2016-12-03,04:45:00,0,950.6470,8.032
65,2016-12-03,05:00:00,0,950.8550,8.032
66,2016-12-03,05:15:00,0,951.0980,8.033
67,2016-12-03,05:30:00,0,950.7031,8.033
68,2016-12-03,05:45:00,0,951.2321,8.033
69,2016-12-03,06:00:00,0,951.5480,8.032
70,2016-12-03,06:15:00,0,951.9570,8.032
71,2016-12-03,06:30:00,0,952.1951,8.032
72,2016-12-03,06:45:00,0,952.2800,8.033
73,2016-12-03,07:00:00,0,952.4641,8.033
74,2016-12-03,07:15:00,0,952.7690,8.032
75,2016-12-03,07:30:00,0,952.7220,8.032
76,2016-12-03,07:45:00,0,953.0311,8.032
77,2016-12-03,08:00:00,0,952.2811,8.033
78,2016-12-03,08:15:00,0,952.9860,8.032
79,2016-12-03,08:30:00,0,951.6550,8.032
80,2016-12-03,08:45:00,0,952.6100,8.033
81,2016-12-03,09:00:00,0,952.8140,8.033
82,2016-12-03,09:15:00,0,951.0840,8.034
83,2016-12-03,09:30:00,0,952.2330,8.032
84,2016-12-03,09:45:00,0,951.8220,8.034
85,2016-12-03,10:00:00,0,951.1981,8.033
86,2016-12-03,10:15:00,0,952.7780,8.033
87,2016-12-03,10:30:00,0,952.1981,8.032
88,2016-12-03,10:45:00,0,952.2870,8.032
89,2016-12-03,11:00:00,0,951.3080,8.034
90,2016-12-03,11:15:00,0,952.3920,8.032
91,2016-12-03,11:30:00,0,952.5681,8.032
92,2016-12-03,11:45:00,0,952.6230,8.032
93,2016-12-03,12:00:00,0,952.8110,8.032
94,2016-12-03,12:15:00,0,952.8651,8.032
95,2016-12-03,12:30:00,0,953.0460,8.032
96,2016-12-03,12:45:00,0,952.5421,8.032
97,2016-12-03,13:00:00,0,952.8170,8.033
98,2016-12-03,13:15:00,0,952.7191,8.031
99,2016-12-03,13:30:00,0,952.5930,8.033
100,2016-12-03,13:45:00,0,951.2380,8.034
101,2016-12-03,14:00:00,0,952.2620,8.032
102,2016-12-03,14:15:00,0,952.4570,8.033
103,2016-12-03,14:30:00,0,952.6500,8.033
104,2016-12-03,14:45:00,0,953.3860,8.031
105,2016-12-03,15:00:00,0,953.0961,8.033
106,2016-12-03,15:15:00,0,953.6440,8.033
107,2016-12-03,15:30:00,0,953.6580,8.032
108,2016-12-03,15:45:00,0,954.4750,8.033
109,2016-12-03,16:00:00,0,954.2610,8.032
110,2016-12-03,16:15:00,0,955.1180,8.032
111,2016-12-03,16:30:00,0,955.1700,8.032
112,2016-12-03,16:45:00,0,955.4620,8.031
113,2016-12-03,17:00:00,0,955.6470,8.033
114,2016-12-03,17:15:00,0,954.8721,8.033
115,2016-12-03,17:30:00,0,954.8361,8.033
116,2016-12-03,17:45:00,0,955.6431,8.032
117,2016-12-03,18:00:00,0,955.2371,8.033
118,2016-12-03,18:15:00,0,955.0380,8.033
119,2016-12-03,18:30:00,0,955.4061,8.033
120,2016-12-03,18:45:00,0,956.3231,8.031
