Serial Number
	1062278
Project ID
	03097131
Location
	03097131_St-Isidore
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		44        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-05,19:00:00,0,962.1940,8.146
2,2017-05-05,19:15:00,0,962.3101,8.146
3,2017-05-05,19:30:00,0,962.2460,8.146
4,2017-05-05,19:45:00,0,962.0740,8.146
5,2017-05-05,20:00:00,0,962.0441,8.146
6,2017-05-05,20:15:00,0,962.0170,8.147
7,2017-05-05,20:30:00,0,961.9420,8.145
8,2017-05-05,20:45:00,0,962.0980,8.147
9,2017-05-05,21:00:00,0,961.7661,8.146
10,2017-05-05,21:15:00,0,961.5250,8.147
11,2017-05-05,21:30:00,0,961.9050,8.146
12,2017-05-05,21:45:00,0,961.6071,8.147
13,2017-05-05,22:00:00,0,960.9321,8.148
14,2017-05-05,22:15:00,0,960.9960,8.147
15,2017-05-05,22:30:00,0,961.6021,8.146
16,2017-05-05,22:45:00,0,960.1080,8.149
17,2017-05-05,23:00:00,0,961.1221,8.147
18,2017-05-05,23:15:00,0,961.2661,8.146
19,2017-05-05,23:30:00,0,961.9031,8.145
20,2017-05-05,23:45:00,0,961.7310,8.146
21,2017-05-06,00:00:00,0,962.0800,8.146
22,2017-05-06,00:15:00,0,962.1500,8.146
23,2017-05-06,00:30:00,0,961.7670,8.147
24,2017-05-06,00:45:00,0,961.8290,8.146
25,2017-05-06,01:00:00,0,961.9871,8.146
26,2017-05-06,01:15:00,0,962.1920,8.146
27,2017-05-06,01:30:00,0,961.8130,8.146
28,2017-05-06,01:45:00,0,961.7141,8.146
29,2017-05-06,02:00:00,0,961.6611,8.146
30,2017-05-06,02:15:00,0,961.4661,8.146
31,2017-05-06,02:30:00,0,961.6440,8.146
32,2017-05-06,02:45:00,0,960.9410,8.146
33,2017-05-06,03:00:00,0,961.9431,8.146
34,2017-05-06,03:15:00,0,959.3901,8.149
35,2017-05-06,03:30:00,0,959.4821,8.149
36,2017-05-06,03:45:00,0,960.0670,8.147
37,2017-05-06,04:00:00,0,959.8810,8.147
38,2017-05-06,04:15:00,0,960.3071,8.146
39,2017-05-06,04:30:00,0,960.0651,8.146
40,2017-05-06,04:45:00,0,959.8500,8.147
41,2017-05-06,05:00:00,0,959.9070,8.147
42,2017-05-06,05:15:00,0,959.5800,8.146
43,2017-05-06,05:30:00,0,960.4150,8.146
44,2017-05-06,05:45:00,0,960.5311,8.145
45,2017-05-06,06:00:00,0,960.3831,8.146
46,2017-05-06,06:15:00,0,959.8981,8.147
47,2017-05-06,06:30:00,0,959.5621,8.147
48,2017-05-06,06:45:00,0,959.7230,8.147
49,2017-05-06,07:00:00,0,959.9581,8.147
50,2017-05-06,07:15:00,0,959.6251,8.147
51,2017-05-06,07:30:00,0,959.1271,8.148
52,2017-05-06,07:45:00,0,954.4771,8.154
53,2017-05-06,08:00:00,0,956.7220,8.148
54,2017-05-06,08:15:00,0,957.5740,8.148
55,2017-05-06,08:30:00,0,957.6381,8.148
56,2017-05-06,08:45:00,0,957.7521,8.146
57,2017-05-06,09:00:00,0,957.5280,8.147
58,2017-05-06,09:15:00,0,957.5081,8.146
59,2017-05-06,09:30:00,0,957.2581,8.147
60,2017-05-06,09:45:00,0,955.6840,8.148
61,2017-05-06,10:00:00,0,957.7770,8.147
62,2017-05-06,10:15:00,0,957.2490,8.147
63,2017-05-06,10:30:00,0,955.8170,8.148
64,2017-05-06,10:45:00,0,956.1000,8.146
65,2017-05-06,11:00:00,0,955.1230,8.148
66,2017-05-06,11:15:00,0,956.3990,8.148
67,2017-05-06,11:30:00,0,956.8961,8.148
68,2017-05-06,11:45:00,0,955.4620,8.149
69,2017-05-06,12:00:00,0,956.0660,8.148
70,2017-05-06,12:15:00,0,953.0820,8.150
71,2017-05-06,12:30:00,0,953.4451,8.150
72,2017-05-06,12:45:00,0,952.2731,8.149
73,2017-05-06,13:00:00,0,953.5231,8.149
74,2017-05-06,13:15:00,0,951.3151,8.149
75,2017-05-06,13:30:00,0,945.4390,8.159
76,2017-05-06,13:45:00,0,934.0380,8.167
77,2017-05-06,14:00:00,0,933.1901,8.166
78,2017-05-06,14:15:00,0,939.5170,8.151
79,2017-05-06,14:30:00,0,941.2200,8.146
80,2017-05-06,14:45:00,0,944.7930,8.143
81,2017-05-06,15:00:00,0,946.3170,8.142
82,2017-05-06,15:15:00,0,944.8381,8.146
83,2017-05-06,15:30:00,0,939.6251,8.151
84,2017-05-06,15:45:00,0,941.1091,8.153
85,2017-05-06,16:00:00,0,938.8571,8.150
86,2017-05-06,16:15:00,0,942.9631,8.148
87,2017-05-06,16:30:00,0,943.8311,8.148
88,2017-05-06,16:45:00,0,941.5250,8.148
89,2017-05-06,17:00:00,0,944.5270,8.146
90,2017-05-06,17:15:00,0,944.5430,8.146
91,2017-05-06,17:30:00,0,945.1000,8.147
92,2017-05-06,17:45:00,0,945.8491,8.146
93,2017-05-06,18:00:00,0,945.9020,8.147
94,2017-05-06,18:15:00,0,946.7150,8.146
95,2017-05-06,18:30:00,0,947.8320,8.146
96,2017-05-06,18:45:00,0,947.1611,8.147
97,2017-05-06,19:00:00,0,947.7090,8.147
98,2017-05-06,19:15:00,0,947.2780,8.149
99,2017-05-06,19:30:00,0,948.8580,8.148
100,2017-05-06,19:45:00,0,949.0610,8.148
101,2017-05-06,20:00:00,0,949.6320,8.147
102,2017-05-06,20:15:00,0,949.7921,8.148
103,2017-05-06,20:30:00,0,950.7740,8.147
104,2017-05-06,20:45:00,0,950.1541,8.146
105,2017-05-06,21:00:00,0,951.8521,8.147
106,2017-05-06,21:15:00,0,950.9330,8.148
107,2017-05-06,21:30:00,0,951.2941,8.148
108,2017-05-06,21:45:00,0,951.7211,8.147
109,2017-05-06,22:00:00,0,951.2820,8.147
110,2017-05-06,22:15:00,0,952.3751,8.147
111,2017-05-06,22:30:00,0,952.5740,8.147
112,2017-05-06,22:45:00,0,951.9401,8.148
113,2017-05-06,23:00:00,0,952.9481,8.147
114,2017-05-06,23:15:00,0,951.4091,8.149
115,2017-05-06,23:30:00,0,952.5270,8.148
116,2017-05-06,23:45:00,0,952.4171,8.148
117,2017-05-07,00:00:00,0,953.2050,8.147
118,2017-05-07,00:15:00,0,953.5630,8.147
119,2017-05-07,00:30:00,0,954.1990,8.147
120,2017-05-07,00:45:00,0,954.5450,8.146
121,2017-05-07,01:00:00,0,954.8461,8.146
122,2017-05-07,01:15:00,0,954.8381,8.147
123,2017-05-07,01:30:00,0,955.1060,8.147
124,2017-05-07,01:45:00,0,955.4420,8.147
125,2017-05-07,02:00:00,0,955.7960,8.147
126,2017-05-07,02:15:00,0,955.5710,8.147
127,2017-05-07,02:30:00,0,954.3130,8.149
128,2017-05-07,02:45:00,0,955.1030,8.147
129,2017-05-07,03:00:00,0,955.3060,8.148
130,2017-05-07,03:15:00,0,954.7410,8.149
131,2017-05-07,03:30:00,0,955.3500,8.147
132,2017-05-07,03:45:00,0,954.6520,8.148
133,2017-05-07,04:00:00,0,955.7841,8.148
134,2017-05-07,04:15:00,0,956.3231,8.147
135,2017-05-07,04:30:00,0,956.7631,8.147
136,2017-05-07,04:45:00,0,956.9680,8.147
