Serial Number
	1062957
Project ID
	BARO-04300015
Location
	BARO-Grenville
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		72        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-10-28,19:00:00,0,92.59,6.356
2,2016-10-28,19:15:00,0,92.54,6.318
3,2016-10-28,19:30:00,0,92.51,6.309
4,2016-10-28,19:45:00,0,92.53,6.304
5,2016-10-28,20:00:00,0,92.30,6.303
6,2016-10-28,20:15:00,0,91.91,6.296
7,2016-10-28,20:30:00,0,91.85,6.243
8,2016-10-28,20:45:00,0,91.92,6.214
9,2016-10-28,21:00:00,0,91.73,6.211
10,2016-10-28,21:15:00,0,92.01,6.225
11,2016-10-28,21:30:00,0,92.55,6.213
12,2016-10-28,21:45:00,0,92.39,6.206
13,2016-10-28,22:00:00,0,92.21,6.211
14,2016-10-28,22:15:00,0,91.73,6.207
15,2016-10-28,22:30:00,0,91.57,6.177
16,2016-10-28,22:45:00,0,91.36,6.172
17,2016-10-28,23:00:00,0,91.12,6.165
18,2016-10-28,23:15:00,0,91.33,6.191
19,2016-10-28,23:30:00,0,91.43,6.177
20,2016-10-28,23:45:00,0,91.31,6.119
21,2016-10-29,00:00:00,0,91.30,6.122
22,2016-10-29,00:15:00,0,91.67,6.107
23,2016-10-29,00:30:00,0,92.01,6.089
24,2016-10-29,00:45:00,0,91.59,6.093
25,2016-10-29,01:00:00,0,91.35,6.071
26,2016-10-29,01:15:00,0,91.15,6.048
27,2016-10-29,01:30:00,0,91.08,6.031
28,2016-10-29,01:45:00,0,91.02,6.003
29,2016-10-29,02:00:00,0,91.00,6.012
30,2016-10-29,02:15:00,0,90.78,5.976
31,2016-10-29,02:30:00,0,90.56,5.925
32,2016-10-29,02:45:00,0,89.97,5.886
33,2016-10-29,03:00:00,0,89.46,5.898
34,2016-10-29,03:15:00,0,88.75,5.834
35,2016-10-29,03:30:00,0,88.96,5.799
36,2016-10-29,03:45:00,0,88.84,5.738
37,2016-10-29,04:00:00,0,87.96,5.704
38,2016-10-29,04:15:00,0,87.66,5.677
39,2016-10-29,04:30:00,0,87.19,5.688
40,2016-10-29,04:45:00,0,87.05,5.658
41,2016-10-29,05:00:00,0,87.33,5.672
42,2016-10-29,05:15:00,0,86.79,5.701
43,2016-10-29,05:30:00,0,86.70,5.687
44,2016-10-29,05:45:00,0,85.60,5.706
45,2016-10-29,06:00:00,0,85.76,5.703
46,2016-10-29,06:15:00,0,84.55,5.708
47,2016-10-29,06:30:00,0,85.25,5.730
48,2016-10-29,06:45:00,0,85.62,5.707
49,2016-10-29,07:00:00,0,85.54,5.774
50,2016-10-29,07:15:00,0,84.99,5.763
51,2016-10-29,07:30:00,0,84.56,5.747
52,2016-10-29,07:45:00,0,84.11,5.758
53,2016-10-29,08:00:00,0,83.93,5.761
54,2016-10-29,08:15:00,0,83.79,5.753
55,2016-10-29,08:30:00,0,83.42,5.742
56,2016-10-29,08:45:00,0,83.02,5.787
57,2016-10-29,09:00:00,0,82.70,5.788
58,2016-10-29,09:15:00,0,82.22,5.811
59,2016-10-29,09:30:00,0,81.67,5.800
60,2016-10-29,09:45:00,0,81.76,5.817
61,2016-10-29,10:00:00,0,81.40,5.812
62,2016-10-29,10:15:00,0,80.96,5.817
63,2016-10-29,10:30:00,0,80.94,5.863
64,2016-10-29,10:45:00,0,80.51,5.924
65,2016-10-29,11:00:00,0,80.27,5.922
66,2016-10-29,11:15:00,0,80.26,5.937
67,2016-10-29,11:30:00,0,79.98,5.971
68,2016-10-29,11:45:00,0,79.82,6.033
69,2016-10-29,12:00:00,0,79.50,6.077
