Serial_number:
1062957
Project ID:
BARO-04300015
Location:
BARO-Grenville
LEVEL
UNIT: cm
Offset: 0.000000 cm
Altitude: 72.000000 m
TEMPERATURE
UNIT: Deg C
Date,Time,ms,LEVEL,TEMPERATURE
2017/05/10,13:00:00,0,88.00,7.960
2017/05/10,13:15:00,0,87.96,7.987
2017/05/10,13:30:00,0,87.88,8.033
2017/05/10,13:45:00,0,87.83,8.099
2017/05/10,14:00:00,0,87.94,8.175
2017/05/10,14:15:00,0,87.83,8.250
2017/05/10,14:30:00,0,87.79,8.316
2017/05/10,14:45:00,0,87.74,8.375
2017/05/10,15:00:00,0,87.70,8.429
2017/05/10,15:15:00,0,87.59,8.476
2017/05/10,15:30:00,0,87.60,8.519
2017/05/10,15:45:00,0,87.52,8.563
2017/05/10,16:00:00,0,87.54,8.613
2017/05/10,16:15:00,0,87.50,8.673
2017/05/10,16:30:00,0,87.62,8.742
2017/05/10,16:45:00,0,87.67,8.811
2017/05/10,17:00:00,0,87.80,8.868
2017/05/10,17:15:00,0,87.76,8.915
2017/05/10,17:30:00,0,87.92,8.950
2017/05/10,17:45:00,0,87.94,8.977
2017/05/10,18:00:00,0,88.07,8.999
2017/05/10,18:15:00,0,88.02,9.013
2017/05/10,18:30:00,0,87.92,9.024
2017/05/10,18:45:00,0,87.95,9.031
2017/05/10,19:00:00,0,88.07,9.037
2017/05/10,19:15:00,0,88.29,9.041
2017/05/10,19:30:00,0,88.39,9.043
2017/05/10,19:45:00,0,88.58,9.046
2017/05/10,20:00:00,0,88.68,9.046
2017/05/10,20:15:00,0,88.93,9.045
2017/05/10,20:30:00,0,88.91,9.042
2017/05/10,20:45:00,0,88.93,9.038
2017/05/10,21:00:00,0,88.96,9.016
2017/05/10,21:15:00,0,89.08,8.960
2017/05/10,21:30:00,0,89.12,8.883
2017/05/10,21:45:00,0,89.34,8.797
2017/05/10,22:00:00,0,89.44,8.704
2017/05/10,22:15:00,0,89.48,8.611
2017/05/10,22:30:00,0,89.39,8.530
2017/05/10,22:45:00,0,89.25,8.456
2017/05/10,23:00:00,0,89.16,8.359
2017/05/10,23:15:00,0,89.34,8.212
2017/05/10,23:30:00,0,89.42,8.039
2017/05/10,23:45:00,0,89.43,7.841
2017/05/11,00:00:00,0,89.45,7.686
2017/05/11,00:15:00,0,89.46,7.627
2017/05/11,00:30:00,0,89.52,7.637
2017/05/11,00:45:00,0,89.37,7.669
2017/05/11,01:00:00,0,89.26,7.682
2017/05/11,01:15:00,0,89.22,7.639
2017/05/11,01:30:00,0,89.15,7.544
2017/05/11,01:45:00,0,89.13,7.416
2017/05/11,02:00:00,0,89.05,7.267
2017/05/11,02:15:00,0,89.08,7.114
2017/05/11,02:30:00,0,88.99,6.979
2017/05/11,02:45:00,0,89.02,6.824
2017/05/11,03:00:00,0,88.75,6.756
2017/05/11,03:15:00,0,88.80,6.727
2017/05/11,03:30:00,0,88.85,6.703
2017/05/11,03:45:00,0,88.76,6.684
2017/05/11,04:00:00,0,88.67,6.650
2017/05/11,04:15:00,0,88.67,6.606
2017/05/11,04:30:00,0,88.81,6.585
2017/05/11,04:45:00,0,88.99,6.538
2017/05/11,05:00:00,0,89.37,6.511
2017/05/11,05:15:00,0,89.29,6.458
2017/05/11,05:30:00,0,89.28,6.403
2017/05/11,05:45:00,0,89.42,6.385
2017/05/11,06:00:00,0,89.44,6.408
2017/05/11,06:15:00,0,89.43,6.455
2017/05/11,06:30:00,0,89.41,6.517
2017/05/11,06:45:00,0,89.22,6.574
2017/05/11,07:00:00,0,89.47,6.685
2017/05/11,07:15:00,0,89.57,6.840
2017/05/11,07:30:00,0,89.61,7.019
2017/05/11,07:45:00,0,89.64,7.199
2017/05/11,08:00:00,0,89.98,7.355
2017/05/11,08:15:00,0,90.08,7.487
2017/05/11,08:30:00,0,90.08,7.591
2017/05/11,08:45:00,0,90.34,7.675
2017/05/11,09:00:00,0,89.99,7.745
2017/05/11,09:15:00,0,89.87,7.808
2017/05/11,09:30:00,0,89.73,7.864
2017/05/11,09:45:00,0,89.78,7.906
2017/05/11,10:00:00,0,89.63,7.941
2017/05/11,10:15:00,0,89.54,7.974
2017/05/11,10:30:00,0,89.56,8.006
2017/05/11,10:45:00,0,89.51,8.036
2017/05/11,11:00:00,0,89.48,8.063
2017/05/11,11:15:00,0,89.22,8.086
2017/05/11,11:30:00,0,89.00,8.111
2017/05/11,11:45:00,0,88.78,8.137
2017/05/11,12:00:00,0,88.67,8.170
2017/05/11,12:15:00,0,88.42,8.204
2017/05/11,12:30:00,0,88.19,8.240
2017/05/11,12:45:00,0,87.91,8.277
2017/05/11,13:00:00,0,87.81,8.315
2017/05/11,13:15:00,0,87.88,8.361
2017/05/11,13:30:00,0,87.83,8.413
2017/05/11,13:45:00,0,87.74,8.452
2017/05/11,14:00:00,0,87.75,8.489
2017/05/11,14:15:00,0,87.76,8.524
2017/05/11,14:30:00,0,87.83,8.563
2017/05/11,14:45:00,0,87.71,8.604
2017/05/11,15:00:00,0,87.56,8.645
2017/05/11,15:15:00,0,87.58,8.687
2017/05/11,15:30:00,0,87.53,8.730
2017/05/11,15:45:00,0,87.50,8.775
2017/05/11,16:00:00,0,87.42,8.828
2017/05/11,16:15:00,0,87.28,8.881
2017/05/11,16:30:00,0,87.16,8.927
2017/05/11,16:45:00,0,87.15,8.964
2017/05/11,17:00:00,0,87.21,8.996
2017/05/11,17:15:00,0,87.22,9.026
2017/05/11,17:30:00,0,87.35,9.051
2017/05/11,17:45:00,0,87.34,9.072
2017/05/11,18:00:00,0,87.38,9.089
2017/05/11,18:15:00,0,87.40,9.104
2017/05/11,18:30:00,0,87.48,9.116
2017/05/11,18:45:00,0,87.56,9.128
2017/05/11,19:00:00,0,87.70,9.135
2017/05/11,19:15:00,0,87.72,9.144
2017/05/11,19:30:00,0,87.80,9.149
2017/05/11,19:45:00,0,87.96,9.153
2017/05/11,20:00:00,0,88.08,9.155
2017/05/11,20:15:00,0,88.04,9.156
2017/05/11,20:30:00,0,88.11,9.154
2017/05/11,20:45:00,0,88.06,9.154
2017/05/11,21:00:00,0,88.07,9.152
2017/05/11,21:15:00,0,88.06,9.148
2017/05/11,21:30:00,0,88.04,9.145
2017/05/11,21:45:00,0,88.01,9.140
2017/05/11,22:00:00,0,88.02,9.126
2017/05/11,22:15:00,0,88.06,9.079
2017/05/11,22:30:00,0,88.15,9.036
2017/05/11,22:45:00,0,88.04,9.021
2017/05/11,23:00:00,0,88.04,9.022
2017/05/11,23:15:00,0,88.15,9.029
2017/05/11,23:30:00,0,88.20,9.035
2017/05/11,23:45:00,0,88.12,9.043
2017/05/12,00:00:00,0,88.16,9.046
2017/05/12,00:15:00,0,88.13,9.045
2017/05/12,00:30:00,0,88.17,9.044
2017/05/12,00:45:00,0,87.97,9.042
2017/05/12,01:00:00,0,87.97,9.035
2017/05/12,01:15:00,0,88.03,8.996
2017/05/12,01:30:00,0,87.96,8.925
2017/05/12,01:45:00,0,87.77,8.838
2017/05/12,02:00:00,0,87.59,8.753
2017/05/12,02:15:00,0,87.57,8.683
2017/05/12,02:30:00,0,87.56,8.617
2017/05/12,02:45:00,0,87.47,8.550
2017/05/12,03:00:00,0,87.46,8.489
2017/05/12,03:15:00,0,87.41,8.428
2017/05/12,03:30:00,0,87.56,8.366
2017/05/12,03:45:00,0,87.41,8.301
2017/05/12,04:00:00,0,87.22,8.242
2017/05/12,04:15:00,0,87.14,8.183
2017/05/12,04:30:00,0,87.09,8.138
2017/05/12,04:45:00,0,87.10,8.101
