Serial Number
	1062969
Project ID
	BARO_03090011
Location
	Baro_Godmanchester
Channel 1
	Identification
		LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		75      m
Channel 2
	Identification
		TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-12-01,19:00:00,0,70.19130,6.827
2,2016-12-01,19:15:00,0,70.32430,6.817
3,2016-12-01,19:30:00,0,70.33880,6.825
4,2016-12-01,19:45:00,0,70.59780,6.808
5,2016-12-01,20:00:00,0,70.55590,6.795
6,2016-12-01,20:15:00,0,70.60480,6.800
7,2016-12-01,20:30:00,0,70.74590,6.798
8,2016-12-01,20:45:00,0,70.82740,6.805
9,2016-12-01,21:00:00,0,70.83710,6.794
10,2016-12-01,21:15:00,0,70.95240,6.800
11,2016-12-01,21:30:00,0,71.12780,6.791
12,2016-12-01,21:45:00,0,71.19810,6.793
13,2016-12-01,22:00:00,0,71.38580,6.807
14,2016-12-01,22:15:00,0,71.54830,6.820
15,2016-12-01,22:30:00,0,71.69749,6.830
16,2016-12-01,22:45:00,0,71.77310,6.822
17,2016-12-01,23:00:00,0,71.87820,6.820
18,2016-12-01,23:15:00,0,71.80580,6.826
19,2016-12-01,23:30:00,0,71.84120,6.824
20,2016-12-01,23:45:00,0,71.72269,6.814
21,2016-12-02,00:00:00,0,71.72320,6.820
22,2016-12-02,00:15:00,0,71.60410,6.823
23,2016-12-02,00:30:00,0,71.64059,6.810
24,2016-12-02,00:45:00,0,71.76230,6.820
25,2016-12-02,01:00:00,0,71.85780,6.819
26,2016-12-02,01:15:00,0,71.92540,6.841
27,2016-12-02,01:30:00,0,72.01290,6.828
28,2016-12-02,01:45:00,0,72.13410,6.820
29,2016-12-02,02:00:00,0,72.23600,6.814
30,2016-12-02,02:15:00,0,72.36470,6.820
31,2016-12-02,02:30:00,0,72.45330,6.829
32,2016-12-02,02:45:00,0,72.40440,6.834
33,2016-12-02,03:00:00,0,72.39040,6.823
34,2016-12-02,03:15:00,0,72.27080,6.813
35,2016-12-02,03:30:00,0,72.20750,6.822
36,2016-12-02,03:45:00,0,72.26060,6.822
37,2016-12-02,04:00:00,0,72.31800,6.818
38,2016-12-02,04:15:00,0,72.30410,6.802
39,2016-12-02,04:30:00,0,72.31590,6.800
40,2016-12-02,04:45:00,0,72.34540,6.813
41,2016-12-02,05:00:00,0,72.33470,6.798
42,2016-12-02,05:15:00,0,72.33790,6.812
43,2016-12-02,05:30:00,0,72.36900,6.812
44,2016-12-02,05:45:00,0,72.45430,6.800
45,2016-12-02,06:00:00,0,72.51380,6.799
46,2016-12-02,06:15:00,0,72.57070,6.791
47,2016-12-02,06:30:00,0,72.59209,6.785
48,2016-12-02,06:45:00,0,72.67530,6.793
49,2016-12-02,07:00:00,0,72.73109,6.796
50,2016-12-02,07:15:00,0,72.70320,6.810
51,2016-12-02,07:30:00,0,72.76910,6.818
52,2016-12-02,07:45:00,0,72.82440,6.810
53,2016-12-02,08:00:00,0,72.87050,6.811
54,2016-12-02,08:15:00,0,72.88930,6.813
55,2016-12-02,08:30:00,0,72.95160,6.807
56,2016-12-02,08:45:00,0,72.98590,6.811
57,2016-12-02,09:00:00,0,73.02560,6.818
58,2016-12-02,09:15:00,0,72.96230,6.817
59,2016-12-02,09:30:00,0,72.98479,6.825
60,2016-12-02,09:45:00,0,73.03470,6.847
61,2016-12-02,10:00:00,0,73.13610,6.851
62,2016-12-02,10:15:00,0,73.19080,6.843
63,2016-12-02,10:30:00,0,73.20630,6.851
64,2016-12-02,10:45:00,0,72.98050,6.848
