Serial Number
	1062969
Project ID
	BARO_03090011
Location
	Baro_Godmanchester
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		75        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-04,19:00:00,0,87.3496,7.083
2,2017-05-04,19:15:00,0,87.1335,7.080
3,2017-05-04,19:30:00,0,87.5089,7.076
4,2017-05-04,19:45:00,0,87.9375,7.075
5,2017-05-04,20:00:00,0,88.2905,7.074
6,2017-05-04,20:15:00,0,88.3731,7.072
7,2017-05-04,20:30:00,0,88.5055,7.071
8,2017-05-04,20:45:00,0,88.5909,7.071
9,2017-05-04,21:00:00,0,88.6306,7.069
10,2017-05-04,21:15:00,0,88.6821,7.066
11,2017-05-04,21:30:00,0,88.5055,7.067
12,2017-05-04,21:45:00,0,88.5726,7.068
13,2017-05-04,22:00:00,0,89.1364,7.067
14,2017-05-04,22:15:00,0,89.4620,7.065
15,2017-05-04,22:30:00,0,89.1578,7.066
16,2017-05-04,22:45:00,0,89.1616,7.065
17,2017-05-04,23:00:00,0,88.9111,7.063
18,2017-05-04,23:15:00,0,88.6080,7.064
19,2017-05-04,23:30:00,0,88.3414,7.062
20,2017-05-04,23:45:00,0,88.1167,7.063
21,2017-05-05,00:00:00,0,87.9038,7.064
22,2017-05-05,00:15:00,0,87.4896,7.064
23,2017-05-05,00:30:00,0,87.1833,7.064
24,2017-05-05,00:45:00,0,87.0471,7.069
25,2017-05-05,01:00:00,0,87.0916,7.065
26,2017-05-05,01:15:00,0,86.8797,7.065
27,2017-05-05,01:30:00,0,86.4093,7.065
28,2017-05-05,01:45:00,0,86.0671,7.064
29,2017-05-05,02:00:00,0,85.9244,7.066
30,2017-05-05,02:15:00,0,85.7178,7.067
31,2017-05-05,02:30:00,0,85.3714,7.064
32,2017-05-05,02:45:00,0,85.0705,7.066
33,2017-05-05,03:00:00,0,84.8956,7.065
34,2017-05-05,03:15:00,0,84.8344,7.064
35,2017-05-05,03:30:00,0,84.5287,7.066
36,2017-05-05,03:45:00,0,84.2734,7.067
37,2017-05-05,04:00:00,0,84.1634,7.065
38,2017-05-05,04:15:00,0,84.0604,7.066
39,2017-05-05,04:30:00,0,83.8421,7.065
40,2017-05-05,04:45:00,0,83.6431,7.068
41,2017-05-05,05:00:00,0,83.3534,7.066
42,2017-05-05,05:15:00,0,83.1748,7.064
43,2017-05-05,05:30:00,0,83.1056,7.065
44,2017-05-05,05:45:00,0,82.6915,7.068
45,2017-05-05,06:00:00,0,82.3879,7.064
46,2017-05-05,06:15:00,0,82.2334,7.067
47,2017-05-05,06:30:00,0,82.2597,7.067
48,2017-05-05,06:45:00,0,82.2356,7.070
49,2017-05-05,07:00:00,0,82.1561,7.066
50,2017-05-05,07:15:00,0,82.0028,7.066
51,2017-05-05,07:30:00,0,81.8843,7.069
52,2017-05-05,07:45:00,0,81.7609,7.067
53,2017-05-05,08:00:00,0,81.6230,7.069
54,2017-05-05,08:15:00,0,81.7383,7.068
55,2017-05-05,08:30:00,0,81.7357,7.068
56,2017-05-05,08:45:00,0,81.5602,7.067
57,2017-05-05,09:00:00,0,81.4320,7.070
58,2017-05-05,09:15:00,0,81.3441,7.070
59,2017-05-05,09:30:00,0,81.2325,7.072
60,2017-05-05,09:45:00,0,81.1124,7.067
61,2017-05-05,10:00:00,0,81.1075,7.069
62,2017-05-05,10:15:00,0,81.0630,7.072
63,2017-05-05,10:30:00,0,80.7342,7.071
64,2017-05-05,10:45:00,0,80.5636,7.069
65,2017-05-05,11:00:00,0,80.1624,7.071
66,2017-05-05,11:15:00,0,80.0331,7.071
67,2017-05-05,11:30:00,0,79.7643,7.070
68,2017-05-05,11:45:00,0,79.4796,7.076
69,2017-05-05,12:00:00,0,79.1142,7.072
70,2017-05-05,12:15:00,0,78.8681,7.071
71,2017-05-05,12:30:00,0,78.2909,7.076
72,2017-05-05,12:45:00,0,77.8945,7.073
73,2017-05-05,13:00:00,0,77.6584,7.078
74,2017-05-05,13:15:00,0,77.2508,7.078
75,2017-05-05,13:30:00,0,76.8791,7.077
76,2017-05-05,13:45:00,0,76.5508,7.074
77,2017-05-05,14:00:00,0,76.3056,7.079
78,2017-05-05,14:15:00,0,75.9189,7.076
79,2017-05-05,14:30:00,0,75.5333,7.080
80,2017-05-05,14:45:00,0,74.9400,7.077
81,2017-05-05,15:00:00,0,74.3767,7.080
82,2017-05-05,15:15:00,0,74.1778,7.080
83,2017-05-05,15:30:00,0,73.5963,7.077
84,2017-05-05,15:45:00,0,73.1361,7.080
85,2017-05-05,16:00:00,0,72.9140,7.082
86,2017-05-05,16:15:00,0,73.1237,7.079
87,2017-05-05,16:30:00,0,73.1312,7.082
88,2017-05-05,16:45:00,0,72.6565,7.080
89,2017-05-05,17:00:00,0,72.9328,7.080
90,2017-05-05,17:15:00,0,72.9757,7.081
91,2017-05-05,17:30:00,0,72.3840,7.083
92,2017-05-05,17:45:00,0,71.9142,7.085
93,2017-05-05,18:00:00,0,71.6438,7.082
94,2017-05-05,18:15:00,0,71.3751,7.083
