Serial_number:
2003330
Project ID:
04630001
Location:
Sainte-Marthe
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/05/09,19:00:00,0,1620.87,7.791
2017/05/09,19:15:00,0,1620.95,7.789
2017/05/09,19:30:00,0,1621.08,7.789
2017/05/09,19:45:00,0,1621.21,7.802
2017/05/09,20:00:00,0,1621.24,7.790
2017/05/09,20:15:00,0,1621.18,7.797
2017/05/09,20:30:00,0,1621.14,7.787
2017/05/09,20:45:00,0,1621.03,7.793
2017/05/09,21:00:00,0,1621.02,7.796
2017/05/09,21:15:00,0,1620.84,7.790
2017/05/09,21:30:00,0,1620.66,7.790
2017/05/09,21:45:00,0,1620.42,7.800
2017/05/09,22:00:00,0,1620.24,7.788
2017/05/09,22:15:00,0,1620.03,7.777
2017/05/09,22:30:00,0,1619.89,7.790
2017/05/09,22:45:00,0,1619.65,7.789
2017/05/09,23:00:00,0,1619.35,7.796
2017/05/09,23:15:00,0,1619.18,7.789
2017/05/09,23:30:00,0,1619.02,7.786
2017/05/09,23:45:00,0,1618.90,7.786
2017/05/10,00:00:00,0,1618.69,7.788
2017/05/10,00:15:00,0,1618.48,7.789
2017/05/10,00:30:00,0,1618.39,7.777
2017/05/10,00:45:00,0,1618.21,7.782
2017/05/10,01:00:00,0,1618.13,7.788
2017/05/10,01:15:00,0,1618.05,7.784
2017/05/10,01:30:00,0,1617.87,7.790
2017/05/10,01:45:00,0,1617.92,7.781
2017/05/10,02:00:00,0,1617.98,7.789
2017/05/10,02:15:00,0,1618.14,7.790
2017/05/10,02:30:00,0,1618.30,7.780
2017/05/10,02:45:00,0,1618.28,7.799
2017/05/10,03:00:00,0,1618.39,7.795
2017/05/10,03:15:00,0,1618.80,7.792
2017/05/10,03:30:00,0,1619.21,7.783
2017/05/10,03:45:00,0,1619.27,7.792
2017/05/10,04:00:00,0,1619.54,7.797
2017/05/10,04:15:00,0,1619.54,7.789
2017/05/10,04:30:00,0,1619.65,7.790
2017/05/10,04:45:00,0,1619.88,7.799
2017/05/10,05:00:00,0,1620.22,7.788
2017/05/10,05:15:00,0,1620.40,7.782
2017/05/10,05:30:00,0,1620.52,7.800
2017/05/10,05:45:00,0,1620.68,7.800
2017/05/10,06:00:00,0,1620.77,7.788
2017/05/10,06:15:00,0,1621.17,7.800
2017/05/10,06:30:00,0,1621.27,7.796
2017/05/10,06:45:00,0,1621.36,7.787
2017/05/10,07:00:00,0,1621.29,7.795
2017/05/10,07:15:00,0,1621.35,7.803
2017/05/10,07:30:00,0,1621.16,7.797
2017/05/10,07:45:00,0,1621.08,7.796
2017/05/10,08:00:00,0,1620.99,7.792
2017/05/10,08:15:00,0,1620.85,7.783
2017/05/10,08:30:00,0,1620.67,7.793
2017/05/10,08:45:00,0,1620.43,7.778
2017/05/10,09:00:00,0,1620.08,7.794
2017/05/10,09:15:00,0,1619.79,7.791
2017/05/10,09:30:00,0,1619.46,7.785
2017/05/10,09:45:00,0,1619.17,7.793
