Serial_number:
2010140
Project ID:
04647001
Location:
Ste-Anne-des-Plaines
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/10/28,13:00:00,0,1652.88,7.581
2016/10/28,13:15:00,0,1652.69,7.580
2016/10/28,13:30:00,0,1652.50,7.583
2016/10/28,13:45:00,0,1652.29,7.589
2016/10/28,14:00:00,0,1652.28,7.588
2016/10/28,14:15:00,0,1652.22,7.589
2016/10/28,14:30:00,0,1652.07,7.588
2016/10/28,14:45:00,0,1652.21,7.588
2016/10/28,15:00:00,0,1652.26,7.589
2016/10/28,15:15:00,0,1652.20,7.589
2016/10/28,15:30:00,0,1652.15,7.587
2016/10/28,15:45:00,0,1652.11,7.586
2016/10/28,16:00:00,0,1652.17,7.583
2016/10/28,16:15:00,0,1652.24,7.584
2016/10/28,16:30:00,0,1652.23,7.583
2016/10/28,16:45:00,0,1652.43,7.583
2016/10/28,17:00:00,0,1652.61,7.586
2016/10/28,17:15:00,0,1652.77,7.583
2016/10/28,17:30:00,0,1652.83,7.584
2016/10/28,17:45:00,0,1652.83,7.585
2016/10/28,18:00:00,0,1652.89,7.585
2016/10/28,18:15:00,0,1653.24,7.579
2016/10/28,18:30:00,0,1653.51,7.577
2016/10/28,18:45:00,0,1653.59,7.583
2016/10/28,19:00:00,0,1653.76,7.589
2016/10/28,19:15:00,0,1653.86,7.587
2016/10/28,19:30:00,0,1653.94,7.587
2016/10/28,19:45:00,0,1653.76,7.585
2016/10/28,20:00:00,0,1653.76,7.587
2016/10/28,20:15:00,0,1653.62,7.585
2016/10/28,20:30:00,0,1653.44,7.583
2016/10/28,20:45:00,0,1653.25,7.582
2016/10/28,21:00:00,0,1653.40,7.581
2016/10/28,21:15:00,0,1653.30,7.586
2016/10/28,21:30:00,0,1653.28,7.586
2016/10/28,21:45:00,0,1653.54,7.586
2016/10/28,22:00:00,0,1653.69,7.585
2016/10/28,22:15:00,0,1653.65,7.583
2016/10/28,22:30:00,0,1653.51,7.581
2016/10/28,22:45:00,0,1653.44,7.583
2016/10/28,23:00:00,0,1652.72,7.587
2016/10/28,23:15:00,0,1651.48,7.587
2016/10/28,23:30:00,0,1650.43,7.587
2016/10/28,23:45:00,0,1650.33,7.586
2016/10/29,00:00:00,0,1650.55,7.586
2016/10/29,00:15:00,0,1650.70,7.589
2016/10/29,00:30:00,0,1651.16,7.587
2016/10/29,00:45:00,0,1651.67,7.587
2016/10/29,01:00:00,0,1652.07,7.585
2016/10/29,01:15:00,0,1652.14,7.585
2016/10/29,01:30:00,0,1652.36,7.584
2016/10/29,01:45:00,0,1652.45,7.583
2016/10/29,02:00:00,0,1652.72,7.586
2016/10/29,02:15:00,0,1653.04,7.582
2016/10/29,02:30:00,0,1653.38,7.579
2016/10/29,02:45:00,0,1653.41,7.577
2016/10/29,03:00:00,0,1653.40,7.589
