Serial_number:
2010147
Project ID:
04300015
Location:
Grenville
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/10/28,19:00:00,0,1668.06,8.025
2016/10/28,19:15:00,0,1668.14,8.025
2016/10/28,19:30:00,0,1668.19,8.025
2016/10/28,19:45:00,0,1668.09,8.025
2016/10/28,20:00:00,0,1668.36,8.025
2016/10/28,20:15:00,0,1668.49,8.025
2016/10/28,20:30:00,0,1668.64,8.025
2016/10/28,20:45:00,0,1668.82,8.025
2016/10/28,21:00:00,0,1669.02,8.025
2016/10/28,21:15:00,0,1669.33,8.026
2016/10/28,21:30:00,0,1669.67,8.025
2016/10/28,21:45:00,0,1669.87,8.025
2016/10/28,22:00:00,0,1670.06,8.025
2016/10/28,22:15:00,0,1670.04,8.025
2016/10/28,22:30:00,0,1670.03,8.025
2016/10/28,22:45:00,0,1670.10,8.025
2016/10/28,23:00:00,0,1670.03,8.025
2016/10/28,23:15:00,0,1670.24,8.025
2016/10/28,23:30:00,0,1670.48,8.026
2016/10/28,23:45:00,0,1670.74,8.025
2016/10/29,00:00:00,0,1671.05,8.025
2016/10/29,00:15:00,0,1671.41,8.026
2016/10/29,00:30:00,0,1671.79,8.026
2016/10/29,00:45:00,0,1671.78,8.026
2016/10/29,01:00:00,0,1671.90,8.025
2016/10/29,01:15:00,0,1672.10,8.025
2016/10/29,01:30:00,0,1672.27,8.025
2016/10/29,01:45:00,0,1672.48,8.026
2016/10/29,02:00:00,0,1672.65,8.026
2016/10/29,02:15:00,0,1672.79,8.026
2016/10/29,02:30:00,0,1672.87,8.025
2016/10/29,02:45:00,0,1672.87,8.026
2016/10/29,03:00:00,0,1672.62,8.026
2016/10/29,03:15:00,0,1672.36,8.025
2016/10/29,03:30:00,0,1672.68,8.026
2016/10/29,03:45:00,0,1672.84,8.026
2016/10/29,04:00:00,0,1672.80,8.026
2016/10/29,04:15:00,0,1672.91,8.026
2016/10/29,04:30:00,0,1672.69,8.026
2016/10/29,04:45:00,0,1672.77,8.025
2016/10/29,05:00:00,0,1673.05,8.026
2016/10/29,05:15:00,0,1673.08,8.026
2016/10/29,05:30:00,0,1673.20,8.026
2016/10/29,05:45:00,0,1673.00,8.026
2016/10/29,06:00:00,0,1673.20,8.026
2016/10/29,06:15:00,0,1672.83,8.025
2016/10/29,06:30:00,0,1673.13,8.025
2016/10/29,06:45:00,0,1673.43,8.026
2016/10/29,07:00:00,0,1673.52,8.026
2016/10/29,07:15:00,0,1673.36,8.025
2016/10/29,07:30:00,0,1673.26,8.026
2016/10/29,07:45:00,0,1673.09,8.026
2016/10/29,08:00:00,0,1673.08,8.026
2016/10/29,08:15:00,0,1673.06,8.026
2016/10/29,08:30:00,0,1672.98,8.026
2016/10/29,08:45:00,0,1672.93,8.026
2016/10/29,09:00:00,0,1672.85,8.026
2016/10/29,09:15:00,0,1672.67,8.027
2016/10/29,09:30:00,0,1672.49,8.026
2016/10/29,09:45:00,0,1672.53,8.026
2016/10/29,10:00:00,0,1672.39,8.026
2016/10/29,10:15:00,0,1671.99,8.026
2016/10/29,10:30:00,0,1672.19,8.026
2016/10/29,10:45:00,0,1672.05,8.026
2016/10/29,11:00:00,0,1672.14,8.027
2016/10/29,11:15:00,0,1672.09,8.026
2016/10/29,11:30:00,0,1671.96,8.026
2016/10/29,11:45:00,0,1672.06,8.027
2016/10/29,12:00:00,0,1671.89,8.026
2016/10/29,12:15:00,0,1671.86,8.027
2016/10/29,12:30:00,0,1671.87,8.027
2016/10/29,12:45:00,0,1671.87,8.027
2016/10/29,13:00:00,0,1671.86,8.027
2016/10/29,13:15:00,0,1671.88,8.027
2016/10/29,13:30:00,0,1671.69,8.026
2016/10/29,13:45:00,0,1671.87,8.027
2016/10/29,14:00:00,0,1671.80,8.027
2016/10/29,14:15:00,0,1671.79,8.027
2016/10/29,14:30:00,0,1671.68,8.026
2016/10/29,14:45:00,0,1671.61,8.027
2016/10/29,15:00:00,0,1671.67,8.027
2016/10/29,15:15:00,0,1671.59,8.027
2016/10/29,15:30:00,0,1671.77,8.027
2016/10/29,15:45:00,0,1671.61,8.027
2016/10/29,16:00:00,0,1671.62,8.026
2016/10/29,16:15:00,0,1671.60,8.026
2016/10/29,16:30:00,0,1671.59,8.027
2016/10/29,16:45:00,0,1671.76,8.027
2016/10/29,17:00:00,0,1671.75,8.027
2016/10/29,17:15:00,0,1671.75,8.027
2016/10/29,17:30:00,0,1671.78,8.027
2016/10/29,17:45:00,0,1671.73,8.027
2016/10/29,18:00:00,0,1672.03,8.027
2016/10/29,18:15:00,0,1672.19,8.027
2016/10/29,18:30:00,0,1672.00,8.027
2016/10/29,18:45:00,0,1672.34,8.027
2016/10/29,19:00:00,0,1672.55,8.027
2016/10/29,19:15:00,0,1672.58,8.027
2016/10/29,19:30:00,0,1672.50,8.027
2016/10/29,19:45:00,0,1672.74,8.027
2016/10/29,20:00:00,0,1673.01,8.027
