Serial_number:
2010148
Project ID:
04440001
Location:
Saint-TÃ©lesphore
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/10/28,19:00:00,0,1872.37,8.416
2016/10/28,19:15:00,0,1872.93,8.415
2016/10/28,19:30:00,0,1872.20,8.416
2016/10/28,19:45:00,0,1872.63,8.413
2016/10/28,20:00:00,0,1872.60,8.412
2016/10/28,20:15:00,0,1872.53,8.413
2016/10/28,20:30:00,0,1872.17,8.412
2016/10/28,20:45:00,0,1871.25,8.411
2016/10/28,21:00:00,0,1871.64,8.411
2016/10/28,21:15:00,0,1872.11,8.411
2016/10/28,21:30:00,0,1872.32,8.411
2016/10/28,21:45:00,0,1871.22,8.411
2016/10/28,22:00:00,0,1870.70,8.411
2016/10/28,22:15:00,0,1868.14,8.411
2016/10/28,22:30:00,0,1867.52,8.412
2016/10/28,22:45:00,0,1869.82,8.412
2016/10/28,23:00:00,0,1870.29,8.411
2016/10/28,23:15:00,0,1870.52,8.410
2016/10/28,23:30:00,0,1870.37,8.410
2016/10/28,23:45:00,0,1870.63,8.411
2016/10/29,00:00:00,0,1870.99,8.411
2016/10/29,00:15:00,0,1870.26,8.411
2016/10/29,00:30:00,0,1872.03,8.411
2016/10/29,00:45:00,0,1872.24,8.410
2016/10/29,01:00:00,0,1871.91,8.411
2016/10/29,01:15:00,0,1870.69,8.411
2016/10/29,01:30:00,0,1871.12,8.411
2016/10/29,01:45:00,0,1871.31,8.411
2016/10/29,02:00:00,0,1871.40,8.411
2016/10/29,02:15:00,0,1870.51,8.411
2016/10/29,02:30:00,0,1870.40,8.411
2016/10/29,02:45:00,0,1870.34,8.411
2016/10/29,03:00:00,0,1869.94,8.411
2016/10/29,03:15:00,0,1868.72,8.411
2016/10/29,03:30:00,0,1866.51,8.411
2016/10/29,03:45:00,0,1867.90,8.411
2016/10/29,04:00:00,0,1867.49,8.411
2016/10/29,04:15:00,0,1867.03,8.411
2016/10/29,04:30:00,0,1866.85,8.411
2016/10/29,04:45:00,0,1866.80,8.411
2016/10/29,05:00:00,0,1866.90,8.411
2016/10/29,05:15:00,0,1866.81,8.411
2016/10/29,05:30:00,0,1867.14,8.411
2016/10/29,05:45:00,0,1866.83,8.411
2016/10/29,06:00:00,0,1866.78,8.410
2016/10/29,06:15:00,0,1866.41,8.411
2016/10/29,06:30:00,0,1865.10,8.410
2016/10/29,06:45:00,0,1865.61,8.411
2016/10/29,07:00:00,0,1865.80,8.410
2016/10/29,07:15:00,0,1866.00,8.411
2016/10/29,07:30:00,0,1865.59,8.411
2016/10/29,07:45:00,0,1865.20,8.410
2016/10/29,08:00:00,0,1864.77,8.410
2016/10/29,08:15:00,0,1864.66,8.411
2016/10/29,08:30:00,0,1864.20,8.411
2016/10/29,08:45:00,0,1863.67,8.411
2016/10/29,09:00:00,0,1862.70,8.411
2016/10/29,09:15:00,0,1861.90,8.411
2016/10/29,09:30:00,0,1861.49,8.411
2016/10/29,09:45:00,0,1860.34,8.411
2016/10/29,10:00:00,0,1860.64,8.411
2016/10/29,10:15:00,0,1859.67,8.411
2016/10/29,10:30:00,0,1859.14,8.412
2016/10/29,10:45:00,0,1859.52,8.411
2016/10/29,11:00:00,0,1858.72,8.411
2016/10/29,11:15:00,0,1858.98,8.411
2016/10/29,11:30:00,0,1859.49,8.411
2016/10/29,11:45:00,0,1859.88,8.411
2016/10/29,12:00:00,0,1858.01,8.411
2016/10/29,12:15:00,0,1857.40,8.411
2016/10/29,12:30:00,0,1857.30,8.411
2016/10/29,12:45:00,0,1857.84,8.411
2016/10/29,13:00:00,0,1857.76,8.411
2016/10/29,13:15:00,0,1857.90,8.410
